date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-02-05,Ernakulam,1.0,Satisfactory,100,PM2.5
2020-02-06,Ernakulam,1.0,Satisfactory,70,CO
2020-02-07,Ernakulam,1.0,Satisfactory,91,CO
2020-02-08,Ernakulam,1.0,Satisfactory,76,PM10
2020-02-09,Ernakulam,1.0,Satisfactory,66,PM10
2020-02-10,Ernakulam,1.0,Satisfactory,96,CO
2020-02-12,Ernakulam,1.0,Satisfactory,85,PM2.5
2020-02-14,Ernakulam,1.0,Satisfactory,91,PM2.5
2020-02-18,Ernakulam,1.0,Satisfactory,88,PM2.5
2020-02-19,Ernakulam,1.0,Moderate,143,PM2.5
2020-02-20,Ernakulam,1.0,Moderate,104,PM2.5
2020-02-21,Ernakulam,1.0,Moderate,125,PM2.5
2020-02-22,Ernakulam,1.0,Satisfactory,93,PM2.5
2020-02-23,Ernakulam,1.0,Satisfactory,62,CO
2020-02-24,Ernakulam,1.0,Satisfactory,78,CO
2020-02-25,Ernakulam,1.0,Satisfactory,78,CO
2020-02-27,Ernakulam,1.0,Satisfactory,82,PM2.5
2020-02-28,Ernakulam,1.0,Satisfactory,88,PM2.5
2020-02-29,Ernakulam,1.0,Satisfactory,83,CO
2020-03-01,Ernakulam,1.0,Satisfactory,68,CO
2020-03-02,Ernakulam,1.0,Satisfactory,86,CO
2020-03-03,Ernakulam,1.0,Satisfactory,86,CO
2020-03-04,Ernakulam,1.0,Satisfactory,93,CO
2020-03-05,Ernakulam,1.0,Satisfactory,98,CO
2020-03-06,Ernakulam,1.0,Satisfactory,94,CO
2020-03-07,Ernakulam,1.0,Satisfactory,61,CO
2020-03-08,Ernakulam,1.0,Satisfactory,65,CO
2020-03-09,Ernakulam,1.0,Satisfactory,83,CO
2020-03-12,Ernakulam,1.0,Satisfactory,86,CO
2020-03-14,Ernakulam,1.0,Satisfactory,77,CO
2020-03-15,Ernakulam,1.0,Satisfactory,69,PM10
2020-03-16,Ernakulam,1.0,Satisfactory,82,CO
2020-03-17,Ernakulam,1.0,Satisfactory,90,CO
2020-03-18,Ernakulam,1.0,Satisfactory,94,CO
2020-03-19,Ernakulam,1.0,Satisfactory,83,CO
2020-03-20,Ernakulam,1.0,Satisfactory,80,CO
2020-03-21,Ernakulam,1.0,Satisfactory,81,CO
2020-03-22,Ernakulam,1.0,Satisfactory,54,CO
2020-03-23,Ernakulam,1.0,Satisfactory,68,CO
2020-03-24,Ernakulam,1.0,Satisfactory,66,CO
2020-03-25,Ernakulam,1.0,Satisfactory,62,CO
2020-03-26,Ernakulam,1.0,Satisfactory,56,CO
2020-03-27,Ernakulam,1.0,Satisfactory,59,CO
2020-03-28,Ernakulam,1.0,Satisfactory,57,CO
2020-03-31,Ernakulam,1.0,Satisfactory,67,CO
2020-04-01,Ernakulam,1.0,Satisfactory,65,CO
2020-04-02,Ernakulam,1.0,Satisfactory,68,CO
2020-04-03,Ernakulam,1.0,Satisfactory,68,CO
2020-04-04,Ernakulam,1.0,Satisfactory,66,CO
2020-04-05,Ernakulam,1.0,Satisfactory,62,CO
2020-04-06,Ernakulam,1.0,Satisfactory,62,CO
2020-04-07,Ernakulam,1.0,Satisfactory,68,CO
2020-04-08,Ernakulam,1.0,Satisfactory,71,CO
2020-04-09,Ernakulam,1.0,Satisfactory,61,CO
2020-04-10,Ernakulam,1.0,Satisfactory,58,CO
2020-04-11,Ernakulam,1.0,Satisfactory,62,CO
2020-04-12,Ernakulam,1.0,Satisfactory,62,CO
2020-04-13,Ernakulam,1.0,Satisfactory,79,CO
2020-04-14,Ernakulam,1.0,Satisfactory,72,CO
2020-04-15,Ernakulam,1.0,Satisfactory,68,CO
2020-04-16,Ernakulam,1.0,Satisfactory,64,CO
2020-04-17,Ernakulam,1.0,Satisfactory,67,CO
2020-04-18,Ernakulam,1.0,Satisfactory,75,CO
2020-04-19,Ernakulam,1.0,Satisfactory,76,CO
2020-04-20,Ernakulam,1.0,Satisfactory,77,CO
2020-04-21,Ernakulam,1.0,Satisfactory,60,CO
2020-04-22,Ernakulam,1.0,Satisfactory,61,CO
2020-04-23,Ernakulam,1.0,Satisfactory,62,CO
2020-04-30,Ernakulam,1.0,Satisfactory,88,CO
2020-05-01,Ernakulam,1.0,Satisfactory,84,CO
2020-05-02,Ernakulam,1.0,Satisfactory,91,CO
2020-05-03,Ernakulam,1.0,Satisfactory,81,CO
2020-05-04,Ernakulam,1.0,Satisfactory,100,CO
2020-05-05,Ernakulam,1.0,Satisfactory,98,CO
2020-05-06,Ernakulam,1.0,Moderate,101,CO
2020-05-08,Ernakulam,1.0,Satisfactory,88,CO
2020-05-09,Ernakulam,1.0,Satisfactory,98,CO
2020-05-10,Ernakulam,1.0,Satisfactory,89,CO
2020-05-11,Ernakulam,1.0,Satisfactory,96,CO
2020-05-12,Ernakulam,1.0,Moderate,103,CO
2020-05-13,Ernakulam,1.0,Satisfactory,99,CO
2020-05-14,Ernakulam,1.0,Moderate,105,CO
2020-05-15,Ernakulam,1.0,Moderate,102,CO
2020-05-17,Ernakulam,1.0,Satisfactory,97,CO
2020-05-18,Ernakulam,1.0,Moderate,107,CO
2020-05-19,Ernakulam,1.0,Moderate,109,CO
2020-05-21,Ernakulam,1.0,Satisfactory,92,CO
2020-05-22,Ernakulam,1.0,Satisfactory,93,CO
2020-05-23,Ernakulam,1.0,Satisfactory,97,CO
2020-05-24,Ernakulam,1.0,Satisfactory,76,CO
2020-05-25,Ernakulam,1.0,Moderate,101,CO
