date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2015-05-01,Faridabad,,Moderate,173,PM10
2015-05-02,Faridabad,,Poor,299,PM10
2015-05-03,Faridabad,,Very poor,341,PM10
2015-05-04,Faridabad,,Poor,251,PM10
2015-05-05,Faridabad,,Severe,438,PM10
2015-05-06,Faridabad,,Severe,481,PM10
2015-05-07,Faridabad,,Severe,482,PM10
2015-05-08,Faridabad,,Very poor,342,PM10
2015-05-09,Faridabad,,Poor,274,PM10
2015-05-11,Faridabad,,Very poor,301,PM10
2015-05-12,Faridabad,,Very poor,340,PM10
2015-05-13,Faridabad,,Poor,211,PM10
2015-05-15,Faridabad,1.0,Very poor,301,PM10
2015-05-16,Faridabad,1.0,Moderate,125,PM10
2015-05-17,Faridabad,1.0,Moderate,120,PM10
2015-05-18,Faridabad,1.0,Moderate,103,PM10
2015-05-19,Faridabad,1.0,Moderate,101,PM10
2015-05-21,Faridabad,1.0,Moderate,133,PM2.5
2015-05-22,Faridabad,1.0,Satisfactory,72,PM2.5
2015-05-23,Faridabad,1.0,Satisfactory,77,PM2.5
2015-05-24,Faridabad,1.0,Moderate,114,PM2.5
2015-05-25,Faridabad,1.0,Poor,295,PM2.5
2015-05-26,Faridabad,1.0,Poor,202,PM2.5
2015-05-27,Faridabad,1.0,Moderate,116,PM2.5
2015-05-28,Faridabad,1.0,Very poor,303,PM2.5
2015-05-29,Faridabad,1.0,Poor,255,PM2.5
2015-05-30,Faridabad,1.0,Poor,204,PM2.5
2015-05-31,Faridabad,1.0,Moderate,156,PM2.5
2015-06-01,Faridabad,1.0,Satisfactory,94,PM2.5
2015-06-02,Faridabad,1.0,Satisfactory,80,PM2.5
2015-06-03,Faridabad,1.0,Moderate,135,PM2.5
2015-06-04,Faridabad,1.0,Satisfactory,96,PM2.5
2015-06-05,Faridabad,1.0,Moderate,187,PM2.5
2015-06-06,Faridabad,1.0,Moderate,156,PM2.5
2015-06-07,Faridabad,1.0,Poor,218,PM2.5
2015-06-08,Faridabad,1.0,Moderate,182,PM2.5
2015-06-09,Faridabad,1.0,Poor,206,PM2.5
2015-06-10,Faridabad,1.0,Satisfactory,74,PM2.5
2015-06-11,Faridabad,1.0,Satisfactory,74,PM2.5
2015-06-13,Faridabad,1.0,Poor,233,PM2.5
2015-06-14,Faridabad,1.0,Moderate,113,PM2.5
