date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-01-22,Fatehabad,1.0,Moderate,160,PM2.5
2019-01-24,Fatehabad,1.0,Moderate,188,PM2.5
2019-01-26,Fatehabad,1.0,Poor,246,PM2.5
2019-01-27,Fatehabad,1.0,Poor,254,PM2.5
2019-01-28,Fatehabad,1.0,Moderate,199,PM2.5
2019-01-30,Fatehabad,1.0,Poor,269,PM2.5
2019-01-31,Fatehabad,1.0,Poor,265,PM2.5
2019-02-01,Fatehabad,1.0,Very Poor,324,PM2.5
2019-02-07,Fatehabad,1.0,Moderate,178,PM2.5
2019-02-08,Fatehabad,1.0,Moderate,122,PM10
2019-02-09,Fatehabad,1.0,Moderate,125,PM10
2019-02-10,Fatehabad,1.0,Moderate,144,PM10
2019-02-11,Fatehabad,1.0,Moderate,182,PM10
2019-02-12,Fatehabad,1.0,Moderate,154,PM2.5
2019-02-13,Fatehabad,1.0,Moderate,191,PM2.5
2019-02-14,Fatehabad,1.0,Poor,209,PM2.5
2019-02-15,Fatehabad,1.0,Moderate,134,PM10
2019-02-16,Fatehabad,1.0,Satisfactory,99,PM10
2019-02-17,Fatehabad,1.0,Moderate,126,PM10
2019-02-18,Fatehabad,1.0,Moderate,126,PM10
2019-02-19,Fatehabad,1.0,Satisfactory,84,PM10
2019-02-20,Fatehabad,1.0,Moderate,130,PM10
2019-02-21,Fatehabad,1.0,Moderate,103,PM10
2019-02-22,Fatehabad,1.0,Satisfactory,93,PM10
2019-02-23,Fatehabad,1.0,Moderate,102,PM10
2019-02-24,Fatehabad,1.0,Moderate,123,PM10
2019-02-25,Fatehabad,1.0,Moderate,115,PM10
2019-02-26,Fatehabad,1.0,Satisfactory,84,OZONE
2019-02-27,Fatehabad,1.0,Satisfactory,78,PM10
2019-02-28,Fatehabad,1.0,Moderate,160,PM2.5
2019-03-01,Fatehabad,1.0,Moderate,157,PM2.5
2019-03-02,Fatehabad,1.0,Moderate,142,PM2.5
2019-03-03,Fatehabad,1.0,Moderate,119,PM2.5
2019-03-04,Fatehabad,1.0,Satisfactory,85,PM2.5
2019-03-05,Fatehabad,1.0,Moderate,113,PM2.5
2019-03-06,Fatehabad,1.0,Moderate,104,PM2.5
2019-03-07,Fatehabad,1.0,Moderate,170,PM2.5
2019-03-08,Fatehabad,1.0,Satisfactory,81,PM10
2019-03-09,Fatehabad,1.0,Moderate,109,PM10
2019-03-10,Fatehabad,1.0,Moderate,126,PM10
2019-03-12,Fatehabad,1.0,Moderate,123,PM10
2019-03-13,Fatehabad,1.0,Moderate,177,PM10
2019-03-14,Fatehabad,1.0,Moderate,142,PM10
2019-03-15,Fatehabad,1.0,Satisfactory,97,PM10
2019-03-16,Fatehabad,1.0,Moderate,122,PM10
2019-03-17,Fatehabad,1.0,Moderate,135,PM10
2019-03-18,Fatehabad,1.0,Moderate,165,OZONE
2019-03-19,Fatehabad,1.0,Moderate,148,PM10
2019-03-20,Fatehabad,1.0,Moderate,141,PM10
2019-03-21,Fatehabad,1.0,Moderate,112,PM10
2019-03-22,Fatehabad,1.0,Moderate,116,PM10
2019-03-23,Fatehabad,1.0,Moderate,121,PM10
2019-03-24,Fatehabad,1.0,Moderate,115,PM10
2019-03-25,Fatehabad,1.0,Moderate,134,PM10
2019-03-26,Fatehabad,1.0,Moderate,139,PM10
2019-03-27,Fatehabad,1.0,Moderate,144,PM10
2019-03-28,Fatehabad,1.0,Moderate,155,PM2.5
2019-03-29,Fatehabad,1.0,Moderate,125,PM10
2019-03-30,Fatehabad,1.0,Moderate,158,PM10
2019-04-03,Fatehabad,1.0,Moderate,159,PM10
2019-04-04,Fatehabad,1.0,Moderate,161,OZONE
2019-04-05,Fatehabad,1.0,Moderate,160,PM10
2019-04-06,Fatehabad,1.0,Poor,244,PM10
2019-04-07,Fatehabad,1.0,Moderate,194,PM10
2019-04-10,Fatehabad,1.0,Moderate,190,PM10
2019-04-11,Fatehabad,1.0,Moderate,153,PM10
2019-04-12,Fatehabad,1.0,Poor,211,PM10
2019-04-13,Fatehabad,1.0,Moderate,131,PM10
2019-04-14,Fatehabad,1.0,Moderate,107,PM10
2019-04-15,Fatehabad,1.0,Moderate,142,PM10
2019-04-16,Fatehabad,1.0,Moderate,140,PM10
2019-04-17,Fatehabad,1.0,Moderate,125,PM10
2019-04-18,Fatehabad,1.0,Satisfactory,84,OZONE
2019-04-19,Fatehabad,1.0,Moderate,109,PM10
2019-04-20,Fatehabad,1.0,Moderate,154,OZONE
2019-04-21,Fatehabad,1.0,Moderate,145,PM10
2019-04-22,Fatehabad,1.0,Moderate,156,PM10
2019-04-23,Fatehabad,1.0,Moderate,195,PM10
2019-04-24,Fatehabad,1.0,Very Poor,318,PM10
2019-04-25,Fatehabad,1.0,Poor,209,PM10
2019-04-26,Fatehabad,1.0,Poor,284,PM10
2019-04-27,Fatehabad,1.0,Poor,287,PM10
2019-04-28,Fatehabad,1.0,Very Poor,343,PM10
2019-04-29,Fatehabad,1.0,Very Poor,315,PM10
2019-04-30,Fatehabad,1.0,Poor,296,PM10
2019-05-01,Fatehabad,1.0,Poor,296,PM10
2019-05-02,Fatehabad,1.0,Poor,292,PM10
2019-05-03,Fatehabad,1.0,Moderate,184,PM10
2019-05-04,Fatehabad,1.0,Poor,260,PM10
2019-05-05,Fatehabad,1.0,Poor,265,PM10
2019-05-06,Fatehabad,1.0,Very Poor,334,PM10
2019-05-07,Fatehabad,1.0,Poor,286,PM10
2019-05-08,Fatehabad,1.0,Very Poor,363,PM10
2019-05-09,Fatehabad,1.0,Severe,407,PM10
2019-05-10,Fatehabad,1.0,Very Poor,313,PM10
2019-05-11,Fatehabad,1.0,Moderate,146,PM10
2019-05-12,Fatehabad,1.0,Very Poor,365,PM10
2019-05-13,Fatehabad,1.0,Very Poor,346,PM10
2019-05-14,Fatehabad,1.0,Moderate,195,PM10
2019-05-15,Fatehabad,1.0,Moderate,189,PM10
2019-05-16,Fatehabad,1.0,Poor,276,OZONE
2019-05-17,Fatehabad,1.0,Moderate,173,PM10
2019-05-18,Fatehabad,1.0,Moderate,159,OZONE
2019-05-19,Fatehabad,1.0,Poor,251,OZONE
2019-05-20,Fatehabad,1.0,Poor,235,PM10
2019-05-21,Fatehabad,1.0,Moderate,187,OZONE
2019-05-22,Fatehabad,1.0,Moderate,194,PM10
2019-05-23,Fatehabad,1.0,Poor,217,PM10
2019-05-24,Fatehabad,1.0,Moderate,185,PM10
2019-05-25,Fatehabad,1.0,Moderate,180,OZONE
2019-05-26,Fatehabad,1.0,Moderate,172,OZONE
2019-05-27,Fatehabad,1.0,Moderate,141,PM10
2019-05-28,Fatehabad,1.0,Moderate,142,PM10
2019-05-29,Fatehabad,1.0,Moderate,182,PM10
2019-05-30,Fatehabad,1.0,Poor,225,PM10
2019-05-31,Fatehabad,1.0,Very Poor,301,PM10
2019-06-01,Fatehabad,1.0,Poor,208,PM10
2019-06-02,Fatehabad,1.0,Poor,243,PM10
2019-06-03,Fatehabad,1.0,Poor,266,PM10
2019-06-04,Fatehabad,1.0,Very Poor,322,PM10
2019-06-05,Fatehabad,1.0,Poor,217,PM10
2019-06-06,Fatehabad,1.0,Poor,259,PM10
2019-06-07,Fatehabad,1.0,Moderate,194,PM10
2019-06-08,Fatehabad,1.0,Moderate,188,PM10
2019-06-09,Fatehabad,1.0,Poor,245,PM10
2019-06-10,Fatehabad,1.0,Poor,263,PM10
2019-06-11,Fatehabad,1.0,Very Poor,332,PM10
2019-06-12,Fatehabad,1.0,Poor,291,PM10
2019-06-13,Fatehabad,1.0,Poor,281,PM10
2019-06-14,Fatehabad,1.0,Poor,240,PM10
2019-06-15,Fatehabad,1.0,Poor,280,PM10
2019-06-16,Fatehabad,1.0,Poor,223,PM10
2019-06-17,Fatehabad,1.0,Moderate,141,PM10
2019-06-18,Fatehabad,1.0,Moderate,105,PM10
2019-06-19,Fatehabad,1.0,Moderate,121,PM10
2019-06-20,Fatehabad,1.0,Moderate,179,PM10
2019-06-21,Fatehabad,1.0,Moderate,131,PM10
2019-06-22,Fatehabad,1.0,Moderate,137,PM10
2019-06-23,Fatehabad,1.0,Moderate,151,PM10
2019-06-25,Fatehabad,1.0,Moderate,102,PM10
2019-06-26,Fatehabad,1.0,Moderate,108,PM10
2019-06-27,Fatehabad,1.0,Poor,251,PM10
2019-06-28,Fatehabad,1.0,Moderate,184,PM10
2019-06-29,Fatehabad,1.0,Very Poor,397,PM10
2019-06-30,Fatehabad,1.0,Very Poor,343,PM10
2019-07-01,Fatehabad,1.0,Very Poor,398,PM10
2019-07-03,Fatehabad,1.0,Moderate,181,PM10
2019-07-04,Fatehabad,1.0,Moderate,156,PM10
2019-07-05,Fatehabad,1.0,Moderate,144,PM2.5
2019-07-06,Fatehabad,1.0,Moderate,172,PM10
2019-07-07,Fatehabad,1.0,Moderate,104,PM10
2019-07-08,Fatehabad,1.0,Moderate,188,PM10
2019-07-09,Fatehabad,1.0,Moderate,171,PM10
2019-07-10,Fatehabad,1.0,Moderate,181,PM10
2019-07-11,Fatehabad,1.0,Very Poor,358,PM2.5
