date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-07-19,Firozabad,1.0,Good,31,PM2.5
2021-07-20,Firozabad,1.0,Good,35,PM2.5
2021-07-21,Firozabad,1.0,Good,28,PM10
2021-07-22,Firozabad,1.0,Satisfactory,54,PM10
2021-07-23,Firozabad,1.0,Good,24,O3
2021-07-24,Firozabad,1.0,Good,36,NH3
2021-07-25,Firozabad,1.0,Good,32,PM2.5
2021-07-26,Firozabad,1.0,Good,40,PM2.5
2021-07-27,Firozabad,1.0,Good,49,PM10
2021-07-28,Firozabad,1.0,Satisfactory,61,PM2.5
2021-07-29,Firozabad,1.0,Good,43,PM2.5
2021-07-30,Firozabad,1.0,Good,17,CO
2021-07-31,Firozabad,1.0,Good,18,PM10
2021-08-01,Firozabad,1.0,Good,27,O3
2021-08-02,Firozabad,1.0,Good,18,CO
2021-08-03,Firozabad,1.0,Good,17,CO
2021-08-04,Firozabad,1.0,Good,18,CO
2021-08-05,Firozabad,1.0,Good,27,O3
2021-08-06,Firozabad,1.0,Good,48,PM10
2021-08-07,Firozabad,1.0,Good,37,PM2.5
2021-08-08,Firozabad,1.0,Good,46,NH3
2021-08-09,Firozabad,1.0,Good,27,PM10
2021-08-11,Firozabad,1.0,Satisfactory,100,PM10
2021-08-12,Firozabad,1.0,Satisfactory,75,PM10
2021-08-13,Firozabad,1.0,Satisfactory,79,PM10
2021-08-14,Firozabad,1.0,Satisfactory,81,PM10
2021-08-15,Firozabad,1.0,Satisfactory,78,PM10
2021-08-16,Firozabad,1.0,Satisfactory,92,PM10
2021-08-17,Firozabad,1.0,Satisfactory,95,PM10
2021-08-18,Firozabad,1.0,Satisfactory,97,PM10
2021-08-19,Firozabad,1.0,Satisfactory,80,PM10
2021-08-20,Firozabad,1.0,Good,41,PM10
2021-08-21,Firozabad,1.0,Good,20,NH3
2021-08-22,Firozabad,1.0,Good,20,PM10
2021-08-23,Firozabad,1.0,Good,35,PM2.5
2021-08-24,Firozabad,1.0,Good,44,PM10
2021-08-25,Firozabad,1.0,Good,48,PM10
2021-08-26,Firozabad,1.0,Satisfactory,70,PM10
2021-08-27,Firozabad,1.0,Satisfactory,75,PM10
2021-08-28,Firozabad,1.0,Satisfactory,87,PM10
2021-08-29,Firozabad,1.0,Good,43,PM2.5
2021-08-30,Firozabad,1.0,Good,21,PM10
2021-08-31,Firozabad,1.0,Good,25,PM10
2021-09-01,Firozabad,1.0,Moderate,108,PM10
2021-09-02,Firozabad,1.0,Good,23,PM2.5
2021-09-03,Firozabad,1.0,Good,45,PM2.5
2021-09-04,Firozabad,1.0,Good,32,PM10
2021-09-05,Firozabad,1.0,Good,44,PM10
2021-09-06,Firozabad,1.0,Satisfactory,54,PM2.5
2021-09-07,Firozabad,1.0,Good,36,PM10
2021-09-08,Firozabad,1.0,Good,26,PM10
2021-09-09,Firozabad,1.0,Good,31,PM10
2021-09-11,Firozabad,1.0,Satisfactory,76,PM10
2021-09-12,Firozabad,1.0,Good,20,PM10
2021-09-13,Firozabad,1.0,Good,29,PM10
2021-09-14,Firozabad,1.0,Good,26,PM10
2021-09-15,Firozabad,1.0,Good,32,PM10
2021-09-16,Firozabad,1.0,Good,19,PM10
2021-09-18,Firozabad,1.0,Good,26,O3
2021-09-20,Firozabad,1.0,Good,32,PM10
2021-09-21,Firozabad,1.0,Good,43,PM10
2021-09-22,Firozabad,1.0,Good,31,PM10
2021-09-23,Firozabad,1.0,Good,23,O3
2021-09-24,Firozabad,1.0,Good,36,PM10
2021-09-25,Firozabad,1.0,Good,31,PM10
2021-09-26,Firozabad,1.0,Good,28,O3
2021-09-27,Firozabad,1.0,Good,26,PM2.5
2021-09-28,Firozabad,1.0,Good,32,PM10
2021-09-29,Firozabad,1.0,Good,37,O3
2021-09-30,Firozabad,1.0,Satisfactory,75,O3
2021-10-01,Firozabad,1.0,Good,41,PM10
2021-10-02,Firozabad,1.0,Satisfactory,71,PM2.5
2021-10-03,Firozabad,1.0,Satisfactory,51,PM10
2021-10-04,Firozabad,1.0,Good,49,PM10
2021-10-05,Firozabad,1.0,Good,49,PM10
2021-10-06,Firozabad,1.0,Satisfactory,89,O3
2021-10-07,Firozabad,1.0,Satisfactory,81,PM10
2021-10-08,Firozabad,1.0,Moderate,115,PM10
2021-10-09,Firozabad,1.0,Moderate,114,PM10
2021-10-10,Firozabad,1.0,Moderate,103,PM10
2021-10-11,Firozabad,1.0,Moderate,107,PM10
2021-10-12,Firozabad,1.0,Moderate,112,PM10
2021-10-13,Firozabad,1.0,Moderate,117,PM10
2021-10-14,Firozabad,1.0,Moderate,153,PM10
2021-10-15,Firozabad,1.0,Moderate,129,PM10
2021-10-16,Firozabad,1.0,Moderate,161,PM2.5
2021-10-17,Firozabad,1.0,Moderate,116,PM2.5
2021-10-18,Firozabad,1.0,Good,26,CO
2021-10-19,Firozabad,1.0,Good,35,PM2.5
2021-10-20,Firozabad,1.0,Satisfactory,86,PM2.5
2021-10-21,Firozabad,1.0,Moderate,170,PM2.5
2021-10-22,Firozabad,1.0,Moderate,103,PM10
2021-10-23,Firozabad,1.0,Moderate,102,PM2.5
2021-10-24,Firozabad,1.0,Satisfactory,91,PM10
2021-10-25,Firozabad,1.0,Moderate,117,PM2.5
2021-10-26,Firozabad,1.0,Moderate,101,PM10
2021-10-27,Firozabad,1.0,Moderate,145,PM2.5
2021-10-28,Firozabad,1.0,Poor,208,PM2.5
2021-10-29,Firozabad,1.0,Poor,214,PM2.5
2021-10-30,Firozabad,1.0,Poor,201,PM2.5
2021-10-31,Firozabad,1.0,Poor,212,PM2.5
2021-11-01,Firozabad,1.0,Poor,244,PM2.5
2021-11-02,Firozabad,1.0,Poor,239,PM2.5
2021-11-03,Firozabad,1.0,Poor,229,PM2.5
2021-11-04,Firozabad,1.0,Very Poor,323,PM2.5
2021-11-05,Firozabad,1.0,Severe,449,PM2.5
2021-11-06,Firozabad,1.0,Severe,430,PM2.5
2021-11-07,Firozabad,1.0,Severe,443,PM2.5
2021-11-09,Firozabad,1.0,Severe,489,PM2.5
2021-11-10,Firozabad,1.0,Very Poor,400,PM2.5
2021-11-11,Firozabad,1.0,Severe,415,PM2.5
2021-11-12,Firozabad,1.0,Very Poor,361,PM2.5
2021-11-13,Firozabad,1.0,Very Poor,327,PM2.5
2021-11-14,Firozabad,1.0,Poor,210,PM2.5
2021-11-15,Firozabad,1.0,Poor,283,PM2.5
2021-11-16,Firozabad,1.0,Poor,258,PM2.5
2021-11-17,Firozabad,1.0,Poor,223,PM2.5
2021-11-18,Firozabad,1.0,Poor,258,PM2.5
2021-11-19,Firozabad,1.0,Poor,277,PM2.5
2021-11-20,Firozabad,1.0,Poor,289,PM2.5
2021-11-21,Firozabad,1.0,Poor,246,PM2.5
2021-11-22,Firozabad,1.0,Poor,204,O3
2021-11-23,Firozabad,1.0,Moderate,143,PM2.5
2021-11-24,Firozabad,1.0,Poor,215,PM2.5
2021-11-25,Firozabad,1.0,Poor,278,PM2.5
2021-11-26,Firozabad,1.0,Poor,259,PM2.5
2021-11-27,Firozabad,1.0,Poor,245,PM2.5
2021-11-28,Firozabad,1.0,Poor,253,PM2.5
2021-11-29,Firozabad,1.0,Poor,261,PM2.5
2021-11-30,Firozabad,1.0,Poor,278,PM2.5
2021-12-01,Firozabad,1.0,Very Poor,302,PM2.5
2021-12-02,Firozabad,1.0,Very Poor,350,PM2.5
2021-12-03,Firozabad,1.0,Poor,211,PM2.5
2021-12-04,Firozabad,1.0,Very Poor,360,PM2.5
2021-12-05,Firozabad,1.0,Very Poor,351,PM2.5
2021-12-06,Firozabad,1.0,Very Poor,358,PM2.5
2021-12-07,Firozabad,1.0,Poor,218,PM2.5
2021-12-08,Firozabad,1.0,Moderate,149,PM2.5
2021-12-09,Firozabad,1.0,Moderate,132,PM10
2021-12-10,Firozabad,1.0,Poor,244,PM2.5
2021-12-11,Firozabad,1.0,Poor,228,PM2.5
