date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-01-04,Gadag,1.0,Satisfactory,68,PM2.5
2021-01-05,Gadag,1.0,Good,42,PM2.5
2021-01-06,Gadag,1.0,Good,38,PM2.5
2021-01-07,Gadag,1.0,Good,28,SO2
2021-01-08,Gadag,1.0,Good,30,SO2
2021-01-09,Gadag,1.0,Good,29,SO2
2021-01-10,Gadag,1.0,Good,32,PM10
2021-01-11,Gadag,1.0,Good,37,PM2.5
2021-01-12,Gadag,1.0,Satisfactory,56,PM10
2021-01-13,Gadag,1.0,Satisfactory,59,PM2.5
2021-01-18,Gadag,1.0,Satisfactory,66,O3
2021-01-21,Gadag,1.0,Satisfactory,82,O3
2021-01-23,Gadag,1.0,Satisfactory,69,PM2.5
2021-01-25,Gadag,1.0,Satisfactory,63,O3
2021-01-26,Gadag,1.0,Satisfactory,57,PM2.5
2021-01-27,Gadag,1.0,Good,47,O3
2021-01-31,Gadag,1.0,Satisfactory,61,PM2.5
2021-02-04,Gadag,1.0,Satisfactory,57,O3
2021-02-05,Gadag,1.0,Satisfactory,57,O3
2021-02-06,Gadag,1.0,Satisfactory,65,O3
2021-02-07,Gadag,1.0,Satisfactory,74,O3
2021-02-09,Gadag,1.0,Satisfactory,69,PM2.5
2021-02-10,Gadag,1.0,Satisfactory,82,O3
2021-02-16,Gadag,1.0,Satisfactory,93,PM10
2021-02-21,Gadag,1.0,Good,38,PM2.5
2021-02-22,Gadag,1.0,Satisfactory,51,PM2.5
2021-02-23,Gadag,1.0,Good,48,SO2
2021-03-09,Gadag,1.0,Moderate,109,PM2.5
2021-03-12,Gadag,1.0,Satisfactory,92,PM2.5
2021-03-16,Gadag,1.0,Satisfactory,52,PM10
2021-03-28,Gadag,1.0,Moderate,108,PM2.5
2021-03-29,Gadag,1.0,Satisfactory,86,PM2.5
2021-03-30,Gadag,1.0,Satisfactory,83,PM2.5
2021-03-31,Gadag,1.0,Satisfactory,73,PM10
2021-04-01,Gadag,1.0,Moderate,119,PM2.5
2021-04-02,Gadag,1.0,Satisfactory,64,PM2.5
2021-04-03,Gadag,1.0,Satisfactory,85,PM10
2021-04-04,Gadag,1.0,Satisfactory,86,PM10
2021-04-05,Gadag,1.0,Very Poor,370,PM2.5
2021-04-06,Gadag,1.0,Satisfactory,87,PM10
2021-04-07,Gadag,1.0,Satisfactory,83,SO2
2021-04-08,Gadag,1.0,Good,50,PM2.5
2021-04-09,Gadag,1.0,Satisfactory,65,PM2.5
2021-04-10,Gadag,1.0,Satisfactory,60,PM2.5
2021-04-11,Gadag,1.0,Satisfactory,54,PM2.5
2021-04-12,Gadag,1.0,Satisfactory,56,PM2.5
2021-04-13,Gadag,1.0,Satisfactory,75,SO2
2021-04-14,Gadag,1.0,Satisfactory,57,SO2
2021-04-16,Gadag,1.0,Satisfactory,61,SO2
2021-04-17,Gadag,1.0,Satisfactory,54,SO2
2021-04-18,Gadag,1.0,Satisfactory,60,SO2
2021-04-19,Gadag,1.0,Satisfactory,69,SO2
2021-04-20,Gadag,1.0,Satisfactory,75,SO2
2021-04-21,Gadag,1.0,Satisfactory,74,SO2
2021-04-23,Gadag,1.0,Good,43,O3
2021-04-24,Gadag,1.0,Satisfactory,87,SO2
2021-04-25,Gadag,1.0,Satisfactory,76,SO2
2021-04-27,Gadag,1.0,Satisfactory,84,SO2
2021-04-29,Gadag,1.0,Satisfactory,72,SO2
2021-05-05,Gadag,1.0,Satisfactory,80,SO2
2021-05-12,Gadag,1.0,Good,23,PM2.5
2021-05-14,Gadag,1.0,Good,30,O3
2021-05-15,Gadag,1.0,Good,17,O3
2021-05-16,Gadag,1.0,Good,17,O3
2021-05-19,Gadag,1.0,Good,9,CO
2021-05-20,Gadag,1.0,Good,13,PM2.5
2021-05-22,Gadag,1.0,Good,24,O3
2021-05-23,Gadag,1.0,Good,31,PM2.5
2021-05-24,Gadag,1.0,Good,27,O3
2021-05-25,Gadag,1.0,Good,27,PM2.5
2021-05-26,Gadag,1.0,Good,26,PM2.5
2021-05-27,Gadag,1.0,Good,23,PM2.5
2021-05-29,Gadag,1.0,Good,15,PM10
2021-05-30,Gadag,1.0,Good,10,NO2
2021-05-31,Gadag,1.0,Good,10,NO2
2021-06-01,Gadag,1.0,Good,10,NO2
2021-06-02,Gadag,1.0,Good,11,NO2
2021-06-09,Gadag,1.0,Good,12,NO2
2021-06-10,Gadag,1.0,Good,11,NO2
2021-06-11,Gadag,1.0,Good,11,NO2
2021-06-12,Gadag,1.0,Good,12,NO2
2021-06-13,Gadag,1.0,Good,12,NO2
2021-06-14,Gadag,1.0,Good,11,NO2
2021-06-15,Gadag,1.0,Good,10,NO2
2021-06-17,Gadag,1.0,Good,17,PM2.5
2021-06-21,Gadag,1.0,Good,42,PM2.5
2021-06-22,Gadag,1.0,Satisfactory,62,SO2
2021-06-23,Gadag,1.0,Satisfactory,58,SO2
2021-06-24,Gadag,1.0,Good,32,PM2.5
2021-06-29,Gadag,1.0,Satisfactory,69,SO2
2021-06-30,Gadag,1.0,Satisfactory,70,SO2
2021-07-01,Gadag,1.0,Satisfactory,53,SO2
2021-07-02,Gadag,1.0,Satisfactory,63,O3
2021-07-03,Gadag,1.0,Good,15,PM2.5
2021-07-04,Gadag,1.0,Good,13,CO
2021-07-05,Gadag,1.0,Good,12,CO
