date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-04-07,Gangtok,1.0,Satisfactory,77,O3
2022-04-15,Gangtok,1.0,Satisfactory,76,O3
2022-04-20,Gangtok,1.0,Satisfactory,59,O3
2022-04-22,Gangtok,1.0,Satisfactory,77,O3
2022-04-30,Gangtok,1.0,Satisfactory,57,O3
2022-05-01,Gangtok,1.0,Satisfactory,64,O3
2022-05-02,Gangtok,1.0,Good,49,O3
2022-05-12,Gangtok,1.0,Satisfactory,71,PM2.5
2022-05-13,Gangtok,1.0,Good,30,O3
2022-05-14,Gangtok,1.0,Good,35,O3
2022-05-15,Gangtok,1.0,Good,40,PM10
2022-05-16,Gangtok,1.0,Good,34,PM10
2022-05-17,Gangtok,1.0,Good,41,O3
2022-05-18,Gangtok,1.0,Good,46,O3
2022-05-19,Gangtok,1.0,Good,35,O3
2022-05-21,Gangtok,1.0,Good,37,O3
2022-05-24,Gangtok,1.0,Good,40,O3
2022-05-25,Gangtok,1.0,Good,45,PM10
2022-05-26,Gangtok,1.0,Good,24,O3
2022-05-27,Gangtok,1.0,Good,31,O3
2022-05-28,Gangtok,1.0,Good,41,O3
2022-05-29,Gangtok,1.0,Good,39,O3
2022-05-30,Gangtok,1.0,Good,26,PM10
2022-06-02,Gangtok,1.0,Good,23,O3
2022-06-03,Gangtok,1.0,Good,29,O3
2022-06-04,Gangtok,1.0,Good,27,PM10
2022-06-05,Gangtok,1.0,Good,26,O3
2022-06-06,Gangtok,1.0,Good,36,O3
2022-06-08,Gangtok,1.0,Good,22,PM10
2022-06-09,Gangtok,1.0,Good,27,PM10
2022-06-13,Gangtok,1.0,Good,44,O3
2022-06-14,Gangtok,1.0,Good,26,PM10
2022-06-15,Gangtok,1.0,Good,26,O3
2022-06-17,Gangtok,1.0,Good,22,CO
2022-06-19,Gangtok,1.0,Good,19,O3
2022-06-21,Gangtok,1.0,Good,27,O3
2022-06-24,Gangtok,1.0,Good,41,O3
2022-06-25,Gangtok,1.0,Good,22,O3
2022-06-26,Gangtok,1.0,Good,18,O3
2022-06-27,Gangtok,1.0,Good,18,O3
2022-06-28,Gangtok,1.0,Good,15,O3
2022-07-08,Gangtok,1.0,Good,16,O3
2022-07-12,Gangtok,1.0,Good,13,O3
2022-07-14,Gangtok,1.0,Good,13,O3
2022-07-15,Gangtok,1.0,Good,16,O3
2022-07-16,Gangtok,1.0,Good,16,O3
2022-07-17,Gangtok,1.0,Good,20,O3
2022-07-18,Gangtok,1.0,Good,18,O3
2022-07-19,Gangtok,1.0,Good,15,O3
2022-07-20,Gangtok,1.0,Good,13,O3
2022-07-21,Gangtok,1.0,Good,14,O3
