date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-07-01,Gorakhpur,1.0,Satisfactory,57,PM10
2021-07-02,Gorakhpur,1.0,Good,43,PM10
2021-07-04,Gorakhpur,1.0,Good,35,O3
2021-07-05,Gorakhpur,1.0,Good,41,O3
2021-07-06,Gorakhpur,1.0,Good,50,O3
2021-07-07,Gorakhpur,1.0,Good,48,O3
2021-07-08,Gorakhpur,1.0,Good,34,PM10
2021-07-09,Gorakhpur,1.0,Good,21,PM2.5
2021-07-10,Gorakhpur,1.0,Good,23,PM2.5
2021-07-11,Gorakhpur,1.0,Good,25,PM2.5
2021-07-13,Gorakhpur,1.0,Good,22,PM10
2021-07-14,Gorakhpur,1.0,Good,22,PM10
2021-07-15,Gorakhpur,1.0,Good,26,PM10
2021-07-16,Gorakhpur,1.0,Good,30,PM10
2021-07-17,Gorakhpur,1.0,Good,31,PM10
2021-07-18,Gorakhpur,1.0,Good,18,CO
2021-07-19,Gorakhpur,1.0,Good,21,CO
2021-07-20,Gorakhpur,1.0,Good,18,CO
2021-07-21,Gorakhpur,1.0,Good,18,CO
2021-07-22,Gorakhpur,1.0,Good,19,PM2.5
2021-07-23,Gorakhpur,1.0,Good,21,PM2.5
2021-07-24,Gorakhpur,1.0,Good,12,CO
2021-07-25,Gorakhpur,1.0,Good,18,PM10
2021-07-26,Gorakhpur,1.0,Good,45,PM2.5
2021-07-27,Gorakhpur,1.0,Good,25,PM2.5
2021-07-28,Gorakhpur,1.0,Good,22,CO
2021-07-29,Gorakhpur,1.0,Good,21,CO
2021-07-30,Gorakhpur,1.0,Good,16,CO
2021-07-31,Gorakhpur,1.0,Good,12,CO
2021-08-01,Gorakhpur,1.0,Good,15,CO
2021-08-02,Gorakhpur,1.0,Good,17,CO
2021-08-03,Gorakhpur,1.0,Good,18,CO
2021-08-04,Gorakhpur,1.0,Good,21,PM10
2021-08-05,Gorakhpur,1.0,Good,19,CO
2021-08-06,Gorakhpur,1.0,Good,20,CO
2021-08-07,Gorakhpur,1.0,Good,21,O3
2021-08-08,Gorakhpur,1.0,Good,22,CO
2021-08-09,Gorakhpur,1.0,Good,19,CO
2021-08-10,Gorakhpur,1.0,Good,17,CO
2021-08-11,Gorakhpur,1.0,Good,22,CO
2021-08-12,Gorakhpur,1.0,Good,22,CO
2021-08-13,Gorakhpur,1.0,Good,19,CO
2021-08-14,Gorakhpur,1.0,Good,21,CO
2021-08-15,Gorakhpur,1.0,Good,38,PM2.5
2021-08-16,Gorakhpur,1.0,Good,29,PM2.5
2021-08-17,Gorakhpur,1.0,Good,30,PM10
2021-08-18,Gorakhpur,1.0,Good,38,PM2.5
2021-08-19,Gorakhpur,1.0,Good,17,PM10
2021-08-20,Gorakhpur,1.0,Good,21,PM2.5
2021-08-21,Gorakhpur,1.0,Good,13,CO
2021-08-22,Gorakhpur,1.0,Good,21,PM2.5
2021-08-23,Gorakhpur,1.0,Good,23,CO
2021-08-24,Gorakhpur,1.0,Good,25,CO
2021-08-25,Gorakhpur,1.0,Good,27,CO
2021-08-26,Gorakhpur,1.0,Good,20,PM10
2021-08-27,Gorakhpur,1.0,Good,32,PM10
2021-08-28,Gorakhpur,1.0,Good,27,PM10
2021-08-29,Gorakhpur,1.0,Good,16,CO
2021-08-31,Gorakhpur,1.0,Good,18,CO
2021-09-01,Gorakhpur,1.0,Good,29,PM2.5
2021-09-02,Gorakhpur,1.0,Good,39,PM10
2021-09-03,Gorakhpur,1.0,Good,17,PM2.5
2021-09-04,Gorakhpur,1.0,Good,25,CO
2021-09-05,Gorakhpur,1.0,Good,32,PM2.5
2021-09-06,Gorakhpur,1.0,Good,39,PM2.5
2021-09-07,Gorakhpur,1.0,Good,21,PM10
2021-09-08,Gorakhpur,1.0,Good,17,CO
