date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-01-06,Gummidipoondi,1.0,Satisfactory,74,PM10
2021-01-07,Gummidipoondi,1.0,Good,47,PM10
2021-01-08,Gummidipoondi,1.0,Satisfactory,73,PM2.5
2021-01-09,Gummidipoondi,1.0,Satisfactory,79,PM10
2021-01-10,Gummidipoondi,1.0,Moderate,128,PM2.5
2021-01-25,Gummidipoondi,1.0,Moderate,168,PM2.5
2021-01-26,Gummidipoondi,1.0,Satisfactory,94,PM10
2021-01-27,Gummidipoondi,1.0,Poor,208,PM2.5
2021-01-29,Gummidipoondi,1.0,Poor,236,PM2.5
2021-01-30,Gummidipoondi,1.0,Poor,204,PM2.5
2021-01-31,Gummidipoondi,1.0,Moderate,138,PM2.5
2021-02-01,Gummidipoondi,1.0,Moderate,147,PM2.5
2021-02-02,Gummidipoondi,1.0,Moderate,142,PM2.5
2021-02-03,Gummidipoondi,1.0,Moderate,160,PM2.5
2021-02-04,Gummidipoondi,1.0,Moderate,145,PM10
2021-02-05,Gummidipoondi,1.0,Moderate,175,PM2.5
2021-02-06,Gummidipoondi,1.0,Moderate,152,PM10
2021-02-07,Gummidipoondi,1.0,Moderate,143,PM2.5
2021-02-08,Gummidipoondi,1.0,Moderate,139,PM2.5
2021-02-09,Gummidipoondi,1.0,Moderate,200,PM2.5
2021-02-10,Gummidipoondi,1.0,Poor,222,PM2.5
2021-02-11,Gummidipoondi,1.0,Moderate,172,PM2.5
2021-02-12,Gummidipoondi,1.0,Poor,204,PM2.5
2021-02-13,Gummidipoondi,1.0,Moderate,107,PM10
2021-02-14,Gummidipoondi,1.0,Satisfactory,76,PM10
2021-02-15,Gummidipoondi,1.0,Moderate,137,PM2.5
2021-02-17,Gummidipoondi,1.0,Moderate,156,PM2.5
2021-02-18,Gummidipoondi,1.0,Moderate,131,PM10
2021-02-19,Gummidipoondi,1.0,Moderate,143,PM10
2021-02-20,Gummidipoondi,1.0,Satisfactory,92,PM10
2021-03-05,Gummidipoondi,1.0,Moderate,191,PM2.5
2021-03-06,Gummidipoondi,1.0,Moderate,120,PM10
2021-03-07,Gummidipoondi,1.0,Moderate,106,PM10
2021-03-08,Gummidipoondi,1.0,Satisfactory,82,PM10
2021-03-09,Gummidipoondi,1.0,Moderate,116,PM10
2021-03-13,Gummidipoondi,1.0,Moderate,112,PM10
2021-03-14,Gummidipoondi,1.0,Moderate,106,PM10
2021-03-15,Gummidipoondi,1.0,Moderate,104,PM10
2021-03-16,Gummidipoondi,1.0,Moderate,109,PM10
2021-03-17,Gummidipoondi,1.0,Moderate,109,PM10
2021-03-18,Gummidipoondi,1.0,Moderate,121,PM10
2021-03-19,Gummidipoondi,1.0,Moderate,176,PM10
2021-03-20,Gummidipoondi,1.0,Moderate,170,PM2.5
2021-03-21,Gummidipoondi,1.0,Moderate,136,PM10
2021-03-22,Gummidipoondi,1.0,Moderate,122,PM10
2021-03-26,Gummidipoondi,1.0,Moderate,182,PM10
2021-03-27,Gummidipoondi,1.0,Moderate,140,PM10
2021-03-28,Gummidipoondi,1.0,Moderate,127,PM10
2021-03-30,Gummidipoondi,1.0,Satisfactory,78,PM10
2021-03-31,Gummidipoondi,1.0,Moderate,115,PM10
2021-04-01,Gummidipoondi,1.0,Moderate,154,PM10
2021-04-02,Gummidipoondi,1.0,Moderate,124,PM10
2021-04-03,Gummidipoondi,1.0,Moderate,150,PM10
2021-04-04,Gummidipoondi,1.0,Moderate,148,PM10
2021-04-05,Gummidipoondi,1.0,Moderate,133,PM10
2021-04-06,Gummidipoondi,1.0,Moderate,121,PM10
2021-04-07,Gummidipoondi,1.0,Moderate,110,PM10
2021-04-08,Gummidipoondi,1.0,Satisfactory,92,PM2.5
2021-04-10,Gummidipoondi,1.0,Moderate,138,PM2.5
2021-04-11,Gummidipoondi,1.0,Satisfactory,88,PM2.5
2021-04-12,Gummidipoondi,1.0,Good,42,PM2.5
2021-04-13,Gummidipoondi,1.0,Good,50,PM2.5
2021-04-14,Gummidipoondi,1.0,Good,40,PM2.5
2021-04-15,Gummidipoondi,1.0,Moderate,110,PM2.5
2021-04-16,Gummidipoondi,1.0,Good,29,PM2.5
2021-04-17,Gummidipoondi,1.0,Satisfactory,71,PM2.5
2021-04-18,Gummidipoondi,1.0,Satisfactory,72,PM2.5
2021-04-19,Gummidipoondi,1.0,Satisfactory,70,PM2.5
2021-04-20,Gummidipoondi,1.0,Moderate,169,PM2.5
2021-04-21,Gummidipoondi,1.0,Moderate,142,PM2.5
2021-04-22,Gummidipoondi,1.0,Satisfactory,81,PM2.5
2021-04-23,Gummidipoondi,1.0,Satisfactory,79,PM2.5
2021-04-24,Gummidipoondi,1.0,Satisfactory,78,PM2.5
2021-04-25,Gummidipoondi,1.0,Satisfactory,82,PM2.5
2021-04-26,Gummidipoondi,1.0,Satisfactory,81,PM2.5
2021-04-27,Gummidipoondi,1.0,Satisfactory,63,PM2.5
2021-04-28,Gummidipoondi,1.0,Moderate,120,PM10
2021-04-29,Gummidipoondi,1.0,Moderate,132,PM10
2021-05-05,Gummidipoondi,1.0,Satisfactory,67,PM10
2021-05-06,Gummidipoondi,1.0,Satisfactory,74,PM10
2021-05-07,Gummidipoondi,1.0,Satisfactory,71,PM10
2021-05-08,Gummidipoondi,1.0,Satisfactory,74,PM10
2021-05-09,Gummidipoondi,1.0,Satisfactory,68,PM10
2021-05-10,Gummidipoondi,1.0,Good,45,PM10
2021-05-11,Gummidipoondi,1.0,Good,43,PM10
2021-05-12,Gummidipoondi,1.0,Satisfactory,60,PM10
2021-05-13,Gummidipoondi,1.0,Satisfactory,65,PM10
2021-05-14,Gummidipoondi,1.0,Satisfactory,73,PM10
2021-05-15,Gummidipoondi,1.0,Satisfactory,75,PM10
2021-05-16,Gummidipoondi,1.0,Satisfactory,79,PM10
2021-05-18,Gummidipoondi,1.0,Satisfactory,69,PM10
2021-05-19,Gummidipoondi,1.0,Satisfactory,80,PM10
2021-05-20,Gummidipoondi,1.0,Satisfactory,80,PM10
2021-05-21,Gummidipoondi,1.0,Good,44,PM10
2021-05-22,Gummidipoondi,1.0,Good,40,PM10
2021-05-25,Gummidipoondi,1.0,Moderate,113,PM10
2021-05-26,Gummidipoondi,1.0,Satisfactory,81,PM10
2021-05-27,Gummidipoondi,1.0,Satisfactory,85,PM10
2021-05-28,Gummidipoondi,1.0,Satisfactory,100,PM10
2021-05-29,Gummidipoondi,1.0,Satisfactory,89,PM10
2021-05-30,Gummidipoondi,1.0,Satisfactory,84,PM10
2021-05-31,Gummidipoondi,1.0,Satisfactory,81,PM10
2021-06-01,Gummidipoondi,1.0,Moderate,109,PM10
2021-06-02,Gummidipoondi,1.0,Satisfactory,79,PM10
2021-06-03,Gummidipoondi,1.0,Satisfactory,92,PM10
2021-06-08,Gummidipoondi,1.0,Satisfactory,84,PM10
2021-06-09,Gummidipoondi,1.0,Satisfactory,92,PM10
2021-06-10,Gummidipoondi,1.0,Satisfactory,94,PM10
2021-06-11,Gummidipoondi,1.0,Satisfactory,92,PM10
2021-06-12,Gummidipoondi,1.0,Moderate,103,PM10
2021-06-13,Gummidipoondi,1.0,Satisfactory,54,PM10
2021-06-14,Gummidipoondi,1.0,Good,43,PM10
2021-06-15,Gummidipoondi,1.0,Satisfactory,60,PM10
2021-06-16,Gummidipoondi,1.0,Satisfactory,100,PM10
2021-06-17,Gummidipoondi,1.0,Satisfactory,93,PM10
2021-06-18,Gummidipoondi,1.0,Moderate,116,PM10
2021-06-19,Gummidipoondi,1.0,Moderate,141,PM10
2021-06-20,Gummidipoondi,1.0,Moderate,140,PM10
2021-06-21,Gummidipoondi,1.0,Moderate,112,PM10
2021-06-22,Gummidipoondi,1.0,Moderate,111,PM10
2021-06-23,Gummidipoondi,1.0,Moderate,133,PM10
2021-06-24,Gummidipoondi,1.0,Moderate,117,PM10
2021-06-25,Gummidipoondi,1.0,Moderate,124,PM10
2021-06-30,Gummidipoondi,1.0,Satisfactory,96,PM10
2021-07-01,Gummidipoondi,1.0,Satisfactory,84,PM10
2021-07-02,Gummidipoondi,1.0,Satisfactory,82,PM10
2021-07-03,Gummidipoondi,1.0,Satisfactory,81,PM10
2021-07-04,Gummidipoondi,1.0,Satisfactory,84,PM10
2021-07-07,Gummidipoondi,1.0,Satisfactory,81,PM10
2021-07-08,Gummidipoondi,1.0,Satisfactory,61,PM10
2021-08-20,Gummidipoondi,1.0,Satisfactory,77,PM10
2021-08-21,Gummidipoondi,1.0,Satisfactory,86,PM10
2021-08-22,Gummidipoondi,1.0,Satisfactory,91,PM10
2021-08-23,Gummidipoondi,1.0,Satisfactory,67,PM10
2021-08-24,Gummidipoondi,1.0,Moderate,176,PM2.5
2021-08-25,Gummidipoondi,1.0,Satisfactory,89,PM10
2021-08-26,Gummidipoondi,1.0,Satisfactory,79,PM10
2021-08-27,Gummidipoondi,1.0,Satisfactory,65,PM10
2021-08-28,Gummidipoondi,1.0,Good,46,PM10
2021-08-29,Gummidipoondi,1.0,Good,47,PM10
2021-08-30,Gummidipoondi,1.0,Satisfactory,62,PM10
2021-08-31,Gummidipoondi,1.0,Moderate,101,PM2.5
2021-09-01,Gummidipoondi,1.0,Moderate,116,PM10
2021-09-02,Gummidipoondi,1.0,Satisfactory,98,PM10
2021-09-03,Gummidipoondi,1.0,Satisfactory,76,PM10
2021-09-04,Gummidipoondi,1.0,Satisfactory,73,PM10
2021-09-05,Gummidipoondi,1.0,Good,47,PM10
2021-09-06,Gummidipoondi,1.0,Satisfactory,56,PM10
2021-09-07,Gummidipoondi,1.0,Satisfactory,61,PM10
2021-09-08,Gummidipoondi,1.0,Satisfactory,63,PM10
2021-09-09,Gummidipoondi,1.0,Satisfactory,95,PM10
2021-09-11,Gummidipoondi,1.0,Satisfactory,82,PM10
2021-09-12,Gummidipoondi,1.0,Satisfactory,63,PM10
2021-09-13,Gummidipoondi,1.0,Satisfactory,66,PM10
2021-09-14,Gummidipoondi,1.0,Satisfactory,78,PM10
2021-09-15,Gummidipoondi,1.0,Moderate,118,PM10
2021-09-16,Gummidipoondi,1.0,Satisfactory,98,PM10
2021-09-17,Gummidipoondi,1.0,Satisfactory,92,PM10
2021-09-18,Gummidipoondi,1.0,Satisfactory,73,PM10
2021-09-22,Gummidipoondi,1.0,Satisfactory,94,PM2.5
2021-09-23,Gummidipoondi,1.0,Satisfactory,87,PM10
2021-09-24,Gummidipoondi,1.0,Satisfactory,94,PM10
2021-09-25,Gummidipoondi,1.0,Satisfactory,90,PM10
2021-09-26,Gummidipoondi,1.0,Satisfactory,68,PM10
2021-09-27,Gummidipoondi,1.0,Satisfactory,58,PM10
2021-09-28,Gummidipoondi,1.0,Satisfactory,100,PM2.5
2021-09-29,Gummidipoondi,1.0,Moderate,104,PM10
2021-09-30,Gummidipoondi,1.0,Satisfactory,98,PM10
2021-10-01,Gummidipoondi,1.0,Satisfactory,77,PM10
2021-10-02,Gummidipoondi,1.0,Good,48,PM10
2021-10-03,Gummidipoondi,1.0,Good,38,PM10
2021-10-04,Gummidipoondi,1.0,Satisfactory,62,PM10
2021-10-05,Gummidipoondi,1.0,Good,49,PM10
2021-10-06,Gummidipoondi,1.0,Satisfactory,54,PM10
2021-10-07,Gummidipoondi,1.0,Moderate,117,PM2.5
2021-10-08,Gummidipoondi,1.0,Satisfactory,87,PM10
2021-10-09,Gummidipoondi,1.0,Satisfactory,53,PM10
2021-10-10,Gummidipoondi,1.0,Satisfactory,73,PM10
2021-10-11,Gummidipoondi,1.0,Satisfactory,80,PM2.5
2021-10-12,Gummidipoondi,1.0,Satisfactory,69,PM10
2021-10-13,Gummidipoondi,1.0,Satisfactory,67,PM10
2021-10-14,Gummidipoondi,1.0,Satisfactory,64,PM10
2021-10-15,Gummidipoondi,1.0,Satisfactory,65,PM10
2021-10-16,Gummidipoondi,1.0,Satisfactory,85,PM2.5
2021-10-17,Gummidipoondi,1.0,Satisfactory,80,PM10
2021-10-18,Gummidipoondi,1.0,Satisfactory,78,PM10
2021-10-19,Gummidipoondi,1.0,Moderate,121,PM10
2021-10-20,Gummidipoondi,1.0,Moderate,128,PM10
2021-10-21,Gummidipoondi,1.0,Moderate,173,PM2.5
2021-10-22,Gummidipoondi,1.0,Moderate,107,PM10
2021-10-23,Gummidipoondi,1.0,Moderate,102,PM10
2021-10-24,Gummidipoondi,1.0,Satisfactory,90,PM10
2021-10-25,Gummidipoondi,1.0,Satisfactory,77,PM2.5
2021-10-26,Gummidipoondi,1.0,Moderate,109,PM10
2021-10-27,Gummidipoondi,1.0,Moderate,121,PM10
2021-11-02,Gummidipoondi,1.0,Satisfactory,60,PM2.5
2021-11-03,Gummidipoondi,1.0,Good,46,PM10
2021-12-31,Gummidipoondi,1.0,Good,45,PM10
2022-01-01,Gummidipoondi,1.0,Good,30,PM10
2022-01-06,Gummidipoondi,1.0,Good,36,PM10
2022-01-07,Gummidipoondi,1.0,Good,34,PM10
2022-01-08,Gummidipoondi,1.0,Good,30,PM10
2022-01-09,Gummidipoondi,1.0,Good,22,PM10
2022-01-10,Gummidipoondi,1.0,Good,35,PM10
2022-01-11,Gummidipoondi,1.0,Good,33,PM10
2022-01-12,Gummidipoondi,1.0,Good,30,PM10
2022-01-13,Gummidipoondi,1.0,Good,41,PM10
2022-01-14,Gummidipoondi,1.0,Good,32,PM10
2022-01-18,Gummidipoondi,1.0,Good,36,PM10
2022-01-19,Gummidipoondi,1.0,Good,46,PM10
2022-01-20,Gummidipoondi,1.0,Good,43,PM10
2022-01-21,Gummidipoondi,1.0,Good,48,PM10
2022-01-22,Gummidipoondi,1.0,Good,50,PM10
2022-01-30,Gummidipoondi,1.0,Satisfactory,71,PM2.5
