date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-02-19,Guwahati,1.0,Satisfactory,76,PM2.5
2019-02-20,Guwahati,1.0,Moderate,130,PM2.5
2019-02-21,Guwahati,1.0,Moderate,103,PM2.5
2019-02-22,Guwahati,1.0,Poor,278,PM2.5
2019-02-23,Guwahati,1.0,Very Poor,302,PM2.5
2019-02-24,Guwahati,1.0,Moderate,168,PM2.5
2019-02-26,Guwahati,1.0,Poor,224,PM2.5
2019-02-27,Guwahati,1.0,Moderate,134,PM2.5
2019-02-28,Guwahati,1.0,Moderate,113,PM2.5
2019-03-01,Guwahati,1.0,Moderate,113,PM2.5
2019-03-02,Guwahati,1.0,Moderate,191,PM2.5
2019-03-03,Guwahati,1.0,Poor,204,PM2.5
2019-03-04,Guwahati,1.0,Poor,240,PM2.5
2019-03-05,Guwahati,1.0,Moderate,104,PM2.5
2019-03-06,Guwahati,1.0,Moderate,147,PM2.5
2019-03-07,Guwahati,1.0,Satisfactory,98,PM2.5
2019-03-08,Guwahati,1.0,Poor,221,PM2.5
2019-03-09,Guwahati,1.0,Poor,224,PM2.5
2019-03-10,Guwahati,1.0,Poor,274,PM2.5
2019-03-11,Guwahati,1.0,Poor,217,PM2.5
2019-03-12,Guwahati,1.0,Poor,298,PM2.5
2019-03-13,Guwahati,1.0,Moderate,178,PM2.5
2019-03-14,Guwahati,1.0,Poor,282,PM2.5
2019-03-15,Guwahati,1.0,Poor,295,PM2.5
2019-03-16,Guwahati,1.0,Poor,244,PM2.5
2019-03-17,Guwahati,1.0,Poor,214,PM2.5
2019-03-18,Guwahati,1.0,Poor,272,PM2.5
2019-03-19,Guwahati,1.0,Poor,225,PM2.5
2019-03-20,Guwahati,1.0,Moderate,108,PM2.5
2019-03-21,Guwahati,1.0,Moderate,148,PM2.5
2019-03-22,Guwahati,1.0,Moderate,165,PM10
2019-03-23,Guwahati,1.0,Moderate,151,PM10
2019-03-24,Guwahati,1.0,Moderate,127,PM2.5
2019-03-25,Guwahati,1.0,Poor,252,PM2.5
2019-03-26,Guwahati,1.0,Poor,269,PM2.5
2019-03-27,Guwahati,1.0,Moderate,117,PM2.5
2019-03-28,Guwahati,1.0,Moderate,118,PM2.5
2019-03-29,Guwahati,1.0,Poor,214,PM2.5
2019-03-30,Guwahati,1.0,Poor,268,PM2.5
2019-03-31,Guwahati,1.0,Moderate,176,PM2.5
2019-04-01,Guwahati,1.0,Satisfactory,51,OZONE
2019-04-02,Guwahati,1.0,Moderate,122,PM2.5
2019-04-03,Guwahati,1.0,Satisfactory,87,OZONE
2019-04-04,Guwahati,1.0,Moderate,107,PM10
2019-04-05,Guwahati,1.0,Satisfactory,54,OZONE
2019-04-06,Guwahati,1.0,Satisfactory,78,PM2.5
2019-04-07,Guwahati,1.0,Moderate,121,PM2.5
2019-04-08,Guwahati,1.0,Satisfactory,54,OZONE
2019-04-09,Guwahati,1.0,Good,44,PM2.5
2019-04-10,Guwahati,1.0,Satisfactory,63,OZONE
2019-04-11,Guwahati,1.0,Moderate,114,PM2.5
2019-04-12,Guwahati,1.0,Moderate,172,PM2.5
2019-04-13,Guwahati,1.0,Moderate,193,PM2.5
2019-04-14,Guwahati,1.0,Moderate,137,PM2.5
2019-04-15,Guwahati,1.0,Satisfactory,70,PM2.5
2019-04-16,Guwahati,1.0,Satisfactory,100,PM2.5
2019-04-17,Guwahati,1.0,Satisfactory,75,OZONE
2019-04-18,Guwahati,1.0,Moderate,134,PM2.5
2019-04-19,Guwahati,1.0,Moderate,106,PM10
2019-04-20,Guwahati,1.0,Moderate,106,PM2.5
2019-04-21,Guwahati,1.0,Satisfactory,63,OZONE
2019-04-22,Guwahati,1.0,Satisfactory,75,PM2.5
2019-04-23,Guwahati,1.0,Satisfactory,89,PM2.5
2019-04-24,Guwahati,1.0,Moderate,126,PM2.5
2019-04-25,Guwahati,1.0,Poor,209,PM2.5
2019-04-26,Guwahati,1.0,Poor,210,PM2.5
2019-04-27,Guwahati,1.0,Moderate,120,PM2.5
2019-04-28,Guwahati,1.0,Satisfactory,63,PM2.5
2019-04-29,Guwahati,1.0,Good,49,OZONE
2019-04-30,Guwahati,1.0,Good,47,OZONE
2019-05-01,Guwahati,1.0,Satisfactory,51,OZONE
2019-05-02,Guwahati,1.0,Satisfactory,61,OZONE
2019-05-07,Guwahati,1.0,Moderate,119,PM2.5
2019-05-08,Guwahati,1.0,Satisfactory,66,OZONE
2019-05-09,Guwahati,1.0,Satisfactory,65,OZONE
2019-05-10,Guwahati,1.0,Satisfactory,66,OZONE
2019-05-11,Guwahati,1.0,Satisfactory,61,OZONE
2019-05-12,Guwahati,1.0,Good,44,PM10
2019-05-13,Guwahati,1.0,Satisfactory,75,PM2.5
2019-05-14,Guwahati,1.0,Satisfactory,72,OZONE
2019-05-15,Guwahati,1.0,Satisfactory,80,OZONE
2019-05-16,Guwahati,1.0,Satisfactory,59,OZONE
2019-05-17,Guwahati,1.0,Satisfactory,69,OZONE
2019-05-18,Guwahati,1.0,Satisfactory,66,OZONE
2019-05-19,Guwahati,1.0,Good,49,PM2.5
2019-05-20,Guwahati,1.0,Satisfactory,100,PM2.5
2019-05-21,Guwahati,1.0,Satisfactory,61,OZONE
2019-05-22,Guwahati,1.0,Satisfactory,53,PM2.5
2019-05-23,Guwahati,1.0,Satisfactory,56,OZONE
2019-05-24,Guwahati,1.0,Satisfactory,67,OZONE
2019-05-25,Guwahati,1.0,Moderate,163,PM10
2019-05-26,Guwahati,1.0,Very Poor,379,PM10
2019-05-27,Guwahati,1.0,Satisfactory,72,PM2.5
2019-05-28,Guwahati,1.0,Good,49,OZONE
2019-05-29,Guwahati,1.0,Satisfactory,58,PM10
2019-05-30,Guwahati,1.0,Moderate,103,PM2.5
2019-05-31,Guwahati,1.0,Satisfactory,74,OZONE
2019-06-01,Guwahati,1.0,Satisfactory,57,OZONE
