date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-03-27,Hassan,1.0,Moderate,144,PM10
2021-03-28,Hassan,1.0,Moderate,172,PM10
2021-03-29,Hassan,1.0,Moderate,129,PM10
2021-03-30,Hassan,1.0,Moderate,130,PM10
2021-03-31,Hassan,1.0,Moderate,132,PM10
2021-04-01,Hassan,1.0,Moderate,137,PM10
2021-04-02,Hassan,1.0,Moderate,102,PM10
2021-04-03,Hassan,1.0,Moderate,150,PM10
2021-04-04,Hassan,1.0,Moderate,151,PM10
2021-04-05,Hassan,1.0,Moderate,127,PM10
2021-04-06,Hassan,1.0,Moderate,135,PM10
2021-04-07,Hassan,1.0,Moderate,132,PM10
2021-04-08,Hassan,1.0,Moderate,130,PM10
2021-04-09,Hassan,1.0,Moderate,116,PM10
2021-04-10,Hassan,1.0,Moderate,114,PM10
2021-04-11,Hassan,1.0,Moderate,119,PM10
2021-04-12,Hassan,1.0,Satisfactory,96,PM10
2021-04-13,Hassan,1.0,Satisfactory,88,PM10
2021-04-14,Hassan,1.0,Satisfactory,60,PM10
2021-04-15,Hassan,1.0,Satisfactory,58,PM10
2021-04-16,Hassan,1.0,Satisfactory,77,PM10
2021-04-17,Hassan,1.0,Satisfactory,86,PM10
2021-04-18,Hassan,1.0,Moderate,108,PM10
2021-04-19,Hassan,1.0,Satisfactory,91,PM10
2021-04-20,Hassan,1.0,Satisfactory,69,PM10
2021-04-21,Hassan,1.0,Satisfactory,99,PM10
2021-04-22,Hassan,1.0,Satisfactory,77,PM10
2021-04-23,Hassan,1.0,Satisfactory,79,PM10
2021-04-24,Hassan,1.0,Satisfactory,75,CO
2021-04-25,Hassan,1.0,Satisfactory,71,PM10
2021-04-26,Hassan,1.0,Satisfactory,86,PM10
2021-04-27,Hassan,1.0,Satisfactory,93,PM10
2021-04-28,Hassan,1.0,Satisfactory,98,PM10
2021-04-29,Hassan,1.0,Moderate,103,PM10
2021-04-30,Hassan,1.0,Satisfactory,81,PM10
2021-05-01,Hassan,1.0,Satisfactory,95,PM10
2021-05-02,Hassan,1.0,Satisfactory,96,PM10
2021-05-03,Hassan,1.0,Satisfactory,73,PM10
2021-05-04,Hassan,1.0,Satisfactory,87,PM10
2021-05-05,Hassan,1.0,Satisfactory,86,PM10
2021-05-06,Hassan,1.0,Satisfactory,80,CO
