date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-04-12,Haveri,1.0,Satisfactory,97,CO
2022-04-14,Haveri,1.0,Satisfactory,87,CO
2022-04-15,Haveri,1.0,Satisfactory,85,CO
2022-04-16,Haveri,1.0,Satisfactory,90,CO
2022-04-17,Haveri,1.0,Moderate,103,CO
2022-04-19,Haveri,1.0,Satisfactory,80,CO
2022-04-20,Haveri,1.0,Satisfactory,90,CO
2022-04-21,Haveri,1.0,Satisfactory,94,CO
2022-04-22,Haveri,1.0,Satisfactory,100,CO
2022-04-23,Haveri,1.0,Satisfactory,98,CO
2022-04-24,Haveri,1.0,Satisfactory,93,CO
2022-04-25,Haveri,1.0,Moderate,101,CO
2022-04-26,Haveri,1.0,Satisfactory,100,CO
2022-04-27,Haveri,1.0,Satisfactory,68,CO
2022-04-28,Haveri,1.0,Satisfactory,73,PM10
2022-04-30,Haveri,1.0,Good,47,PM2.5
2022-05-01,Haveri,1.0,Good,50,PM10
2022-05-02,Haveri,1.0,Good,46,PM10
2022-05-03,Haveri,1.0,Good,46,PM10
2022-05-04,Haveri,1.0,Satisfactory,58,PM10
2022-05-05,Haveri,1.0,Satisfactory,57,PM10
2022-05-06,Haveri,1.0,Satisfactory,59,PM10
2022-05-07,Haveri,1.0,Satisfactory,69,PM10
2022-05-09,Haveri,1.0,Satisfactory,81,PM10
2022-05-10,Haveri,1.0,Satisfactory,89,PM10
2022-05-11,Haveri,1.0,Satisfactory,74,PM10
2022-05-12,Haveri,1.0,Good,45,PM10
2022-05-13,Haveri,1.0,Satisfactory,60,PM10
2022-05-14,Haveri,1.0,Satisfactory,90,PM10
2022-05-15,Haveri,1.0,Satisfactory,98,PM10
2022-05-16,Haveri,1.0,Satisfactory,86,PM10
2022-05-17,Haveri,1.0,Satisfactory,52,CO
2022-05-18,Haveri,1.0,Satisfactory,53,CO
2022-05-19,Haveri,1.0,Moderate,133,CO
2022-06-29,Haveri,1.0,Good,19,PM10
2022-06-30,Haveri,1.0,Good,15,CO
2022-07-01,Haveri,1.0,Good,34,CO
2022-07-02,Haveri,1.0,Good,35,CO
2022-07-03,Haveri,1.0,Good,42,CO
