date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-08-10,Hosur,1.0,Good,48,CO
2022-08-11,Hosur,1.0,Good,39,PM10
2022-08-13,Hosur,1.0,Good,44,PM10
2022-08-14,Hosur,1.0,Good,36,PM10
2022-08-15,Hosur,1.0,Satisfactory,62,CO
2022-08-16,Hosur,1.0,Satisfactory,52,PM10
2022-08-17,Hosur,1.0,Satisfactory,73,PM10
2022-08-18,Hosur,1.0,Satisfactory,61,PM10
2022-08-21,Hosur,1.0,Good,46,PM10
2022-08-22,Hosur,1.0,Satisfactory,67,CO
2022-08-24,Hosur,1.0,Satisfactory,74,CO
2022-09-07,Hosur,1.0,Satisfactory,84,CO
2022-09-08,Hosur,1.0,Satisfactory,99,CO
2022-09-10,Hosur,1.0,Satisfactory,94,CO
2022-09-11,Hosur,1.0,Satisfactory,97,CO
2022-09-12,Hosur,1.0,Satisfactory,57,CO
2022-09-13,Hosur,1.0,Good,47,CO
2022-09-14,Hosur,1.0,Satisfactory,55,CO
2022-09-15,Hosur,1.0,Satisfactory,52,CO
2022-09-18,Hosur,1.0,Satisfactory,97,CO
2022-09-19,Hosur,1.0,Satisfactory,66,CO
2022-09-21,Hosur,1.0,Satisfactory,82,CO
2022-09-22,Hosur,1.0,Satisfactory,75,CO
2022-09-23,Hosur,1.0,Satisfactory,89,CO
2022-09-24,Hosur,1.0,Satisfactory,100,CO
2022-09-25,Hosur,1.0,Satisfactory,93,CO
2022-09-26,Hosur,1.0,Satisfactory,89,CO
2022-09-27,Hosur,1.0,Satisfactory,70,PM10
2022-09-29,Hosur,1.0,Satisfactory,91,CO
2022-09-30,Hosur,1.0,Satisfactory,97,CO
2022-10-01,Hosur,1.0,Moderate,104,CO
2022-10-07,Hosur,1.0,Good,47,PM10
2022-10-08,Hosur,1.0,Moderate,119,PM10
2022-10-09,Hosur,1.0,Satisfactory,75,CO
2022-10-10,Hosur,1.0,Satisfactory,99,CO
2022-10-11,Hosur,1.0,Satisfactory,88,CO
2022-10-12,Hosur,1.0,Satisfactory,73,CO
2022-10-13,Hosur,1.0,Satisfactory,58,CO
2022-10-14,Hosur,1.0,Satisfactory,58,PM10
2022-10-15,Hosur,1.0,Satisfactory,73,CO
2022-10-18,Hosur,1.0,Satisfactory,95,CO
2022-10-19,Hosur,1.0,Satisfactory,88,CO
2022-10-20,Hosur,1.0,Satisfactory,87,CO
2022-10-21,Hosur,1.0,Good,37,PM10
2022-10-23,Hosur,1.0,Satisfactory,100,PM2.5
2022-10-24,Hosur,1.0,Satisfactory,92,PM10
2022-10-25,Hosur,1.0,Poor,232,PM2.5
2022-10-26,Hosur,1.0,Moderate,168,PM2.5
2022-10-27,Hosur,1.0,Moderate,114,PM2.5
2022-10-28,Hosur,1.0,Satisfactory,75,PM10
2022-11-01,Hosur,1.0,Satisfactory,89,PM10
2022-11-08,Hosur,1.0,Satisfactory,98,CO
2022-11-09,Hosur,1.0,Satisfactory,89,CO
2022-11-10,Hosur,1.0,Satisfactory,88,PM10
2022-11-11,Hosur,1.0,Satisfactory,75,CO
2022-11-12,Hosur,1.0,Satisfactory,89,CO
2022-11-13,Hosur,1.0,Satisfactory,85,CO
2022-11-14,Hosur,1.0,Satisfactory,66,CO
2022-11-15,Hosur,1.0,Satisfactory,79,CO
2022-11-16,Hosur,1.0,Satisfactory,87,PM10
2022-11-17,Hosur,1.0,Satisfactory,96,PM10
2022-11-18,Hosur,1.0,Moderate,105,PM2.5
2022-11-22,Hosur,1.0,Satisfactory,92,PM10
2022-11-23,Hosur,1.0,Satisfactory,69,PM10
2022-11-24,Hosur,1.0,Satisfactory,71,CO
2022-11-25,Hosur,1.0,Satisfactory,75,PM10
2022-11-26,Hosur,1.0,Satisfactory,94,CO
2022-11-29,Hosur,1.0,Moderate,123,PM2.5
2022-12-01,Hosur,1.0,Moderate,101,PM10
2022-12-02,Hosur,1.0,Satisfactory,89,CO
2022-12-03,Hosur,1.0,Satisfactory,74,CO
2022-12-04,Hosur,1.0,Moderate,119,CO
2022-12-05,Hosur,1.0,Satisfactory,91,CO
2022-12-07,Hosur,1.0,Moderate,131,PM2.5
2022-12-08,Hosur,1.0,Moderate,195,PM2.5
2022-12-09,Hosur,1.0,Moderate,124,PM2.5
2022-12-10,Hosur,1.0,Moderate,103,CO
2022-12-11,Hosur,1.0,Moderate,104,CO
2022-12-12,Hosur,1.0,Moderate,104,CO
2022-12-13,Hosur,1.0,Moderate,111,CO
2022-12-14,Hosur,1.0,Satisfactory,99,CO
2022-12-15,Hosur,1.0,Satisfactory,76,PM10
2022-12-16,Hosur,1.0,Satisfactory,97,PM2.5
2022-12-17,Hosur,1.0,Moderate,114,CO
2022-12-18,Hosur,1.0,Moderate,107,CO
2022-12-19,Hosur,1.0,Moderate,104,PM10
2022-12-20,Hosur,1.0,Moderate,101,PM10
2022-12-21,Hosur,1.0,Satisfactory,86,PM10
2022-12-24,Hosur,1.0,Moderate,120,PM2.5
2022-12-25,Hosur,1.0,Moderate,196,O3
2022-12-26,Hosur,1.0,Satisfactory,82,CO
2022-12-27,Hosur,1.0,Satisfactory,98,CO
2022-12-29,Hosur,1.0,Satisfactory,86,CO
2022-12-30,Hosur,1.0,Moderate,103,PM2.5
2022-12-31,Hosur,1.0,Moderate,119,PM2.5
2023-01-01,Hosur,1.0,Moderate,131,PM2.5
2023-01-02,Hosur,1.0,Satisfactory,86,PM10
2023-01-03,Hosur,1.0,Satisfactory,98,CO
2023-01-05,Hosur,1.0,Satisfactory,98,CO
2023-01-07,Hosur,1.0,Moderate,116,CO
2023-01-10,Hosur,1.0,Moderate,105,CO
2023-01-12,Hosur,1.0,Moderate,189,O3
2023-01-14,Hosur,1.0,Moderate,138,PM2.5
2023-01-15,Hosur,1.0,Moderate,104,CO
2023-01-16,Hosur,1.0,Satisfactory,100,CO
2023-01-17,Hosur,1.0,Satisfactory,93,CO
2023-01-18,Hosur,1.0,Moderate,105,CO
2023-01-23,Hosur,1.0,Moderate,119,CO
2023-01-24,Hosur,1.0,Moderate,130,CO
2023-01-25,Hosur,1.0,Moderate,115,O3
2023-01-26,Hosur,1.0,Moderate,121,CO
2023-01-27,Hosur,1.0,Moderate,130,CO
