date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2018-09-21,Hubballi,1.0,Satisfactory,79,PM10
2018-09-23,Hubballi,1.0,Satisfactory,79,PM10
2018-09-24,Hubballi,1.0,Satisfactory,82,PM10
2018-09-25,Hubballi,1.0,Satisfactory,87,PM10
2018-09-26,Hubballi,1.0,Satisfactory,57,PM10
2018-09-27,Hubballi,1.0,Satisfactory,64,PM10
2018-09-28,Hubballi,1.0,Satisfactory,82,PM10
2018-09-30,Hubballi,1.0,Satisfactory,79,PM10
2018-10-01,Hubballi,1.0,Satisfactory,75,PM10
2018-10-02,Hubballi,1.0,Satisfactory,71,PM10
2018-10-03,Hubballi,1.0,Satisfactory,82,PM10
2018-10-04,Hubballi,1.0,Satisfactory,78,PM10
2018-10-05,Hubballi,1.0,Satisfactory,71,PM10
2018-10-06,Hubballi,1.0,Satisfactory,66,PM10
2018-10-07,Hubballi,1.0,Satisfactory,64,PM10
2018-10-08,Hubballi,1.0,Moderate,108,PM2.5
2018-10-09,Hubballi,1.0,Satisfactory,78,PM10
2018-10-10,Hubballi,1.0,Satisfactory,98,PM10
2018-10-11,Hubballi,1.0,Moderate,112,PM10
2018-10-12,Hubballi,1.0,Moderate,119,PM10
2018-10-13,Hubballi,1.0,Moderate,118,PM2.5
2018-10-14,Hubballi,1.0,Moderate,117,PM2.5
2018-10-15,Hubballi,1.0,Moderate,107,PM10
2018-10-16,Hubballi,1.0,Moderate,114,PM2.5
2018-10-17,Hubballi,1.0,Good,42,PM2.5
2018-10-18,Hubballi,1.0,Satisfactory,58,PM10
2018-10-19,Hubballi,1.0,Good,48,PM10
2018-10-20,Hubballi,1.0,Satisfactory,68,PM10
2018-10-21,Hubballi,1.0,Moderate,118,PM10
2018-10-22,Hubballi,1.0,Moderate,105,PM10
2018-10-23,Hubballi,1.0,Moderate,127,PM10
2018-10-24,Hubballi,1.0,Moderate,107,PM10
2018-10-25,Hubballi,1.0,Moderate,121,PM10
2018-10-26,Hubballi,1.0,Moderate,104,PM10
2018-10-28,Hubballi,1.0,Satisfactory,85,PM10
2018-10-29,Hubballi,1.0,Satisfactory,90,PM10
2018-10-30,Hubballi,1.0,Very Poor,314,PM2.5
2018-11-15,Hubballi,1.0,Moderate,114,PM10
2018-11-16,Hubballi,1.0,Satisfactory,84,PM10
2018-11-28,Hubballi,1.0,Moderate,101,PM10
2018-11-29,Hubballi,1.0,Satisfactory,86,PM10
2018-11-30,Hubballi,1.0,Satisfactory,83,PM10
2018-12-01,Hubballi,1.0,Satisfactory,92,PM10
2018-12-02,Hubballi,1.0,Satisfactory,91,PM10
2018-12-03,Hubballi,1.0,Satisfactory,70,PM10
2018-12-04,Hubballi,1.0,Satisfactory,85,PM10
2018-12-05,Hubballi,1.0,Satisfactory,77,PM10
2018-12-06,Hubballi,1.0,Satisfactory,55,PM10
2018-12-07,Hubballi,1.0,Satisfactory,98,PM10
2018-12-08,Hubballi,1.0,Satisfactory,93,PM10
2018-12-09,Hubballi,1.0,Moderate,116,PM2.5
2018-12-10,Hubballi,1.0,Moderate,112,PM2.5
2018-12-11,Hubballi,1.0,Satisfactory,95,PM10
2018-12-12,Hubballi,1.0,Moderate,125,PM10
2018-12-13,Hubballi,1.0,Moderate,103,PM10
2018-12-14,Hubballi,1.0,Moderate,115,PM10
2018-12-15,Hubballi,1.0,Moderate,110,PM2.5
2018-12-16,Hubballi,1.0,Moderate,123,PM2.5
2018-12-17,Hubballi,1.0,Moderate,130,PM2.5
2018-12-18,Hubballi,1.0,Moderate,106,PM2.5
2018-12-19,Hubballi,1.0,Good,35,PM10
2018-12-20,Hubballi,1.0,Satisfactory,57,PM10
2018-12-21,Hubballi,1.0,Satisfactory,83,PM10
2018-12-22,Hubballi,1.0,Moderate,104,PM10
2018-12-23,Hubballi,1.0,Satisfactory,89,PM10
2018-12-24,Hubballi,1.0,Satisfactory,83,PM10
2018-12-26,Hubballi,1.0,Moderate,137,PM2.5
2018-12-27,Hubballi,1.0,Moderate,127,PM2.5
2018-12-28,Hubballi,1.0,Satisfactory,97,PM10
2018-12-29,Hubballi,1.0,Satisfactory,98,PM10
2018-12-30,Hubballi,1.0,Satisfactory,97,PM10
2018-12-31,Hubballi,1.0,Satisfactory,92,PM10
2019-01-01,Hubballi,1.0,Moderate,102,PM10
2019-01-02,Hubballi,1.0,Satisfactory,93,PM10
2019-01-03,Hubballi,1.0,Satisfactory,89,PM10
2019-01-04,Hubballi,1.0,Satisfactory,88,PM10
2019-01-05,Hubballi,1.0,Moderate,101,PM10
2019-01-08,Hubballi,1.0,Moderate,108,PM10
2019-01-09,Hubballi,1.0,Moderate,125,PM2.5
2019-01-10,Hubballi,1.0,Moderate,121,PM10
2019-01-11,Hubballi,1.0,Moderate,160,PM2.5
2019-01-12,Hubballi,1.0,Moderate,176,PM2.5
2019-01-13,Hubballi,1.0,Moderate,149,PM2.5
2019-01-14,Hubballi,1.0,Moderate,124,PM10
2019-01-15,Hubballi,1.0,Satisfactory,93,PM10
2019-01-16,Hubballi,1.0,Moderate,106,PM10
2019-01-17,Hubballi,1.0,Moderate,137,PM2.5
2019-01-18,Hubballi,1.0,Moderate,111,PM10
2019-01-19,Hubballi,1.0,Moderate,102,PM10
2019-01-20,Hubballi,1.0,Satisfactory,99,PM10
2019-01-21,Hubballi,1.0,Satisfactory,96,PM10
2019-01-22,Hubballi,1.0,Moderate,125,PM2.5
2019-01-23,Hubballi,1.0,Moderate,123,PM2.5
2019-01-24,Hubballi,1.0,Moderate,103,PM10
2019-01-25,Hubballi,1.0,Moderate,118,PM10
2019-01-26,Hubballi,1.0,Moderate,116,PM10
2019-01-27,Hubballi,1.0,Moderate,129,PM2.5
2019-01-28,Hubballi,1.0,Satisfactory,83,PM2.5
2019-01-29,Hubballi,1.0,Satisfactory,65,PM10
2019-01-30,Hubballi,1.0,Satisfactory,78,PM10
2019-01-31,Hubballi,1.0,Moderate,108,PM10
2019-02-01,Hubballi,1.0,Moderate,101,PM10
2019-02-03,Hubballi,1.0,Moderate,106,PM10
2019-02-16,Hubballi,1.0,Satisfactory,86,PM10
2019-02-17,Hubballi,1.0,Moderate,107,PM10
2019-02-18,Hubballi,1.0,Moderate,116,PM2.5
