date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-04-19,Imphal,1.0,Satisfactory,71,SO2
2022-04-20,Imphal,2.0,Satisfactory,64,"PM10, SO2"
2022-04-21,Imphal,2.0,Satisfactory,65,"PM10, SO2"
2022-04-22,Imphal,2.0,Satisfactory,58,"PM10, SO2"
2022-04-23,Imphal,2.0,Satisfactory,64,"PM10, SO2"
2022-04-24,Imphal,2.0,Satisfactory,78,"PM10, SO2"
2022-04-25,Imphal,2.0,Satisfactory,88,"PM10, SO2"
2022-04-26,Imphal,2.0,Satisfactory,95,"PM10, SO2"
2022-04-27,Imphal,1.0,Satisfactory,86,PM10
2022-04-29,Imphal,1.0,Satisfactory,74,SO2
2022-04-30,Imphal,1.0,Satisfactory,82,PM10
2022-05-01,Imphal,1.0,Good,46,O3
2022-05-02,Imphal,1.0,Satisfactory,56,O3
2022-05-03,Imphal,1.0,Satisfactory,80,PM10
2022-05-05,Imphal,1.0,Satisfactory,72,SO2
2022-05-06,Imphal,1.0,Satisfactory,74,SO2
2022-05-07,Imphal,1.0,Satisfactory,76,SO2
2022-05-08,Imphal,1.0,Satisfactory,77,SO2
2022-05-09,Imphal,1.0,Satisfactory,78,SO2
2022-05-10,Imphal,1.0,Satisfactory,77,SO2
2022-05-11,Imphal,1.0,Satisfactory,76,SO2
2022-05-12,Imphal,1.0,Good,32,SO2
2022-05-13,Imphal,2.0,Satisfactory,56,"PM10, SO2"
2022-05-14,Imphal,2.0,Satisfactory,60,"PM10, SO2"
2022-05-15,Imphal,2.0,Satisfactory,58,"PM2.5, SO2"
2022-05-16,Imphal,1.0,Good,35,PM10
2022-05-17,Imphal,2.0,Satisfactory,57,"PM10, SO2"
2022-05-18,Imphal,2.0,Satisfactory,62,"PM10, SO2"
2022-05-19,Imphal,2.0,Satisfactory,62,"O3, SO2"
2022-05-20,Imphal,2.0,Satisfactory,59,"PM10, SO2"
2022-05-21,Imphal,1.0,Satisfactory,70,PM10
2022-05-22,Imphal,2.0,Satisfactory,57,SO2
2022-05-23,Imphal,2.0,Satisfactory,72,"PM10, SO2"
2022-05-24,Imphal,2.0,Satisfactory,76,"PM10, SO2"
