date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-09-23,Indore,1.0,Satisfactory,74,PM10
2019-09-24,Indore,1.0,Satisfactory,55,NO2
2019-09-25,Indore,1.0,Satisfactory,74,CO
2019-09-26,Indore,1.0,Good,49,NO2
2019-09-27,Indore,1.0,Good,48,NO2
2019-09-28,Indore,1.0,Satisfactory,51,CO
2019-09-29,Indore,1.0,Satisfactory,51,PM10
2019-09-30,Indore,1.0,Satisfactory,58,NO2
2019-10-01,Indore,1.0,Good,49,NO2
2019-10-02,Indore,1.0,Satisfactory,56,NO2
2019-10-03,Indore,1.0,Satisfactory,92,PM10
2019-10-04,Indore,1.0,Moderate,125,PM10
2019-10-05,Indore,1.0,Moderate,112,PM2.5
2019-10-06,Indore,1.0,Satisfactory,90,PM10
2019-10-07,Indore,1.0,Satisfactory,97,PM10
2019-10-08,Indore,1.0,Moderate,110,PM2.5
2019-10-09,Indore,1.0,Moderate,189,PM10
2019-10-10,Indore,1.0,Moderate,183,PM10
2019-10-11,Indore,1.0,Satisfactory,94,PM10
2019-10-12,Indore,1.0,Moderate,165,PM2.5
2019-10-13,Indore,1.0,Moderate,163,PM10
2019-10-14,Indore,1.0,Moderate,200,PM10
2019-10-15,Indore,1.0,Moderate,187,PM10
2019-10-16,Indore,1.0,Moderate,170,PM10
2019-10-17,Indore,1.0,Moderate,176,PM10
2019-10-18,Indore,1.0,Moderate,150,PM10
2019-10-19,Indore,1.0,Moderate,124,PM10
2019-10-20,Indore,1.0,Moderate,106,PM2.5
2019-10-21,Indore,1.0,Moderate,166,PM2.5
2019-10-22,Indore,1.0,Satisfactory,91,PM10
2019-10-23,Indore,1.0,Satisfactory,76,NO2
2019-10-24,Indore,1.0,Satisfactory,86,PM10
2019-10-25,Indore,1.0,Moderate,158,PM10
2019-10-26,Indore,1.0,Moderate,101,PM10
2019-10-27,Indore,1.0,Satisfactory,59,NO2
2019-10-28,Indore,1.0,Satisfactory,87,PM2.5
2019-10-29,Indore,1.0,Good,48,NO2
2019-10-30,Indore,1.0,Satisfactory,61,NO2
2019-10-31,Indore,1.0,Satisfactory,92,PM10
2019-11-01,Indore,1.0,Moderate,121,PM10
2019-11-02,Indore,1.0,Moderate,103,PM10
2019-11-03,Indore,1.0,Satisfactory,71,NO2
2019-11-04,Indore,1.0,Satisfactory,91,PM2.5
2019-11-05,Indore,1.0,Moderate,111,PM10
2019-11-06,Indore,1.0,Moderate,130,PM10
2019-11-07,Indore,1.0,Moderate,123,PM10
2019-11-08,Indore,1.0,Satisfactory,65,PM10
2019-11-09,Indore,1.0,Moderate,106,PM2.5
2019-11-10,Indore,1.0,Moderate,159,PM2.5
2019-11-11,Indore,1.0,Moderate,166,PM2.5
2019-11-12,Indore,1.0,Moderate,151,PM10
2019-11-13,Indore,1.0,Moderate,149,PM10
2019-11-14,Indore,1.0,Moderate,151,PM10
2019-11-15,Indore,1.0,Moderate,188,PM10
2019-11-16,Indore,1.0,Moderate,186,PM2.5
2019-11-17,Indore,1.0,Poor,220,PM2.5
2019-11-18,Indore,1.0,Moderate,151,PM2.5
2019-11-19,Indore,1.0,Poor,213,PM2.5
2019-11-20,Indore,1.0,Moderate,157,PM10
2019-11-21,Indore,1.0,Moderate,168,PM2.5
2019-11-22,Indore,1.0,Moderate,189,PM2.5
2019-11-23,Indore,1.0,Poor,248,PM2.5
2019-11-25,Indore,1.0,Moderate,198,PM2.5
2019-11-26,Indore,1.0,Moderate,190,PM2.5
2019-11-27,Indore,1.0,Moderate,169,PM2.5
2019-11-28,Indore,1.0,Moderate,152,PM2.5
2019-11-29,Indore,1.0,Moderate,167,PM2.5
2019-11-30,Indore,1.0,Moderate,170,PM2.5
2019-12-01,Indore,1.0,Moderate,125,PM10
2019-12-02,Indore,1.0,Moderate,200,PM2.5
2019-12-03,Indore,1.0,Poor,232,PM2.5
2019-12-04,Indore,1.0,Moderate,111,PM2.5
2019-12-05,Indore,1.0,Satisfactory,99,PM10
2019-12-06,Indore,1.0,Moderate,102,PM10
2019-12-07,Indore,1.0,Moderate,166,PM2.5
2019-12-08,Indore,1.0,Moderate,155,PM10
2019-12-09,Indore,1.0,Poor,252,PM2.5
2019-12-10,Indore,1.0,Poor,247,PM2.5
2019-12-11,Indore,1.0,Poor,259,PM2.5
2019-12-12,Indore,1.0,Moderate,196,PM2.5
2019-12-13,Indore,1.0,Moderate,127,PM10
2019-12-14,Indore,1.0,Satisfactory,98,PM10
2019-12-15,Indore,1.0,Moderate,111,PM2.5
2019-12-16,Indore,1.0,Moderate,138,PM2.5
2019-12-17,Indore,1.0,Moderate,158,PM2.5
2019-12-18,Indore,1.0,Moderate,166,PM2.5
2019-12-19,Indore,1.0,Moderate,177,PM2.5
2019-12-20,Indore,1.0,Moderate,170,PM2.5
2019-12-21,Indore,1.0,Poor,209,PM2.5
2019-12-22,Indore,1.0,Moderate,128,PM2.5
2019-12-23,Indore,1.0,Moderate,148,PM2.5
2019-12-24,Indore,1.0,Moderate,116,PM2.5
2019-12-25,Indore,1.0,Poor,216,PM2.5
2019-12-26,Indore,1.0,Poor,211,PM2.5
2019-12-27,Indore,1.0,Satisfactory,88,PM10
2019-12-28,Indore,1.0,Satisfactory,76,PM10
2019-12-29,Indore,1.0,Satisfactory,82,PM10
2019-12-30,Indore,1.0,Moderate,106,PM10
2019-12-31,Indore,1.0,Moderate,117,PM2.5
2020-01-01,Indore,1.0,Poor,231,PM2.5
2020-01-02,Indore,1.0,Poor,216,PM2.5
2020-01-03,Indore,1.0,Moderate,111,PM2.5
2020-01-04,Indore,1.0,Poor,217,PM2.5
2020-01-05,Indore,1.0,Moderate,114,PM2.5
2020-01-06,Indore,1.0,Satisfactory,92,PM10
2020-01-07,Indore,1.0,Moderate,110,PM10
2020-01-08,Indore,1.0,Moderate,171,PM2.5
2020-01-09,Indore,1.0,Moderate,150,PM2.5
2020-01-10,Indore,1.0,Satisfactory,96,PM2.5
2020-01-11,Indore,1.0,Satisfactory,84,PM10
2020-01-12,Indore,1.0,Moderate,118,PM10
2020-01-13,Indore,1.0,Moderate,141,PM10
2020-01-14,Indore,1.0,Moderate,198,PM2.5
2020-01-15,Indore,1.0,Moderate,126,PM2.5
2020-01-16,Indore,1.0,Moderate,146,PM2.5
2020-01-17,Indore,1.0,Moderate,116,PM2.5
2020-01-18,Indore,1.0,Moderate,142,PM2.5
2020-01-19,Indore,1.0,Moderate,124,PM2.5
2020-01-20,Indore,1.0,Satisfactory,95,PM2.5
2020-01-21,Indore,1.0,Moderate,124,PM10
2020-01-22,Indore,1.0,Moderate,167,PM2.5
2020-01-23,Indore,1.0,Moderate,106,PM2.5
2020-01-24,Indore,1.0,Moderate,113,NO2
2020-01-25,Indore,1.0,Moderate,141,NO2
2020-01-26,Indore,1.0,Moderate,197,PM10
2020-01-27,Indore,1.0,Moderate,129,NO2
2020-01-29,Indore,1.0,Moderate,124,PM10
2020-01-30,Indore,1.0,Satisfactory,92,PM10
2020-01-31,Indore,1.0,Satisfactory,81,PM10
2020-02-01,Indore,1.0,Satisfactory,92,PM10
2020-02-02,Indore,1.0,Satisfactory,77,PM10
2020-02-03,Indore,1.0,Satisfactory,84,PM10
2020-02-04,Indore,1.0,Moderate,112,PM10
2020-02-05,Indore,1.0,Moderate,137,PM2.5
2020-02-06,Indore,1.0,Moderate,108,PM10
2020-02-10,Indore,1.0,Satisfactory,83,PM10
2020-02-11,Indore,1.0,Moderate,125,PM2.5
2020-02-12,Indore,1.0,Moderate,115,PM10
2020-02-13,Indore,1.0,Moderate,147,PM2.5
2020-02-14,Indore,1.0,Poor,201,PM2.5
2020-02-15,Indore,1.0,Moderate,152,PM10
2020-02-16,Indore,1.0,Satisfactory,92,PM10
2020-02-17,Indore,1.0,Satisfactory,97,NO2
2020-02-18,Indore,1.0,Satisfactory,96,PM10
2020-02-19,Indore,1.0,Moderate,174,PM10
2020-02-20,Indore,1.0,Moderate,178,PM10
2020-02-21,Indore,1.0,Moderate,153,PM10
2020-02-22,Indore,1.0,Moderate,127,PM10
2020-02-23,Indore,1.0,Moderate,120,PM10
2020-02-24,Indore,1.0,Moderate,104,PM2.5
2020-02-25,Indore,1.0,Moderate,112,NO2
2020-02-26,Indore,1.0,Moderate,178,PM10
2020-02-27,Indore,1.0,Moderate,180,PM10
2020-02-28,Indore,1.0,Moderate,140,PM10
2020-02-29,Indore,1.0,Moderate,116,PM10
2020-03-01,Indore,1.0,Moderate,177,PM10
2020-03-02,Indore,1.0,Moderate,183,PM2.5
2020-03-03,Indore,1.0,Moderate,153,PM10
2020-03-04,Indore,1.0,Moderate,137,PM10
2020-03-05,Indore,1.0,Moderate,128,PM10
2020-03-06,Indore,1.0,Moderate,163,PM10
2020-03-07,Indore,1.0,Moderate,123,PM10
2020-03-08,Indore,1.0,Satisfactory,91,PM10
2020-03-09,Indore,1.0,Satisfactory,75,NO2
2020-03-10,Indore,1.0,Moderate,138,PM10
2020-03-11,Indore,1.0,Satisfactory,82,PM10
2020-03-13,Indore,1.0,Moderate,104,PM10
2020-03-14,Indore,1.0,Moderate,143,PM10
2020-03-15,Indore,1.0,Moderate,129,PM10
2020-03-16,Indore,1.0,Moderate,115,PM10
2020-03-17,Indore,1.0,Moderate,107,PM10
2020-03-18,Indore,1.0,Moderate,112,PM10
2020-03-19,Indore,1.0,Moderate,126,PM10
2020-03-20,Indore,1.0,Moderate,169,PM10
2020-03-21,Indore,1.0,Moderate,111,PM10
2020-03-22,Indore,1.0,Moderate,134,PM10
2020-03-23,Indore,1.0,Moderate,118,PM10
2020-03-24,Indore,1.0,Moderate,116,PM10
2020-03-25,Indore,1.0,Satisfactory,91,PM10
2020-03-26,Indore,1.0,Satisfactory,56,NO2
2020-03-27,Indore,1.0,Satisfactory,55,NO2
2020-03-28,Indore,1.0,Good,38,NO2
2020-03-29,Indore,1.0,Satisfactory,51,PM10
2020-03-30,Indore,1.0,Good,50,PM10
2020-03-31,Indore,1.0,Satisfactory,76,PM10
2020-04-01,Indore,1.0,Satisfactory,73,PM10
2020-04-02,Indore,1.0,Satisfactory,86,PM10
2020-04-03,Indore,1.0,Satisfactory,66,PM10
2020-04-04,Indore,1.0,Satisfactory,71,PM10
2020-04-05,Indore,1.0,Satisfactory,71,PM10
2020-04-06,Indore,1.0,Satisfactory,88,PM10
2020-04-07,Indore,1.0,Satisfactory,89,PM10
2020-04-08,Indore,1.0,Moderate,102,PM10
2020-04-09,Indore,1.0,Moderate,117,PM10
2020-04-10,Indore,1.0,Moderate,127,PM2.5
2020-04-11,Indore,1.0,Moderate,187,PM2.5
2020-04-12,Indore,1.0,Moderate,171,PM2.5
2020-04-13,Indore,1.0,Moderate,197,PM2.5
2020-04-14,Indore,1.0,Moderate,146,PM10
2020-04-15,Indore,1.0,Moderate,149,PM10
2020-04-16,Indore,1.0,Moderate,110,PM10
2020-04-17,Indore,1.0,Moderate,103,PM10
2020-04-18,Indore,1.0,Moderate,116,PM10
2020-04-19,Indore,1.0,Moderate,111,PM10
2020-04-20,Indore,1.0,Satisfactory,88,PM10
2020-04-21,Indore,1.0,Satisfactory,100,PM10
2020-04-22,Indore,1.0,Moderate,136,PM10
2020-04-23,Indore,1.0,Moderate,117,PM10
2020-04-24,Indore,1.0,Satisfactory,82,PM10
2020-04-25,Indore,1.0,Satisfactory,89,PM10
2020-04-26,Indore,1.0,Moderate,110,PM10
