date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-09-23,Jabalpur,1.0,Good,45,OZONE
2019-09-24,Jabalpur,1.0,Good,47,PM2.5
2019-09-25,Jabalpur,1.0,Good,40,CO
2019-09-27,Jabalpur,1.0,Good,35,CO
2019-09-28,Jabalpur,1.0,Good,40,CO
2019-09-29,Jabalpur,1.0,Good,34,CO
2019-09-30,Jabalpur,1.0,Satisfactory,62,PM10
2019-10-01,Jabalpur,1.0,Good,50,PM10
2019-10-02,Jabalpur,1.0,Satisfactory,52,CO
2019-10-03,Jabalpur,1.0,Satisfactory,80,PM10
2019-10-04,Jabalpur,1.0,Satisfactory,94,PM10
2019-10-05,Jabalpur,1.0,Satisfactory,97,PM10
2019-10-06,Jabalpur,1.0,Moderate,116,PM10
2019-10-07,Jabalpur,1.0,Moderate,108,PM10
2019-10-08,Jabalpur,1.0,Moderate,117,PM10
2019-10-09,Jabalpur,1.0,Moderate,125,PM10
2019-10-10,Jabalpur,1.0,Moderate,113,PM10
2019-10-11,Jabalpur,1.0,Satisfactory,99,PM10
2019-10-12,Jabalpur,1.0,Satisfactory,91,PM10
2019-10-13,Jabalpur,1.0,Moderate,101,PM10
2019-10-14,Jabalpur,1.0,Moderate,103,PM10
2019-10-15,Jabalpur,1.0,Moderate,107,PM10
2019-10-16,Jabalpur,1.0,Moderate,115,PM10
2019-10-17,Jabalpur,1.0,Moderate,114,PM10
2019-10-18,Jabalpur,1.0,Moderate,153,PM2.5
2019-10-19,Jabalpur,1.0,Satisfactory,90,PM10
2019-10-20,Jabalpur,1.0,Moderate,102,PM2.5
2019-10-21,Jabalpur,1.0,Satisfactory,75,PM2.5
2019-10-22,Jabalpur,1.0,Poor,218,PM2.5
2019-10-23,Jabalpur,1.0,Moderate,144,PM2.5
2019-10-24,Jabalpur,1.0,Moderate,103,PM10
2019-10-25,Jabalpur,1.0,Moderate,109,PM10
2019-10-26,Jabalpur,1.0,Satisfactory,68,PM10
2019-10-27,Jabalpur,1.0,Satisfactory,84,PM10
2019-10-28,Jabalpur,1.0,Moderate,164,PM2.5
2019-10-29,Jabalpur,1.0,Moderate,118,PM2.5
2019-10-30,Jabalpur,1.0,Moderate,139,PM2.5
2019-10-31,Jabalpur,1.0,Moderate,161,PM2.5
2019-11-01,Jabalpur,1.0,Poor,220,PM2.5
2019-11-02,Jabalpur,1.0,Moderate,198,PM2.5
2019-11-03,Jabalpur,1.0,Poor,245,PM2.5
2019-11-04,Jabalpur,1.0,Moderate,168,PM2.5
2019-11-05,Jabalpur,1.0,Moderate,177,PM2.5
2019-11-06,Jabalpur,1.0,Poor,224,PM2.5
2019-11-08,Jabalpur,1.0,Moderate,126,PM10
2019-11-09,Jabalpur,1.0,Very Poor,303,PM2.5
2019-11-10,Jabalpur,1.0,Poor,245,PM2.5
2019-11-11,Jabalpur,1.0,Moderate,141,PM2.5
2019-11-12,Jabalpur,1.0,Moderate,138,PM2.5
2019-11-13,Jabalpur,1.0,Moderate,160,PM2.5
2019-11-14,Jabalpur,1.0,Moderate,126,PM10
2019-11-15,Jabalpur,1.0,Moderate,138,PM10
2019-11-16,Jabalpur,1.0,Moderate,179,PM2.5
2019-11-17,Jabalpur,1.0,Poor,243,PM2.5
2019-11-18,Jabalpur,1.0,Poor,211,PM2.5
2019-11-19,Jabalpur,1.0,Moderate,162,PM2.5
2019-11-20,Jabalpur,1.0,Poor,244,PM2.5
2019-11-21,Jabalpur,1.0,Moderate,165,PM2.5
2019-11-22,Jabalpur,1.0,Poor,234,PM2.5
2019-11-23,Jabalpur,1.0,Poor,284,PM2.5
2019-11-24,Jabalpur,1.0,Poor,262,PM2.5
2019-11-25,Jabalpur,1.0,Poor,209,PM2.5
2019-11-26,Jabalpur,1.0,Moderate,133,PM10
2019-11-27,Jabalpur,1.0,Moderate,162,PM2.5
2019-11-28,Jabalpur,1.0,Moderate,149,PM2.5
2019-11-29,Jabalpur,1.0,Poor,201,PM2.5
2019-11-30,Jabalpur,1.0,Poor,271,PM2.5
2019-12-01,Jabalpur,1.0,Poor,225,PM2.5
2019-12-02,Jabalpur,1.0,Poor,213,PM2.5
2019-12-03,Jabalpur,1.0,Poor,292,PM2.5
2019-12-05,Jabalpur,1.0,Moderate,165,PM2.5
2019-12-06,Jabalpur,1.0,Poor,230,PM2.5
2019-12-07,Jabalpur,1.0,Poor,238,PM2.5
2019-12-08,Jabalpur,1.0,Poor,269,PM2.5
2019-12-09,Jabalpur,1.0,Poor,287,PM2.5
2019-12-10,Jabalpur,1.0,Poor,297,PM2.5
2019-12-11,Jabalpur,1.0,Poor,263,PM2.5
2019-12-12,Jabalpur,1.0,Poor,245,PM2.5
2019-12-13,Jabalpur,1.0,Moderate,113,PM2.5
2019-12-14,Jabalpur,1.0,Moderate,136,PM2.5
2019-12-15,Jabalpur,1.0,Moderate,112,PM2.5
2019-12-16,Jabalpur,1.0,Moderate,144,PM2.5
2019-12-17,Jabalpur,1.0,Moderate,186,PM2.5
2019-12-18,Jabalpur,1.0,Poor,238,PM2.5
2019-12-19,Jabalpur,1.0,Moderate,190,PM2.5
2019-12-20,Jabalpur,1.0,Poor,243,PM2.5
2019-12-21,Jabalpur,1.0,Moderate,194,PM2.5
2019-12-22,Jabalpur,1.0,Poor,231,PM2.5
2019-12-23,Jabalpur,1.0,Poor,241,PM2.5
2019-12-24,Jabalpur,1.0,Poor,230,PM2.5
2019-12-25,Jabalpur,1.0,Very Poor,317,PM2.5
2019-12-26,Jabalpur,1.0,Poor,264,PM2.5
2019-12-27,Jabalpur,1.0,Moderate,108,PM2.5
2019-12-28,Jabalpur,1.0,Moderate,155,PM2.5
2019-12-29,Jabalpur,1.0,Poor,233,PM2.5
2019-12-30,Jabalpur,1.0,Poor,265,PM2.5
2019-12-31,Jabalpur,1.0,Poor,297,PM2.5
2020-01-01,Jabalpur,1.0,Poor,254,PM2.5
2020-01-02,Jabalpur,1.0,Moderate,149,PM2.5
2020-01-03,Jabalpur,1.0,Satisfactory,77,PM2.5
2020-01-04,Jabalpur,1.0,Moderate,137,PM2.5
2020-01-05,Jabalpur,1.0,Moderate,155,PM2.5
2020-01-06,Jabalpur,1.0,Moderate,173,PM2.5
2020-01-07,Jabalpur,1.0,Moderate,144,PM10
