date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2015-11-27,Jaipur,1.0,Moderate,168,PM10
2015-11-28,Jaipur,1.0,Very Poor,306,PM2.5
2015-11-29,Jaipur,1.0,Very Poor,305,PM2.5
2015-11-30,Jaipur,1.0,Very Poor,348,PM2.5
2015-12-01,Jaipur,1.0,Very Poor,379,PM2.5
2015-12-02,Jaipur,1.0,Very Poor,381,PM2.5
2015-12-04,Jaipur,1.0,Good,41,NO2
2015-12-05,Jaipur,1.0,Very Poor,327,PM2.5
2015-12-07,Jaipur,1.0,Very Poor,333,PM2.5
2015-12-08,Jaipur,1.0,Very Poor,352,PM2.5
2015-12-09,Jaipur,1.0,Poor,286,PM2.5
2015-12-10,Jaipur,1.0,Poor,278,PM2.5
2015-12-11,Jaipur,1.0,Very Poor,311,PM2.5
2015-12-12,Jaipur,1.0,Poor,231,PM2.5
2015-12-13,Jaipur,1.0,Poor,287,PM2.5
2015-12-14,Jaipur,1.0,Poor,224,PM2.5
2015-12-15,Jaipur,1.0,Poor,264,PM2.5
2015-12-16,Jaipur,1.0,Very Poor,312,PM2.5
2015-12-24,Jaipur,1.0,Very Poor,321,PM2.5
2015-12-30,Jaipur,1.0,Very Poor,308,PM2.5
2015-12-31,Jaipur,1.0,Poor,292,PM2.5
2016-01-02,Jaipur,1.0,Very Poor,337,PM2.5
2016-01-05,Jaipur,1.0,Very Poor,335,PM2.5
2016-01-10,Jaipur,1.0,Very Poor,328,PM2.5
2016-01-14,Jaipur,1.0,Very Poor,314,PM2.5
2016-01-18,Jaipur,1.0,Very Poor,344,PM2.5
2016-01-19,Jaipur,1.0,Poor,258,PM2.5
2016-01-20,Jaipur,1.0,Very Poor,325,PM2.5
2016-01-21,Jaipur,1.0,Poor,247,PM2.5
2016-01-22,Jaipur,1.0,Poor,286,PM2.5
2016-01-23,Jaipur,1.0,Poor,256,PM2.5
2016-01-24,Jaipur,1.0,Poor,284,PM2.5
2016-01-25,Jaipur,1.0,Poor,255,PM2.5
2016-01-26,Jaipur,1.0,Poor,281,PM2.5
2016-02-02,Jaipur,1.0,Poor,222,PM2.5
2016-02-04,Jaipur,1.0,Poor,264,PM2.5
2016-02-05,Jaipur,1.0,Poor,275,PM2.5
2016-02-06,Jaipur,1.0,Moderate,161,PM2.5
2016-02-07,Jaipur,1.0,Moderate,170,PM2.5
2016-02-09,Jaipur,1.0,Poor,242,PM2.5
2016-02-10,Jaipur,1.0,Poor,286,PM2.5
2016-02-11,Jaipur,1.0,Poor,201,PM2.5
2016-02-12,Jaipur,1.0,Poor,273,PM2.5
2016-02-13,Jaipur,1.0,Poor,210,PM2.5
2016-02-14,Jaipur,1.0,Poor,218,PM2.5
2016-02-16,Jaipur,1.0,Moderate,148,PM2.5
2016-02-17,Jaipur,1.0,Moderate,171,PM2.5
2016-02-19,Jaipur,1.0,Poor,221,PM2.5
2016-02-20,Jaipur,1.0,Poor,258,PM2.5
2016-02-21,Jaipur,1.0,Moderate,166,PM2.5
2016-02-22,Jaipur,1.0,Moderate,176,PM10
2016-02-23,Jaipur,1.0,Poor,227,PM2.5
2016-02-24,Jaipur,1.0,Very Poor,301,PM2.5
2016-02-25,Jaipur,1.0,Poor,263,PM2.5
2016-02-26,Jaipur,1.0,Poor,204,PM2.5
2016-02-27,Jaipur,1.0,Moderate,194,PM10
2016-03-01,Jaipur,1.0,Moderate,166,PM10
2016-03-02,Jaipur,1.0,Poor,249,PM10
2016-03-03,Jaipur,1.0,Poor,201,PM10
2016-03-04,Jaipur,1.0,Poor,294,PM2.5
2016-03-05,Jaipur,1.0,Moderate,161,PM10
2016-03-09,Jaipur,1.0,Moderate,182,PM2.5
2016-03-10,Jaipur,1.0,Poor,209,PM10
2016-03-13,Jaipur,1.0,Moderate,136,PM2.5
2016-03-15,Jaipur,1.0,Poor,254,PM2.5
2016-03-16,Jaipur,1.0,Poor,236,PM2.5
2016-03-17,Jaipur,1.0,Poor,211,PM10
2016-03-18,Jaipur,1.0,Moderate,142,PM10
2016-03-19,Jaipur,1.0,Moderate,149,PM10
2016-03-20,Jaipur,1.0,Poor,205,PM10
2016-03-21,Jaipur,1.0,Moderate,168,PM10
2016-03-22,Jaipur,1.0,Moderate,122,PM10
2016-03-23,Jaipur,1.0,Moderate,154,PM10
2016-03-24,Jaipur,1.0,Moderate,127,PM2.5
2016-03-25,Jaipur,1.0,Moderate,134,PM10
2016-03-26,Jaipur,1.0,Moderate,143,PM10
2016-03-27,Jaipur,1.0,Moderate,127,PM10
2016-03-30,Jaipur,1.0,Poor,276,PM2.5
2016-03-31,Jaipur,1.0,Poor,222,PM2.5
2016-04-01,Jaipur,1.0,Poor,222,PM2.5
2016-04-02,Jaipur,1.0,Poor,231,PM10
2016-04-03,Jaipur,1.0,Poor,207,PM2.5
2016-04-04,Jaipur,1.0,Moderate,159,PM10
2016-04-08,Jaipur,1.0,Moderate,144,PM10
2016-04-09,Jaipur,1.0,Moderate,149,PM10
2016-04-10,Jaipur,1.0,Moderate,145,PM10
2016-04-11,Jaipur,1.0,Moderate,148,PM10
2016-04-13,Jaipur,1.0,Moderate,136,PM10
2016-04-14,Jaipur,1.0,Moderate,170,PM10
2016-04-15,Jaipur,1.0,Moderate,143,PM10
2016-04-16,Jaipur,1.0,Moderate,160,PM10
2016-04-19,Jaipur,1.0,Poor,259,PM2.5
2016-04-20,Jaipur,1.0,Moderate,199,PM2.5
2016-04-21,Jaipur,1.0,Poor,297,PM2.5
2016-04-22,Jaipur,1.0,Poor,293,PM2.5
2016-04-23,Jaipur,1.0,Severe,450,O3
2016-04-24,Jaipur,1.0,Poor,285,O3
2016-04-25,Jaipur,1.0,Very Poor,301,PM2.5
2016-04-27,Jaipur,1.0,Poor,252,PM2.5
2016-04-28,Jaipur,1.0,Very Poor,330,O3
2016-04-29,Jaipur,1.0,Severe,450,O3
2016-04-30,Jaipur,1.0,Poor,258,PM2.5
