date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-05-16,Jaisalmer,1.0,Poor,232,PM10
2023-05-17,Jaisalmer,1.0,Moderate,127,PM10
2023-05-18,Jaisalmer,1.0,Moderate,115,PM10
2023-05-19,Jaisalmer,1.0,Moderate,154,PM10
2023-05-20,Jaisalmer,1.0,Moderate,121,PM10
2023-05-21,Jaisalmer,1.0,Moderate,123,PM10
2023-05-22,Jaisalmer,1.0,Moderate,126,PM10
2023-05-23,Jaisalmer,1.0,Moderate,119,PM10
2023-05-24,Jaisalmer,1.0,Moderate,135,PM10
2023-05-25,Jaisalmer,1.0,Poor,277,PM10
2023-05-26,Jaisalmer,1.0,Moderate,176,PM10
2023-05-27,Jaisalmer,1.0,Moderate,162,PM10
2023-05-28,Jaisalmer,1.0,Moderate,112,PM10
2023-05-29,Jaisalmer,1.0,Satisfactory,90,PM10
2023-05-31,Jaisalmer,1.0,Satisfactory,91,CO
2023-06-01,Jaisalmer,1.0,Moderate,152,PM10
2023-06-03,Jaisalmer,1.0,Moderate,140,PM10
2023-06-04,Jaisalmer,1.0,Moderate,118,PM10
2023-06-05,Jaisalmer,1.0,Satisfactory,82,PM10
2023-06-06,Jaisalmer,1.0,Moderate,148,PM10
2023-06-07,Jaisalmer,1.0,Poor,244,PM10
2023-06-08,Jaisalmer,1.0,Moderate,146,PM10
2023-06-10,Jaisalmer,1.0,Poor,263,PM10
2023-06-11,Jaisalmer,1.0,Satisfactory,80,CO
2023-06-12,Jaisalmer,1.0,Satisfactory,73,PM10
2023-06-13,Jaisalmer,1.0,Satisfactory,87,PM10
2023-06-14,Jaisalmer,1.0,Satisfactory,88,PM10
2023-06-15,Jaisalmer,1.0,Moderate,105,PM10
2023-06-16,Jaisalmer,1.0,Satisfactory,68,PM10
2023-06-17,Jaisalmer,1.0,Good,37,PM10
2023-06-18,Jaisalmer,1.0,Satisfactory,63,CO
2023-06-19,Jaisalmer,1.0,Moderate,109,PM10
2023-06-20,Jaisalmer,1.0,Moderate,108,PM10
2023-06-21,Jaisalmer,1.0,Moderate,101,PM10
2023-06-22,Jaisalmer,1.0,Satisfactory,86,PM10
2023-06-23,Jaisalmer,1.0,Satisfactory,85,PM10
2023-06-24,Jaisalmer,1.0,Satisfactory,84,PM10
2023-06-25,Jaisalmer,1.0,Satisfactory,71,PM10
2023-06-26,Jaisalmer,1.0,Satisfactory,70,PM10
2023-06-27,Jaisalmer,1.0,Satisfactory,82,PM10
2023-06-28,Jaisalmer,1.0,Satisfactory,57,O3
2023-06-29,Jaisalmer,1.0,Satisfactory,78,PM10
2023-06-30,Jaisalmer,1.0,Satisfactory,72,PM10
2023-07-01,Jaisalmer,1.0,Satisfactory,98,PM10
2023-07-02,Jaisalmer,1.0,Satisfactory,85,PM10
2023-07-03,Jaisalmer,1.0,Satisfactory,88,PM10
2023-07-04,Jaisalmer,1.0,Satisfactory,92,PM10
2023-07-05,Jaisalmer,1.0,Satisfactory,93,PM10
2023-07-06,Jaisalmer,1.0,Satisfactory,84,PM10
2023-07-07,Jaisalmer,1.0,Satisfactory,65,PM10
2023-07-08,Jaisalmer,1.0,Satisfactory,72,PM10
2023-07-09,Jaisalmer,1.0,Satisfactory,77,PM10
2023-07-10,Jaisalmer,1.0,Moderate,119,PM10
2023-07-11,Jaisalmer,1.0,Moderate,145,PM10
2023-07-12,Jaisalmer,1.0,Moderate,147,PM10
2023-07-13,Jaisalmer,1.0,Moderate,153,PM10
2023-07-14,Jaisalmer,1.0,Moderate,137,PM10
2023-07-15,Jaisalmer,1.0,Moderate,127,PM10
2023-07-16,Jaisalmer,1.0,Moderate,147,PM10
2023-07-17,Jaisalmer,1.0,Moderate,173,PM10
2023-07-18,Jaisalmer,1.0,Moderate,151,PM10
2023-07-19,Jaisalmer,1.0,Poor,238,PM10
2023-07-20,Jaisalmer,1.0,Moderate,122,PM10
2023-07-21,Jaisalmer,1.0,Satisfactory,96,PM10
2023-07-22,Jaisalmer,1.0,Good,44,O3
2023-07-23,Jaisalmer,1.0,Satisfactory,66,PM10
2023-07-24,Jaisalmer,1.0,Satisfactory,51,PM10
2023-07-25,Jaisalmer,1.0,Satisfactory,56,PM10
2023-07-26,Jaisalmer,1.0,Satisfactory,53,PM10
2023-07-27,Jaisalmer,1.0,Satisfactory,57,PM10
2023-07-28,Jaisalmer,1.0,Satisfactory,59,PM10
2023-07-29,Jaisalmer,1.0,Satisfactory,63,PM10
2023-07-30,Jaisalmer,1.0,Satisfactory,73,PM10
2023-07-31,Jaisalmer,1.0,Satisfactory,72,PM10
2023-08-01,Jaisalmer,1.0,Satisfactory,88,PM10
2023-08-02,Jaisalmer,1.0,Satisfactory,89,PM10
2023-08-03,Jaisalmer,1.0,Satisfactory,93,PM10
2023-08-04,Jaisalmer,1.0,Satisfactory,83,PM10
2023-08-05,Jaisalmer,1.0,Satisfactory,93,PM10
2023-08-06,Jaisalmer,1.0,Moderate,102,PM10
2023-08-07,Jaisalmer,1.0,Moderate,119,PM10
2023-08-08,Jaisalmer,1.0,Moderate,122,PM10
2023-08-09,Jaisalmer,1.0,Moderate,112,PM10
2023-08-10,Jaisalmer,1.0,Moderate,112,PM10
2023-08-11,Jaisalmer,1.0,Moderate,103,PM10
2023-08-13,Jaisalmer,1.0,Moderate,117,PM10
2023-08-14,Jaisalmer,1.0,Moderate,117,PM10
2023-08-15,Jaisalmer,1.0,Moderate,129,PM10
2023-08-16,Jaisalmer,1.0,Moderate,139,PM10
2023-08-17,Jaisalmer,1.0,Moderate,130,PM10
2023-08-19,Jaisalmer,1.0,Moderate,135,PM10
2023-08-20,Jaisalmer,1.0,Moderate,136,PM10
2023-08-21,Jaisalmer,1.0,Satisfactory,80,PM10
2023-08-22,Jaisalmer,1.0,Satisfactory,95,PM10
2023-08-23,Jaisalmer,1.0,Moderate,115,PM10
2023-08-24,Jaisalmer,1.0,Moderate,107,PM10
2023-08-25,Jaisalmer,1.0,Moderate,122,PM10
