date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-13,Jalgaon,1.0,Moderate,110,PM10
2023-06-14,Jalgaon,1.0,Moderate,106,PM10
2023-06-15,Jalgaon,1.0,Moderate,118,PM10
2023-06-16,Jalgaon,1.0,Moderate,112,PM10
2023-06-17,Jalgaon,1.0,Moderate,128,PM10
2023-06-18,Jalgaon,1.0,Moderate,144,PM10
2023-06-19,Jalgaon,1.0,Moderate,157,PM10
2023-06-20,Jalgaon,1.0,Moderate,132,PM10
2023-06-21,Jalgaon,1.0,Moderate,124,PM10
2023-06-22,Jalgaon,1.0,Moderate,112,PM10
2023-06-23,Jalgaon,1.0,Moderate,109,PM10
2023-06-24,Jalgaon,1.0,Satisfactory,99,PM10
2023-06-25,Jalgaon,1.0,Satisfactory,79,PM10
2023-06-26,Jalgaon,1.0,Satisfactory,74,PM10
2023-06-27,Jalgaon,1.0,Satisfactory,56,PM10
2023-06-28,Jalgaon,1.0,Satisfactory,53,PM10
2023-06-29,Jalgaon,1.0,Moderate,112,PM10
2023-06-30,Jalgaon,1.0,Satisfactory,91,PM10
2023-07-01,Jalgaon,1.0,Satisfactory,65,PM10
2023-07-02,Jalgaon,1.0,Satisfactory,73,PM10
2023-07-03,Jalgaon,1.0,Satisfactory,84,PM10
2023-07-04,Jalgaon,1.0,Satisfactory,88,PM10
2023-07-05,Jalgaon,1.0,Satisfactory,85,PM10
2023-07-06,Jalgaon,1.0,Satisfactory,85,PM10
2023-07-07,Jalgaon,1.0,Satisfactory,70,PM10
2023-07-08,Jalgaon,1.0,Satisfactory,78,PM10
2023-07-09,Jalgaon,1.0,Moderate,113,PM10
2023-07-10,Jalgaon,1.0,Good,17,PM2.5
2023-07-11,Jalgaon,1.0,Satisfactory,83,PM10
2023-07-13,Jalgaon,1.0,Satisfactory,63,PM10
2023-07-14,Jalgaon,1.0,Satisfactory,76,PM10
2023-07-15,Jalgaon,1.0,Satisfactory,52,PM10
2023-07-16,Jalgaon,1.0,Satisfactory,58,PM10
2023-07-17,Jalgaon,1.0,Satisfactory,77,PM10
2023-07-18,Jalgaon,1.0,Satisfactory,77,PM10
2023-07-19,Jalgaon,1.0,Satisfactory,75,PM10
2023-07-20,Jalgaon,1.0,Satisfactory,56,PM10
2023-07-21,Jalgaon,1.0,Satisfactory,76,PM10
2023-07-22,Jalgaon,1.0,Satisfactory,100,PM10
2023-07-23,Jalgaon,1.0,Good,45,PM10
2023-07-25,Jalgaon,1.0,Satisfactory,58,PM10
2023-07-26,Jalgaon,1.0,Satisfactory,62,PM10
2023-07-27,Jalgaon,1.0,Satisfactory,61,PM10
2023-07-28,Jalgaon,1.0,Satisfactory,62,PM10
2023-07-29,Jalgaon,1.0,Satisfactory,70,PM10
2023-07-30,Jalgaon,1.0,Satisfactory,58,PM10
2023-07-31,Jalgaon,1.0,Satisfactory,57,PM10
2023-08-01,Jalgaon,1.0,Good,34,PM10
2023-08-02,Jalgaon,1.0,Good,42,PM10
2023-08-03,Jalgaon,1.0,Good,43,PM10
2023-08-04,Jalgaon,1.0,Good,45,PM10
2023-08-05,Jalgaon,1.0,Good,37,PM10
2023-08-06,Jalgaon,1.0,Good,34,PM10
2023-08-07,Jalgaon,1.0,Satisfactory,61,PM10
2023-08-08,Jalgaon,1.0,Satisfactory,69,PM10
2023-08-09,Jalgaon,1.0,Satisfactory,66,PM10
2023-08-10,Jalgaon,1.0,Good,47,PM10
2023-08-11,Jalgaon,1.0,Good,41,PM10
2023-08-12,Jalgaon,1.0,Good,42,PM10
2023-08-13,Jalgaon,1.0,Satisfactory,56,PM10
2023-08-14,Jalgaon,1.0,Satisfactory,61,PM10
2023-08-15,Jalgaon,1.0,Good,43,PM10
