date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-13,Jalna,1.0,Satisfactory,87,PM10
2023-06-14,Jalna,1.0,Satisfactory,100,PM2.5
2023-06-15,Jalna,1.0,Satisfactory,100,PM10
2023-06-16,Jalna,1.0,Moderate,104,PM10
2023-06-17,Jalna,1.0,Satisfactory,98,PM10
2023-06-18,Jalna,1.0,Moderate,125,PM10
2023-06-19,Jalna,1.0,Moderate,110,PM10
2023-06-20,Jalna,1.0,Moderate,105,PM10
2023-06-21,Jalna,1.0,Satisfactory,87,PM10
2023-06-22,Jalna,1.0,Satisfactory,90,PM10
2023-06-23,Jalna,1.0,Satisfactory,81,PM10
2023-06-24,Jalna,1.0,Satisfactory,69,PM10
2023-06-25,Jalna,1.0,Satisfactory,71,PM2.5
2023-06-26,Jalna,1.0,Satisfactory,100,PM2.5
2023-06-27,Jalna,1.0,Satisfactory,60,PM2.5
2023-06-28,Jalna,1.0,Satisfactory,65,PM2.5
2023-06-29,Jalna,1.0,Satisfactory,66,PM10
2023-06-30,Jalna,1.0,Satisfactory,54,PM10
2023-07-01,Jalna,1.0,Satisfactory,70,PM10
2023-07-02,Jalna,1.0,Moderate,104,PM10
2023-07-03,Jalna,1.0,Satisfactory,54,PM10
2023-07-04,Jalna,1.0,Good,46,PM10
2023-07-05,Jalna,1.0,Good,24,PM10
2023-07-06,Jalna,1.0,Good,37,NO2
2023-07-08,Jalna,1.0,Satisfactory,78,PM10
2023-07-09,Jalna,1.0,Satisfactory,95,PM10
2023-07-10,Jalna,1.0,Moderate,106,PM10
2023-07-11,Jalna,1.0,Moderate,121,PM10
2023-07-12,Jalna,1.0,Moderate,102,PM10
2023-07-13,Jalna,1.0,Moderate,105,PM10
2023-07-15,Jalna,1.0,Satisfactory,77,PM10
2023-07-16,Jalna,1.0,Satisfactory,56,PM10
2023-07-17,Jalna,1.0,Satisfactory,51,PM10
2023-07-18,Jalna,1.0,Good,47,PM10
2023-07-19,Jalna,1.0,Good,45,PM10
2023-07-20,Jalna,1.0,Satisfactory,57,PM10
2023-07-25,Jalna,1.0,Satisfactory,64,PM10
2023-08-03,Jalna,1.0,Good,47,PM10
2023-08-04,Jalna,1.0,Satisfactory,67,PM10
2023-08-05,Jalna,1.0,Moderate,145,PM10
2023-08-06,Jalna,1.0,Satisfactory,64,PM10
2023-08-08,Jalna,1.0,Satisfactory,68,PM10
2023-08-09,Jalna,1.0,Satisfactory,72,PM10
2023-08-10,Jalna,1.0,Satisfactory,69,PM10
2023-08-12,Jalna,1.0,Good,50,PM10
2023-08-15,Jalna,1.0,Good,37,NO2
2023-08-16,Jalna,1.0,Good,37,NO2
2023-08-17,Jalna,1.0,Good,45,PM10
2023-08-19,Jalna,1.0,Good,38,NO2
2023-08-20,Jalna,1.0,Good,37,NO2
2023-08-21,Jalna,1.0,Good,37,NO2
2023-08-22,Jalna,1.0,Satisfactory,51,PM10
2023-08-23,Jalna,1.0,Satisfactory,55,PM10
2023-08-24,Jalna,1.0,Satisfactory,68,PM10
2023-08-25,Jalna,1.0,Satisfactory,79,PM10
2023-08-27,Jalna,1.0,Satisfactory,83,PM10
2023-08-30,Jalna,1.0,Good,45,PM10
2023-08-31,Jalna,1.0,Satisfactory,67,PM10
2023-09-01,Jalna,1.0,Satisfactory,57,PM10
2023-09-02,Jalna,1.0,Satisfactory,70,PM10
2023-09-03,Jalna,1.0,Satisfactory,56,PM10
2023-09-04,Jalna,1.0,Satisfactory,56,O3
2023-09-05,Jalna,1.0,Satisfactory,51,O3
2023-09-06,Jalna,1.0,Good,41,PM10
2023-09-08,Jalna,1.0,Satisfactory,65,PM10
2023-09-09,Jalna,1.0,Satisfactory,63,PM10
2023-09-10,Jalna,1.0,Good,45,PM10
2023-09-11,Jalna,1.0,Good,38,NO2
2023-09-14,Jalna,1.0,Good,48,O3
2023-09-15,Jalna,1.0,Good,39,PM10
2023-09-16,Jalna,1.0,Satisfactory,58,PM10
2023-09-17,Jalna,1.0,Good,38,NO2
2023-09-18,Jalna,1.0,Good,43,O3
2023-09-19,Jalna,1.0,Good,44,O3
2023-09-20,Jalna,1.0,Satisfactory,54,PM10
2023-09-21,Jalna,1.0,Good,42,O3
2023-09-22,Jalna,1.0,Good,49,O3
2023-09-23,Jalna,1.0,Good,38,NO2
2023-09-24,Jalna,1.0,Good,37,NO2
2023-09-25,Jalna,1.0,Good,45,PM10
2023-09-26,Jalna,1.0,Good,49,PM10
2023-09-27,Jalna,1.0,Good,37,O3
2023-09-28,Jalna,1.0,Good,48,O3
2023-09-30,Jalna,1.0,Good,39,PM10
2023-10-01,Jalna,1.0,Satisfactory,74,PM10
2023-10-02,Jalna,1.0,Moderate,111,O3
2023-10-03,Jalna,1.0,Moderate,183,O3
2023-10-04,Jalna,1.0,Moderate,122,O3
2023-10-05,Jalna,1.0,Moderate,126,O3
2023-10-06,Jalna,1.0,Moderate,172,O3
2023-10-07,Jalna,1.0,Poor,284,O3
2023-10-08,Jalna,1.0,Satisfactory,57,O3
2023-10-11,Jalna,1.0,Moderate,151,O3
2023-10-12,Jalna,1.0,Moderate,152,O3
2023-10-13,Jalna,1.0,Satisfactory,92,PM10
2023-10-15,Jalna,1.0,Moderate,167,O3
2023-10-16,Jalna,1.0,Poor,298,O3
2023-10-17,Jalna,1.0,Moderate,162,O3
2023-10-18,Jalna,1.0,Satisfactory,80,PM10
2023-10-19,Jalna,1.0,Satisfactory,75,PM10
2023-10-21,Jalna,1.0,Moderate,165,O3
2023-10-22,Jalna,1.0,Satisfactory,89,O3
2023-10-23,Jalna,1.0,Satisfactory,90,PM10
2023-10-24,Jalna,1.0,Satisfactory,91,PM10
2023-10-25,Jalna,1.0,Satisfactory,97,PM10
2023-10-26,Jalna,1.0,Moderate,102,PM10
2023-10-27,Jalna,1.0,Moderate,120,PM10
2023-10-28,Jalna,1.0,Moderate,124,PM10
2023-10-29,Jalna,1.0,Poor,257,O3
2023-10-30,Jalna,1.0,Moderate,116,PM10
2023-10-31,Jalna,1.0,Moderate,110,PM10
2023-11-03,Jalna,1.0,Moderate,133,PM10
2023-11-04,Jalna,1.0,Moderate,126,PM10
2023-11-05,Jalna,1.0,Moderate,113,PM10
2023-11-06,Jalna,1.0,Moderate,101,PM10
2023-11-07,Jalna,1.0,Satisfactory,96,PM10
2023-11-08,Jalna,1.0,Moderate,105,PM10
2023-11-09,Jalna,1.0,Moderate,131,PM10
2023-11-10,Jalna,1.0,Moderate,132,PM10
2023-11-11,Jalna,1.0,Moderate,126,PM10
2023-11-12,Jalna,1.0,Moderate,143,PM2.5
2023-11-13,Jalna,1.0,Moderate,184,PM2.5
2023-11-14,Jalna,1.0,Moderate,171,PM2.5
2023-11-15,Jalna,1.0,Poor,287,PM2.5
2023-11-17,Jalna,1.0,Moderate,185,PM2.5
2023-11-18,Jalna,1.0,Moderate,200,PM2.5
2023-11-19,Jalna,1.0,Moderate,141,PM2.5
2023-11-20,Jalna,1.0,Moderate,110,PM10
2023-11-21,Jalna,1.0,Moderate,118,PM10
2023-11-22,Jalna,1.0,Moderate,138,PM2.5
2023-11-23,Jalna,1.0,Moderate,148,PM2.5
2023-11-24,Jalna,1.0,Moderate,118,PM2.5
2023-11-25,Jalna,1.0,Satisfactory,83,PM10
2023-11-26,Jalna,1.0,Moderate,116,PM2.5
2023-11-28,Jalna,1.0,Satisfactory,78,PM2.5
2023-11-29,Jalna,1.0,Satisfactory,69,PM2.5
2023-11-30,Jalna,1.0,Satisfactory,63,PM10
2023-12-02,Jalna,1.0,Satisfactory,57,PM10
2023-12-03,Jalna,1.0,Satisfactory,96,PM10
2023-12-05,Jalna,1.0,Satisfactory,98,PM2.5
2023-12-06,Jalna,1.0,Satisfactory,96,PM2.5
2023-12-07,Jalna,1.0,Good,46,NO2
2023-12-08,Jalna,1.0,Satisfactory,70,PM10
