date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-11-14,Jalore,1.0,Moderate,165,PM10
2023-11-15,Jalore,1.0,Moderate,174,O3
2023-11-16,Jalore,1.0,Moderate,161,PM2.5
2023-11-17,Jalore,1.0,Poor,228,PM2.5
2023-11-18,Jalore,1.0,Poor,255,PM2.5
2023-11-19,Jalore,1.0,Poor,244,PM2.5
2023-11-20,Jalore,1.0,Poor,244,PM2.5
2023-11-21,Jalore,1.0,Poor,246,PM2.5
2023-11-22,Jalore,1.0,Poor,244,PM2.5
2023-11-23,Jalore,1.0,Poor,204,PM10
2023-11-24,Jalore,1.0,Poor,238,PM10
2023-11-25,Jalore,1.0,Moderate,167,O3
2023-11-26,Jalore,1.0,Moderate,189,PM10
2023-11-27,Jalore,1.0,Satisfactory,89,PM2.5
2023-11-28,Jalore,1.0,Moderate,166,PM2.5
2023-11-29,Jalore,1.0,Poor,293,PM2.5
2023-11-30,Jalore,1.0,Moderate,138,PM2.5
2023-12-01,Jalore,1.0,Moderate,150,PM2.5
2023-12-02,Jalore,1.0,Poor,232,PM2.5
2023-12-03,Jalore,1.0,Moderate,165,PM2.5
2023-12-05,Jalore,1.0,Moderate,111,PM10
2023-12-06,Jalore,1.0,Moderate,116,PM2.5
2023-12-07,Jalore,1.0,Moderate,125,PM2.5
2023-12-08,Jalore,1.0,Moderate,153,PM10
2023-12-09,Jalore,1.0,Moderate,146,PM10
2023-12-10,Jalore,1.0,Moderate,164,PM10
2023-12-11,Jalore,1.0,Moderate,182,PM10
2023-12-12,Jalore,1.0,Moderate,200,PM10
2023-12-13,Jalore,1.0,Moderate,200,PM10
2023-12-14,Jalore,1.0,Poor,206,PM10
2023-12-15,Jalore,1.0,Moderate,161,PM10
2023-12-16,Jalore,1.0,Moderate,158,PM10
2023-12-17,Jalore,1.0,Moderate,174,PM10
2023-12-18,Jalore,1.0,Moderate,134,PM10
2023-12-19,Jalore,1.0,Moderate,119,PM10
2023-12-20,Jalore,1.0,Moderate,134,PM10
2023-12-21,Jalore,1.0,Moderate,163,PM10
2023-12-22,Jalore,1.0,Poor,201,PM10
2023-12-23,Jalore,1.0,Poor,206,PM10
2023-12-24,Jalore,1.0,Moderate,169,PM10
2023-12-25,Jalore,1.0,Poor,274,PM2.5
2023-12-26,Jalore,1.0,Poor,270,PM2.5
2023-12-27,Jalore,1.0,Poor,233,PM2.5
2023-12-28,Jalore,1.0,Poor,232,PM2.5
2023-12-29,Jalore,1.0,Moderate,156,PM10
2023-12-30,Jalore,1.0,Poor,225,PM2.5
2023-12-31,Jalore,1.0,Poor,211,PM2.5
