date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Jhalawar,1.0,Moderate,118,PM10
2023-03-14,Jhalawar,1.0,Moderate,167,O3
2023-03-15,Jhalawar,1.0,Moderate,165,O3
2023-03-16,Jhalawar,1.0,Satisfactory,88,PM2.5
2023-03-17,Jhalawar,1.0,Satisfactory,86,O3
2023-03-19,Jhalawar,1.0,Satisfactory,75,O3
2023-03-20,Jhalawar,1.0,Satisfactory,71,O3
2023-03-21,Jhalawar,1.0,Satisfactory,87,O3
2023-03-22,Jhalawar,1.0,Satisfactory,76,PM10
2023-03-23,Jhalawar,1.0,Satisfactory,68,O3
2023-03-24,Jhalawar,1.0,Satisfactory,84,PM10
2023-03-25,Jhalawar,1.0,Satisfactory,81,PM10
2023-03-26,Jhalawar,1.0,Moderate,115,PM10
2023-03-29,Jhalawar,1.0,Moderate,124,PM10
2023-03-30,Jhalawar,1.0,Moderate,151,PM10
2023-04-01,Jhalawar,1.0,Satisfactory,67,O3
2023-04-02,Jhalawar,1.0,Satisfactory,76,PM10
2023-04-03,Jhalawar,1.0,Moderate,101,PM10
2023-04-04,Jhalawar,1.0,Satisfactory,99,PM10
2023-04-05,Jhalawar,1.0,Satisfactory,96,PM10
2023-04-06,Jhalawar,1.0,Moderate,127,PM10
2023-04-07,Jhalawar,1.0,Moderate,122,PM10
2023-04-08,Jhalawar,1.0,Moderate,110,PM10
2023-04-09,Jhalawar,1.0,Satisfactory,87,PM10
2023-04-10,Jhalawar,1.0,Moderate,126,PM10
2023-04-11,Jhalawar,1.0,Moderate,116,PM10
2023-04-13,Jhalawar,1.0,Moderate,125,PM10
2023-04-14,Jhalawar,1.0,Moderate,112,PM10
2023-04-15,Jhalawar,1.0,Moderate,105,PM10
2023-04-16,Jhalawar,1.0,Satisfactory,85,PM10
2023-04-17,Jhalawar,1.0,Satisfactory,82,PM10
2023-04-18,Jhalawar,1.0,Moderate,110,PM10
2023-04-19,Jhalawar,1.0,Moderate,124,PM10
2023-04-20,Jhalawar,1.0,Satisfactory,100,PM10
2023-04-21,Jhalawar,1.0,Satisfactory,89,PM10
2023-04-22,Jhalawar,1.0,Moderate,120,PM10
2023-04-23,Jhalawar,1.0,Moderate,121,PM10
2023-04-24,Jhalawar,1.0,Satisfactory,96,O3
2023-04-25,Jhalawar,1.0,Moderate,102,O3
2023-04-26,Jhalawar,1.0,Moderate,102,O3
2023-04-27,Jhalawar,1.0,Satisfactory,77,O3
2023-04-28,Jhalawar,1.0,Satisfactory,71,O3
2023-04-29,Jhalawar,1.0,Satisfactory,54,O3
2023-04-30,Jhalawar,1.0,Satisfactory,56,O3
2023-05-02,Jhalawar,1.0,Satisfactory,73,PM10
2023-05-03,Jhalawar,1.0,Satisfactory,64,O3
2023-05-04,Jhalawar,1.0,Satisfactory,76,O3
2023-05-05,Jhalawar,1.0,Satisfactory,91,O3
2023-05-06,Jhalawar,1.0,Satisfactory,75,PM10
2023-05-07,Jhalawar,1.0,Satisfactory,76,PM10
2023-05-08,Jhalawar,1.0,Satisfactory,84,PM10
2023-05-09,Jhalawar,1.0,Moderate,125,PM10
2023-05-10,Jhalawar,1.0,Moderate,124,PM10
2023-05-11,Jhalawar,1.0,Moderate,118,PM10
2023-05-12,Jhalawar,1.0,Moderate,110,PM10
2023-05-13,Jhalawar,1.0,Moderate,132,PM10
2023-05-14,Jhalawar,1.0,Moderate,114,PM10
2023-05-15,Jhalawar,1.0,Satisfactory,98,PM10
2023-05-16,Jhalawar,1.0,Satisfactory,80,PM10
2023-05-17,Jhalawar,1.0,Satisfactory,74,PM10
2023-05-18,Jhalawar,1.0,Satisfactory,72,PM10
2023-05-19,Jhalawar,1.0,Satisfactory,86,PM10
2023-05-20,Jhalawar,1.0,Moderate,103,PM10
2023-05-21,Jhalawar,1.0,Satisfactory,99,PM10
2023-05-22,Jhalawar,1.0,Satisfactory,64,PM10
2023-05-23,Jhalawar,1.0,Satisfactory,66,PM10
2023-05-24,Jhalawar,1.0,Satisfactory,71,PM10
2023-05-25,Jhalawar,1.0,Satisfactory,63,PM10
2023-05-26,Jhalawar,1.0,Satisfactory,75,PM10
2023-05-27,Jhalawar,1.0,Satisfactory,84,PM10
2023-05-28,Jhalawar,1.0,Satisfactory,87,PM10
2023-05-29,Jhalawar,1.0,Satisfactory,71,O3
2023-05-30,Jhalawar,1.0,Satisfactory,67,O3
2023-05-31,Jhalawar,1.0,Satisfactory,82,PM10
2023-06-01,Jhalawar,1.0,Satisfactory,85,PM10
