date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-02-05,Jhansi,1.0,Moderate,153,PM2.5
2022-02-06,Jhansi,1.0,Moderate,109,PM10
2022-02-07,Jhansi,1.0,Moderate,114,PM10
2022-02-08,Jhansi,1.0,Moderate,151,PM10
2022-02-09,Jhansi,1.0,Moderate,167,PM10
2022-02-10,Jhansi,1.0,Moderate,164,PM2.5
2022-02-11,Jhansi,1.0,Moderate,134,PM10
2022-02-12,Jhansi,1.0,Moderate,141,PM10
2022-02-13,Jhansi,1.0,Moderate,140,PM10
2022-02-14,Jhansi,1.0,Moderate,153,PM10
2022-02-15,Jhansi,1.0,Moderate,167,PM10
2022-02-16,Jhansi,1.0,Moderate,165,PM2.5
2022-02-17,Jhansi,1.0,Moderate,152,PM10
2022-02-18,Jhansi,1.0,Moderate,132,PM10
2022-02-19,Jhansi,1.0,Moderate,138,PM10
2022-02-20,Jhansi,1.0,Moderate,110,PM10
2022-02-21,Jhansi,1.0,Moderate,106,PM10
2022-02-22,Jhansi,1.0,Moderate,122,PM10
2022-02-23,Jhansi,1.0,Moderate,124,PM10
2022-02-24,Jhansi,1.0,Moderate,151,PM10
2022-02-25,Jhansi,1.0,Moderate,186,PM10
2022-02-26,Jhansi,1.0,Moderate,185,PM10
2022-02-27,Jhansi,1.0,Moderate,125,PM10
2022-02-28,Jhansi,1.0,Satisfactory,95,PM10
2022-03-01,Jhansi,1.0,Satisfactory,94,PM10
2022-03-02,Jhansi,1.0,Moderate,155,PM10
2022-03-03,Jhansi,1.0,Moderate,144,PM10
2022-03-04,Jhansi,1.0,Moderate,139,PM10
2022-03-05,Jhansi,1.0,Moderate,101,PM10
2022-03-08,Jhansi,1.0,Moderate,120,PM10
2022-03-09,Jhansi,1.0,Moderate,187,PM10
2022-03-10,Jhansi,1.0,Moderate,111,PM10
2022-03-11,Jhansi,1.0,Moderate,113,PM10
2022-03-13,Jhansi,1.0,Moderate,124,PM10
2022-03-15,Jhansi,1.0,Moderate,174,PM10
2022-03-16,Jhansi,1.0,Moderate,174,PM10
2022-03-17,Jhansi,1.0,Moderate,170,PM10
2022-03-18,Jhansi,1.0,Moderate,197,PM2.5
2022-03-19,Jhansi,1.0,Moderate,188,PM2.5
2022-03-20,Jhansi,1.0,Moderate,142,PM10
2022-03-21,Jhansi,1.0,Moderate,142,PM10
2022-03-22,Jhansi,1.0,Moderate,153,PM10
2022-03-23,Jhansi,1.0,Moderate,164,PM10
2022-03-24,Jhansi,1.0,Moderate,188,PM10
2022-03-25,Jhansi,1.0,Moderate,159,PM10
2022-03-26,Jhansi,1.0,Moderate,174,PM10
2022-03-27,Jhansi,1.0,Moderate,164,PM10
2022-03-28,Jhansi,1.0,Moderate,172,PM10
2022-03-29,Jhansi,1.0,Satisfactory,86,PM2.5
2022-03-30,Jhansi,1.0,Moderate,150,PM10
2022-03-31,Jhansi,1.0,Moderate,167,PM10
2022-04-01,Jhansi,1.0,Moderate,178,PM10
2022-04-02,Jhansi,1.0,Moderate,178,PM10
2022-04-03,Jhansi,1.0,Moderate,159,PM10
2022-04-04,Jhansi,1.0,Moderate,156,PM10
2022-04-05,Jhansi,1.0,Satisfactory,83,PM2.5
2022-04-06,Jhansi,1.0,Moderate,182,PM10
2022-04-07,Jhansi,1.0,Moderate,164,PM10
2022-04-08,Jhansi,1.0,Moderate,160,PM10
2022-04-11,Jhansi,1.0,Moderate,139,PM10
2022-04-12,Jhansi,1.0,Moderate,145,PM10
2022-04-14,Jhansi,1.0,Moderate,184,PM10
