date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Jhunjhunu,1.0,Moderate,164,O3
2023-03-14,Jhunjhunu,1.0,Moderate,162,O3
2023-03-15,Jhunjhunu,1.0,Poor,205,O3
2023-03-16,Jhunjhunu,1.0,Moderate,124,O3
2023-03-17,Jhunjhunu,1.0,Moderate,189,O3
2023-03-18,Jhunjhunu,1.0,Moderate,108,PM10
2023-03-19,Jhunjhunu,1.0,Moderate,194,O3
2023-03-20,Jhunjhunu,1.0,Moderate,164,O3
2023-03-21,Jhunjhunu,1.0,Poor,205,O3
2023-03-22,Jhunjhunu,1.0,Moderate,175,O3
2023-03-23,Jhunjhunu,1.0,Poor,238,O3
2023-03-24,Jhunjhunu,1.0,Satisfactory,98,O3
2023-03-25,Jhunjhunu,1.0,Poor,232,O3
2023-03-26,Jhunjhunu,1.0,Poor,276,O3
2023-03-27,Jhunjhunu,1.0,Poor,225,O3
2023-03-28,Jhunjhunu,1.0,Satisfactory,94,PM10
2023-03-29,Jhunjhunu,1.0,Poor,228,O3
2023-03-30,Jhunjhunu,1.0,Poor,260,O3
2023-03-31,Jhunjhunu,1.0,Moderate,111,O3
2023-04-01,Jhunjhunu,1.0,Moderate,135,O3
2023-04-02,Jhunjhunu,1.0,Moderate,108,O3
2023-04-03,Jhunjhunu,1.0,Moderate,185,O3
2023-04-04,Jhunjhunu,1.0,Poor,242,O3
2023-04-05,Jhunjhunu,1.0,Poor,247,O3
2023-04-06,Jhunjhunu,1.0,Poor,238,O3
2023-04-07,Jhunjhunu,1.0,Poor,228,O3
2023-04-08,Jhunjhunu,1.0,Poor,262,O3
2023-04-09,Jhunjhunu,1.0,Poor,243,O3
2023-04-10,Jhunjhunu,1.0,Poor,293,O3
2023-04-11,Jhunjhunu,1.0,Very Poor,301,O3
2023-04-12,Jhunjhunu,1.0,Moderate,157,O3
2023-04-13,Jhunjhunu,1.0,Moderate,191,O3
2023-04-14,Jhunjhunu,1.0,Moderate,200,O3
2023-04-15,Jhunjhunu,1.0,Moderate,170,O3
2023-04-16,Jhunjhunu,1.0,Moderate,168,O3
2023-04-17,Jhunjhunu,1.0,Poor,202,O3
2023-04-18,Jhunjhunu,1.0,Moderate,160,O3
2023-04-19,Jhunjhunu,1.0,Poor,233,PM10
2023-04-20,Jhunjhunu,1.0,Moderate,186,O3
