date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2017-05-20,Jorapokhar,1.0,Satisfactory,92,PM10
2017-05-21,Jorapokhar,1.0,Moderate,102,PM10
2017-05-22,Jorapokhar,1.0,Moderate,135,PM10
2017-05-23,Jorapokhar,1.0,Moderate,121,PM10
2017-05-24,Jorapokhar,1.0,Moderate,158,PM10
2017-05-25,Jorapokhar,1.0,Moderate,136,PM10
2017-05-26,Jorapokhar,1.0,Moderate,115,PM10
2017-05-27,Jorapokhar,1.0,Satisfactory,70,PM10
2017-05-28,Jorapokhar,1.0,Satisfactory,92,PM10
2017-05-29,Jorapokhar,1.0,Satisfactory,79,PM10
2017-05-30,Jorapokhar,1.0,Moderate,108,PM10
2017-05-31,Jorapokhar,1.0,Moderate,116,PM10
2017-06-01,Jorapokhar,1.0,Satisfactory,100,PM10
2017-06-02,Jorapokhar,1.0,Moderate,130,PM10
2017-06-03,Jorapokhar,1.0,Moderate,162,PM10
2017-06-04,Jorapokhar,1.0,Moderate,155,PM10
2017-06-05,Jorapokhar,1.0,Moderate,124,PM10
2017-06-06,Jorapokhar,1.0,Moderate,127,PM10
2017-06-07,Jorapokhar,1.0,Moderate,148,PM10
2017-06-08,Jorapokhar,1.0,Moderate,139,PM10
2017-06-09,Jorapokhar,1.0,Moderate,109,PM10
2017-06-10,Jorapokhar,1.0,Moderate,101,PM10
2017-06-11,Jorapokhar,1.0,Satisfactory,95,PM10
2017-06-12,Jorapokhar,1.0,Satisfactory,75,PM10
2017-06-13,Jorapokhar,1.0,Moderate,109,PM10
2017-06-14,Jorapokhar,1.0,Moderate,156,PM10
2017-06-15,Jorapokhar,1.0,Moderate,108,PM10
2017-06-16,Jorapokhar,1.0,Moderate,106,PM10
2017-06-17,Jorapokhar,1.0,Satisfactory,87,PM10
2017-06-19,Jorapokhar,1.0,Moderate,111,PM10
2017-06-20,Jorapokhar,1.0,Satisfactory,68,PM10
2017-06-21,Jorapokhar,1.0,Satisfactory,59,PM10
2017-06-22,Jorapokhar,1.0,Satisfactory,61,PM10
2017-06-23,Jorapokhar,1.0,Moderate,170,PM10
2017-06-24,Jorapokhar,1.0,Moderate,200,PM10
2017-07-20,Jorapokhar,1.0,Good,48,PM10
2017-07-21,Jorapokhar,1.0,Satisfactory,57,PM10
2017-07-24,Jorapokhar,1.0,Good,33,PM10
2017-07-25,Jorapokhar,1.0,Good,18,SO2
2017-07-26,Jorapokhar,1.0,Good,27,PM10
2017-08-02,Jorapokhar,1.0,Satisfactory,56,PM10
2017-08-03,Jorapokhar,1.0,Satisfactory,64,O3
2017-08-04,Jorapokhar,1.0,Satisfactory,77,O3
2017-08-05,Jorapokhar,1.0,Satisfactory,74,PM10
2017-08-06,Jorapokhar,1.0,Satisfactory,70,PM10
2017-08-07,Jorapokhar,1.0,Satisfactory,56,PM10
2017-08-08,Jorapokhar,1.0,Good,45,PM10
2017-08-09,Jorapokhar,1.0,Good,46,PM10
2017-08-10,Jorapokhar,1.0,Satisfactory,77,O3
2017-08-11,Jorapokhar,1.0,Good,46,PM10
2017-08-12,Jorapokhar,1.0,Good,32,PM10
2017-08-13,Jorapokhar,1.0,Good,48,PM10
2017-08-14,Jorapokhar,1.0,Satisfactory,84,PM10
2017-08-17,Jorapokhar,1.0,Satisfactory,78,PM10
2017-08-18,Jorapokhar,1.0,Satisfactory,85,PM10
2018-01-30,Jorapokhar,1.0,Moderate,109,PM10
2018-01-31,Jorapokhar,1.0,Moderate,136,PM10
2018-02-01,Jorapokhar,1.0,Moderate,131,PM10
2018-02-02,Jorapokhar,1.0,Moderate,143,PM10
2018-02-03,Jorapokhar,1.0,Moderate,191,PM10
2018-02-04,Jorapokhar,1.0,Poor,206,PM10
2018-02-05,Jorapokhar,1.0,Poor,252,PM10
2018-02-06,Jorapokhar,1.0,Poor,210,PM10
2018-02-07,Jorapokhar,1.0,Moderate,163,PM10
2018-02-08,Jorapokhar,1.0,Moderate,159,PM10
2018-02-09,Jorapokhar,1.0,Moderate,130,PM10
2018-02-10,Jorapokhar,1.0,Poor,287,PM10
2018-02-11,Jorapokhar,1.0,Moderate,164,PM10
2018-02-14,Jorapokhar,1.0,Satisfactory,61,PM10
2018-02-16,Jorapokhar,1.0,Satisfactory,94,PM10
2018-02-20,Jorapokhar,1.0,Moderate,177,PM10
2018-02-21,Jorapokhar,1.0,Moderate,130,PM10
2018-02-22,Jorapokhar,1.0,Moderate,128,PM10
2018-02-23,Jorapokhar,1.0,Moderate,147,PM10
2018-02-24,Jorapokhar,1.0,Moderate,133,PM10
2018-02-25,Jorapokhar,1.0,Poor,212,PM10
2018-02-28,Jorapokhar,1.0,Moderate,114,PM10
2018-03-01,Jorapokhar,1.0,Moderate,162,PM10
2018-03-02,Jorapokhar,1.0,Moderate,153,PM10
2018-03-03,Jorapokhar,1.0,Moderate,109,PM10
2018-03-04,Jorapokhar,1.0,Moderate,156,PM10
2018-03-06,Jorapokhar,1.0,Moderate,115,PM10
2018-03-07,Jorapokhar,1.0,Moderate,133,PM10
2018-03-08,Jorapokhar,1.0,Moderate,187,PM10
2018-03-09,Jorapokhar,1.0,Moderate,192,OZONE
2018-03-10,Jorapokhar,1.0,Moderate,112,PM10
2018-03-11,Jorapokhar,1.0,Moderate,130,PM10
2018-03-12,Jorapokhar,1.0,Moderate,165,PM10
2018-03-13,Jorapokhar,1.0,Moderate,148,PM10
2018-03-14,Jorapokhar,1.0,Moderate,118,PM10
2018-03-15,Jorapokhar,1.0,Moderate,141,PM10
2018-03-16,Jorapokhar,1.0,Moderate,174,PM10
2018-03-17,Jorapokhar,1.0,Moderate,120,PM10
