date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-01-25,Kadapa,1.0,Satisfactory,99,PM2.5
2023-01-26,Kadapa,1.0,Moderate,144,PM2.5
2023-01-27,Kadapa,1.0,Moderate,178,PM2.5
2023-01-28,Kadapa,1.0,Moderate,188,PM2.5
2023-01-29,Kadapa,1.0,Moderate,198,PM2.5
2023-01-30,Kadapa,1.0,Moderate,156,PM2.5
2023-01-31,Kadapa,1.0,Moderate,132,PM2.5
2023-02-01,Kadapa,1.0,Moderate,159,PM2.5
2023-02-02,Kadapa,1.0,Moderate,158,PM2.5
2023-02-03,Kadapa,1.0,Poor,228,PM2.5
2023-02-04,Kadapa,1.0,Poor,206,PM2.5
2023-02-05,Kadapa,1.0,Moderate,189,PM2.5
2023-02-06,Kadapa,1.0,Moderate,134,PM2.5
2023-02-07,Kadapa,1.0,Moderate,157,O3
2023-02-09,Kadapa,1.0,Moderate,159,PM2.5
2023-02-10,Kadapa,1.0,Moderate,191,PM2.5
2023-02-11,Kadapa,1.0,Moderate,190,PM2.5
2023-02-12,Kadapa,1.0,Poor,223,PM2.5
2023-02-13,Kadapa,1.0,Moderate,170,PM2.5
2023-02-14,Kadapa,1.0,Moderate,196,PM2.5
2023-02-15,Kadapa,1.0,Poor,216,PM2.5
2023-02-16,Kadapa,1.0,Poor,207,PM2.5
2023-02-17,Kadapa,1.0,Moderate,176,PM2.5
2023-02-18,Kadapa,1.0,Satisfactory,94,O3
2023-02-19,Kadapa,1.0,Satisfactory,67,O3
2023-02-20,Kadapa,1.0,Satisfactory,68,O3
2023-02-21,Kadapa,1.0,Moderate,154,PM2.5
2023-02-22,Kadapa,1.0,Moderate,184,PM2.5
2023-02-23,Kadapa,1.0,Satisfactory,84,O3
2023-02-24,Kadapa,1.0,Satisfactory,68,O3
2023-02-25,Kadapa,1.0,Satisfactory,65,O3
2023-02-28,Kadapa,1.0,Satisfactory,78,PM2.5
2023-03-01,Kadapa,1.0,Satisfactory,62,PM2.5
2023-03-02,Kadapa,1.0,Satisfactory,76,PM2.5
2023-03-03,Kadapa,1.0,Moderate,145,PM2.5
2023-03-04,Kadapa,1.0,Moderate,141,PM2.5
2023-03-05,Kadapa,1.0,Moderate,108,PM2.5
2023-03-06,Kadapa,1.0,Moderate,106,PM2.5
2023-03-07,Kadapa,1.0,Moderate,105,PM2.5
2023-03-08,Kadapa,1.0,Satisfactory,93,PM2.5
2023-03-09,Kadapa,1.0,Satisfactory,87,PM2.5
2023-03-10,Kadapa,1.0,Satisfactory,81,PM2.5
2023-03-11,Kadapa,1.0,Moderate,117,PM2.5
2023-03-12,Kadapa,1.0,Moderate,111,PM2.5
2023-03-13,Kadapa,1.0,Satisfactory,56,PM2.5
2023-03-14,Kadapa,1.0,Satisfactory,82,PM2.5
2023-03-17,Kadapa,1.0,Moderate,147,PM2.5
2023-03-19,Kadapa,1.0,Satisfactory,72,PM2.5
2023-03-20,Kadapa,1.0,Satisfactory,91,PM2.5
2023-03-21,Kadapa,1.0,Moderate,131,PM2.5
2023-03-22,Kadapa,1.0,Moderate,199,PM2.5
2023-03-25,Kadapa,1.0,Moderate,103,PM2.5
2023-04-01,Kadapa,1.0,Moderate,126,PM2.5
2023-04-02,Kadapa,1.0,Moderate,129,PM2.5
2023-04-03,Kadapa,1.0,Satisfactory,80,PM2.5
2023-04-04,Kadapa,1.0,Moderate,120,PM2.5
2023-04-05,Kadapa,1.0,Satisfactory,70,PM2.5
2023-04-06,Kadapa,1.0,Satisfactory,95,PM2.5
2023-04-07,Kadapa,1.0,Moderate,105,PM2.5
2023-04-11,Kadapa,1.0,Satisfactory,62,O3
2023-04-12,Kadapa,1.0,Satisfactory,75,O3
2023-04-18,Kadapa,1.0,Moderate,102,O3
2023-04-19,Kadapa,1.0,Satisfactory,75,PM2.5
2023-04-26,Kadapa,1.0,Good,39,O3
2023-04-27,Kadapa,1.0,Good,46,PM2.5
2023-04-29,Kadapa,1.0,Good,36,O3
2023-04-30,Kadapa,1.0,Good,34,O3
2023-05-01,Kadapa,1.0,Good,45,O3
2023-05-02,Kadapa,1.0,Good,31,O3
2023-05-03,Kadapa,1.0,Good,44,O3
2023-05-08,Kadapa,1.0,Satisfactory,59,O3
2023-05-09,Kadapa,1.0,Satisfactory,62,O3
2023-05-10,Kadapa,1.0,Satisfactory,57,O3
2023-05-11,Kadapa,1.0,Satisfactory,74,O3
2023-05-12,Kadapa,1.0,Satisfactory,57,O3
2023-05-13,Kadapa,1.0,Satisfactory,54,O3
2023-05-14,Kadapa,1.0,Good,45,O3
2023-05-15,Kadapa,1.0,Satisfactory,53,O3
2023-05-16,Kadapa,1.0,Satisfactory,57,O3
2023-05-17,Kadapa,1.0,Satisfactory,71,O3
2023-05-18,Kadapa,1.0,Satisfactory,70,O3
2023-05-19,Kadapa,1.0,Satisfactory,83,O3
2023-05-20,Kadapa,1.0,Satisfactory,53,O3
2023-05-21,Kadapa,1.0,Satisfactory,75,O3
2023-05-22,Kadapa,1.0,Satisfactory,70,O3
2023-05-23,Kadapa,1.0,Satisfactory,75,O3
2023-05-24,Kadapa,1.0,Satisfactory,62,O3
2023-05-25,Kadapa,1.0,Satisfactory,53,O3
2023-05-26,Kadapa,1.0,Good,49,O3
2023-05-27,Kadapa,1.0,Good,48,O3
2023-05-28,Kadapa,1.0,Satisfactory,55,O3
2023-05-29,Kadapa,1.0,Satisfactory,66,O3
2023-05-30,Kadapa,1.0,Satisfactory,64,O3
2023-05-31,Kadapa,1.0,Satisfactory,61,O3
2023-06-01,Kadapa,1.0,Satisfactory,56,O3
2023-06-02,Kadapa,1.0,Satisfactory,71,O3
2023-06-03,Kadapa,1.0,Satisfactory,52,O3
2023-06-04,Kadapa,1.0,Good,29,NO2
2023-06-05,Kadapa,1.0,Satisfactory,57,O3
2023-06-06,Kadapa,1.0,Good,35,O3
2023-06-07,Kadapa,1.0,Good,32,O3
2023-06-08,Kadapa,1.0,Satisfactory,56,PM2.5
2023-06-09,Kadapa,1.0,Good,43,O3
2023-06-10,Kadapa,1.0,Good,36,O3
2023-06-11,Kadapa,1.0,Good,34,O3
2023-06-12,Kadapa,1.0,Good,30,O3
2023-06-13,Kadapa,1.0,Good,31,O3
2023-06-14,Kadapa,1.0,Good,31,NO2
2023-06-15,Kadapa,1.0,Good,32,NO2
2023-06-16,Kadapa,1.0,Good,34,PM2.5
2023-06-17,Kadapa,1.0,Good,35,PM2.5
2023-06-18,Kadapa,1.0,Good,40,PM2.5
2023-06-19,Kadapa,1.0,Good,41,PM2.5
2023-06-20,Kadapa,1.0,Satisfactory,54,PM2.5
2023-06-21,Kadapa,1.0,Good,46,PM2.5
2023-06-22,Kadapa,1.0,Satisfactory,51,PM2.5
2023-06-23,Kadapa,1.0,Good,42,PM2.5
2023-06-24,Kadapa,1.0,Good,38,PM2.5
2023-06-25,Kadapa,1.0,Good,31,NO2
2023-06-26,Kadapa,1.0,Good,31,PM2.5
2023-06-27,Kadapa,1.0,Good,31,PM2.5
2023-06-28,Kadapa,1.0,Good,36,PM2.5
2023-06-29,Kadapa,1.0,Good,32,O3
2023-06-30,Kadapa,1.0,Good,30,O3
2023-07-01,Kadapa,1.0,Good,32,O3
2023-07-02,Kadapa,1.0,Good,38,PM2.5
2023-07-03,Kadapa,1.0,Good,29,PM2.5
2023-07-04,Kadapa,1.0,Good,32,NO2
2023-07-05,Kadapa,1.0,Good,31,NO2
2023-07-06,Kadapa,1.0,Good,33,O3
2023-07-07,Kadapa,1.0,Good,29,PM2.5
2023-07-08,Kadapa,1.0,Good,32,PM2.5
2023-07-09,Kadapa,1.0,Good,29,PM2.5
2023-07-10,Kadapa,1.0,Good,29,PM2.5
2023-07-11,Kadapa,1.0,Good,32,PM2.5
2023-07-12,Kadapa,1.0,Good,39,PM2.5
2023-07-13,Kadapa,1.0,Good,36,PM2.5
2023-07-14,Kadapa,1.0,Good,37,PM2.5
2023-07-15,Kadapa,1.0,Good,28,NO2
2023-07-16,Kadapa,1.0,Good,33,PM2.5
2023-07-17,Kadapa,1.0,Good,28,PM2.5
