date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-10-27,Kanchipuram,1.0,Satisfactory,55,SO2
2022-10-28,Kanchipuram,1.0,Satisfactory,55,SO2
2022-10-29,Kanchipuram,1.0,Satisfactory,55,SO2
2022-10-30,Kanchipuram,1.0,Satisfactory,55,SO2
2022-10-31,Kanchipuram,1.0,Satisfactory,64,PM10
2022-11-01,Kanchipuram,1.0,Satisfactory,56,SO2
2022-11-02,Kanchipuram,1.0,Satisfactory,56,SO2
2022-11-03,Kanchipuram,1.0,Satisfactory,55,SO2
2022-11-06,Kanchipuram,1.0,Satisfactory,56,SO2
2022-11-07,Kanchipuram,1.0,Satisfactory,65,PM10
2022-11-09,Kanchipuram,1.0,Satisfactory,64,PM10
2022-11-10,Kanchipuram,1.0,Satisfactory,56,SO2
2022-11-11,Kanchipuram,1.0,Satisfactory,56,SO2
2022-11-16,Kanchipuram,1.0,Satisfactory,85,PM10
2022-11-17,Kanchipuram,1.0,Satisfactory,85,PM10
2022-11-18,Kanchipuram,1.0,Satisfactory,92,PM10
2022-11-19,Kanchipuram,1.0,Satisfactory,82,PM10
2022-11-22,Kanchipuram,1.0,Satisfactory,58,PM10
2022-11-24,Kanchipuram,1.0,Satisfactory,58,SO2
2022-11-25,Kanchipuram,1.0,Satisfactory,58,SO2
2022-11-26,Kanchipuram,1.0,Satisfactory,57,SO2
2022-11-27,Kanchipuram,1.0,Satisfactory,58,PM10
2022-11-28,Kanchipuram,1.0,Satisfactory,68,PM10
2022-11-29,Kanchipuram,1.0,Satisfactory,90,PM10
2022-11-30,Kanchipuram,1.0,Satisfactory,72,PM10
2022-12-01,Kanchipuram,1.0,Satisfactory,70,PM10
2022-12-02,Kanchipuram,1.0,Satisfactory,56,SO2
2022-12-03,Kanchipuram,1.0,Satisfactory,56,SO2
2022-12-04,Kanchipuram,1.0,Satisfactory,56,SO2
2022-12-05,Kanchipuram,1.0,Satisfactory,73,PM10
2022-12-06,Kanchipuram,1.0,Moderate,105,PM10
2022-12-07,Kanchipuram,1.0,Moderate,114,PM10
2022-12-08,Kanchipuram,1.0,Satisfactory,100,PM10
2022-12-13,Kanchipuram,1.0,Satisfactory,57,SO2
2022-12-14,Kanchipuram,1.0,Satisfactory,58,SO2
2022-12-16,Kanchipuram,1.0,Satisfactory,58,SO2
2022-12-17,Kanchipuram,1.0,Satisfactory,69,PM10
2022-12-18,Kanchipuram,1.0,Satisfactory,88,PM10
2022-12-20,Kanchipuram,1.0,Satisfactory,65,PM10
2022-12-21,Kanchipuram,1.0,Satisfactory,75,PM10
2022-12-22,Kanchipuram,1.0,Satisfactory,80,PM10
2022-12-23,Kanchipuram,1.0,Satisfactory,97,PM10
2022-12-24,Kanchipuram,1.0,Moderate,104,PM10
2022-12-25,Kanchipuram,1.0,Satisfactory,58,SO2
2022-12-26,Kanchipuram,1.0,Satisfactory,58,SO2
2022-12-28,Kanchipuram,1.0,Satisfactory,57,SO2
2022-12-29,Kanchipuram,1.0,Satisfactory,58,SO2
2023-01-03,Kanchipuram,1.0,Satisfactory,67,PM10
2023-01-04,Kanchipuram,1.0,Satisfactory,66,PM10
2023-01-05,Kanchipuram,1.0,Satisfactory,71,PM10
2023-01-07,Kanchipuram,1.0,Satisfactory,70,PM10
2023-01-10,Kanchipuram,1.0,Satisfactory,67,PM10
2023-01-12,Kanchipuram,1.0,Satisfactory,70,PM10
2023-01-13,Kanchipuram,1.0,Satisfactory,86,PM10
2023-01-19,Kanchipuram,1.0,Satisfactory,76,PM10
2023-01-20,Kanchipuram,1.0,Satisfactory,76,PM10
2023-01-22,Kanchipuram,1.0,Satisfactory,78,PM10
2023-01-23,Kanchipuram,1.0,Satisfactory,68,PM10
2023-01-24,Kanchipuram,1.0,Satisfactory,53,PM10
2023-01-25,Kanchipuram,1.0,Satisfactory,61,PM10
2023-01-26,Kanchipuram,1.0,Satisfactory,96,PM10
2023-01-27,Kanchipuram,1.0,Satisfactory,87,PM10
2023-01-28,Kanchipuram,1.0,Satisfactory,67,PM10
2023-01-29,Kanchipuram,1.0,Satisfactory,86,PM10
2023-01-30,Kanchipuram,1.0,Satisfactory,68,PM10
2023-02-01,Kanchipuram,1.0,Satisfactory,69,PM10
2023-02-02,Kanchipuram,1.0,Satisfactory,54,PM10
2023-02-03,Kanchipuram,1.0,Satisfactory,72,PM10
2023-02-04,Kanchipuram,1.0,Satisfactory,74,PM10
2023-02-05,Kanchipuram,1.0,Satisfactory,86,PM10
2023-02-06,Kanchipuram,1.0,Satisfactory,80,PM10
2023-02-07,Kanchipuram,1.0,Satisfactory,86,PM10
2023-02-08,Kanchipuram,1.0,Satisfactory,84,PM10
2023-02-09,Kanchipuram,1.0,Satisfactory,88,PM10
2023-02-10,Kanchipuram,1.0,Satisfactory,69,PM10
2023-02-11,Kanchipuram,1.0,Satisfactory,84,PM10
2023-02-12,Kanchipuram,1.0,Moderate,108,PM10
2023-02-13,Kanchipuram,1.0,Satisfactory,99,PM10
2023-02-14,Kanchipuram,1.0,Moderate,101,PM10
2023-02-16,Kanchipuram,1.0,Moderate,102,PM10
2023-02-17,Kanchipuram,1.0,Moderate,102,PM10
2023-02-18,Kanchipuram,1.0,Satisfactory,91,PM10
2023-02-19,Kanchipuram,1.0,Good,49,PM10
2023-02-20,Kanchipuram,1.0,Good,46,PM10
2023-02-21,Kanchipuram,1.0,Satisfactory,65,PM10
2023-02-22,Kanchipuram,1.0,Moderate,102,PM10
2023-02-23,Kanchipuram,1.0,Satisfactory,92,PM10
2023-03-01,Kanchipuram,1.0,Satisfactory,74,PM10
2023-03-03,Kanchipuram,1.0,Moderate,106,PM10
2023-03-05,Kanchipuram,1.0,Satisfactory,79,PM10
2023-03-06,Kanchipuram,1.0,Satisfactory,74,PM10
2023-03-07,Kanchipuram,1.0,Moderate,103,PM10
2023-03-08,Kanchipuram,1.0,Satisfactory,78,PM10
2023-03-09,Kanchipuram,1.0,Satisfactory,80,PM10
2023-03-10,Kanchipuram,1.0,Satisfactory,73,PM10
2023-03-12,Kanchipuram,1.0,Satisfactory,76,PM10
2023-03-13,Kanchipuram,1.0,Satisfactory,66,PM10
2023-03-14,Kanchipuram,1.0,Satisfactory,83,PM10
2023-03-15,Kanchipuram,1.0,Satisfactory,84,PM10
2023-03-16,Kanchipuram,1.0,Satisfactory,62,PM10
2023-03-17,Kanchipuram,1.0,Good,50,PM10
2023-03-18,Kanchipuram,1.0,Good,45,PM10
2023-03-19,Kanchipuram,1.0,Good,26,PM10
2023-03-21,Kanchipuram,1.0,Good,31,PM10
2023-03-22,Kanchipuram,1.0,Good,33,PM10
2023-03-23,Kanchipuram,1.0,Good,32,PM10
2023-03-24,Kanchipuram,1.0,Good,33,PM10
2023-03-25,Kanchipuram,1.0,Good,26,PM10
2023-03-26,Kanchipuram,1.0,Good,36,PM10
2023-03-27,Kanchipuram,1.0,Good,32,PM10
2023-03-28,Kanchipuram,1.0,Good,39,PM10
2023-03-29,Kanchipuram,1.0,Good,46,PM10
2023-03-30,Kanchipuram,1.0,Satisfactory,54,PM10
2023-04-01,Kanchipuram,1.0,Good,44,PM10
2023-04-02,Kanchipuram,1.0,Good,36,PM10
2023-04-03,Kanchipuram,1.0,Good,33,PM10
2023-04-04,Kanchipuram,1.0,Good,31,PM10
2023-04-05,Kanchipuram,1.0,Good,34,PM10
2023-04-06,Kanchipuram,1.0,Good,37,PM10
2023-04-07,Kanchipuram,1.0,Good,31,PM10
2023-04-08,Kanchipuram,1.0,Good,42,PM10
2023-04-09,Kanchipuram,1.0,Satisfactory,52,PM10
2023-04-10,Kanchipuram,1.0,Good,42,PM10
2023-04-11,Kanchipuram,1.0,Satisfactory,54,PM10
2023-04-12,Kanchipuram,1.0,Satisfactory,81,PM10
2023-04-13,Kanchipuram,1.0,Satisfactory,95,PM10
2023-04-18,Kanchipuram,1.0,Satisfactory,75,PM10
2023-04-19,Kanchipuram,1.0,Satisfactory,60,PM10
2023-04-20,Kanchipuram,1.0,Satisfactory,57,PM10
2023-04-21,Kanchipuram,1.0,Satisfactory,59,PM10
2023-04-22,Kanchipuram,1.0,Satisfactory,68,PM10
2023-04-23,Kanchipuram,1.0,Satisfactory,66,PM10
2023-04-25,Kanchipuram,1.0,Good,34,PM10
2023-04-26,Kanchipuram,1.0,Good,46,PM10
2023-04-27,Kanchipuram,1.0,Satisfactory,75,PM10
2023-04-28,Kanchipuram,1.0,Satisfactory,54,PM10
2023-04-29,Kanchipuram,1.0,Good,41,PM10
2023-04-30,Kanchipuram,1.0,Good,32,PM10
2023-05-02,Kanchipuram,1.0,Good,19,SO2
2023-05-03,Kanchipuram,1.0,Good,21,PM10
2023-05-05,Kanchipuram,1.0,Good,31,PM10
2023-05-10,Kanchipuram,1.0,Satisfactory,56,PM10
2023-05-11,Kanchipuram,1.0,Satisfactory,71,PM10
2023-05-12,Kanchipuram,1.0,Satisfactory,71,PM10
2023-05-13,Kanchipuram,1.0,Satisfactory,74,PM10
2023-05-14,Kanchipuram,1.0,Satisfactory,55,PM10
2023-05-15,Kanchipuram,1.0,Poor,233,O3
2023-05-16,Kanchipuram,1.0,Satisfactory,71,PM10
2023-05-21,Kanchipuram,1.0,Good,47,PM10
2023-05-22,Kanchipuram,1.0,Very Poor,320,O3
2023-05-24,Kanchipuram,1.0,Good,44,PM10
2023-05-25,Kanchipuram,1.0,Good,46,PM10
2023-05-27,Kanchipuram,1.0,Good,43,PM10
2023-05-28,Kanchipuram,1.0,Good,49,PM10
2023-05-30,Kanchipuram,1.0,Satisfactory,60,PM10
2023-06-01,Kanchipuram,1.0,Satisfactory,56,PM10
2023-06-04,Kanchipuram,1.0,Satisfactory,65,PM10
2023-06-06,Kanchipuram,1.0,Good,34,PM10
2023-06-07,Kanchipuram,1.0,Good,40,PM10
2023-06-08,Kanchipuram,1.0,Good,34,PM10
2023-06-09,Kanchipuram,1.0,Good,30,PM10
2023-06-11,Kanchipuram,1.0,Good,19,PM10
2023-06-12,Kanchipuram,1.0,Good,28,PM10
2023-06-15,Kanchipuram,1.0,Satisfactory,57,PM10
2023-06-16,Kanchipuram,1.0,Satisfactory,62,PM10
2023-06-21,Kanchipuram,1.0,Good,22,PM10
2023-06-24,Kanchipuram,1.0,Good,39,PM10
2023-06-25,Kanchipuram,1.0,Good,42,PM10
2023-06-26,Kanchipuram,1.0,Good,45,PM10
2023-06-27,Kanchipuram,1.0,Good,37,PM10
2023-06-28,Kanchipuram,1.0,Good,25,PM10
2023-06-29,Kanchipuram,1.0,Good,29,PM10
2023-07-01,Kanchipuram,1.0,Good,34,PM10
2023-07-02,Kanchipuram,1.0,Good,30,PM10
2023-07-03,Kanchipuram,1.0,Good,32,PM10
2023-07-04,Kanchipuram,1.0,Good,19,SO2
2023-07-05,Kanchipuram,1.0,Good,19,SO2
2023-07-06,Kanchipuram,1.0,Good,19,SO2
2023-07-07,Kanchipuram,1.0,Good,21,PM10
2023-07-11,Kanchipuram,1.0,Good,27,SO2
2023-07-12,Kanchipuram,1.0,Good,31,SO2
2023-07-13,Kanchipuram,1.0,Good,31,SO2
2023-07-16,Kanchipuram,1.0,Good,31,PM10
2023-07-17,Kanchipuram,1.0,Good,40,PM10
2023-07-18,Kanchipuram,1.0,Satisfactory,68,CO
2023-07-21,Kanchipuram,1.0,Satisfactory,60,PM10
2023-07-22,Kanchipuram,1.0,Satisfactory,56,CO
2023-07-23,Kanchipuram,1.0,Satisfactory,55,CO
2023-07-24,Kanchipuram,1.0,Good,22,CO
2023-07-28,Kanchipuram,1.0,Good,32,PM10
2023-08-01,Kanchipuram,1.0,Good,49,PM10
2023-08-02,Kanchipuram,1.0,Good,46,PM10
2023-08-03,Kanchipuram,1.0,Good,42,PM10
2023-08-04,Kanchipuram,1.0,Good,49,PM10
2023-08-07,Kanchipuram,1.0,Good,41,PM10
2023-08-09,Kanchipuram,1.0,Good,31,PM10
2023-08-12,Kanchipuram,1.0,Good,29,PM10
2023-08-15,Kanchipuram,1.0,Satisfactory,51,CO
2023-08-16,Kanchipuram,1.0,Satisfactory,54,PM10
2023-08-17,Kanchipuram,1.0,Satisfactory,54,CO
2023-08-19,Kanchipuram,1.0,Good,39,PM10
2023-08-20,Kanchipuram,1.0,Good,32,PM10
2023-08-21,Kanchipuram,1.0,Good,39,PM10
2023-08-22,Kanchipuram,1.0,Good,47,PM10
2023-08-24,Kanchipuram,1.0,Good,45,PM10
2023-08-26,Kanchipuram,1.0,Good,45,PM10
2023-08-30,Kanchipuram,1.0,Good,27,PM10
2023-08-31,Kanchipuram,1.0,Good,19,PM10
2023-09-02,Kanchipuram,1.0,Good,25,CO
2023-09-05,Kanchipuram,1.0,Good,33,PM10
2023-09-06,Kanchipuram,1.0,Satisfactory,66,CO
2023-09-07,Kanchipuram,1.0,Good,13,PM10
2023-10-04,Kanchipuram,1.0,Good,38,PM10
2023-10-06,Kanchipuram,1.0,Satisfactory,55,PM10
2023-10-07,Kanchipuram,1.0,Satisfactory,62,PM10
2023-10-08,Kanchipuram,1.0,Good,43,PM10
2023-10-09,Kanchipuram,1.0,Good,35,PM10
2023-10-10,Kanchipuram,1.0,Good,35,PM10
2023-10-13,Kanchipuram,1.0,Satisfactory,75,PM10
2023-10-15,Kanchipuram,1.0,Good,47,PM10
2023-10-17,Kanchipuram,1.0,Good,48,PM10
2023-10-18,Kanchipuram,1.0,Satisfactory,71,PM10
