date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Karauli,1.0,Satisfactory,56,O3
2023-03-14,Karauli,1.0,Satisfactory,57,O3
2023-03-15,Karauli,1.0,Good,49,O3
2023-03-16,Karauli,1.0,Good,43,O3
2023-03-17,Karauli,1.0,Satisfactory,62,O3
2023-03-18,Karauli,1.0,Satisfactory,52,O3
2023-03-19,Karauli,1.0,Satisfactory,55,O3
2023-03-20,Karauli,1.0,Good,48,O3
2023-03-21,Karauli,1.0,Satisfactory,51,O3
2023-03-22,Karauli,1.0,Satisfactory,56,O3
2023-03-23,Karauli,1.0,Satisfactory,51,O3
2023-03-24,Karauli,1.0,Satisfactory,52,O3
2023-03-25,Karauli,1.0,Good,45,O3
2023-03-26,Karauli,1.0,Good,49,O3
2023-03-28,Karauli,1.0,Satisfactory,53,O3
2023-03-29,Karauli,1.0,Good,48,O3
2023-03-30,Karauli,1.0,Good,50,O3
2023-03-31,Karauli,1.0,Good,46,O3
2023-04-02,Karauli,1.0,Good,44,O3
2023-04-03,Karauli,1.0,Good,44,O3
2023-04-04,Karauli,1.0,Good,45,O3
2023-04-05,Karauli,1.0,Good,47,O3
2023-04-06,Karauli,1.0,Good,47,O3
2023-04-07,Karauli,1.0,Good,48,O3
2023-04-09,Karauli,1.0,Good,39,O3
2023-04-11,Karauli,1.0,Good,45,O3
2023-04-12,Karauli,1.0,Good,49,O3
2023-04-13,Karauli,1.0,Good,39,O3
2023-04-14,Karauli,1.0,Satisfactory,61,PM2.5
2023-04-15,Karauli,1.0,Good,50,PM2.5
2023-04-16,Karauli,1.0,Good,38,PM2.5
2023-04-17,Karauli,1.0,Good,38,PM2.5
2023-04-18,Karauli,1.0,Good,36,PM10
2023-04-19,Karauli,1.0,Satisfactory,63,PM10
2023-04-20,Karauli,1.0,Satisfactory,71,PM2.5
2023-04-21,Karauli,1.0,Satisfactory,59,PM2.5
2023-04-22,Karauli,1.0,Satisfactory,51,PM2.5
2023-04-23,Karauli,1.0,Good,49,PM2.5
2023-04-24,Karauli,1.0,Good,30,PM2.5
2023-04-25,Karauli,1.0,Good,22,NO2
2023-04-26,Karauli,1.0,Good,36,PM2.5
2023-04-27,Karauli,1.0,Good,31,PM2.5
2023-04-28,Karauli,1.0,Satisfactory,82,PM2.5
2023-04-29,Karauli,1.0,Satisfactory,72,O3
2023-04-30,Karauli,1.0,Satisfactory,73,O3
2023-05-01,Karauli,1.0,Satisfactory,75,O3
2023-05-02,Karauli,1.0,Satisfactory,88,O3
2023-05-03,Karauli,1.0,Satisfactory,95,O3
2023-05-04,Karauli,1.0,Moderate,101,O3
2023-05-05,Karauli,1.0,Moderate,124,O3
2023-05-06,Karauli,1.0,Moderate,122,O3
2023-05-07,Karauli,1.0,Satisfactory,84,O3
2023-05-08,Karauli,1.0,Satisfactory,94,O3
2023-05-09,Karauli,1.0,Moderate,152,O3
2023-05-10,Karauli,1.0,Moderate,178,O3
2023-05-11,Karauli,1.0,Moderate,129,O3
2023-05-12,Karauli,1.0,Moderate,130,O3
2023-05-13,Karauli,1.0,Moderate,111,O3
2023-05-15,Karauli,1.0,Satisfactory,80,O3
2023-05-16,Karauli,1.0,Satisfactory,69,PM10
2023-05-17,Karauli,1.0,Satisfactory,62,PM10
2023-05-18,Karauli,1.0,Moderate,111,O3
2023-05-19,Karauli,1.0,Moderate,135,O3
2023-05-20,Karauli,1.0,Moderate,120,O3
2023-05-21,Karauli,1.0,Satisfactory,80,O3
2023-05-22,Karauli,1.0,Satisfactory,74,O3
2023-05-23,Karauli,1.0,Satisfactory,71,O3
2023-05-24,Karauli,1.0,Satisfactory,93,O3
2023-05-25,Karauli,1.0,Moderate,106,O3
2023-05-27,Karauli,1.0,Satisfactory,88,O3
2023-05-28,Karauli,1.0,Satisfactory,76,O3
2023-05-29,Karauli,1.0,Satisfactory,84,O3
2023-05-30,Karauli,1.0,Satisfactory,93,O3
2023-05-31,Karauli,1.0,Satisfactory,86,O3
2023-06-01,Karauli,1.0,Satisfactory,72,PM10
2023-06-02,Karauli,1.0,Moderate,105,O3
2023-06-03,Karauli,1.0,Moderate,101,PM10
2023-06-04,Karauli,1.0,Moderate,116,O3
2023-06-05,Karauli,1.0,Moderate,131,O3
2023-06-06,Karauli,1.0,Moderate,136,O3
2023-06-07,Karauli,1.0,Moderate,166,O3
2023-06-08,Karauli,1.0,Moderate,116,O3
2023-06-09,Karauli,1.0,Satisfactory,92,O3
2023-06-10,Karauli,1.0,Satisfactory,74,O3
2023-06-11,Karauli,1.0,Satisfactory,87,O3
2023-06-12,Karauli,1.0,Satisfactory,81,O3
2023-06-13,Karauli,1.0,Satisfactory,93,O3
2023-06-14,Karauli,1.0,Satisfactory,67,O3
2023-06-15,Karauli,1.0,Satisfactory,70,O3
2023-06-16,Karauli,1.0,Satisfactory,63,O3
2023-06-17,Karauli,1.0,Satisfactory,61,O3
2023-06-18,Karauli,1.0,Satisfactory,51,PM10
2023-06-19,Karauli,1.0,Good,39,O3
2023-06-20,Karauli,1.0,Good,44,O3
2023-06-21,Karauli,1.0,Satisfactory,67,O3
2023-06-22,Karauli,1.0,Satisfactory,68,PM10
2023-06-23,Karauli,1.0,Satisfactory,70,PM10
2023-06-24,Karauli,1.0,Moderate,126,PM2.5
2023-06-25,Karauli,1.0,Satisfactory,60,O3
2023-06-27,Karauli,1.0,Satisfactory,75,O3
2023-06-28,Karauli,1.0,Moderate,196,O3
2023-06-29,Karauli,1.0,Satisfactory,90,O3
2023-06-30,Karauli,1.0,Satisfactory,69,PM10
2023-07-01,Karauli,1.0,Satisfactory,82,O3
2023-07-02,Karauli,1.0,Satisfactory,84,O3
2023-07-03,Karauli,1.0,Moderate,101,O3
2023-07-04,Karauli,1.0,Satisfactory,57,O3
2023-07-05,Karauli,1.0,Moderate,196,O3
2023-07-06,Karauli,1.0,Moderate,173,O3
2023-07-07,Karauli,1.0,Satisfactory,67,PM10
2023-07-08,Karauli,1.0,Good,34,O3
2023-07-09,Karauli,1.0,Moderate,106,PM10
2023-07-10,Karauli,1.0,Satisfactory,64,PM10
2023-07-11,Karauli,1.0,Satisfactory,64,PM10
2023-07-12,Karauli,1.0,Moderate,167,PM10
2023-07-13,Karauli,1.0,Satisfactory,71,O3
2023-07-14,Karauli,1.0,Satisfactory,66,O3
2023-07-15,Karauli,1.0,Satisfactory,59,PM10
2023-07-20,Karauli,1.0,Satisfactory,73,O3
2023-07-21,Karauli,1.0,Satisfactory,66,O3
2023-07-22,Karauli,1.0,Satisfactory,67,O3
2023-07-24,Karauli,1.0,Poor,203,PM2.5
2023-07-25,Karauli,1.0,Satisfactory,66,O3
2023-07-27,Karauli,1.0,Satisfactory,54,O3
2023-07-28,Karauli,1.0,Satisfactory,89,PM10
2023-07-29,Karauli,1.0,Satisfactory,55,O3
2023-07-30,Karauli,1.0,Satisfactory,53,O3
2023-07-31,Karauli,1.0,Good,49,O3
2023-08-01,Karauli,1.0,Satisfactory,66,PM10
2023-08-02,Karauli,1.0,Satisfactory,69,PM10
2023-08-03,Karauli,1.0,Satisfactory,97,PM10
2023-08-04,Karauli,1.0,Satisfactory,57,PM10
2023-08-05,Karauli,1.0,Good,43,O3
2023-08-06,Karauli,1.0,Satisfactory,99,PM10
2023-08-07,Karauli,1.0,Satisfactory,51,O3
2023-08-08,Karauli,1.0,Satisfactory,78,PM10
2023-08-09,Karauli,1.0,Satisfactory,82,PM10
2023-08-10,Karauli,1.0,Moderate,113,PM10
2023-08-11,Karauli,1.0,Moderate,113,PM10
2023-08-12,Karauli,1.0,Good,49,O3
2023-08-13,Karauli,1.0,Satisfactory,56,O3
2023-08-14,Karauli,1.0,Satisfactory,54,O3
2023-08-15,Karauli,1.0,Satisfactory,57,O3
2023-08-16,Karauli,1.0,Good,48,PM10
2023-08-17,Karauli,1.0,Good,45,O3
2023-08-18,Karauli,1.0,Satisfactory,68,PM10
