date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-02-14,Kashipur,1.0,Moderate,129,PM10
2023-02-15,Kashipur,1.0,Poor,240,PM2.5
2023-02-16,Kashipur,1.0,Moderate,166,PM2.5
2023-02-17,Kashipur,1.0,Moderate,102,PM10
2023-02-18,Kashipur,1.0,Satisfactory,87,PM10
2023-02-19,Kashipur,1.0,Moderate,102,PM10
2023-02-20,Kashipur,1.0,Moderate,154,PM2.5
2023-02-21,Kashipur,1.0,Moderate,135,PM2.5
2023-02-22,Kashipur,1.0,Satisfactory,91,PM10
2023-02-23,Kashipur,1.0,Moderate,101,PM10
2023-02-24,Kashipur,1.0,Satisfactory,90,PM10
2023-02-25,Kashipur,1.0,Moderate,103,PM10
2023-02-26,Kashipur,1.0,Moderate,118,PM10
2023-02-27,Kashipur,1.0,Moderate,108,PM10
2023-02-28,Kashipur,1.0,Moderate,114,PM10
2023-03-01,Kashipur,1.0,Moderate,101,PM10
2023-03-02,Kashipur,1.0,Satisfactory,71,PM10
2023-03-03,Kashipur,1.0,Satisfactory,96,PM10
2023-03-04,Kashipur,1.0,Satisfactory,96,PM10
2023-03-05,Kashipur,1.0,Satisfactory,93,PM10
2023-03-06,Kashipur,1.0,Satisfactory,98,PM10
2023-03-07,Kashipur,1.0,Satisfactory,98,PM10
2023-03-08,Kashipur,1.0,Satisfactory,86,PM10
2023-03-09,Kashipur,1.0,Satisfactory,62,PM10
2023-03-10,Kashipur,1.0,Satisfactory,84,PM10
2023-03-11,Kashipur,1.0,Moderate,103,PM10
2023-03-12,Kashipur,1.0,Moderate,107,PM10
2023-03-13,Kashipur,1.0,Moderate,120,PM10
2023-03-14,Kashipur,1.0,Moderate,120,PM10
2023-03-15,Kashipur,1.0,Satisfactory,69,PM10
2023-03-16,Kashipur,1.0,Satisfactory,80,PM10
2023-03-17,Kashipur,1.0,Satisfactory,71,PM10
2023-03-18,Kashipur,1.0,Satisfactory,79,PM10
2023-03-19,Kashipur,1.0,Satisfactory,69,PM10
2023-03-20,Kashipur,1.0,Satisfactory,63,PM10
2023-03-22,Kashipur,1.0,Good,46,PM10
2023-03-23,Kashipur,1.0,Satisfactory,88,PM2.5
2023-03-24,Kashipur,1.0,Moderate,106,PM10
2023-03-25,Kashipur,1.0,Satisfactory,70,PM10
2023-03-26,Kashipur,1.0,Satisfactory,59,PM10
2023-03-27,Kashipur,1.0,Satisfactory,100,PM10
2023-03-28,Kashipur,1.0,Satisfactory,98,PM2.5
2023-03-29,Kashipur,1.0,Satisfactory,100,PM2.5
2023-07-01,Kashipur,1.0,Good,20,PM10
2023-07-02,Kashipur,1.0,Good,21,PM10
2023-07-03,Kashipur,1.0,Good,37,PM10
2023-07-04,Kashipur,1.0,Good,38,PM10
2023-07-05,Kashipur,1.0,Good,50,PM10
2023-07-06,Kashipur,1.0,Good,38,PM10
2023-07-07,Kashipur,1.0,Good,30,PM10
2023-07-08,Kashipur,1.0,Good,35,PM10
2023-07-09,Kashipur,1.0,Good,25,PM10
2023-07-10,Kashipur,1.0,Good,38,PM10
2023-07-11,Kashipur,1.0,Good,45,PM10
2023-07-12,Kashipur,1.0,Good,31,PM10
2023-07-13,Kashipur,1.0,Good,41,PM10
2023-07-14,Kashipur,1.0,Good,31,PM10
2023-07-15,Kashipur,1.0,Good,40,PM10
2023-07-16,Kashipur,1.0,Good,44,PM10
2023-07-17,Kashipur,1.0,Satisfactory,52,PM10
2023-07-18,Kashipur,1.0,Good,48,PM10
