date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-11-23,Katihar,1.0,Very Poor,386,PM10
2021-11-24,Katihar,1.0,Poor,227,PM10
2021-11-26,Katihar,1.0,Poor,239,PM2.5
2021-11-27,Katihar,1.0,Severe,422,PM10
2021-11-28,Katihar,1.0,Very Poor,338,PM2.5
2021-11-29,Katihar,1.0,Very Poor,331,PM10
2021-12-01,Katihar,1.0,Very Poor,394,PM10
2021-12-02,Katihar,1.0,Very Poor,392,PM10
2021-12-03,Katihar,1.0,Severe,402,PM10
2021-12-04,Katihar,1.0,Severe,429,PM10
2021-12-05,Katihar,1.0,Poor,245,PM10
2021-12-06,Katihar,1.0,Very Poor,392,PM10
2021-12-07,Katihar,1.0,Very Poor,345,PM10
2021-12-08,Katihar,1.0,Poor,285,PM10
2021-12-09,Katihar,1.0,Very Poor,383,PM10
2021-12-10,Katihar,1.0,Poor,266,PM2.5
2021-12-11,Katihar,1.0,Very Poor,311,O3
2021-12-12,Katihar,1.0,Very Poor,320,PM2.5
2021-12-13,Katihar,1.0,Very Poor,343,PM2.5
2021-12-14,Katihar,1.0,Very Poor,339,PM2.5
2021-12-15,Katihar,1.0,Very Poor,355,PM2.5
2021-12-16,Katihar,1.0,Very Poor,375,PM2.5
2021-12-17,Katihar,1.0,Very Poor,311,PM2.5
2021-12-18,Katihar,1.0,Very Poor,319,PM2.5
2021-12-19,Katihar,1.0,Poor,283,PM2.5
2021-12-20,Katihar,1.0,Very Poor,325,PM2.5
2021-12-22,Katihar,1.0,Very Poor,337,PM2.5
2021-12-23,Katihar,1.0,Very Poor,331,PM2.5
2021-12-24,Katihar,1.0,Very Poor,325,PM2.5
2021-12-25,Katihar,1.0,Poor,235,PM2.5
2021-12-26,Katihar,1.0,Moderate,158,PM10
2021-12-27,Katihar,1.0,Poor,260,PM2.5
2021-12-28,Katihar,1.0,Very Poor,316,PM2.5
2021-12-29,Katihar,1.0,Moderate,174,PM10
2021-12-30,Katihar,1.0,Satisfactory,71,PM10
2021-12-31,Katihar,1.0,Poor,235,PM2.5
2022-01-01,Katihar,1.0,Poor,263,PM2.5
2022-01-02,Katihar,1.0,Poor,232,PM2.5
2022-01-03,Katihar,1.0,Poor,290,PM2.5
2022-01-04,Katihar,1.0,Very Poor,333,PM2.5
2022-01-05,Katihar,1.0,Poor,292,PM2.5
2022-01-06,Katihar,1.0,Poor,277,PM2.5
2022-01-07,Katihar,1.0,Very Poor,342,PM2.5
2022-01-08,Katihar,1.0,Very Poor,336,PM2.5
2022-01-09,Katihar,1.0,Very Poor,305,PM2.5
2022-01-10,Katihar,1.0,Very Poor,323,PM2.5
2022-01-11,Katihar,1.0,Very Poor,329,PM2.5
2022-01-12,Katihar,1.0,Very Poor,318,PM2.5
2022-01-13,Katihar,1.0,Poor,218,PM2.5
2022-01-14,Katihar,1.0,Poor,233,PM2.5
2022-01-15,Katihar,1.0,Poor,294,PM2.5
2022-01-16,Katihar,1.0,Poor,271,PM2.5
2022-01-17,Katihar,1.0,Very Poor,316,PM2.5
2022-01-18,Katihar,1.0,Very Poor,327,PM2.5
2022-01-19,Katihar,1.0,Very Poor,324,PM2.5
2022-01-20,Katihar,1.0,Very Poor,345,PM2.5
2022-01-21,Katihar,1.0,Very Poor,320,PM2.5
2022-01-22,Katihar,1.0,Very Poor,343,PM2.5
2022-01-23,Katihar,1.0,Very Poor,326,PM2.5
2022-01-24,Katihar,1.0,Poor,221,PM2.5
2022-01-25,Katihar,1.0,Very Poor,359,PM2.5
2022-01-28,Katihar,1.0,Poor,226,PM2.5
2022-01-29,Katihar,1.0,Very Poor,329,PM2.5
2022-01-30,Katihar,1.0,Very Poor,348,PM2.5
2022-01-31,Katihar,1.0,Very Poor,387,PM2.5
2022-02-03,Katihar,1.0,Poor,253,PM2.5
2022-02-06,Katihar,1.0,Moderate,143,PM10
2022-02-07,Katihar,1.0,Poor,266,PM10
2022-02-08,Katihar,1.0,Poor,283,PM2.5
2022-02-09,Katihar,1.0,Very Poor,305,PM10
2022-02-10,Katihar,1.0,Very Poor,302,PM2.5
2022-02-11,Katihar,1.0,Poor,265,PM10
2022-02-12,Katihar,1.0,Poor,202,PM10
2022-02-13,Katihar,1.0,Poor,291,PM2.5
2022-02-14,Katihar,1.0,Poor,282,PM2.5
2022-02-15,Katihar,1.0,Poor,264,PM2.5
2022-02-16,Katihar,1.0,Poor,266,PM2.5
2022-02-17,Katihar,1.0,Poor,291,PM2.5
2022-02-18,Katihar,1.0,Poor,238,PM2.5
2022-02-19,Katihar,1.0,Poor,242,PM10
2022-02-20,Katihar,1.0,Moderate,187,PM10
2022-02-21,Katihar,1.0,Poor,237,PM10
2022-02-22,Katihar,1.0,Poor,229,PM10
2022-02-23,Katihar,1.0,Very Poor,374,PM10
2022-02-24,Katihar,1.0,Very Poor,308,PM10
2022-02-25,Katihar,1.0,Poor,215,PM10
2022-02-26,Katihar,1.0,Poor,236,PM10
2022-02-27,Katihar,1.0,Very Poor,315,PM10
2022-02-28,Katihar,1.0,Poor,231,PM10
2022-03-01,Katihar,1.0,Poor,249,PM10
2022-03-02,Katihar,1.0,Poor,243,PM10
2022-03-03,Katihar,1.0,Poor,282,PM2.5
2022-03-04,Katihar,1.0,Poor,274,PM2.5
2022-03-05,Katihar,1.0,Poor,237,PM2.5
2022-03-06,Katihar,1.0,Poor,285,PM2.5
2022-03-07,Katihar,1.0,Very Poor,323,PM2.5
2022-03-08,Katihar,1.0,Poor,289,PM2.5
2022-03-09,Katihar,1.0,Poor,270,PM2.5
2022-03-10,Katihar,1.0,Poor,280,PM2.5
2022-03-11,Katihar,1.0,Poor,294,PM2.5
2022-03-12,Katihar,1.0,Poor,261,PM2.5
2022-03-13,Katihar,1.0,Very Poor,303,PM2.5
2022-03-15,Katihar,1.0,Very Poor,318,PM2.5
2022-03-16,Katihar,1.0,Very Poor,360,PM2.5
2022-03-17,Katihar,1.0,Very Poor,364,PM10
2022-03-18,Katihar,1.0,Very Poor,370,PM2.5
2022-03-19,Katihar,1.0,Very Poor,305,PM2.5
2022-03-20,Katihar,1.0,Very Poor,325,PM2.5
2022-03-21,Katihar,1.0,Very Poor,323,PM2.5
2022-03-22,Katihar,1.0,Very Poor,363,PM2.5
2022-03-23,Katihar,1.0,Severe,429,PM10
2022-03-24,Katihar,1.0,Very Poor,346,PM10
2022-03-25,Katihar,1.0,Poor,271,PM10
2022-03-26,Katihar,1.0,Poor,229,PM10
2022-03-27,Katihar,1.0,Poor,232,PM10
2022-03-29,Katihar,1.0,Poor,298,PM10
2022-03-30,Katihar,1.0,Poor,270,PM2.5
2022-04-10,Katihar,1.0,Moderate,144,PM10
2022-04-11,Katihar,1.0,Moderate,120,PM10
2022-04-12,Katihar,1.0,Moderate,130,PM10
2022-04-14,Katihar,1.0,Poor,251,PM2.5
2022-04-16,Katihar,1.0,Poor,225,PM10
2022-04-17,Katihar,1.0,Poor,225,PM2.5
2022-04-18,Katihar,1.0,Moderate,176,PM10
2022-04-19,Katihar,1.0,Moderate,139,PM10
2022-04-22,Katihar,1.0,Poor,208,PM2.5
2022-04-23,Katihar,1.0,Moderate,174,PM2.5
2022-04-24,Katihar,1.0,Poor,280,PM10
2022-04-25,Katihar,1.0,Moderate,200,PM2.5
2022-04-26,Katihar,1.0,Poor,258,PM2.5
2022-04-27,Katihar,1.0,Moderate,156,PM10
2022-04-28,Katihar,1.0,Moderate,129,PM10
2022-04-29,Katihar,1.0,Moderate,142,PM10
2022-04-30,Katihar,1.0,Moderate,101,PM2.5
2022-05-01,Katihar,1.0,Good,46,O3
2022-05-04,Katihar,1.0,Satisfactory,65,PM10
2022-05-05,Katihar,1.0,Moderate,121,PM10
2022-05-06,Katihar,1.0,Moderate,171,PM2.5
2022-05-07,Katihar,1.0,Moderate,125,PM10
2022-05-08,Katihar,1.0,Moderate,152,PM10
2022-05-09,Katihar,1.0,Moderate,146,PM10
2022-05-10,Katihar,1.0,Satisfactory,81,PM10
2022-05-11,Katihar,1.0,Satisfactory,90,PM10
2022-05-12,Katihar,1.0,Moderate,106,PM10
2022-05-14,Katihar,1.0,Satisfactory,99,PM10
2022-05-15,Katihar,1.0,Moderate,118,PM10
2022-05-16,Katihar,1.0,Moderate,103,PM10
2022-05-18,Katihar,1.0,Moderate,113,PM10
2022-05-19,Katihar,1.0,Moderate,186,PM10
2022-05-22,Katihar,1.0,Moderate,111,PM10
