date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-27,Keonjhar,1.0,Moderate,152,O3
2022-11-28,Keonjhar,1.0,Moderate,154,O3
2022-11-29,Keonjhar,1.0,Poor,256,PM2.5
2022-11-30,Keonjhar,1.0,Poor,236,PM2.5
2022-12-01,Keonjhar,1.0,Moderate,172,PM2.5
2022-12-02,Keonjhar,1.0,Moderate,191,PM2.5
2022-12-04,Keonjhar,1.0,Poor,253,PM2.5
2022-12-05,Keonjhar,1.0,Poor,289,PM2.5
2022-12-06,Keonjhar,1.0,Poor,236,PM2.5
2022-12-08,Keonjhar,1.0,Poor,228,PM2.5
2022-12-09,Keonjhar,1.0,Poor,257,PM2.5
2022-12-10,Keonjhar,1.0,Poor,255,PM2.5
2022-12-11,Keonjhar,1.0,Poor,284,PM2.5
2022-12-12,Keonjhar,1.0,Moderate,173,PM2.5
2022-12-13,Keonjhar,1.0,Moderate,175,O3
2022-12-14,Keonjhar,1.0,Moderate,159,PM2.5
2022-12-15,Keonjhar,1.0,Moderate,106,O3
2022-12-16,Keonjhar,1.0,Satisfactory,97,PM10
2022-12-17,Keonjhar,1.0,Moderate,176,O3
2022-12-18,Keonjhar,1.0,Moderate,164,O3
2022-12-19,Keonjhar,1.0,Moderate,197,PM2.5
2022-12-20,Keonjhar,1.0,Poor,224,PM2.5
2022-12-21,Keonjhar,1.0,Moderate,191,PM2.5
2022-12-22,Keonjhar,1.0,Poor,246,PM2.5
2022-12-23,Keonjhar,1.0,Moderate,160,PM2.5
2022-12-24,Keonjhar,1.0,Moderate,199,PM2.5
2022-12-25,Keonjhar,1.0,Moderate,121,PM2.5
2022-12-27,Keonjhar,1.0,Satisfactory,79,PM2.5
2022-12-28,Keonjhar,1.0,Moderate,119,PM2.5
2022-12-29,Keonjhar,1.0,Moderate,199,PM2.5
2022-12-30,Keonjhar,1.0,Satisfactory,95,PM10
2022-12-31,Keonjhar,1.0,Poor,217,O3
2023-01-01,Keonjhar,1.0,Poor,220,PM2.5
2023-01-02,Keonjhar,1.0,Poor,298,PM2.5
2023-01-03,Keonjhar,1.0,Very Poor,307,PM2.5
2023-01-04,Keonjhar,1.0,Very Poor,311,PM2.5
2023-01-05,Keonjhar,1.0,Very Poor,328,PM2.5
2023-01-06,Keonjhar,1.0,Poor,270,PM2.5
2023-01-07,Keonjhar,1.0,Satisfactory,91,PM10
2023-01-08,Keonjhar,1.0,Moderate,110,PM2.5
2023-01-10,Keonjhar,1.0,Moderate,167,O3
2023-01-12,Keonjhar,1.0,Poor,270,O3
2023-01-13,Keonjhar,1.0,Poor,220,PM2.5
2023-01-14,Keonjhar,1.0,Moderate,190,O3
2023-01-15,Keonjhar,1.0,Moderate,192,PM2.5
2023-01-16,Keonjhar,1.0,Moderate,200,PM2.5
2023-01-17,Keonjhar,1.0,Poor,253,PM10
2023-01-18,Keonjhar,1.0,Poor,273,PM2.5
2023-01-19,Keonjhar,1.0,Very Poor,306,PM2.5
2023-01-20,Keonjhar,1.0,Poor,292,PM2.5
2023-01-22,Keonjhar,1.0,Poor,299,PM2.5
2023-01-23,Keonjhar,1.0,Poor,269,PM2.5
2023-01-24,Keonjhar,1.0,Poor,215,PM2.5
2023-01-25,Keonjhar,1.0,Moderate,188,O3
2023-01-26,Keonjhar,1.0,Poor,206,PM2.5
