date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-06-03,Khurja,1.0,Poor,213,PM2.5
2022-06-04,Khurja,1.0,Moderate,136,PM10
2022-06-05,Khurja,1.0,Moderate,150,PM10
2022-06-06,Khurja,1.0,Moderate,148,PM10
2022-06-08,Khurja,1.0,Poor,290,PM10
2022-06-09,Khurja,1.0,Moderate,166,PM10
2022-06-10,Khurja,1.0,Moderate,193,PM10
2022-06-11,Khurja,1.0,Poor,201,PM10
2022-06-12,Khurja,1.0,Moderate,174,PM10
2022-06-13,Khurja,1.0,Moderate,141,PM10
2022-06-14,Khurja,1.0,Moderate,160,PM10
2022-06-15,Khurja,1.0,Moderate,122,PM10
2022-06-16,Khurja,1.0,Satisfactory,91,PM10
2022-06-17,Khurja,1.0,Good,48,PM10
2022-06-18,Khurja,1.0,Good,38,PM2.5
2022-06-19,Khurja,1.0,Good,50,PM2.5
2022-06-20,Khurja,1.0,Satisfactory,85,PM2.5
2022-06-21,Khurja,1.0,Moderate,162,PM10
2022-06-23,Khurja,1.0,Moderate,106,PM10
2022-06-24,Khurja,1.0,Moderate,139,PM10
2022-06-25,Khurja,1.0,Moderate,122,PM10
2022-06-26,Khurja,1.0,Satisfactory,99,PM10
2022-06-27,Khurja,1.0,Satisfactory,62,PM2.5
2022-06-28,Khurja,1.0,Satisfactory,91,PM2.5
2022-07-01,Khurja,1.0,Good,43,PM10
2022-07-02,Khurja,1.0,Satisfactory,60,PM10
2022-07-03,Khurja,1.0,Good,43,PM10
2022-07-07,Khurja,1.0,Satisfactory,62,PM10
2022-07-12,Khurja,1.0,Good,19,CO
2022-07-14,Khurja,1.0,Good,19,CO
2022-07-17,Khurja,1.0,Good,20,CO
2022-07-18,Khurja,1.0,Good,25,CO
2022-07-19,Khurja,1.0,Good,25,PM2.5
2022-07-21,Khurja,1.0,Good,21,CO
2022-07-22,Khurja,1.0,Satisfactory,74,PM2.5
2022-07-23,Khurja,1.0,Good,24,PM10
2022-07-25,Khurja,1.0,Satisfactory,87,PM10
2022-07-26,Khurja,1.0,Satisfactory,91,PM10
2022-07-27,Khurja,1.0,Satisfactory,94,PM10
2022-07-28,Khurja,1.0,Satisfactory,77,PM10
2022-07-30,Khurja,1.0,Satisfactory,75,PM10
2022-07-31,Khurja,1.0,Satisfactory,94,PM10
2022-08-01,Khurja,1.0,Moderate,114,PM10
2022-08-02,Khurja,1.0,Satisfactory,84,PM2.5
2022-08-03,Khurja,1.0,Moderate,130,PM2.5
2022-08-05,Khurja,1.0,Satisfactory,79,PM2.5
2022-08-06,Khurja,1.0,Moderate,112,PM2.5
2022-08-07,Khurja,1.0,Moderate,104,PM2.5
2022-08-08,Khurja,1.0,Satisfactory,88,PM2.5
2022-08-09,Khurja,1.0,Satisfactory,98,PM2.5
2022-08-10,Khurja,1.0,Satisfactory,85,PM10
2022-08-11,Khurja,1.0,Satisfactory,89,PM10
2022-08-12,Khurja,1.0,Moderate,110,PM10
2022-08-13,Khurja,1.0,Satisfactory,98,PM10
2022-08-14,Khurja,1.0,Moderate,114,PM2.5
2022-08-15,Khurja,1.0,Satisfactory,89,PM10
2022-08-16,Khurja,1.0,Satisfactory,90,PM10
2022-08-17,Khurja,1.0,Satisfactory,56,PM2.5
2022-08-18,Khurja,1.0,Satisfactory,70,PM2.5
2022-08-19,Khurja,1.0,Satisfactory,94,PM10
2022-08-20,Khurja,1.0,Moderate,113,PM10
2022-08-22,Khurja,1.0,Moderate,137,PM2.5
2022-08-23,Khurja,1.0,Satisfactory,86,PM2.5
2022-08-25,Khurja,1.0,Satisfactory,98,PM10
2022-08-26,Khurja,1.0,Moderate,136,PM10
2022-08-27,Khurja,1.0,Moderate,118,PM2.5
2022-08-28,Khurja,1.0,Very Poor,306,PM10
2022-08-30,Khurja,1.0,Satisfactory,91,PM2.5
2022-08-31,Khurja,1.0,Moderate,120,PM2.5
2022-09-01,Khurja,1.0,Satisfactory,96,PM2.5
2022-09-02,Khurja,1.0,Satisfactory,88,PM2.5
2022-09-03,Khurja,1.0,Satisfactory,98,PM2.5
2022-09-04,Khurja,1.0,Satisfactory,85,PM2.5
2022-09-05,Khurja,1.0,Satisfactory,73,SO2
2022-09-06,Khurja,1.0,Satisfactory,99,PM2.5
2022-09-07,Khurja,1.0,Moderate,144,PM2.5
2022-09-08,Khurja,1.0,Moderate,157,PM2.5
2022-09-09,Khurja,1.0,Moderate,135,PM2.5
2022-09-10,Khurja,1.0,Moderate,143,PM2.5
2022-09-11,Khurja,1.0,Satisfactory,79,PM2.5
2022-09-12,Khurja,1.0,Satisfactory,79,SO2
2022-09-13,Khurja,1.0,Satisfactory,74,SO2
2022-09-14,Khurja,1.0,Satisfactory,60,PM2.5
2022-09-15,Khurja,1.0,Satisfactory,55,PM2.5
2022-09-16,Khurja,1.0,Satisfactory,54,PM2.5
2022-09-17,Khurja,1.0,Satisfactory,54,PM2.5
2022-09-18,Khurja,1.0,Satisfactory,74,PM2.5
2022-09-19,Khurja,1.0,Moderate,112,PM2.5
2022-09-20,Khurja,1.0,Moderate,115,PM2.5
2022-09-21,Khurja,1.0,Satisfactory,84,PM2.5
2022-09-23,Khurja,1.0,Satisfactory,57,PM2.5
2022-09-24,Khurja,1.0,Satisfactory,67,PM2.5
2022-09-25,Khurja,1.0,Satisfactory,62,PM2.5
2022-09-26,Khurja,1.0,Satisfactory,90,PM2.5
2022-09-27,Khurja,1.0,Moderate,152,PM2.5
2022-09-28,Khurja,1.0,Moderate,157,PM2.5
2022-09-29,Khurja,1.0,Moderate,172,PM2.5
