date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-09-04,Kohima,1.0,Satisfactory,57,PM10
2020-09-05,Kohima,1.0,Good,49,PM10
2020-09-06,Kohima,1.0,Satisfactory,61,PM10
2020-09-07,Kohima,1.0,Good,38,PM10
2020-09-08,Kohima,1.0,Good,45,PM10
2020-09-09,Kohima,1.0,Good,46,PM10
2020-09-10,Kohima,1.0,Good,47,PM10
2020-09-11,Kohima,1.0,Good,50,PM10
2020-09-12,Kohima,1.0,Good,40,PM10
2020-09-13,Kohima,1.0,Satisfactory,61,PM10
2020-09-14,Kohima,1.0,Good,42,PM10
2020-09-15,Kohima,1.0,Good,38,PM10
2020-09-17,Kohima,1.0,Good,35,PM10
2020-09-18,Kohima,1.0,Good,35,PM10
2020-09-19,Kohima,1.0,Satisfactory,51,PM2.5
2020-09-20,Kohima,1.0,Good,34,PM10
2020-09-21,Kohima,1.0,Good,20,PM10
2020-09-24,Kohima,1.0,Good,38,PM10
2020-09-25,Kohima,1.0,Good,34,PM10
2020-09-26,Kohima,1.0,Satisfactory,63,PM10
2020-09-27,Kohima,1.0,Good,27,PM10
2020-09-28,Kohima,1.0,Good,47,PM10
2020-09-29,Kohima,1.0,Good,42,PM10
2020-09-30,Kohima,1.0,Satisfactory,54,PM10
2020-10-01,Kohima,1.0,Satisfactory,71,PM10
2020-10-02,Kohima,1.0,Good,33,PM10
2020-10-03,Kohima,1.0,Good,46,PM10
2020-10-04,Kohima,1.0,Good,45,PM10
2020-10-05,Kohima,1.0,Good,29,PM10
2020-10-06,Kohima,1.0,Good,22,PM2.5
2020-10-07,Kohima,1.0,Good,40,PM10
2020-10-08,Kohima,1.0,Satisfactory,60,PM10
2020-10-09,Kohima,1.0,Satisfactory,57,PM10
2020-10-10,Kohima,1.0,Satisfactory,78,PM10
2020-10-11,Kohima,1.0,Satisfactory,53,PM10
2020-10-12,Kohima,1.0,Satisfactory,64,PM10
2020-10-13,Kohima,1.0,Satisfactory,56,PM10
2020-10-14,Kohima,1.0,Satisfactory,63,PM10
2020-10-15,Kohima,1.0,Satisfactory,55,PM10
2020-10-16,Kohima,1.0,Good,47,PM10
2020-10-17,Kohima,1.0,Satisfactory,72,PM10
2020-10-18,Kohima,1.0,Satisfactory,63,PM10
2020-10-19,Kohima,1.0,Good,36,PM10
2020-10-20,Kohima,1.0,Satisfactory,83,PM10
2020-10-21,Kohima,1.0,Satisfactory,78,PM10
2020-10-22,Kohima,1.0,Satisfactory,60,PM10
2020-10-23,Kohima,1.0,Good,31,PM2.5
2020-10-25,Kohima,1.0,Good,37,PM10
2020-10-27,Kohima,1.0,Satisfactory,71,PM10
2020-10-28,Kohima,1.0,Satisfactory,61,PM10
2020-10-29,Kohima,1.0,Satisfactory,61,PM10
2020-10-30,Kohima,1.0,Satisfactory,65,PM10
2020-10-31,Kohima,1.0,Good,38,PM10
2020-11-01,Kohima,1.0,Good,38,PM2.5
2020-11-02,Kohima,1.0,Good,33,PM2.5
2020-11-03,Kohima,1.0,Satisfactory,53,PM10
2020-11-04,Kohima,1.0,Satisfactory,100,PM10
2020-11-05,Kohima,1.0,Moderate,107,PM10
2020-11-06,Kohima,1.0,Moderate,102,PM10
2020-11-07,Kohima,1.0,Satisfactory,87,PM10
2020-11-08,Kohima,1.0,Satisfactory,56,PM10
2020-11-09,Kohima,1.0,Good,47,PM10
2020-11-10,Kohima,1.0,Satisfactory,63,PM10
2020-11-12,Kohima,1.0,Satisfactory,68,PM10
2020-11-13,Kohima,1.0,Satisfactory,65,PM10
2020-11-14,Kohima,1.0,Satisfactory,70,PM10
2020-11-15,Kohima,1.0,Satisfactory,51,PM10
2020-11-16,Kohima,1.0,Good,35,PM10
2020-11-17,Kohima,1.0,Satisfactory,80,PM10
2020-11-18,Kohima,1.0,Moderate,107,PM10
2020-11-19,Kohima,1.0,Moderate,108,PM2.5
2020-11-21,Kohima,1.0,Satisfactory,87,PM10
2020-11-22,Kohima,1.0,Moderate,156,PM2.5
2020-11-24,Kohima,1.0,Satisfactory,94,PM10
2020-11-25,Kohima,1.0,Satisfactory,68,PM10
2020-11-26,Kohima,1.0,Satisfactory,78,PM10
2020-11-28,Kohima,1.0,Moderate,121,PM10
2020-11-29,Kohima,1.0,Satisfactory,62,PM10
2020-11-30,Kohima,1.0,Satisfactory,51,PM10
2020-12-01,Kohima,1.0,Satisfactory,74,PM10
2020-12-02,Kohima,1.0,Satisfactory,76,PM10
2020-12-04,Kohima,1.0,Satisfactory,71,PM10
2020-12-05,Kohima,1.0,Satisfactory,91,PM10
2020-12-06,Kohima,1.0,Satisfactory,75,PM10
2020-12-07,Kohima,1.0,Satisfactory,91,PM2.5
2020-12-08,Kohima,1.0,Moderate,106,PM10
2020-12-09,Kohima,1.0,Satisfactory,90,PM2.5
