date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-01-13,Kolar,1.0,Satisfactory,54,NO2
2021-01-16,Kolar,1.0,Satisfactory,74,NO2
2021-01-17,Kolar,1.0,Satisfactory,63,NO2
2021-01-19,Kolar,1.0,Good,49,SO2
2021-01-20,Kolar,1.0,Good,49,SO2
2021-01-21,Kolar,1.0,Good,47,SO2
2021-01-22,Kolar,1.0,Good,47,SO2
2021-01-23,Kolar,1.0,Satisfactory,52,O3
2021-01-25,Kolar,1.0,Good,50,O3
2021-01-26,Kolar,1.0,Good,49,O3
2021-01-27,Kolar,1.0,Satisfactory,58,O3
2021-01-28,Kolar,1.0,Satisfactory,61,NO2
2021-01-29,Kolar,1.0,Satisfactory,54,O3
2021-01-30,Kolar,1.0,Satisfactory,54,CO
2021-01-31,Kolar,1.0,Satisfactory,54,O3
2021-02-01,Kolar,1.0,Good,48,O3
2021-02-02,Kolar,1.0,Satisfactory,58,O3
2021-02-03,Kolar,1.0,Satisfactory,71,O3
2021-02-04,Kolar,1.0,Satisfactory,64,O3
2021-02-06,Kolar,1.0,Satisfactory,73,O3
2021-02-09,Kolar,1.0,Satisfactory,67,O3
2021-02-10,Kolar,1.0,Satisfactory,74,O3
2021-02-11,Kolar,1.0,Satisfactory,79,O3
2021-02-12,Kolar,1.0,Satisfactory,55,O3
2021-02-14,Kolar,1.0,Satisfactory,58,O3
2021-02-16,Kolar,1.0,Satisfactory,70,O3
2021-02-18,Kolar,1.0,Satisfactory,72,O3
2021-02-20,Kolar,1.0,Satisfactory,53,SO2
2021-02-21,Kolar,1.0,Good,45,SO2
2021-02-22,Kolar,1.0,Good,47,SO2
2021-02-28,Kolar,1.0,Satisfactory,79,NO2
2021-03-01,Kolar,1.0,Satisfactory,61,CO
2021-03-02,Kolar,1.0,Satisfactory,78,O3
2021-03-05,Kolar,1.0,Satisfactory,58,NO2
2021-03-06,Kolar,1.0,Satisfactory,64,O3
2021-03-07,Kolar,1.0,Satisfactory,75,O3
2021-03-08,Kolar,1.0,Satisfactory,60,CO
2021-03-09,Kolar,1.0,Satisfactory,53,CO
2021-03-10,Kolar,1.0,Good,49,SO2
2021-03-11,Kolar,1.0,Satisfactory,53,CO
