date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-04-25,Kolhapur,2.0,Satisfactory,92,O3
2023-04-26,Kolhapur,2.0,Satisfactory,62,"O3, PM10"
2023-04-27,Kolhapur,2.0,Satisfactory,70,O3
2023-04-28,Kolhapur,2.0,Satisfactory,72,PM10
2023-04-29,Kolhapur,2.0,Satisfactory,61,PM10
2023-04-30,Kolhapur,2.0,Satisfactory,62,PM10
2023-05-01,Kolhapur,2.0,Satisfactory,56,PM10
2023-05-02,Kolhapur,2.0,Satisfactory,55,O3
2023-05-03,Kolhapur,2.0,Satisfactory,54,O3
2023-05-04,Kolhapur,2.0,Satisfactory,69,O3
2023-05-05,Kolhapur,2.0,Satisfactory,99,O3
2023-05-06,Kolhapur,2.0,Satisfactory,68,O3
2023-05-07,Kolhapur,2.0,Satisfactory,74,O3
2023-05-08,Kolhapur,2.0,Moderate,120,O3
2023-05-09,Kolhapur,2.0,Moderate,125,O3
2023-05-10,Kolhapur,2.0,Satisfactory,59,"NO2, O3"
2023-05-11,Kolhapur,2.0,Satisfactory,92,O3
2023-05-12,Kolhapur,2.0,Good,50,PM2.5
2023-05-13,Kolhapur,2.0,Satisfactory,79,PM10
2023-05-14,Kolhapur,2.0,Satisfactory,61,PM10
2023-05-15,Kolhapur,2.0,Satisfactory,54,"O3, PM10"
2023-05-16,Kolhapur,2.0,Satisfactory,58,PM10
2023-05-17,Kolhapur,2.0,Satisfactory,66,O3
2023-05-18,Kolhapur,2.0,Satisfactory,58,"O3, PM2.5"
2023-05-19,Kolhapur,2.0,Moderate,130,O3
2023-05-20,Kolhapur,2.0,Satisfactory,78,"O3, PM10"
2023-05-21,Kolhapur,2.0,Satisfactory,77,O3
2023-05-22,Kolhapur,2.0,Satisfactory,74,"O3, PM10"
2023-05-23,Kolhapur,2.0,Poor,225,O3
2023-05-24,Kolhapur,2.0,Satisfactory,60,PM10
2023-05-25,Kolhapur,2.0,Satisfactory,52,O3
2023-05-26,Kolhapur,2.0,Good,49,O3
2023-05-27,Kolhapur,2.0,Good,38,"O3, PM2.5"
2023-05-28,Kolhapur,2.0,Good,24,PM2.5
2023-05-29,Kolhapur,1.0,Satisfactory,54,O3
2023-05-30,Kolhapur,1.0,Satisfactory,89,O3
2023-05-31,Kolhapur,2.0,Moderate,106,O3
2023-06-01,Kolhapur,2.0,Satisfactory,79,PM10
2023-06-02,Kolhapur,2.0,Satisfactory,64,PM10
2023-06-03,Kolhapur,2.0,Satisfactory,52,PM10
2023-06-04,Kolhapur,2.0,Good,36,"O3, PM2.5"
2023-06-05,Kolhapur,2.0,Good,42,"O3, PM10"
2023-06-06,Kolhapur,2.0,Satisfactory,52,PM10
2023-06-07,Kolhapur,2.0,Satisfactory,52,PM10
2023-06-10,Kolhapur,1.0,Good,44,O3
2023-06-11,Kolhapur,1.0,Good,39,PM10
2023-06-12,Kolhapur,1.0,Good,50,PM10
2023-06-13,Kolhapur,1.0,Good,34,PM2.5
2023-06-14,Kolhapur,1.0,Good,33,PM2.5
2023-06-15,Kolhapur,2.0,Good,44,PM10
2023-06-16,Kolhapur,2.0,Satisfactory,56,PM10
2023-06-17,Kolhapur,2.0,Satisfactory,59,PM10
2023-06-18,Kolhapur,2.0,Satisfactory,60,PM10
2023-06-19,Kolhapur,2.0,Satisfactory,74,PM10
2023-06-20,Kolhapur,2.0,Satisfactory,72,PM10
2023-06-21,Kolhapur,2.0,Satisfactory,71,PM10
2023-06-22,Kolhapur,2.0,Satisfactory,68,PM10
2023-06-23,Kolhapur,2.0,Moderate,123,PM10
2023-06-24,Kolhapur,2.0,Good,36,PM10
2023-06-25,Kolhapur,2.0,Good,38,PM10
2023-06-26,Kolhapur,2.0,Good,48,PM10
2023-06-27,Kolhapur,2.0,Good,48,PM10
2023-06-28,Kolhapur,2.0,Good,30,"O3, PM10"
2023-06-29,Kolhapur,2.0,Good,32,"CO, O3"
2023-06-30,Kolhapur,2.0,Good,36,O3
2023-07-01,Kolhapur,2.0,Good,27,"NO2, PM2.5"
2023-07-02,Kolhapur,2.0,Good,27,"NO2, O3"
2023-07-03,Kolhapur,2.0,Good,26,"NO2, O3"
2023-07-04,Kolhapur,2.0,Very Poor,338,PM2.5
2023-07-07,Kolhapur,2.0,Good,30,"O3, PM10"
2023-07-08,Kolhapur,2.0,Good,36,PM10
2023-07-09,Kolhapur,2.0,Good,20,PM2.5
2023-07-11,Kolhapur,1.0,Satisfactory,54,PM10
2023-07-12,Kolhapur,1.0,Satisfactory,64,PM10
2023-07-13,Kolhapur,1.0,Satisfactory,61,PM10
2023-07-14,Kolhapur,2.0,Good,36,PM10
2023-07-15,Kolhapur,2.0,Good,32,PM10
2023-07-16,Kolhapur,2.0,Good,46,PM10
2023-07-17,Kolhapur,2.0,Good,42,PM10
2023-07-18,Kolhapur,2.0,Good,34,PM10
2023-07-19,Kolhapur,2.0,Good,34,"PM10, PM2.5"
2023-07-20,Kolhapur,2.0,Good,36,"PM10, PM2.5"
2023-07-21,Kolhapur,2.0,Good,31,PM10
2023-07-22,Kolhapur,2.0,Good,34,"PM10, PM2.5"
2023-07-23,Kolhapur,2.0,Good,32,"PM10, PM2.5"
2023-07-24,Kolhapur,2.0,Good,25,PM2.5
2023-07-25,Kolhapur,1.0,Good,25,PM2.5
2023-07-26,Kolhapur,2.0,Good,25,PM2.5
2023-07-27,Kolhapur,1.0,Good,25,PM2.5
2023-07-28,Kolhapur,2.0,Good,28,"O3, PM2.5"
2023-07-29,Kolhapur,2.0,Good,32,PM10
2023-07-30,Kolhapur,2.0,Good,32,PM10
2023-07-31,Kolhapur,1.0,Good,33,PM10
2023-08-01,Kolhapur,2.0,Good,28,PM10
2023-08-02,Kolhapur,2.0,Good,30,PM10
2023-08-03,Kolhapur,2.0,Good,38,PM10
2023-08-04,Kolhapur,2.0,Good,35,PM10
2023-08-05,Kolhapur,2.0,Good,38,PM10
2023-08-06,Kolhapur,2.0,Good,36,PM10
2023-08-07,Kolhapur,2.0,Good,36,PM10
2023-08-08,Kolhapur,1.0,Satisfactory,72,PM10
2023-08-09,Kolhapur,1.0,Good,48,PM10
2023-08-10,Kolhapur,2.0,Satisfactory,57,PM10
2023-08-11,Kolhapur,1.0,Satisfactory,51,PM10
2023-08-12,Kolhapur,2.0,Satisfactory,60,PM10
2023-08-13,Kolhapur,1.0,Good,49,PM10
2023-08-14,Kolhapur,1.0,Good,42,PM10
2023-08-15,Kolhapur,1.0,Good,49,PM10
2023-08-16,Kolhapur,1.0,Good,44,PM10
2023-08-17,Kolhapur,2.0,Good,32,PM10
2023-08-18,Kolhapur,2.0,Good,42,PM10
2023-08-19,Kolhapur,2.0,Good,38,PM10
2023-08-20,Kolhapur,2.0,Good,38,PM10
2023-08-21,Kolhapur,2.0,Good,40,PM10
2023-08-22,Kolhapur,2.0,Good,44,PM10
2023-08-23,Kolhapur,2.0,Good,50,PM10
2023-08-24,Kolhapur,2.0,Good,45,PM10
2023-08-25,Kolhapur,2.0,Good,30,PM10
2023-08-26,Kolhapur,2.0,Good,30,PM10
2023-08-27,Kolhapur,2.0,Good,36,PM10
2023-08-29,Kolhapur,2.0,Good,44,"CO, PM10"
2023-08-30,Kolhapur,2.0,Satisfactory,58,"CO, PM10"
2023-08-31,Kolhapur,2.0,Satisfactory,65,PM10
2023-09-01,Kolhapur,2.0,Satisfactory,71,PM10
2023-09-02,Kolhapur,2.0,Satisfactory,63,PM10
2023-09-03,Kolhapur,2.0,Satisfactory,54,PM10
2023-09-04,Kolhapur,2.0,Satisfactory,54,PM10
2023-09-05,Kolhapur,2.0,Satisfactory,64,PM10
2023-09-06,Kolhapur,2.0,Satisfactory,60,PM10
2023-09-07,Kolhapur,2.0,Satisfactory,54,PM10
2023-09-08,Kolhapur,2.0,Good,40,"CO, PM10"
2023-09-09,Kolhapur,2.0,Good,30,PM2.5
2023-09-10,Kolhapur,2.0,Good,28,O3
2023-09-11,Kolhapur,1.0,Good,28,O3
2023-09-12,Kolhapur,1.0,Good,33,PM10
2023-09-13,Kolhapur,2.0,Good,40,PM10
2023-09-14,Kolhapur,2.0,Good,39,PM10
2023-09-15,Kolhapur,2.0,Good,36,PM10
2023-09-16,Kolhapur,2.0,Good,27,PM10
2023-09-17,Kolhapur,2.0,Good,36,PM10
