date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2016-07-05,Kolkata,1.0,Good,32,CO
2016-07-06,Kolkata,1.0,Good,31,PM10
2016-07-07,Kolkata,1.0,Good,32,CO
2016-07-08,Kolkata,1.0,Good,32,CO
2016-07-09,Kolkata,1.0,Good,25,CO
2016-07-10,Kolkata,1.0,Good,29,NO2
2016-07-11,Kolkata,1.0,Good,29,CO
2016-07-12,Kolkata,1.0,Good,37,CO
2016-07-13,Kolkata,1.0,Good,29,CO
2016-07-14,Kolkata,1.0,Good,32,PM10
2016-07-15,Kolkata,1.0,Good,35,CO
2016-07-16,Kolkata,1.0,Good,30,NO2
2016-07-17,Kolkata,1.0,Good,27,PM10
2016-07-26,Kolkata,1.0,Good,32,CO
2016-07-27,Kolkata,1.0,Good,27,CO
2016-07-28,Kolkata,1.0,Good,26,CO
2016-07-31,Kolkata,1.0,Good,40,PM10
2016-08-02,Kolkata,1.0,Good,35,NO2
2016-08-03,Kolkata,1.0,Good,38,CO
2016-08-05,Kolkata,1.0,Good,26,CO
2016-08-06,Kolkata,1.0,Good,32,NO2
2016-08-07,Kolkata,1.0,Good,31,NO2
2016-08-08,Kolkata,1.0,Good,35,NO2
2016-08-09,Kolkata,1.0,Good,35,NO2
2016-08-10,Kolkata,1.0,Good,30,NO2
2016-08-11,Kolkata,1.0,Good,27,NO2
2016-08-12,Kolkata,1.0,Good,37,NO2
2016-08-13,Kolkata,1.0,Good,35,PM10
2016-08-14,Kolkata,1.0,Good,37,PM10
2016-08-15,Kolkata,1.0,Good,42,NO2
2016-08-16,Kolkata,1.0,Good,29,NO2
2016-08-17,Kolkata,1.0,Good,29,NO2
2016-08-20,Kolkata,1.0,Satisfactory,53,PM10
2016-08-21,Kolkata,1.0,Satisfactory,75,PM10
2016-08-22,Kolkata,1.0,Good,27,PM10
2016-08-23,Kolkata,1.0,Good,36,NO2
2016-08-24,Kolkata,1.0,Satisfactory,63,PM10
2016-08-25,Kolkata,1.0,Satisfactory,57,PM10
2016-08-26,Kolkata,1.0,Good,38,PM10
2016-08-27,Kolkata,1.0,Good,27,CO
2016-08-28,Kolkata,1.0,Good,22,NO2
2016-08-29,Kolkata,1.0,Good,28,CO
2016-08-30,Kolkata,1.0,Good,33,CO
2016-08-31,Kolkata,1.0,Good,40,NO2
2016-09-01,Kolkata,1.0,Good,39,NO2
2016-09-02,Kolkata,1.0,Good,30,PM10
2016-09-03,Kolkata,1.0,Good,40,NO2
2016-09-04,Kolkata,1.0,Good,41,PM10
2016-09-05,Kolkata,1.0,Good,33,NO2
2016-09-06,Kolkata,1.0,Good,31,NO2
2016-09-07,Kolkata,1.0,Good,38,PM10
2016-09-09,Kolkata,1.0,Good,32,PM10
2016-09-10,Kolkata,1.0,Good,32,PM10
2016-09-11,Kolkata,1.0,Good,33,PM10
2016-09-12,Kolkata,1.0,Good,24,NO2
2016-09-13,Kolkata,1.0,Good,26,NO2
2016-09-14,Kolkata,1.0,Good,24,NO2
2016-09-15,Kolkata,1.0,Good,24,CO
2016-09-16,Kolkata,1.0,Good,27,NO2
2016-09-17,Kolkata,1.0,Satisfactory,59,PM10
2016-09-18,Kolkata,1.0,Good,27,CO
2016-09-19,Kolkata,1.0,Good,42,PM10
2016-09-20,Kolkata,1.0,Good,32,PM10
2016-09-21,Kolkata,2.0,Good,37,"CO, PM10"
2016-09-22,Kolkata,2.0,Good,35,"CO, NO2"
2016-09-23,Kolkata,1.0,Good,30,CO
2016-09-24,Kolkata,1.0,Good,24,NO2
2016-09-25,Kolkata,1.0,Good,24,NO2
2016-09-26,Kolkata,1.0,Good,30,NO2
2016-09-27,Kolkata,1.0,Good,36,CO
2016-09-28,Kolkata,1.0,Satisfactory,51,PM10
2016-09-29,Kolkata,1.0,Good,32,NO2
2016-09-30,Kolkata,1.0,Good,31,CO
2016-10-01,Kolkata,1.0,Good,31,CO
2016-10-02,Kolkata,1.0,Good,27,CO
2016-10-03,Kolkata,1.0,Good,26,NO2
2016-10-05,Kolkata,1.0,Good,41,PM10
2016-10-06,Kolkata,1.0,Satisfactory,56,PM10
2016-10-07,Kolkata,1.0,Good,31,CO
2016-10-08,Kolkata,1.0,Good,35,CO
2016-10-11,Kolkata,1.0,Good,32,CO
2016-10-13,Kolkata,1.0,Satisfactory,93,PM10
2016-10-14,Kolkata,1.0,Satisfactory,68,NO2
2016-10-15,Kolkata,1.0,Satisfactory,92,PM10
2016-10-16,Kolkata,1.0,Satisfactory,85,PM10
2016-10-17,Kolkata,1.0,Satisfactory,79,PM10
2016-10-18,Kolkata,1.0,Satisfactory,90,PM10
2016-10-19,Kolkata,1.0,Satisfactory,79,PM10
2016-10-20,Kolkata,1.0,Satisfactory,66,CO
2016-10-22,Kolkata,1.0,Satisfactory,84,CO
2016-10-23,Kolkata,1.0,Satisfactory,64,NO2
2016-10-27,Kolkata,1.0,Good,47,PM10
2016-10-28,Kolkata,1.0,Satisfactory,51,CO
2016-10-29,Kolkata,1.0,Good,46,CO
2016-10-30,Kolkata,1.0,Satisfactory,82,PM10
2016-10-31,Kolkata,2.0,Satisfactory,69,"NO2, PM10"
2016-11-01,Kolkata,1.0,Satisfactory,78,CO
2016-11-02,Kolkata,1.0,Satisfactory,69,PM10
2016-11-03,Kolkata,1.0,Satisfactory,65,PM10
2016-11-04,Kolkata,1.0,Good,46,PM10
2016-11-05,Kolkata,2.0,Good,40,"NO2, PM10"
2016-11-06,Kolkata,2.0,Good,48,PM10
2016-11-07,Kolkata,2.0,Satisfactory,97,PM10
2016-11-08,Kolkata,2.0,Moderate,143,PM10
2016-11-09,Kolkata,2.0,Moderate,168,PM10
2016-11-10,Kolkata,2.0,Poor,202,PM10
2016-11-11,Kolkata,2.0,Moderate,188,PM10
2016-11-12,Kolkata,2.0,Moderate,160,PM10
2016-11-13,Kolkata,2.0,Moderate,141,PM10
2016-11-14,Kolkata,2.0,Moderate,138,PM10
2016-11-15,Kolkata,2.0,Moderate,157,PM10
2016-11-16,Kolkata,1.0,Moderate,113,PM10
2016-11-17,Kolkata,1.0,Moderate,114,PM10
2016-11-18,Kolkata,1.0,Moderate,113,PM10
2016-11-19,Kolkata,1.0,Moderate,149,PM10
2016-11-20,Kolkata,1.0,Poor,228,PM10
2016-11-21,Kolkata,1.0,Moderate,171,PM10
2016-11-22,Kolkata,1.0,Moderate,177,PM10
2016-11-23,Kolkata,2.0,Poor,221,PM10
2016-11-24,Kolkata,2.0,Poor,232,PM10
2016-11-25,Kolkata,2.0,Poor,216,PM10
2016-11-26,Kolkata,2.0,Poor,269,PM10
2016-11-27,Kolkata,2.0,Poor,256,PM10
2016-11-28,Kolkata,2.0,Poor,229,PM10
2016-11-29,Kolkata,2.0,Poor,203,PM10
2016-11-30,Kolkata,2.0,Moderate,171,PM10
2016-12-01,Kolkata,2.0,Moderate,135,PM10
2016-12-02,Kolkata,1.0,Moderate,104,PM10
2016-12-03,Kolkata,2.0,Moderate,163,PM10
2016-12-04,Kolkata,2.0,Moderate,163,PM10
2016-12-05,Kolkata,2.0,Moderate,180,PM10
2016-12-06,Kolkata,2.0,Moderate,161,PM10
2016-12-07,Kolkata,2.0,Moderate,151,PM10
2016-12-08,Kolkata,2.0,Moderate,152,PM10
2016-12-09,Kolkata,2.0,Moderate,144,PM10
2016-12-10,Kolkata,1.0,Poor,201,PM10
2016-12-11,Kolkata,1.0,Poor,205,PM10
2016-12-12,Kolkata,1.0,Moderate,182,PM10
2016-12-13,Kolkata,2.0,Moderate,193,PM10
2016-12-14,Kolkata,2.0,Moderate,193,PM10
2016-12-15,Kolkata,2.0,Moderate,181,PM10
2016-12-16,Kolkata,2.0,Moderate,153,PM10
2016-12-17,Kolkata,2.0,Moderate,179,PM10
2016-12-18,Kolkata,2.0,Poor,233,PM10
2016-12-19,Kolkata,2.0,Poor,217,"NO2, PM10"
2016-12-20,Kolkata,2.0,Moderate,176,PM10
2016-12-21,Kolkata,2.0,Moderate,111,"CO, PM10"
2016-12-22,Kolkata,2.0,Moderate,125,"CO, PM10"
2016-12-23,Kolkata,1.0,Very Poor,365,PM10
2016-12-24,Kolkata,1.0,Very Poor,385,PM10
2016-12-25,Kolkata,1.0,Severe,411,PM10
2016-12-26,Kolkata,1.0,Very Poor,360,PM10
2016-12-27,Kolkata,2.0,Poor,243,"NO2, PM10"
2016-12-28,Kolkata,1.0,Poor,267,PM10
2016-12-29,Kolkata,1.0,Poor,297,PM10
2016-12-30,Kolkata,2.0,Poor,236,"NO2, PM10"
2016-12-31,Kolkata,1.0,Moderate,177,NO2
2017-01-01,Kolkata,1.0,Poor,203,PM10
2017-01-02,Kolkata,1.0,Moderate,173,PM10
2017-01-03,Kolkata,2.0,Poor,235,PM10
2017-01-04,Kolkata,2.0,Moderate,169,PM10
2017-01-05,Kolkata,2.0,Moderate,192,PM10
2017-01-06,Kolkata,2.0,Moderate,175,PM10
2017-01-07,Kolkata,2.0,Moderate,177,PM10
2017-01-08,Kolkata,2.0,Moderate,168,PM10
2017-01-09,Kolkata,2.0,Poor,215,PM10
2017-01-10,Kolkata,2.0,Moderate,188,PM10
2017-01-11,Kolkata,2.0,Moderate,103,"NO2, PM10"
2017-01-12,Kolkata,2.0,Moderate,134,PM10
2017-01-13,Kolkata,2.0,Moderate,156,PM10
2017-01-14,Kolkata,2.0,Moderate,160,PM10
2017-01-15,Kolkata,2.0,Moderate,177,PM10
2017-01-16,Kolkata,2.0,Poor,215,PM10
2017-01-17,Kolkata,2.0,Very Poor,326,PM10
2017-01-18,Kolkata,2.0,Very Poor,326,PM10
2017-01-19,Kolkata,2.0,Poor,209,PM10
2017-01-20,Kolkata,2.0,Moderate,194,PM10
2017-01-21,Kolkata,2.0,Poor,225,PM10
2017-01-22,Kolkata,2.0,Moderate,156,PM10
2017-01-23,Kolkata,1.0,Poor,208,PM10
2017-01-24,Kolkata,1.0,Poor,254,PM10
2017-01-25,Kolkata,1.0,Poor,225,PM10
2017-01-28,Kolkata,2.0,Poor,204,PM10
2017-01-29,Kolkata,2.0,Moderate,112,"NO2, PM10"
2017-01-30,Kolkata,2.0,Moderate,136,"NO2, PM10"
2017-01-31,Kolkata,2.0,Moderate,190,"NO2, PM10"
2017-02-01,Kolkata,2.0,Moderate,195,PM10
2017-02-02,Kolkata,2.0,Moderate,187,PM10
2017-02-03,Kolkata,2.0,Moderate,183,"NO2, PM10"
2017-02-04,Kolkata,2.0,Moderate,161,PM10
2017-02-05,Kolkata,2.0,Moderate,170,PM10
2017-02-06,Kolkata,2.0,Poor,206,PM10
2017-02-07,Kolkata,2.0,Poor,207,PM10
2017-02-08,Kolkata,2.0,Poor,218,PM10
2017-02-09,Kolkata,2.0,Poor,203,PM10
2017-02-10,Kolkata,2.0,Moderate,194,PM10
2017-02-11,Kolkata,2.0,Moderate,177,PM10
2017-02-12,Kolkata,2.0,Moderate,160,PM10
2017-02-13,Kolkata,2.0,Moderate,183,PM10
2017-02-14,Kolkata,2.0,Poor,213,PM10
2017-02-15,Kolkata,2.0,Moderate,168,PM10
2017-02-16,Kolkata,2.0,Moderate,162,PM10
2017-02-17,Kolkata,1.0,Moderate,143,PM10
2017-02-21,Kolkata,2.0,Moderate,140,PM10
2017-02-24,Kolkata,1.0,Satisfactory,100,PM10
2017-02-25,Kolkata,1.0,Satisfactory,94,PM10
