date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-03-03,Kollam,1.0,Satisfactory,80,PM10
2020-03-04,Kollam,1.0,Satisfactory,83,PM10
2020-03-05,Kollam,1.0,Satisfactory,89,PM10
2020-03-06,Kollam,1.0,Satisfactory,98,PM2.5
2020-03-07,Kollam,1.0,Satisfactory,89,PM2.5
2020-03-08,Kollam,1.0,Satisfactory,62,PM2.5
2020-03-09,Kollam,1.0,Satisfactory,76,PM2.5
2020-03-10,Kollam,1.0,Satisfactory,73,PM2.5
2020-03-11,Kollam,1.0,Satisfactory,74,PM2.5
2020-03-12,Kollam,1.0,Satisfactory,69,PM2.5
2020-03-13,Kollam,1.0,Satisfactory,73,PM2.5
2020-03-14,Kollam,1.0,Satisfactory,76,PM2.5
2020-03-15,Kollam,1.0,Satisfactory,76,PM2.5
2020-03-18,Kollam,1.0,Satisfactory,66,PM2.5
2020-03-19,Kollam,1.0,Satisfactory,80,PM2.5
2020-03-20,Kollam,1.0,Satisfactory,94,PM2.5
2020-03-26,Kollam,1.0,Satisfactory,52,PM2.5
2020-03-27,Kollam,1.0,Satisfactory,87,PM2.5
2020-04-03,Kollam,1.0,Satisfactory,98,PM2.5
2020-04-04,Kollam,1.0,Satisfactory,98,PM2.5
2020-04-06,Kollam,1.0,Good,48,PM2.5
2020-04-07,Kollam,1.0,Good,44,PM2.5
2020-04-08,Kollam,1.0,Satisfactory,70,PM2.5
2020-04-17,Kollam,1.0,Satisfactory,58,PM2.5
2020-04-18,Kollam,1.0,Good,46,PM2.5
2020-04-19,Kollam,1.0,Good,32,PM2.5
2020-04-20,Kollam,1.0,Good,45,CO
2020-04-21,Kollam,1.0,Good,47,PM2.5
2020-04-24,Kollam,1.0,Satisfactory,51,PM2.5
2020-04-25,Kollam,1.0,Good,47,PM2.5
2020-04-26,Kollam,1.0,Satisfactory,73,PM10
2020-04-27,Kollam,1.0,Good,45,PM2.5
2020-04-30,Kollam,1.0,Moderate,103,PM2.5
2020-05-01,Kollam,1.0,Satisfactory,63,PM2.5
2020-05-02,Kollam,1.0,Satisfactory,63,PM2.5
2020-05-03,Kollam,1.0,Satisfactory,56,PM2.5
2020-05-04,Kollam,1.0,Satisfactory,63,PM2.5
2020-05-05,Kollam,1.0,Satisfactory,70,PM2.5
2020-05-06,Kollam,1.0,Satisfactory,56,PM2.5
2020-05-09,Kollam,1.0,Good,48,PM2.5
2020-05-10,Kollam,1.0,Satisfactory,56,PM2.5
2020-05-17,Kollam,1.0,Satisfactory,52,PM2.5
2020-05-18,Kollam,1.0,Good,48,PM2.5
2020-05-19,Kollam,1.0,Satisfactory,57,PM2.5
2020-05-20,Kollam,1.0,Satisfactory,71,PM2.5
2020-05-21,Kollam,1.0,Good,35,PM2.5
2020-05-22,Kollam,1.0,Good,42,PM2.5
2020-05-23,Kollam,1.0,Good,49,PM2.5
2020-05-24,Kollam,1.0,Good,50,CO
2020-05-25,Kollam,1.0,Satisfactory,51,PM10
2020-05-26,Kollam,1.0,Good,38,PM10
2020-05-27,Kollam,1.0,Satisfactory,64,PM2.5
2020-05-28,Kollam,1.0,Satisfactory,55,PM10
2020-05-29,Kollam,1.0,Good,49,PM2.5
2020-05-30,Kollam,1.0,Good,49,PM10
2020-05-31,Kollam,1.0,Good,34,PM2.5
2020-06-01,Kollam,1.0,Good,34,CO
2020-06-04,Kollam,1.0,Good,39,CO
2020-06-05,Kollam,1.0,Good,48,CO
2020-06-06,Kollam,1.0,Good,41,CO
2020-06-07,Kollam,1.0,Good,46,CO
2020-06-08,Kollam,1.0,Good,37,PM2.5
2020-06-09,Kollam,1.0,Good,49,PM10
2020-06-10,Kollam,1.0,Satisfactory,53,PM2.5
2020-06-11,Kollam,1.0,Good,48,CO
2020-06-12,Kollam,1.0,Satisfactory,82,CO
2020-06-13,Kollam,1.0,Satisfactory,69,CO
2020-06-14,Kollam,1.0,Satisfactory,59,CO
2020-06-15,Kollam,1.0,Satisfactory,74,PM2.5
2020-06-16,Kollam,1.0,Satisfactory,69,CO
2020-06-17,Kollam,1.0,Satisfactory,65,CO
2020-06-18,Kollam,1.0,Satisfactory,76,CO
2020-06-19,Kollam,1.0,Satisfactory,53,CO
2020-06-20,Kollam,1.0,Satisfactory,98,CO
2020-06-21,Kollam,1.0,Satisfactory,74,CO
2020-06-22,Kollam,1.0,Satisfactory,98,CO
2020-06-23,Kollam,1.0,Satisfactory,87,CO
2020-06-24,Kollam,1.0,Satisfactory,91,CO
2020-06-25,Kollam,1.0,Satisfactory,88,CO
2020-06-26,Kollam,1.0,Good,48,CO
2020-06-27,Kollam,1.0,Satisfactory,75,CO
2020-08-15,Kollam,1.0,Satisfactory,88,CO
2020-08-16,Kollam,1.0,Satisfactory,93,CO
2020-08-17,Kollam,1.0,Moderate,107,CO
2020-08-18,Kollam,1.0,Satisfactory,84,CO
2020-08-19,Kollam,1.0,Satisfactory,87,CO
2020-08-20,Kollam,1.0,Satisfactory,85,CO
2020-08-21,Kollam,1.0,Satisfactory,71,CO
2020-08-22,Kollam,1.0,Satisfactory,92,CO
2020-08-23,Kollam,1.0,Moderate,105,CO
2020-08-24,Kollam,1.0,Satisfactory,100,CO
2020-08-25,Kollam,1.0,Moderate,104,CO
2020-08-26,Kollam,1.0,Satisfactory,75,CO
2020-08-27,Kollam,1.0,Moderate,112,CO
2020-09-09,Kollam,1.0,Satisfactory,89,CO
2020-09-12,Kollam,1.0,Satisfactory,90,CO
2020-09-13,Kollam,1.0,Satisfactory,79,CO
2020-09-14,Kollam,1.0,Satisfactory,93,CO
2020-09-15,Kollam,1.0,Satisfactory,91,CO
2020-09-16,Kollam,1.0,Satisfactory,66,CO
2020-09-19,Kollam,1.0,Good,46,PM2.5
2020-09-21,Kollam,1.0,Good,42,CO
2020-09-22,Kollam,1.0,Good,35,PM2.5
2020-09-24,Kollam,1.0,Good,41,CO
2020-09-29,Kollam,1.0,Satisfactory,84,PM2.5
2020-09-30,Kollam,1.0,Satisfactory,74,PM2.5
2020-10-05,Kollam,1.0,Satisfactory,55,CO
2020-10-09,Kollam,1.0,Good,46,CO
2020-10-10,Kollam,1.0,Satisfactory,79,PM2.5
2020-10-11,Kollam,1.0,Satisfactory,66,PM2.5
2020-10-12,Kollam,1.0,Good,47,CO
2020-10-13,Kollam,1.0,Good,47,CO
2020-10-14,Kollam,1.0,Satisfactory,51,PM2.5
2020-10-15,Kollam,1.0,Satisfactory,52,PM10
2020-10-16,Kollam,1.0,Satisfactory,93,PM10
2020-10-17,Kollam,1.0,Satisfactory,83,PM10
2020-10-18,Kollam,1.0,Satisfactory,99,PM10
