date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-12-20,Koppal,1.0,Moderate,112,PM2.5
2020-12-21,Koppal,1.0,Satisfactory,90,PM10
2020-12-22,Koppal,1.0,Satisfactory,98,PM10
2020-12-23,Koppal,1.0,Satisfactory,88,PM10
2020-12-24,Koppal,1.0,Satisfactory,91,PM10
2020-12-25,Koppal,1.0,Satisfactory,95,PM2.5
2020-12-26,Koppal,1.0,Satisfactory,96,PM10
2020-12-27,Koppal,1.0,Moderate,107,PM10
2020-12-28,Koppal,1.0,Moderate,107,PM10
2020-12-29,Koppal,1.0,Satisfactory,94,PM10
2020-12-30,Koppal,1.0,Moderate,103,PM10
2020-12-31,Koppal,1.0,Satisfactory,73,PM10
2021-01-01,Koppal,1.0,Satisfactory,79,PM10
2021-01-02,Koppal,1.0,Satisfactory,89,PM10
2021-01-03,Koppal,1.0,Satisfactory,80,PM10
2021-01-04,Koppal,1.0,Satisfactory,61,PM10
2021-01-05,Koppal,1.0,Satisfactory,65,PM10
2021-01-06,Koppal,1.0,Good,46,PM10
2021-01-07,Koppal,1.0,Good,23,PM10
2021-01-08,Koppal,1.0,Good,44,PM10
2021-01-09,Koppal,1.0,Good,37,PM10
2021-01-10,Koppal,1.0,Satisfactory,59,PM10
2021-01-11,Koppal,1.0,Satisfactory,54,PM10
2021-01-12,Koppal,1.0,Satisfactory,65,PM10
2021-01-13,Koppal,1.0,Satisfactory,90,PM10
2021-01-14,Koppal,1.0,Satisfactory,72,PM10
2021-01-15,Koppal,1.0,Moderate,106,PM10
2021-01-16,Koppal,1.0,Moderate,116,PM10
2021-01-17,Koppal,1.0,Satisfactory,96,PM10
2021-01-18,Koppal,1.0,Satisfactory,87,PM10
2021-01-19,Koppal,1.0,Satisfactory,78,PM2.5
2021-01-20,Koppal,1.0,Satisfactory,88,PM2.5
2021-01-21,Koppal,1.0,Satisfactory,78,PM2.5
2021-01-22,Koppal,1.0,Satisfactory,100,PM2.5
2021-01-27,Koppal,1.0,Satisfactory,73,PM10
2021-01-28,Koppal,1.0,Satisfactory,98,PM2.5
2021-01-29,Koppal,1.0,Satisfactory,97,PM2.5
2021-01-30,Koppal,1.0,Satisfactory,75,PM2.5
2021-01-31,Koppal,1.0,Satisfactory,89,PM10
2021-02-01,Koppal,1.0,Satisfactory,82,PM10
2021-02-02,Koppal,1.0,Satisfactory,90,PM2.5
2021-02-03,Koppal,1.0,Satisfactory,84,PM2.5
2021-02-04,Koppal,1.0,Satisfactory,75,PM10
2021-02-05,Koppal,1.0,Moderate,101,PM10
2021-02-06,Koppal,1.0,Satisfactory,94,PM10
2021-02-07,Koppal,1.0,Satisfactory,78,PM10
2021-02-08,Koppal,1.0,Satisfactory,79,O3
2021-02-09,Koppal,1.0,Satisfactory,84,PM10
2021-02-10,Koppal,1.0,Satisfactory,91,O3
2021-02-11,Koppal,1.0,Satisfactory,99,PM10
2021-02-12,Koppal,1.0,Satisfactory,96,PM10
2021-02-13,Koppal,1.0,Satisfactory,97,PM10
2021-02-14,Koppal,1.0,Satisfactory,80,PM10
2021-02-15,Koppal,1.0,Satisfactory,74,PM10
2021-02-16,Koppal,1.0,Satisfactory,94,PM10
2021-02-17,Koppal,1.0,Satisfactory,80,PM10
2021-02-18,Koppal,1.0,Satisfactory,97,PM10
2021-02-19,Koppal,1.0,Satisfactory,88,PM10
2021-02-20,Koppal,1.0,Good,38,CO
2021-02-21,Koppal,1.0,Satisfactory,52,PM10
2021-02-22,Koppal,1.0,Good,48,O3
2021-02-23,Koppal,1.0,Satisfactory,74,O3
2021-02-24,Koppal,1.0,Satisfactory,78,PM10
2021-02-25,Koppal,1.0,Satisfactory,91,PM10
2021-02-26,Koppal,1.0,Satisfactory,98,PM10
2021-02-27,Koppal,1.0,Moderate,106,PM10
2021-02-28,Koppal,1.0,Moderate,104,PM10
2021-03-01,Koppal,1.0,Satisfactory,82,O3
2021-03-02,Koppal,1.0,Satisfactory,83,PM10
2021-03-03,Koppal,1.0,Moderate,105,PM10
2021-03-04,Koppal,1.0,Moderate,109,PM10
2021-03-06,Koppal,1.0,Satisfactory,92,PM10
2021-03-07,Koppal,1.0,Satisfactory,83,PM10
2021-03-08,Koppal,1.0,Moderate,109,PM10
2021-03-09,Koppal,1.0,Moderate,108,PM10
2021-03-10,Koppal,1.0,Moderate,101,PM10
2021-03-11,Koppal,1.0,Satisfactory,74,PM10
2021-03-12,Koppal,1.0,Satisfactory,74,O3
2021-03-17,Koppal,1.0,Satisfactory,99,O3
2021-03-18,Koppal,1.0,Satisfactory,99,PM10
2021-03-19,Koppal,1.0,Moderate,162,O3
2021-03-20,Koppal,1.0,Moderate,115,PM10
2021-03-21,Koppal,1.0,Satisfactory,89,PM10
2021-04-09,Koppal,1.0,Satisfactory,57,PM10
2021-04-10,Koppal,1.0,Satisfactory,70,PM10
2021-04-11,Koppal,1.0,Satisfactory,79,PM10
2021-04-12,Koppal,1.0,Satisfactory,72,CO
2021-04-13,Koppal,1.0,Satisfactory,74,CO
2021-04-14,Koppal,1.0,Satisfactory,62,CO
2021-04-15,Koppal,1.0,Good,49,CO
2021-04-16,Koppal,1.0,Satisfactory,58,O3
2021-04-17,Koppal,1.0,Satisfactory,56,CO
2021-04-18,Koppal,1.0,Satisfactory,56,CO
2021-04-19,Koppal,1.0,Satisfactory,57,CO
2021-04-20,Koppal,1.0,Satisfactory,61,CO
2021-04-21,Koppal,1.0,Good,49,CO
2021-04-22,Koppal,1.0,Satisfactory,53,CO
2021-04-23,Koppal,1.0,Satisfactory,63,O3
2021-04-24,Koppal,1.0,Satisfactory,53,CO
2021-04-25,Koppal,1.0,Satisfactory,58,CO
2021-04-26,Koppal,1.0,Satisfactory,63,CO
2021-04-27,Koppal,1.0,Satisfactory,60,CO
2021-04-28,Koppal,1.0,Satisfactory,57,CO
2021-04-29,Koppal,1.0,Satisfactory,58,CO
2021-04-30,Koppal,1.0,Satisfactory,69,CO
2021-05-01,Koppal,1.0,Satisfactory,75,CO
2021-05-02,Koppal,1.0,Satisfactory,72,CO
2021-05-03,Koppal,1.0,Satisfactory,66,CO
2021-05-04,Koppal,1.0,Satisfactory,63,CO
2021-05-05,Koppal,1.0,Satisfactory,63,CO
2021-05-06,Koppal,1.0,Satisfactory,68,CO
2021-05-07,Koppal,1.0,Satisfactory,64,CO
2021-05-08,Koppal,1.0,Satisfactory,63,CO
2021-05-09,Koppal,1.0,Satisfactory,58,CO
