date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-10-26,Korba,1.0,Satisfactory,60,PM2.5
2022-10-27,Korba,2.0,Satisfactory,98,PM10
2022-10-28,Korba,2.0,Moderate,116,PM10
2023-01-04,Korba,2.0,Poor,218,"PM10, PM2.5"
2023-01-05,Korba,2.0,Moderate,142,"PM10, PM2.5"
2023-01-06,Korba,2.0,Satisfactory,77,PM10
2023-01-07,Korba,1.0,Satisfactory,63,PM2.5
2023-01-08,Korba,1.0,Satisfactory,66,PM2.5
2023-01-09,Korba,2.0,Moderate,106,PM10
2023-01-10,Korba,2.0,Satisfactory,92,PM10
2023-01-12,Korba,2.0,Moderate,132,"PM10, PM2.5"
2023-01-13,Korba,2.0,Satisfactory,95,PM10
2023-01-14,Korba,2.0,Moderate,143,"PM10, PM2.5"
2023-01-15,Korba,2.0,Satisfactory,98,PM10
2023-01-16,Korba,2.0,Satisfactory,96,PM10
2023-01-17,Korba,2.0,Moderate,106,PM10
2023-01-18,Korba,2.0,Moderate,124,PM10
2023-01-19,Korba,1.0,Moderate,142,PM10
2023-01-20,Korba,1.0,Moderate,135,PM10
2023-01-22,Korba,1.0,Moderate,186,PM10
2023-01-23,Korba,1.0,Poor,214,PM10
2023-01-24,Korba,1.0,Moderate,189,PM10
2023-01-25,Korba,1.0,Poor,207,PM10
2023-01-26,Korba,2.0,Moderate,152,PM10
2023-01-27,Korba,2.0,Moderate,105,PM10
2023-01-28,Korba,2.0,Satisfactory,86,"PM10, PM2.5"
2023-01-29,Korba,2.0,Satisfactory,74,PM10
2023-01-30,Korba,2.0,Moderate,106,PM10
2023-01-31,Korba,2.0,Moderate,114,PM10
2023-02-01,Korba,2.0,Satisfactory,71,PM10
2023-02-02,Korba,2.0,Satisfactory,66,PM10
2023-02-03,Korba,2.0,Satisfactory,84,PM10
2023-02-04,Korba,2.0,Satisfactory,56,PM10
2023-02-05,Korba,2.0,Satisfactory,88,"PM10, PM2.5"
2023-02-06,Korba,2.0,Satisfactory,93,"PM10, PM2.5"
2023-02-07,Korba,2.0,Satisfactory,94,PM10
2023-02-08,Korba,2.0,Moderate,102,PM10
2023-02-09,Korba,2.0,Satisfactory,65,PM10
2023-02-10,Korba,2.0,Satisfactory,90,"PM10, PM2.5"
2023-02-11,Korba,2.0,Moderate,138,"PM10, PM2.5"
2023-02-12,Korba,2.0,Satisfactory,76,PM10
2023-02-13,Korba,2.0,Satisfactory,81,"PM10, PM2.5"
2023-02-14,Korba,2.0,Satisfactory,86,"PM10, PM2.5"
2023-02-15,Korba,2.0,Satisfactory,80,PM10
2023-02-16,Korba,2.0,Satisfactory,68,PM10
2023-02-17,Korba,2.0,Satisfactory,86,PM10
2023-02-18,Korba,2.0,Moderate,110,"PM10, PM2.5"
2023-02-19,Korba,2.0,Moderate,150,"PM10, PM2.5"
2023-02-20,Korba,2.0,Moderate,149,"PM10, PM2.5"
2023-02-21,Korba,2.0,Moderate,126,"PM10, PM2.5"
2023-02-22,Korba,2.0,Moderate,147,"PM10, PM2.5"
2023-02-23,Korba,2.0,Moderate,112,PM10
2023-02-24,Korba,2.0,Moderate,114,"PM10, PM2.5"
2023-02-25,Korba,2.0,Satisfactory,76,PM10
2023-02-26,Korba,1.0,Moderate,106,PM10
2023-02-27,Korba,1.0,Moderate,106,PM10
2023-02-28,Korba,1.0,Moderate,124,PM10
2023-03-01,Korba,1.0,Moderate,120,PM2.5
2023-03-02,Korba,2.0,Moderate,106,PM2.5
2023-03-03,Korba,2.0,Satisfactory,82,PM10
2023-03-04,Korba,2.0,Satisfactory,64,"PM10, PM2.5"
2023-03-05,Korba,2.0,Satisfactory,61,PM2.5
2023-03-06,Korba,2.0,Satisfactory,66,PM2.5
2023-03-07,Korba,2.0,Satisfactory,73,PM10
2023-03-08,Korba,2.0,Satisfactory,58,PM10
2023-03-09,Korba,2.0,Satisfactory,61,NO2
2023-03-10,Korba,2.0,Good,45,PM2.5
2023-03-11,Korba,2.0,Satisfactory,69,"PM10, PM2.5"
2023-03-12,Korba,2.0,Moderate,118,PM10
2023-03-13,Korba,1.0,Moderate,121,PM10
2023-03-14,Korba,2.0,Moderate,114,"PM10, PM2.5"
2023-03-16,Korba,1.0,Moderate,159,PM10
2023-03-17,Korba,2.0,Satisfactory,100,PM10
2023-03-18,Korba,2.0,Satisfactory,62,"NO2, PM2.5"
2023-03-19,Korba,2.0,Satisfactory,62,"NO2, PM2.5"
2023-03-20,Korba,2.0,Satisfactory,77,NO2
2023-03-21,Korba,2.0,Satisfactory,56,NO2
