date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-02-05,Kozhikode,1.0,Satisfactory,82,PM10
2020-02-06,Kozhikode,1.0,Satisfactory,99,PM2.5
2020-02-07,Kozhikode,1.0,Satisfactory,75,PM10
2020-02-08,Kozhikode,1.0,Satisfactory,74,CO
2020-02-09,Kozhikode,1.0,Satisfactory,59,PM10
2020-02-10,Kozhikode,1.0,Satisfactory,79,CO
2020-02-11,Kozhikode,1.0,Satisfactory,67,CO
2020-02-12,Kozhikode,1.0,Satisfactory,80,PM10
2020-02-13,Kozhikode,1.0,Satisfactory,76,PM10
2020-02-14,Kozhikode,1.0,Satisfactory,84,PM10
2020-02-15,Kozhikode,1.0,Satisfactory,90,PM10
2020-02-16,Kozhikode,1.0,Satisfactory,93,PM10
2020-02-17,Kozhikode,1.0,Moderate,107,PM2.5
2020-02-18,Kozhikode,1.0,Moderate,104,PM2.5
2020-02-19,Kozhikode,1.0,Satisfactory,90,PM10
2020-02-20,Kozhikode,1.0,Moderate,123,PM2.5
2020-02-21,Kozhikode,1.0,Moderate,102,PM10
2020-02-22,Kozhikode,1.0,Satisfactory,97,PM10
2020-02-23,Kozhikode,1.0,Satisfactory,87,PM10
2020-02-24,Kozhikode,1.0,Satisfactory,91,PM10
2020-02-25,Kozhikode,1.0,Satisfactory,83,PM10
2020-02-26,Kozhikode,1.0,Satisfactory,80,PM10
2020-02-27,Kozhikode,1.0,Satisfactory,66,PM10
2020-02-28,Kozhikode,1.0,Satisfactory,75,PM2.5
2020-02-29,Kozhikode,1.0,Satisfactory,77,PM10
2020-03-01,Kozhikode,1.0,Satisfactory,61,PM10
2020-03-02,Kozhikode,1.0,Satisfactory,67,PM10
2020-03-03,Kozhikode,1.0,Satisfactory,80,CO
2020-03-04,Kozhikode,1.0,Satisfactory,64,PM10
2020-03-05,Kozhikode,1.0,Satisfactory,64,PM10
2020-03-06,Kozhikode,1.0,Satisfactory,51,PM10
2020-03-07,Kozhikode,1.0,Satisfactory,66,CO
2020-03-08,Kozhikode,1.0,Satisfactory,52,PM10
2020-03-09,Kozhikode,1.0,Satisfactory,64,CO
2020-03-10,Kozhikode,1.0,Satisfactory,58,PM10
2020-03-11,Kozhikode,1.0,Satisfactory,64,PM10
2020-03-12,Kozhikode,1.0,Good,49,PM10
2020-03-13,Kozhikode,1.0,Satisfactory,52,PM10
2020-03-14,Kozhikode,1.0,Satisfactory,60,PM10
2020-03-15,Kozhikode,1.0,Satisfactory,59,PM10
2020-03-16,Kozhikode,1.0,Satisfactory,62,PM10
2020-03-17,Kozhikode,1.0,Satisfactory,66,PM10
2020-03-18,Kozhikode,1.0,Satisfactory,70,PM10
2020-03-19,Kozhikode,1.0,Satisfactory,64,PM10
2020-03-20,Kozhikode,1.0,Satisfactory,60,PM10
2020-03-21,Kozhikode,1.0,Satisfactory,54,CO
2020-03-22,Kozhikode,1.0,Good,42,PM10
2020-03-23,Kozhikode,1.0,Good,48,PM10
2020-03-25,Kozhikode,1.0,Good,48,PM10
2020-03-26,Kozhikode,1.0,Good,47,PM2.5
2020-03-27,Kozhikode,1.0,Good,49,PM10
2020-03-28,Kozhikode,1.0,Satisfactory,55,PM2.5
2020-03-29,Kozhikode,1.0,Satisfactory,53,PM2.5
2020-03-30,Kozhikode,1.0,Satisfactory,52,PM2.5
2020-03-31,Kozhikode,1.0,Satisfactory,53,PM2.5
2020-04-01,Kozhikode,1.0,Satisfactory,52,PM2.5
2020-04-02,Kozhikode,1.0,Good,49,PM2.5
2020-04-03,Kozhikode,1.0,Satisfactory,54,PM2.5
2020-04-04,Kozhikode,1.0,Good,41,PM2.5
2020-04-05,Kozhikode,1.0,Good,46,PM2.5
2020-04-06,Kozhikode,1.0,Good,41,CO
2020-04-07,Kozhikode,1.0,Good,34,PM2.5
2020-04-08,Kozhikode,1.0,Good,48,PM10
2020-04-09,Kozhikode,1.0,Good,50,PM10
2020-04-10,Kozhikode,1.0,Good,46,CO
2020-04-11,Kozhikode,1.0,Satisfactory,53,PM2.5
2020-04-12,Kozhikode,1.0,Good,47,PM2.5
2020-04-13,Kozhikode,1.0,Good,47,PM2.5
2020-04-14,Kozhikode,1.0,Satisfactory,58,PM2.5
2020-04-15,Kozhikode,1.0,Satisfactory,52,PM10
2020-04-16,Kozhikode,1.0,Good,42,PM2.5
2020-04-17,Kozhikode,1.0,Good,50,PM2.5
2020-04-18,Kozhikode,1.0,Good,47,PM2.5
2020-04-19,Kozhikode,1.0,Good,46,PM2.5
2020-04-20,Kozhikode,1.0,Satisfactory,55,PM2.5
