date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Kunjemura,1.0,Moderate,102,PM10
2023-03-14,Kunjemura,1.0,Moderate,104,PM10
2023-03-22,Kunjemura,1.0,Satisfactory,82,PM10
2023-03-26,Kunjemura,1.0,Moderate,110,PM10
2023-03-27,Kunjemura,1.0,Satisfactory,80,PM10
2023-03-28,Kunjemura,1.0,Moderate,172,PM10
2023-04-06,Kunjemura,1.0,Moderate,120,PM10
2023-04-16,Kunjemura,1.0,Moderate,104,PM10
2023-04-20,Kunjemura,1.0,Moderate,130,PM10
2023-04-21,Kunjemura,1.0,Moderate,106,PM10
2023-04-24,Kunjemura,1.0,Satisfactory,70,NO2
2023-04-26,Kunjemura,1.0,Good,42,O3
2023-04-29,Kunjemura,1.0,Good,29,O3
2023-05-13,Kunjemura,1.0,Satisfactory,97,PM10
2023-05-14,Kunjemura,1.0,Moderate,105,PM10
2023-05-19,Kunjemura,1.0,Moderate,109,PM10
2023-05-21,Kunjemura,1.0,Moderate,104,PM10
2023-05-22,Kunjemura,1.0,Satisfactory,79,PM10
2023-05-23,Kunjemura,1.0,Satisfactory,90,PM10
2023-05-28,Kunjemura,1.0,Moderate,103,PM10
2023-05-29,Kunjemura,1.0,Moderate,120,PM10
2023-05-30,Kunjemura,1.0,Moderate,102,PM10
2023-05-31,Kunjemura,1.0,Satisfactory,88,PM10
2023-06-01,Kunjemura,1.0,Satisfactory,89,PM10
2023-06-02,Kunjemura,1.0,Moderate,103,PM10
2023-06-03,Kunjemura,1.0,Moderate,106,PM10
2023-06-04,Kunjemura,1.0,Satisfactory,90,PM10
2023-06-05,Kunjemura,1.0,Satisfactory,70,PM10
2023-06-07,Kunjemura,1.0,Satisfactory,97,PM10
2023-06-09,Kunjemura,1.0,Moderate,121,PM10
2023-06-10,Kunjemura,1.0,Moderate,128,PM10
2023-06-13,Kunjemura,1.0,Satisfactory,83,PM10
2023-06-14,Kunjemura,1.0,Satisfactory,74,PM10
2023-06-15,Kunjemura,1.0,Satisfactory,61,PM10
2023-06-16,Kunjemura,1.0,Moderate,108,PM10
2023-06-17,Kunjemura,1.0,Satisfactory,96,PM10
2023-06-24,Kunjemura,1.0,Satisfactory,55,PM10
2023-06-30,Kunjemura,1.0,Satisfactory,60,PM10
2023-07-01,Kunjemura,1.0,Moderate,124,PM10
2023-07-05,Kunjemura,1.0,Good,49,PM10
2023-07-06,Kunjemura,1.0,Satisfactory,56,PM10
