date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-05-23,Latur,1.0,Satisfactory,76,O3
2023-05-29,Latur,1.0,Satisfactory,85,PM10
2023-05-31,Latur,1.0,Satisfactory,85,O3
2023-06-01,Latur,1.0,Satisfactory,93,PM10
2023-06-05,Latur,1.0,Satisfactory,74,PM10
2023-06-06,Latur,1.0,Satisfactory,88,O3
2023-06-07,Latur,1.0,Satisfactory,84,PM10
2023-06-08,Latur,1.0,Satisfactory,91,PM10
2023-06-09,Latur,1.0,Satisfactory,71,PM10
2023-06-10,Latur,1.0,Satisfactory,55,PM10
2023-06-11,Latur,1.0,Satisfactory,60,PM2.5
2023-06-12,Latur,1.0,Satisfactory,52,PM10
2023-06-13,Latur,1.0,Satisfactory,66,PM10
2023-06-14,Latur,1.0,Satisfactory,65,PM10
2023-06-15,Latur,1.0,Satisfactory,63,PM10
2023-06-16,Latur,1.0,Satisfactory,80,PM10
2023-06-17,Latur,1.0,Satisfactory,77,PM10
2023-06-18,Latur,1.0,Satisfactory,81,PM10
2023-06-19,Latur,1.0,Satisfactory,83,PM10
2023-06-20,Latur,1.0,Satisfactory,96,PM10
2023-06-21,Latur,1.0,Satisfactory,85,PM10
2023-06-22,Latur,1.0,Satisfactory,75,PM10
2023-06-23,Latur,1.0,Satisfactory,65,PM10
2023-06-24,Latur,1.0,Good,48,PM10
2023-06-25,Latur,1.0,Good,30,CO
2023-06-26,Latur,1.0,Good,34,PM10
2023-06-29,Latur,1.0,Good,32,PM10
2023-06-30,Latur,1.0,Good,40,PM10
2023-07-01,Latur,1.0,Satisfactory,51,PM10
2023-07-02,Latur,1.0,Satisfactory,58,PM10
2023-07-03,Latur,1.0,Good,30,PM10
2023-07-04,Latur,1.0,Good,45,PM10
2023-07-05,Latur,1.0,Good,39,PM10
2023-07-06,Latur,1.0,Good,31,CO
2023-07-07,Latur,1.0,Good,33,PM10
2023-07-08,Latur,1.0,Good,37,PM10
2023-07-09,Latur,1.0,Satisfactory,51,PM10
2023-07-10,Latur,1.0,Satisfactory,66,PM10
2023-07-11,Latur,1.0,Satisfactory,68,PM10
2023-07-12,Latur,1.0,Satisfactory,63,PM10
2023-07-13,Latur,1.0,Satisfactory,81,PM10
2023-07-14,Latur,1.0,Good,46,PM10
2023-07-15,Latur,1.0,Good,40,PM10
2023-07-16,Latur,1.0,Good,46,PM10
2023-07-17,Latur,1.0,Good,36,PM10
2023-07-18,Latur,1.0,Good,45,PM10
2023-07-19,Latur,1.0,Good,47,CO
2023-07-20,Latur,1.0,Good,38,PM10
2023-07-21,Latur,1.0,Good,40,CO
2023-07-22,Latur,1.0,Good,32,CO
2023-07-23,Latur,1.0,Good,35,PM10
2023-07-24,Latur,1.0,Good,36,CO
2023-07-25,Latur,1.0,Good,45,CO
2023-07-26,Latur,1.0,Good,21,PM10
2023-07-27,Latur,1.0,Good,33,CO
2023-07-28,Latur,1.0,Good,47,CO
2023-07-29,Latur,1.0,Good,45,PM10
2023-07-30,Latur,1.0,Satisfactory,55,PM10
2023-07-31,Latur,1.0,Satisfactory,73,PM10
2023-08-01,Latur,1.0,Satisfactory,62,PM10
2023-08-02,Latur,1.0,Good,49,PM10
