date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-03-06,Loni_Dehat,1.0,Poor,205,PM2.5
2019-03-07,Loni_Dehat,1.0,Poor,243,PM2.5
2019-03-08,Loni_Dehat,1.0,Poor,212,PM2.5
2019-03-09,Loni_Dehat,1.0,Moderate,196,PM2.5
2019-03-10,Loni_Dehat,1.0,Poor,204,OZONE
2019-03-11,Loni_Dehat,1.0,Poor,227,PM2.5
2019-03-13,Loni_Dehat,1.0,Moderate,162,OZONE
2019-03-14,Loni_Dehat,1.0,Poor,261,PM2.5
2019-03-15,Loni_Dehat,1.0,Moderate,153,PM2.5
2019-03-16,Loni_Dehat,1.0,Moderate,177,OZONE
2019-03-17,Loni_Dehat,1.0,Poor,213,PM2.5
2019-03-18,Loni_Dehat,1.0,Poor,218,PM2.5
2019-03-19,Loni_Dehat,1.0,Poor,234,PM10
2019-03-20,Loni_Dehat,1.0,Very Poor,331,PM10
2019-03-21,Loni_Dehat,1.0,Poor,253,PM2.5
2019-03-22,Loni_Dehat,1.0,Moderate,136,PM10
2019-03-23,Loni_Dehat,1.0,Moderate,156,PM10
2019-03-24,Loni_Dehat,1.0,Moderate,147,PM10
2019-03-25,Loni_Dehat,1.0,Moderate,149,PM10
2019-03-26,Loni_Dehat,1.0,Moderate,190,PM2.5
2019-03-27,Loni_Dehat,1.0,Poor,211,PM2.5
2019-03-28,Loni_Dehat,1.0,Very Poor,302,PM10
2019-03-29,Loni_Dehat,1.0,Poor,254,PM10
2019-03-30,Loni_Dehat,1.0,Poor,267,PM10
2019-03-31,Loni_Dehat,1.0,Poor,230,PM10
2019-04-02,Loni_Dehat,1.0,Poor,251,PM10
2019-04-05,Loni_Dehat,1.0,Very Poor,338,PM10
2019-04-06,Loni_Dehat,1.0,Very Poor,354,PM10
2019-04-07,Loni_Dehat,1.0,Very Poor,385,PM10
2019-04-08,Loni_Dehat,1.0,Very Poor,357,PM10
2019-04-09,Loni_Dehat,1.0,Poor,286,PM10
2019-04-13,Loni_Dehat,1.0,Poor,248,PM10
2019-04-14,Loni_Dehat,1.0,Moderate,178,PM10
2019-04-15,Loni_Dehat,1.0,Moderate,194,PM10
2019-04-16,Loni_Dehat,1.0,Poor,236,PM10
2019-04-17,Loni_Dehat,1.0,Moderate,136,PM10
2019-04-18,Loni_Dehat,1.0,Moderate,182,OZONE
2019-04-19,Loni_Dehat,1.0,Moderate,181,PM2.5
2019-04-20,Loni_Dehat,1.0,Poor,247,OZONE
2019-04-21,Loni_Dehat,1.0,Very Poor,336,PM10
2019-04-22,Loni_Dehat,1.0,Very Poor,308,PM10
