date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-12-16,Madikeri,1.0,Satisfactory,62,PM10
2021-12-17,Madikeri,1.0,Satisfactory,78,PM10
2021-12-18,Madikeri,1.0,Satisfactory,91,PM10
2021-12-19,Madikeri,1.0,Satisfactory,89,PM10
2021-12-20,Madikeri,1.0,Satisfactory,68,PM10
2021-12-21,Madikeri,1.0,Satisfactory,68,PM10
2021-12-22,Madikeri,1.0,Satisfactory,69,PM10
2021-12-23,Madikeri,1.0,Satisfactory,65,PM10
2021-12-24,Madikeri,1.0,Satisfactory,77,PM10
2021-12-25,Madikeri,1.0,Satisfactory,73,PM10
2021-12-26,Madikeri,1.0,Satisfactory,77,PM10
2021-12-27,Madikeri,1.0,Satisfactory,82,PM10
2021-12-28,Madikeri,1.0,Satisfactory,60,PM10
2021-12-29,Madikeri,1.0,Satisfactory,52,PM10
2021-12-30,Madikeri,1.0,Good,46,PM10
2021-12-31,Madikeri,1.0,Good,36,PM10
2022-01-01,Madikeri,1.0,Good,37,PM10
2022-01-02,Madikeri,1.0,Good,33,PM10
2022-01-03,Madikeri,1.0,Good,33,PM10
2022-01-04,Madikeri,1.0,Satisfactory,57,PM10
2022-01-05,Madikeri,1.0,Satisfactory,70,PM10
2022-01-06,Madikeri,1.0,Satisfactory,67,PM10
2022-01-07,Madikeri,1.0,Satisfactory,64,PM10
2022-01-08,Madikeri,1.0,Satisfactory,69,PM10
2022-01-09,Madikeri,1.0,Good,49,PM10
2022-01-10,Madikeri,1.0,Good,46,PM2.5
2022-01-11,Madikeri,1.0,Good,43,PM10
2022-01-12,Madikeri,1.0,Good,32,PM10
2022-01-13,Madikeri,1.0,Good,32,CO
2022-01-20,Madikeri,1.0,Satisfactory,54,PM10
2022-01-21,Madikeri,1.0,Satisfactory,60,PM10
2022-01-22,Madikeri,1.0,Satisfactory,53,PM2.5
2022-01-23,Madikeri,1.0,Good,30,PM10
2022-01-24,Madikeri,1.0,Good,43,PM10
2022-01-25,Madikeri,1.0,Moderate,127,PM10
2022-01-26,Madikeri,1.0,Satisfactory,84,PM10
2022-01-27,Madikeri,1.0,Moderate,109,PM10
2022-01-28,Madikeri,1.0,Satisfactory,68,PM10
2022-01-29,Madikeri,1.0,Satisfactory,80,PM10
2022-01-30,Madikeri,1.0,Satisfactory,75,PM10
2022-01-31,Madikeri,1.0,Satisfactory,62,PM10
2022-02-01,Madikeri,1.0,Satisfactory,79,PM10
2022-02-02,Madikeri,1.0,Satisfactory,79,PM10
2022-02-03,Madikeri,1.0,Satisfactory,77,PM10
2022-02-04,Madikeri,1.0,Satisfactory,55,PM10
2022-02-05,Madikeri,1.0,Satisfactory,88,CO
2022-02-06,Madikeri,1.0,Good,45,O3
2022-02-07,Madikeri,1.0,Satisfactory,56,PM10
2022-02-08,Madikeri,1.0,Satisfactory,67,PM10
2022-02-09,Madikeri,1.0,Satisfactory,85,PM10
2022-02-10,Madikeri,1.0,Satisfactory,80,PM10
2022-02-11,Madikeri,1.0,Satisfactory,73,PM10
2022-02-12,Madikeri,1.0,Satisfactory,55,PM10
2022-02-13,Madikeri,1.0,Satisfactory,64,PM10
2022-02-14,Madikeri,1.0,Satisfactory,68,PM10
2022-02-15,Madikeri,1.0,Satisfactory,79,PM2.5
2022-02-16,Madikeri,1.0,Satisfactory,86,PM2.5
2022-02-17,Madikeri,1.0,Satisfactory,89,PM2.5
2022-02-18,Madikeri,1.0,Satisfactory,79,PM10
2022-02-19,Madikeri,1.0,Satisfactory,74,PM10
2022-02-20,Madikeri,1.0,Satisfactory,67,PM10
2022-02-21,Madikeri,1.0,Satisfactory,60,PM10
2022-02-22,Madikeri,1.0,Satisfactory,62,PM10
2022-02-23,Madikeri,1.0,Satisfactory,65,PM10
2022-02-24,Madikeri,1.0,Satisfactory,64,PM10
2022-02-25,Madikeri,1.0,Satisfactory,58,PM10
2022-02-26,Madikeri,1.0,Satisfactory,63,PM10
2022-02-27,Madikeri,1.0,Satisfactory,60,PM10
2022-02-28,Madikeri,1.0,Satisfactory,64,PM10
2022-03-01,Madikeri,1.0,Satisfactory,63,PM10
2022-03-02,Madikeri,1.0,Satisfactory,54,PM10
2022-03-03,Madikeri,1.0,Satisfactory,53,PM10
2022-03-04,Madikeri,1.0,Satisfactory,61,PM10
2022-03-06,Madikeri,1.0,Satisfactory,60,PM10
2022-03-08,Madikeri,1.0,Good,47,O3
2022-03-09,Madikeri,1.0,Satisfactory,53,PM2.5
2022-03-10,Madikeri,1.0,Satisfactory,63,PM10
2022-03-11,Madikeri,1.0,Satisfactory,67,PM10
2022-03-12,Madikeri,1.0,Satisfactory,72,PM10
2022-03-13,Madikeri,1.0,Satisfactory,89,PM10
2022-03-14,Madikeri,1.0,Satisfactory,96,PM10
2022-03-15,Madikeri,1.0,Moderate,101,PM10
2022-03-16,Madikeri,1.0,Satisfactory,97,PM2.5
2022-03-17,Madikeri,1.0,Satisfactory,90,PM10
2022-03-18,Madikeri,1.0,Satisfactory,87,PM10
2022-03-19,Madikeri,1.0,Satisfactory,79,PM10
2022-03-20,Madikeri,1.0,Satisfactory,57,PM10
2022-03-21,Madikeri,1.0,Satisfactory,62,PM10
2022-03-22,Madikeri,1.0,Satisfactory,62,PM10
2022-03-23,Madikeri,1.0,Satisfactory,70,PM10
2022-03-24,Madikeri,1.0,Satisfactory,59,PM10
2022-03-25,Madikeri,1.0,Satisfactory,53,PM10
