date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-27,Mahad,1.0,Good,29,PM10
2023-06-28,Mahad,1.0,Good,35,O3
2023-06-29,Mahad,1.0,Good,35,O3
2023-06-30,Mahad,1.0,Good,28,CO
2023-07-01,Mahad,1.0,Good,39,CO
2023-07-04,Mahad,1.0,Good,31,PM10
2023-07-05,Mahad,1.0,Good,44,PM10
2023-07-06,Mahad,1.0,Good,32,CO
2023-07-07,Mahad,1.0,Good,22,PM2.5
2023-07-08,Mahad,1.0,Good,38,PM10
2023-07-09,Mahad,1.0,Good,50,PM10
2023-07-10,Mahad,1.0,Satisfactory,52,PM10
2023-07-11,Mahad,1.0,Satisfactory,59,PM10
2023-07-12,Mahad,1.0,Satisfactory,62,PM10
2023-07-13,Mahad,1.0,Good,46,PM10
2023-07-14,Mahad,1.0,Good,19,PM10
2023-07-15,Mahad,1.0,Good,26,PM10
2023-07-16,Mahad,1.0,Good,27,PM10
2023-07-17,Mahad,1.0,Satisfactory,74,O3
2023-07-18,Mahad,1.0,Good,28,PM10
2023-07-21,Mahad,1.0,Good,32,PM10
2023-07-22,Mahad,1.0,Good,36,PM10
2023-07-23,Mahad,1.0,Good,42,SO2
2023-07-24,Mahad,1.0,Good,35,SO2
2023-07-25,Mahad,1.0,Good,29,NO2
2023-07-26,Mahad,1.0,Good,29,NO2
2023-07-27,Mahad,1.0,Good,28,NO2
2023-07-28,Mahad,1.0,Good,30,PM10
2023-07-29,Mahad,1.0,Good,29,PM10
2023-07-30,Mahad,1.0,Good,37,PM10
2023-07-31,Mahad,1.0,Good,36,PM10
2023-08-01,Mahad,1.0,Good,32,PM10
2023-08-02,Mahad,1.0,Good,34,PM10
2023-08-04,Mahad,1.0,Good,37,PM10
2023-08-05,Mahad,1.0,Good,42,PM10
2023-08-06,Mahad,1.0,Good,48,PM10
2023-08-07,Mahad,1.0,Satisfactory,62,PM10
2023-08-08,Mahad,1.0,Good,44,PM10
2023-08-09,Mahad,1.0,Good,31,PM10
2023-08-10,Mahad,1.0,Good,31,PM10
2023-08-11,Mahad,1.0,Good,39,PM10
2023-08-12,Mahad,1.0,Good,36,PM10
2023-08-13,Mahad,1.0,Good,29,SO2
2023-08-14,Mahad,1.0,Good,28,PM10
2023-08-15,Mahad,1.0,Good,46,PM10
2023-08-16,Mahad,1.0,Good,39,SO2
2023-08-17,Mahad,1.0,Good,42,CO
2023-08-18,Mahad,1.0,Satisfactory,60,PM10
2023-08-19,Mahad,1.0,Good,35,CO
2023-08-20,Mahad,1.0,Good,37,SO2
2023-08-21,Mahad,1.0,Good,33,PM10
2023-08-22,Mahad,1.0,Good,36,SO2
2023-08-23,Mahad,1.0,Good,35,SO2
2023-08-24,Mahad,1.0,Good,36,PM10
2023-08-25,Mahad,1.0,Good,36,CO
2023-08-26,Mahad,1.0,Good,37,CO
2023-08-27,Mahad,1.0,Good,20,PM10
2023-08-29,Mahad,1.0,Good,30,SO2
2023-08-30,Mahad,1.0,Good,39,PM10
2023-08-31,Mahad,1.0,Satisfactory,93,PM10
2023-09-01,Mahad,1.0,Satisfactory,73,PM10
2023-09-05,Mahad,1.0,Satisfactory,69,PM10
2023-09-06,Mahad,1.0,Satisfactory,69,PM10
2023-09-07,Mahad,1.0,Satisfactory,69,PM10
2023-09-08,Mahad,1.0,Satisfactory,69,PM10
2023-09-09,Mahad,1.0,Satisfactory,69,PM10
2023-09-10,Mahad,1.0,Satisfactory,69,PM10
2023-09-11,Mahad,1.0,Satisfactory,69,PM10
2023-09-12,Mahad,1.0,Satisfactory,69,PM10
2023-09-13,Mahad,1.0,Satisfactory,69,PM10
2023-09-14,Mahad,1.0,Satisfactory,68,PM10
2023-09-15,Mahad,1.0,Satisfactory,69,PM10
2023-09-16,Mahad,1.0,Satisfactory,69,PM10
2023-09-17,Mahad,1.0,Satisfactory,69,PM10
2023-09-18,Mahad,1.0,Satisfactory,69,PM10
2023-09-19,Mahad,1.0,Satisfactory,69,PM10
2023-09-20,Mahad,1.0,Satisfactory,69,PM10
2023-09-21,Mahad,1.0,Satisfactory,68,PM10
2023-09-22,Mahad,1.0,Good,34,PM2.5
2023-09-23,Mahad,1.0,Good,34,PM10
2023-09-24,Mahad,1.0,Good,38,SO2
2023-09-25,Mahad,1.0,Good,40,PM2.5
2023-09-26,Mahad,1.0,Good,36,PM2.5
2023-09-27,Mahad,1.0,Good,35,PM2.5
2023-09-28,Mahad,1.0,Good,31,PM2.5
2023-09-29,Mahad,1.0,Good,37,PM2.5
2023-09-30,Mahad,1.0,Good,48,NO2
2023-10-01,Mahad,1.0,Good,41,PM10
2023-10-02,Mahad,1.0,Satisfactory,59,PM2.5
2023-10-03,Mahad,1.0,Satisfactory,66,PM10
2023-10-04,Mahad,1.0,Satisfactory,95,PM10
2023-10-05,Mahad,1.0,Moderate,107,PM10
2023-10-06,Mahad,1.0,Moderate,114,PM2.5
2023-10-07,Mahad,1.0,Satisfactory,93,PM2.5
2023-10-08,Mahad,1.0,Moderate,129,PM2.5
2023-10-09,Mahad,1.0,Satisfactory,91,PM2.5
2023-10-10,Mahad,1.0,Moderate,194,PM2.5
2023-10-11,Mahad,1.0,Satisfactory,97,PM10
2023-10-12,Mahad,1.0,Moderate,101,PM2.5
2023-10-13,Mahad,1.0,Moderate,106,PM2.5
2023-10-14,Mahad,1.0,Satisfactory,93,PM2.5
2023-10-15,Mahad,1.0,Moderate,122,PM2.5
2023-10-16,Mahad,1.0,Moderate,105,PM2.5
2023-10-17,Mahad,1.0,Satisfactory,97,PM10
2023-10-18,Mahad,1.0,Satisfactory,95,PM2.5
2023-10-19,Mahad,1.0,Moderate,171,PM2.5
2023-10-21,Mahad,1.0,Moderate,161,PM2.5
2023-10-22,Mahad,1.0,Moderate,103,PM2.5
2023-10-23,Mahad,1.0,Moderate,111,PM2.5
2023-10-24,Mahad,1.0,Moderate,103,PM2.5
2023-10-25,Mahad,1.0,Moderate,108,PM10
2023-10-26,Mahad,1.0,Moderate,114,PM10
2023-10-27,Mahad,1.0,Moderate,172,PM2.5
2023-10-28,Mahad,1.0,Moderate,146,PM2.5
2023-10-29,Mahad,1.0,Satisfactory,100,PM2.5
2023-10-30,Mahad,1.0,Moderate,104,PM2.5
2023-10-31,Mahad,1.0,Moderate,124,PM2.5
2023-11-02,Mahad,1.0,Moderate,122,PM2.5
2023-11-03,Mahad,1.0,Satisfactory,96,PM2.5
2023-11-04,Mahad,1.0,Moderate,151,PM2.5
2023-11-05,Mahad,1.0,Moderate,161,PM2.5
2023-11-06,Mahad,1.0,Moderate,147,PM2.5
2023-11-07,Mahad,1.0,Moderate,156,PM2.5
2023-11-08,Mahad,1.0,Moderate,102,PM2.5
2023-11-09,Mahad,1.0,Satisfactory,68,PM10
2023-11-10,Mahad,1.0,Satisfactory,78,PM10
2023-11-11,Mahad,1.0,Satisfactory,59,PM10
2023-11-12,Mahad,1.0,Moderate,134,PM2.5
2023-11-13,Mahad,1.0,Moderate,145,PM2.5
2023-11-14,Mahad,1.0,Moderate,109,PM10
2023-11-15,Mahad,1.0,Satisfactory,100,PM10
2023-11-16,Mahad,1.0,Moderate,106,PM10
2023-11-17,Mahad,1.0,Moderate,161,PM2.5
2023-11-18,Mahad,1.0,Poor,223,PM2.5
2023-11-19,Mahad,1.0,Poor,242,PM2.5
2023-11-20,Mahad,1.0,Poor,203,PM2.5
2023-11-21,Mahad,1.0,Moderate,136,PM2.5
2023-11-22,Mahad,1.0,Moderate,145,PM2.5
2023-11-23,Mahad,1.0,Moderate,131,PM2.5
2023-11-24,Mahad,1.0,Moderate,103,PM2.5
2023-11-25,Mahad,1.0,Satisfactory,95,PM10
2023-11-26,Mahad,1.0,Satisfactory,72,PM10
2023-11-27,Mahad,1.0,Satisfactory,83,PM2.5
2023-11-29,Mahad,1.0,Satisfactory,79,PM10
2023-11-30,Mahad,1.0,Satisfactory,92,PM10
2023-12-01,Mahad,1.0,Satisfactory,97,PM2.5
2023-12-03,Mahad,1.0,Satisfactory,99,PM10
2023-12-04,Mahad,1.0,Moderate,106,PM10
2023-12-05,Mahad,1.0,Satisfactory,100,PM10
2023-12-06,Mahad,1.0,Moderate,111,PM10
2023-12-07,Mahad,1.0,Moderate,122,PM10
2023-12-08,Mahad,1.0,Moderate,104,PM10
2023-12-09,Mahad,1.0,Moderate,108,PM10
2023-12-10,Mahad,1.0,Moderate,106,PM10
2023-12-11,Mahad,1.0,Satisfactory,97,PM10
2023-12-12,Mahad,1.0,Satisfactory,88,PM10
2023-12-14,Mahad,1.0,Moderate,104,PM10
2023-12-15,Mahad,1.0,Moderate,112,PM10
2023-12-16,Mahad,1.0,Moderate,105,PM10
2023-12-18,Mahad,1.0,Poor,224,PM2.5
2023-12-19,Mahad,1.0,Poor,227,PM2.5
2023-12-20,Mahad,1.0,Moderate,154,PM2.5
2023-12-21,Mahad,1.0,Moderate,162,PM2.5
2023-12-22,Mahad,1.0,Moderate,180,PM2.5
2023-12-23,Mahad,1.0,Poor,222,PM2.5
2023-12-24,Mahad,1.0,Moderate,162,PM2.5
2023-12-25,Mahad,1.0,Moderate,156,PM2.5
2023-12-26,Mahad,1.0,Moderate,147,PM2.5
2023-12-27,Mahad,1.0,Moderate,142,PM2.5
2023-12-29,Mahad,1.0,Moderate,156,PM2.5
2023-12-30,Mahad,1.0,Moderate,186,PM2.5
2023-12-31,Mahad,1.0,Moderate,112,PM10
