date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-02-11,Maihar,1.0,Satisfactory,91,CO
2019-02-13,Maihar,1.0,Satisfactory,95,CO
2019-02-14,Maihar,1.0,Satisfactory,95,CO
2019-02-15,Maihar,1.0,Satisfactory,93,CO
2019-02-16,Maihar,1.0,Satisfactory,93,CO
2019-02-17,Maihar,1.0,Satisfactory,92,CO
2019-02-18,Maihar,1.0,Satisfactory,93,CO
2019-02-19,Maihar,1.0,Satisfactory,92,CO
2019-02-20,Maihar,1.0,Moderate,103,PM10
2019-02-21,Maihar,1.0,Satisfactory,94,CO
2019-02-22,Maihar,1.0,Satisfactory,92,CO
2019-02-24,Maihar,1.0,Satisfactory,92,CO
2019-02-25,Maihar,1.0,Satisfactory,95,CO
2019-02-26,Maihar,1.0,Satisfactory,96,CO
2019-02-27,Maihar,1.0,Satisfactory,96,CO
2019-02-28,Maihar,1.0,Satisfactory,92,CO
2019-03-01,Maihar,1.0,Satisfactory,91,CO
2019-03-02,Maihar,1.0,Satisfactory,96,CO
2019-03-03,Maihar,1.0,Moderate,102,CO
2019-03-04,Maihar,1.0,Moderate,103,CO
2019-03-05,Maihar,1.0,Moderate,102,CO
2019-03-06,Maihar,1.0,Satisfactory,100,CO
2019-03-07,Maihar,1.0,Satisfactory,99,CO
2019-03-08,Maihar,1.0,Satisfactory,99,CO
2019-03-09,Maihar,1.0,Satisfactory,100,CO
2019-03-10,Maihar,1.0,Moderate,101,CO
2019-03-11,Maihar,1.0,Moderate,101,CO
2019-03-12,Maihar,1.0,Satisfactory,98,CO
2019-03-13,Maihar,1.0,Moderate,101,CO
2019-03-14,Maihar,1.0,Moderate,102,CO
2019-03-15,Maihar,1.0,Satisfactory,94,CO
2019-03-16,Maihar,1.0,Satisfactory,53,PM10
2019-03-17,Maihar,1.0,Good,48,PM10
2019-03-18,Maihar,1.0,Satisfactory,57,PM2.5
2019-03-19,Maihar,1.0,Satisfactory,57,PM10
2019-03-20,Maihar,1.0,Satisfactory,58,PM10
2019-03-21,Maihar,1.0,Good,46,PM2.5
2019-03-22,Maihar,1.0,Satisfactory,55,PM10
2019-03-23,Maihar,1.0,Good,49,PM10
2019-03-24,Maihar,1.0,Satisfactory,58,PM10
2019-03-25,Maihar,1.0,Satisfactory,81,PM10
2019-03-26,Maihar,1.0,Satisfactory,86,PM10
2019-03-27,Maihar,1.0,Good,47,PM10
2019-03-28,Maihar,1.0,Satisfactory,51,PM10
2019-03-29,Maihar,1.0,Satisfactory,64,PM10
2019-03-30,Maihar,1.0,Satisfactory,64,PM10
2019-03-31,Maihar,1.0,Satisfactory,84,PM10
2019-04-01,Maihar,1.0,Satisfactory,67,PM10
2019-04-02,Maihar,1.0,Good,48,PM10
2019-04-03,Maihar,1.0,Satisfactory,60,PM10
2019-04-06,Maihar,1.0,Good,48,CO
2019-04-07,Maihar,1.0,Moderate,110,PM10
2019-04-08,Maihar,1.0,Satisfactory,54,CO
2019-04-09,Maihar,1.0,Satisfactory,57,PM10
2019-04-10,Maihar,1.0,Satisfactory,63,PM10
2019-04-11,Maihar,1.0,Satisfactory,84,PM10
2019-04-12,Maihar,1.0,Satisfactory,51,PM10
2019-04-13,Maihar,1.0,Satisfactory,51,PM10
2019-04-14,Maihar,1.0,Satisfactory,75,PM10
2019-04-15,Maihar,1.0,Satisfactory,78,PM10
2019-04-16,Maihar,1.0,Satisfactory,56,PM10
2019-04-17,Maihar,1.0,Good,46,CO
2019-04-18,Maihar,1.0,Good,44,PM2.5
2019-04-19,Maihar,1.0,Good,48,PM10
2019-04-20,Maihar,1.0,Good,44,PM2.5
2019-04-21,Maihar,1.0,Good,46,PM2.5
2019-04-22,Maihar,1.0,Good,43,PM2.5
2019-04-23,Maihar,1.0,Satisfactory,61,PM10
2019-04-24,Maihar,1.0,Satisfactory,88,PM10
2019-04-28,Maihar,1.0,Moderate,164,PM10
2019-04-29,Maihar,1.0,Moderate,162,PM10
2019-04-30,Maihar,1.0,Moderate,150,PM10
2019-05-01,Maihar,1.0,Moderate,116,PM10
2019-05-02,Maihar,1.0,Moderate,145,PM10
2019-05-03,Maihar,1.0,Moderate,133,PM10
2019-05-04,Maihar,1.0,Moderate,112,PM10
2019-05-05,Maihar,1.0,Moderate,104,PM10
2019-05-06,Maihar,1.0,Satisfactory,99,PM10
2019-05-07,Maihar,1.0,Moderate,111,PM10
2019-05-08,Maihar,1.0,Moderate,130,PM10
2019-05-09,Maihar,1.0,Moderate,104,PM10
2019-05-10,Maihar,1.0,Satisfactory,87,PM10
2019-05-11,Maihar,1.0,Satisfactory,74,CO
2019-05-12,Maihar,1.0,Satisfactory,95,PM10
2019-05-13,Maihar,1.0,Moderate,155,PM10
2019-05-14,Maihar,1.0,Satisfactory,80,CO
2019-05-15,Maihar,1.0,Satisfactory,68,PM10
2019-05-16,Maihar,1.0,Satisfactory,81,PM10
2019-05-17,Maihar,1.0,Satisfactory,92,PM10
2019-05-18,Maihar,1.0,Satisfactory,86,PM10
2019-05-19,Maihar,1.0,Satisfactory,58,CO
2019-05-20,Maihar,1.0,Satisfactory,64,PM10
2019-05-21,Maihar,1.0,Satisfactory,66,PM10
2019-05-22,Maihar,1.0,Satisfactory,98,PM10
2019-05-23,Maihar,1.0,Satisfactory,91,PM10
2019-05-24,Maihar,1.0,Satisfactory,76,PM10
2019-05-25,Maihar,1.0,Satisfactory,76,PM10
2019-05-26,Maihar,1.0,Satisfactory,64,PM10
2019-05-27,Maihar,1.0,Satisfactory,65,PM10
2019-05-28,Maihar,1.0,Satisfactory,75,PM10
2019-05-29,Maihar,1.0,Satisfactory,70,PM10
2019-05-30,Maihar,1.0,Satisfactory,65,PM10
2019-05-31,Maihar,1.0,Satisfactory,61,PM10
2019-06-01,Maihar,1.0,Satisfactory,81,PM10
2019-06-02,Maihar,1.0,Satisfactory,86,PM10
2019-06-03,Maihar,1.0,Satisfactory,74,PM10
2019-06-04,Maihar,1.0,Satisfactory,88,PM10
2019-06-05,Maihar,1.0,Moderate,107,PM10
2019-06-06,Maihar,1.0,Satisfactory,100,PM10
2019-06-07,Maihar,1.0,Satisfactory,76,PM10
2019-06-08,Maihar,1.0,Satisfactory,84,PM10
2019-06-09,Maihar,1.0,Satisfactory,80,PM10
2019-06-10,Maihar,1.0,Satisfactory,67,PM10
2019-06-11,Maihar,1.0,Satisfactory,70,PM10
2019-06-12,Maihar,1.0,Satisfactory,84,PM10
2019-06-13,Maihar,1.0,Satisfactory,54,CO
2019-06-14,Maihar,1.0,Satisfactory,56,CO
2019-06-15,Maihar,1.0,Satisfactory,54,CO
2019-06-16,Maihar,1.0,Satisfactory,55,CO
2019-06-17,Maihar,1.0,Satisfactory,62,PM10
2019-06-18,Maihar,1.0,Satisfactory,65,PM10
2019-06-19,Maihar,1.0,Satisfactory,69,PM10
2019-06-20,Maihar,1.0,Satisfactory,56,PM10
2019-06-21,Maihar,1.0,Satisfactory,58,PM10
2019-06-22,Maihar,1.0,Satisfactory,63,PM10
2019-06-23,Maihar,1.0,Good,43,CO
2019-06-24,Maihar,1.0,Satisfactory,62,PM10
2019-06-25,Maihar,1.0,Satisfactory,75,PM10
2019-06-26,Maihar,1.0,Satisfactory,61,PM10
2019-06-27,Maihar,1.0,Good,45,PM10
2019-06-28,Maihar,1.0,Satisfactory,52,PM10
2019-06-29,Maihar,1.0,Satisfactory,62,PM10
2019-06-30,Maihar,1.0,Satisfactory,66,PM10
2019-07-01,Maihar,1.0,Satisfactory,54,PM10
2019-07-02,Maihar,1.0,Good,49,PM10
2019-07-03,Maihar,1.0,Good,43,CO
2019-07-04,Maihar,1.0,Good,44,CO
2019-07-05,Maihar,1.0,Good,41,CO
2019-07-06,Maihar,1.0,Good,40,CO
2019-07-07,Maihar,1.0,Good,38,CO
2019-07-08,Maihar,1.0,Good,38,CO
2019-07-09,Maihar,1.0,Satisfactory,52,PM10
2019-07-10,Maihar,1.0,Good,47,PM10
2019-07-11,Maihar,1.0,Satisfactory,66,PM10
2019-07-12,Maihar,1.0,Satisfactory,85,PM10
2019-07-13,Maihar,1.0,Satisfactory,79,PM10
2019-07-14,Maihar,1.0,Satisfactory,74,PM10
2019-07-15,Maihar,1.0,Moderate,104,PM10
2019-07-16,Maihar,1.0,Satisfactory,92,PM10
2019-07-17,Maihar,1.0,Satisfactory,87,PM10
2019-07-18,Maihar,1.0,Satisfactory,81,PM10
2019-07-19,Maihar,1.0,Satisfactory,73,PM10
2019-07-20,Maihar,1.0,Satisfactory,77,PM10
2019-07-21,Maihar,1.0,Satisfactory,60,PM10
2019-07-22,Maihar,1.0,Good,48,PM10
2019-07-23,Maihar,1.0,Satisfactory,52,PM10
2019-07-24,Maihar,1.0,Good,46,PM10
2019-07-25,Maihar,1.0,Good,36,PM10
2019-07-26,Maihar,1.0,Good,29,CO
2019-07-27,Maihar,1.0,Good,29,CO
2019-07-28,Maihar,1.0,Good,43,PM10
2019-07-29,Maihar,1.0,Good,30,CO
2019-07-30,Maihar,1.0,Good,33,CO
2019-07-31,Maihar,1.0,Good,33,PM10
2019-08-01,Maihar,1.0,Good,30,CO
2019-08-02,Maihar,1.0,Good,28,CO
2019-08-03,Maihar,1.0,Good,29,CO
2019-08-04,Maihar,1.0,Good,30,PM10
2019-08-05,Maihar,1.0,Good,25,CO
2019-08-07,Maihar,1.0,Good,38,CO
2019-08-08,Maihar,1.0,Good,40,CO
2019-08-09,Maihar,1.0,Good,41,CO
2019-08-10,Maihar,1.0,Satisfactory,58,PM10
2019-08-11,Maihar,1.0,Satisfactory,58,PM10
2019-08-13,Maihar,1.0,Good,43,CO
2019-08-14,Maihar,1.0,Good,45,CO
2019-08-15,Maihar,1.0,Good,45,CO
2019-08-16,Maihar,1.0,Good,44,CO
2019-08-23,Maihar,1.0,Good,29,CO
2019-08-24,Maihar,1.0,Good,36,CO
2019-08-25,Maihar,1.0,Good,40,CO
2019-08-26,Maihar,1.0,Good,40,CO
2019-08-27,Maihar,1.0,Good,41,CO
2019-08-28,Maihar,1.0,Good,40,CO
2019-08-29,Maihar,1.0,Good,40,CO
2019-08-30,Maihar,1.0,Good,48,PM10
2019-08-31,Maihar,1.0,Good,45,PM10
2019-09-01,Maihar,1.0,Good,48,PM2.5
2019-09-02,Maihar,1.0,Satisfactory,65,PM2.5
2019-09-03,Maihar,1.0,Good,49,PM10
2019-09-04,Maihar,1.0,Good,48,PM10
2019-09-05,Maihar,1.0,Good,39,CO
2019-09-06,Maihar,1.0,Good,38,CO
2019-09-07,Maihar,1.0,Good,37,CO
2019-09-08,Maihar,1.0,Good,38,CO
2019-09-09,Maihar,1.0,Good,40,CO
2019-09-10,Maihar,1.0,Good,40,CO
2019-09-11,Maihar,1.0,Good,40,CO
2019-09-13,Maihar,1.0,Good,32,PM10
2019-09-14,Maihar,1.0,Good,27,PM10
2019-09-15,Maihar,1.0,Good,48,PM10
2019-09-16,Maihar,1.0,Satisfactory,54,PM10
2019-09-17,Maihar,1.0,Good,38,PM10
2019-09-18,Maihar,1.0,Satisfactory,61,PM10
2019-09-19,Maihar,1.0,Satisfactory,72,PM10
2019-09-29,Maihar,1.0,Good,26,CO
2019-10-01,Maihar,1.0,Good,19,CO
2019-10-07,Maihar,1.0,Good,45,PM2.5
2019-10-08,Maihar,1.0,Satisfactory,70,PM2.5
2019-10-13,Maihar,1.0,Good,43,PM2.5
2019-10-14,Maihar,1.0,Good,42,PM2.5
2019-10-19,Maihar,1.0,Satisfactory,59,PM10
2019-10-20,Maihar,1.0,Good,45,PM10
2019-10-21,Maihar,1.0,Satisfactory,77,PM10
2019-10-22,Maihar,1.0,Satisfactory,64,PM10
2019-10-23,Maihar,1.0,Satisfactory,53,PM10
2019-10-24,Maihar,1.0,Satisfactory,95,PM10
2019-10-25,Maihar,1.0,Satisfactory,56,PM2.5
2019-10-26,Maihar,1.0,Good,40,PM10
2019-10-27,Maihar,1.0,Satisfactory,92,PM10
2019-10-28,Maihar,1.0,Satisfactory,99,PM10
2019-10-29,Maihar,1.0,Moderate,101,PM10
2019-10-30,Maihar,1.0,Satisfactory,56,PM2.5
2019-10-31,Maihar,1.0,Satisfactory,97,PM2.5
2019-11-01,Maihar,1.0,Satisfactory,61,PM10
2019-11-02,Maihar,1.0,Good,48,PM10
2019-11-03,Maihar,1.0,Good,40,PM2.5
2019-11-04,Maihar,1.0,Satisfactory,70,PM2.5
2019-11-05,Maihar,1.0,Satisfactory,62,PM10
2019-11-06,Maihar,1.0,Satisfactory,51,PM10
2019-11-07,Maihar,1.0,Satisfactory,56,PM10
2019-11-08,Maihar,1.0,Satisfactory,69,PM10
2019-11-09,Maihar,1.0,Satisfactory,65,PM10
2019-11-10,Maihar,1.0,Good,42,PM10
2019-11-11,Maihar,1.0,Good,35,PM10
2019-11-12,Maihar,1.0,Good,45,PM10
2019-11-13,Maihar,1.0,Satisfactory,60,PM10
2019-11-14,Maihar,1.0,Satisfactory,67,PM10
2019-11-15,Maihar,1.0,Satisfactory,58,PM10
2019-11-16,Maihar,1.0,Satisfactory,71,PM10
2019-11-17,Maihar,1.0,Satisfactory,68,PM10
2019-11-18,Maihar,1.0,Good,37,PM10
2019-11-19,Maihar,1.0,Good,40,PM10
2019-11-20,Maihar,1.0,Satisfactory,62,PM10
2019-11-21,Maihar,1.0,Satisfactory,70,PM10
2019-11-22,Maihar,1.0,Satisfactory,67,PM10
2019-11-23,Maihar,1.0,Satisfactory,72,PM10
2019-11-24,Maihar,1.0,Good,45,PM10
2019-11-25,Maihar,1.0,Good,34,PM10
2019-11-26,Maihar,1.0,Satisfactory,80,PM10
2019-11-27,Maihar,1.0,Satisfactory,59,PM10
2019-11-28,Maihar,1.0,Satisfactory,53,PM10
2019-11-29,Maihar,1.0,Satisfactory,63,PM10
2019-11-30,Maihar,1.0,Good,50,PM10
2019-12-01,Maihar,1.0,Good,42,CO
