date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-01-04,Mangalore,1.0,Good,41,PM2.5
2021-01-05,Mangalore,1.0,Good,49,PM2.5
2021-01-06,Mangalore,1.0,Good,38,PM10
2021-01-07,Mangalore,1.0,Good,21,O3
2021-01-08,Mangalore,1.0,Good,17,PM2.5
2021-01-09,Mangalore,1.0,Good,31,PM10
2021-01-10,Mangalore,1.0,Good,39,PM2.5
2021-01-11,Mangalore,1.0,Satisfactory,55,PM2.5
2021-01-12,Mangalore,1.0,Satisfactory,63,PM2.5
2021-01-13,Mangalore,1.0,Satisfactory,74,PM2.5
2021-01-14,Mangalore,1.0,Satisfactory,99,PM2.5
2021-01-15,Mangalore,1.0,Satisfactory,69,PM2.5
2021-01-16,Mangalore,1.0,Satisfactory,65,PM2.5
2021-01-17,Mangalore,1.0,Good,48,PM2.5
2021-01-18,Mangalore,1.0,Satisfactory,58,PM2.5
2021-01-19,Mangalore,1.0,Satisfactory,75,PM2.5
2021-01-20,Mangalore,1.0,Satisfactory,83,PM2.5
2021-01-21,Mangalore,1.0,Satisfactory,93,PM2.5
2021-01-22,Mangalore,1.0,Satisfactory,81,PM2.5
2021-01-23,Mangalore,1.0,Satisfactory,87,PM2.5
2021-01-24,Mangalore,1.0,Moderate,102,PM2.5
2021-01-25,Mangalore,1.0,Satisfactory,97,PM2.5
2021-01-26,Mangalore,1.0,Moderate,113,PM2.5
2021-01-27,Mangalore,1.0,Satisfactory,90,PM2.5
2021-01-28,Mangalore,1.0,Satisfactory,84,PM2.5
2021-01-29,Mangalore,1.0,Satisfactory,94,PM2.5
2021-01-30,Mangalore,1.0,Moderate,108,PM2.5
2021-01-31,Mangalore,1.0,Moderate,126,PM2.5
2021-02-01,Mangalore,1.0,Moderate,111,PM2.5
2021-02-02,Mangalore,1.0,Satisfactory,86,PM10
2021-02-03,Mangalore,1.0,Satisfactory,82,PM2.5
2021-02-04,Mangalore,1.0,Satisfactory,89,PM2.5
2021-02-05,Mangalore,1.0,Moderate,119,PM2.5
2021-02-06,Mangalore,1.0,Satisfactory,93,PM2.5
2021-02-07,Mangalore,1.0,Satisfactory,85,PM2.5
2021-02-08,Mangalore,1.0,Satisfactory,86,PM10
2021-02-09,Mangalore,1.0,Moderate,104,PM2.5
2021-02-10,Mangalore,1.0,Moderate,101,PM2.5
2021-02-11,Mangalore,1.0,Moderate,110,PM2.5
2021-02-12,Mangalore,1.0,Moderate,101,PM2.5
2021-02-13,Mangalore,1.0,Satisfactory,94,PM2.5
2021-02-14,Mangalore,1.0,Moderate,110,PM2.5
2021-02-15,Mangalore,1.0,Satisfactory,97,PM2.5
2021-02-16,Mangalore,1.0,Satisfactory,85,PM10
2021-02-17,Mangalore,1.0,Satisfactory,76,PM10
2021-02-18,Mangalore,1.0,Satisfactory,75,PM10
2021-02-19,Mangalore,1.0,Satisfactory,76,PM10
2021-02-20,Mangalore,1.0,Satisfactory,64,PM10
2021-02-23,Mangalore,1.0,Good,44,PM10
2021-02-24,Mangalore,1.0,Satisfactory,57,PM10
2021-02-25,Mangalore,1.0,Satisfactory,56,PM10
2021-02-26,Mangalore,1.0,Satisfactory,87,PM2.5
2021-03-02,Mangalore,1.0,Satisfactory,91,PM10
2021-03-03,Mangalore,1.0,Satisfactory,92,PM10
2021-03-04,Mangalore,1.0,Satisfactory,90,PM10
2021-03-05,Mangalore,1.0,Moderate,109,PM2.5
2021-03-06,Mangalore,1.0,Satisfactory,94,PM10
2021-03-07,Mangalore,1.0,Moderate,124,CO
2021-03-08,Mangalore,1.0,Moderate,143,NO2
2021-03-09,Mangalore,1.0,Satisfactory,94,PM10
2021-03-10,Mangalore,1.0,Satisfactory,73,PM2.5
