date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-01-02,Manguraha,1.0,Satisfactory,70,PM2.5
2022-02-14,Manguraha,1.0,Moderate,104,CO
2022-02-15,Manguraha,1.0,Satisfactory,96,PM2.5
2022-02-19,Manguraha,1.0,Moderate,118,PM2.5
2022-02-21,Manguraha,1.0,Moderate,101,NO2
2022-02-22,Manguraha,1.0,Satisfactory,91,O3
2022-02-23,Manguraha,1.0,Satisfactory,90,O3
2022-02-24,Manguraha,1.0,Moderate,103,O3
2022-02-25,Manguraha,1.0,Satisfactory,93,O3
2022-02-26,Manguraha,1.0,Satisfactory,93,O3
2022-02-28,Manguraha,1.0,Satisfactory,64,PM2.5
2022-03-01,Manguraha,1.0,Satisfactory,77,PM10
2022-03-03,Manguraha,1.0,Moderate,155,O3
2022-03-04,Manguraha,1.0,Satisfactory,78,PM10
2022-03-05,Manguraha,1.0,Satisfactory,85,PM10
2022-03-07,Manguraha,1.0,Satisfactory,96,O3
2022-03-08,Manguraha,1.0,Satisfactory,86,PM10
2022-03-09,Manguraha,1.0,Satisfactory,83,PM10
2022-03-10,Manguraha,1.0,Satisfactory,97,PM10
2022-03-11,Manguraha,1.0,Moderate,101,O3
2022-03-12,Manguraha,1.0,Moderate,104,PM10
2022-03-13,Manguraha,1.0,Moderate,110,PM2.5
2022-03-14,Manguraha,1.0,Satisfactory,86,PM10
2022-03-15,Manguraha,1.0,Moderate,108,O3
2022-03-16,Manguraha,1.0,Moderate,118,PM10
2022-03-17,Manguraha,1.0,Moderate,121,PM10
2022-03-18,Manguraha,1.0,Moderate,156,O3
2022-03-19,Manguraha,1.0,Moderate,116,PM10
2022-03-20,Manguraha,1.0,Moderate,108,O3
2022-03-23,Manguraha,1.0,Moderate,112,PM10
2022-03-24,Manguraha,1.0,Moderate,118,PM10
2022-03-25,Manguraha,1.0,Moderate,115,PM10
2022-03-26,Manguraha,1.0,Moderate,151,PM10
2022-03-28,Manguraha,1.0,Moderate,159,PM10
2022-03-29,Manguraha,1.0,Moderate,168,PM2.5
2022-03-30,Manguraha,1.0,Moderate,154,CO
2022-03-31,Manguraha,1.0,Moderate,159,PM2.5
2022-04-05,Manguraha,1.0,Poor,212,PM10
2022-04-06,Manguraha,1.0,Satisfactory,91,O3
