date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-11-09,Medikeri,1.0,Satisfactory,69,PM2.5
2020-11-10,Medikeri,1.0,Satisfactory,78,O3
2020-11-11,Medikeri,1.0,Satisfactory,74,O3
2020-11-12,Medikeri,1.0,Satisfactory,51,PM10
2020-11-13,Medikeri,1.0,Good,25,O3
2020-11-14,Medikeri,1.0,Good,33,O3
2020-11-15,Medikeri,1.0,Good,37,O3
2020-11-16,Medikeri,1.0,Good,22,O3
2020-11-17,Medikeri,1.0,Good,28,O3
2020-11-18,Medikeri,1.0,Good,28,O3
2020-11-19,Medikeri,1.0,Good,31,O3
2020-11-20,Medikeri,1.0,Good,34,O3
2020-11-21,Medikeri,1.0,Good,46,O3
2020-11-22,Medikeri,1.0,Satisfactory,62,O3
2020-11-23,Medikeri,1.0,Satisfactory,59,O3
2020-11-24,Medikeri,1.0,Satisfactory,55,O3
2020-11-26,Medikeri,1.0,Good,43,PM10
2020-11-27,Medikeri,1.0,Good,48,O3
2020-11-28,Medikeri,1.0,Good,40,O3
2020-11-29,Medikeri,1.0,Good,39,O3
2020-11-30,Medikeri,1.0,Good,40,O3
2020-12-01,Medikeri,1.0,Satisfactory,52,O3
2020-12-02,Medikeri,1.0,Satisfactory,53,O3
2020-12-03,Medikeri,1.0,Good,43,PM10
2020-12-04,Medikeri,1.0,Good,40,O3
2020-12-05,Medikeri,1.0,Good,36,O3
2020-12-06,Medikeri,1.0,Good,45,O3
2020-12-07,Medikeri,1.0,Good,29,O3
2020-12-08,Medikeri,1.0,Good,29,O3
2020-12-09,Medikeri,1.0,Good,34,O3
2020-12-10,Medikeri,1.0,Good,36,O3
2020-12-11,Medikeri,1.0,Good,47,O3
2020-12-12,Medikeri,1.0,Good,48,O3
2020-12-13,Medikeri,1.0,Good,47,O3
2020-12-14,Medikeri,1.0,Satisfactory,53,O3
2020-12-15,Medikeri,1.0,Satisfactory,62,PM10
2020-12-16,Medikeri,1.0,Satisfactory,62,PM10
2020-12-17,Medikeri,1.0,Good,43,PM10
2020-12-18,Medikeri,1.0,Good,47,PM10
2020-12-19,Medikeri,1.0,Satisfactory,66,PM10
2020-12-20,Medikeri,1.0,Satisfactory,78,PM10
2020-12-21,Medikeri,1.0,Satisfactory,79,PM10
2020-12-22,Medikeri,1.0,Satisfactory,92,O3
2020-12-23,Medikeri,1.0,Moderate,108,O3
2020-12-24,Medikeri,1.0,Satisfactory,96,O3
2020-12-25,Medikeri,1.0,Moderate,151,O3
2020-12-26,Medikeri,1.0,Moderate,152,O3
2020-12-27,Medikeri,1.0,Moderate,163,O3
2020-12-28,Medikeri,1.0,Moderate,126,O3
2020-12-29,Medikeri,1.0,Moderate,147,O3
2020-12-30,Medikeri,1.0,Satisfactory,97,O3
2020-12-31,Medikeri,1.0,Satisfactory,87,O3
2021-01-01,Medikeri,1.0,Moderate,117,O3
2021-01-02,Medikeri,1.0,Moderate,124,O3
2021-01-03,Medikeri,1.0,Moderate,103,O3
2021-01-04,Medikeri,1.0,Satisfactory,72,O3
2021-01-05,Medikeri,1.0,Satisfactory,84,O3
2021-01-06,Medikeri,1.0,Satisfactory,66,O3
2021-01-07,Medikeri,1.0,Good,46,O3
2021-01-08,Medikeri,1.0,Satisfactory,55,O3
2021-01-09,Medikeri,1.0,Good,49,O3
2021-01-10,Medikeri,1.0,Satisfactory,67,O3
2021-01-11,Medikeri,1.0,Satisfactory,60,O3
2021-01-12,Medikeri,1.0,Satisfactory,61,O3
2021-01-13,Medikeri,1.0,Satisfactory,62,O3
2021-01-14,Medikeri,1.0,Good,41,PM10
2021-01-15,Medikeri,1.0,Good,42,CO
2021-01-16,Medikeri,1.0,Satisfactory,52,CO
2021-01-17,Medikeri,1.0,Satisfactory,65,CO
2021-01-18,Medikeri,1.0,Satisfactory,60,CO
2021-01-19,Medikeri,1.0,Satisfactory,56,CO
2021-01-20,Medikeri,1.0,Satisfactory,56,O3
2021-01-21,Medikeri,1.0,Satisfactory,70,CO
2021-01-22,Medikeri,1.0,Satisfactory,66,O3
2021-01-23,Medikeri,1.0,Satisfactory,70,CO
2021-01-24,Medikeri,1.0,Satisfactory,66,PM10
2021-01-25,Medikeri,1.0,Satisfactory,74,PM10
2021-01-26,Medikeri,1.0,Satisfactory,52,CO
2021-01-27,Medikeri,1.0,Satisfactory,84,O3
2021-01-28,Medikeri,1.0,Satisfactory,85,O3
2021-01-29,Medikeri,1.0,Satisfactory,75,PM10
2021-01-30,Medikeri,1.0,Satisfactory,85,PM10
2021-01-31,Medikeri,1.0,Satisfactory,90,PM10
2021-02-01,Medikeri,1.0,Satisfactory,83,PM10
2021-02-02,Medikeri,1.0,Satisfactory,70,PM10
2021-02-03,Medikeri,1.0,Satisfactory,86,PM10
2021-02-04,Medikeri,1.0,Satisfactory,83,PM10
2021-02-05,Medikeri,1.0,Satisfactory,81,PM10
2021-02-06,Medikeri,1.0,Satisfactory,78,PM10
2021-02-07,Medikeri,1.0,Satisfactory,80,PM10
2021-02-08,Medikeri,1.0,Satisfactory,94,PM10
2021-02-09,Medikeri,1.0,Satisfactory,81,PM10
2021-02-10,Medikeri,1.0,Satisfactory,76,PM10
2021-02-11,Medikeri,1.0,Satisfactory,70,PM10
2021-02-12,Medikeri,1.0,Satisfactory,70,PM10
2021-02-13,Medikeri,1.0,Satisfactory,72,PM10
2021-02-14,Medikeri,1.0,Satisfactory,69,PM10
2021-02-15,Medikeri,1.0,Satisfactory,73,PM10
2021-02-16,Medikeri,1.0,Satisfactory,77,PM10
2021-02-18,Medikeri,1.0,Satisfactory,52,PM10
2021-02-19,Medikeri,1.0,Satisfactory,56,PM10
2021-02-20,Medikeri,1.0,Good,49,PM10
2021-02-21,Medikeri,1.0,Good,39,PM10
2021-02-22,Medikeri,1.0,Good,30,CO
2021-02-23,Medikeri,1.0,Good,28,CO
2021-02-24,Medikeri,1.0,Good,48,PM10
2021-02-25,Medikeri,1.0,Good,45,PM10
2021-02-26,Medikeri,1.0,Satisfactory,58,PM10
2021-02-27,Medikeri,1.0,Satisfactory,70,PM10
2021-02-28,Medikeri,1.0,Satisfactory,77,PM10
2021-03-01,Medikeri,1.0,Satisfactory,69,PM10
2021-03-02,Medikeri,1.0,Satisfactory,69,PM10
2021-03-03,Medikeri,1.0,Satisfactory,74,PM10
2021-03-04,Medikeri,1.0,Satisfactory,72,PM10
2021-03-05,Medikeri,1.0,Satisfactory,58,PM10
2021-03-06,Medikeri,1.0,Satisfactory,63,PM10
2021-03-07,Medikeri,1.0,Satisfactory,67,PM10
2021-03-09,Medikeri,1.0,Satisfactory,55,PM10
2021-03-10,Medikeri,1.0,Satisfactory,59,PM10
2021-03-11,Medikeri,1.0,Satisfactory,57,PM10
2021-03-12,Medikeri,1.0,Good,44,PM10
2021-03-13,Medikeri,1.0,Good,48,O3
2021-03-14,Medikeri,1.0,Good,50,PM10
2021-03-15,Medikeri,1.0,Good,46,PM10
2021-03-16,Medikeri,1.0,Satisfactory,51,PM10
2021-03-17,Medikeri,1.0,Satisfactory,59,PM10
2021-03-18,Medikeri,1.0,Satisfactory,68,PM10
2021-03-19,Medikeri,1.0,Satisfactory,70,PM10
2021-03-20,Medikeri,1.0,Satisfactory,72,PM10
2021-03-21,Medikeri,1.0,Satisfactory,64,PM10
2021-03-22,Medikeri,1.0,Satisfactory,75,PM10
2021-03-23,Medikeri,1.0,Satisfactory,74,PM10
2021-03-24,Medikeri,1.0,Satisfactory,74,PM10
2021-03-25,Medikeri,1.0,Satisfactory,70,PM10
2021-03-26,Medikeri,1.0,Satisfactory,73,PM10
2021-03-27,Medikeri,1.0,Satisfactory,75,PM10
2021-03-28,Medikeri,1.0,Satisfactory,73,PM10
2021-03-29,Medikeri,1.0,Satisfactory,68,PM10
2021-03-30,Medikeri,1.0,Good,50,PM10
2021-03-31,Medikeri,1.0,Satisfactory,60,PM10
2021-04-01,Medikeri,1.0,Satisfactory,67,PM10
2021-04-02,Medikeri,1.0,Satisfactory,56,PM10
2021-04-03,Medikeri,1.0,Moderate,105,PM10
2021-04-04,Medikeri,1.0,Satisfactory,97,PM10
2021-04-05,Medikeri,1.0,Satisfactory,94,PM10
2021-04-06,Medikeri,1.0,Satisfactory,92,PM10
2021-04-07,Medikeri,1.0,Satisfactory,76,PM10
2021-04-08,Medikeri,1.0,Satisfactory,78,PM10
2021-04-09,Medikeri,1.0,Satisfactory,75,PM10
2021-04-10,Medikeri,1.0,Satisfactory,73,PM10
2021-04-11,Medikeri,1.0,Satisfactory,62,PM10
2021-04-12,Medikeri,1.0,Satisfactory,62,PM10
2021-04-13,Medikeri,1.0,Good,42,PM10
2021-04-14,Medikeri,1.0,Good,40,O3
2021-04-15,Medikeri,1.0,Good,37,O3
2021-04-16,Medikeri,1.0,Good,42,O3
2021-04-17,Medikeri,1.0,Good,42,O3
2021-04-18,Medikeri,1.0,Satisfactory,55,PM10
2021-04-19,Medikeri,1.0,Good,38,O3
2021-04-20,Medikeri,1.0,Good,45,PM10
2021-04-21,Medikeri,1.0,Good,49,PM10
2021-04-22,Medikeri,1.0,Good,41,PM10
2021-04-23,Medikeri,1.0,Good,39,O3
2021-04-24,Medikeri,1.0,Good,39,O3
2021-04-25,Medikeri,1.0,Good,45,PM10
2021-04-26,Medikeri,1.0,Satisfactory,52,PM10
2021-04-27,Medikeri,1.0,Good,50,PM10
2021-04-28,Medikeri,1.0,Satisfactory,56,PM10
2021-04-29,Medikeri,1.0,Good,49,PM10
2021-04-30,Medikeri,1.0,Good,41,PM10
2021-05-01,Medikeri,1.0,Satisfactory,58,PM10
2021-05-02,Medikeri,1.0,Satisfactory,53,PM10
2021-05-03,Medikeri,1.0,Good,32,PM2.5
2021-05-04,Medikeri,1.0,Good,26,PM2.5
2021-05-05,Medikeri,1.0,Good,31,CO
2021-05-06,Medikeri,1.0,Good,30,CO
2021-05-07,Medikeri,1.0,Good,29,CO
2021-05-08,Medikeri,1.0,Good,26,O3
2021-05-09,Medikeri,1.0,Good,28,CO
2021-05-10,Medikeri,1.0,Good,26,O3
2021-05-11,Medikeri,1.0,Good,24,O3
2021-05-12,Medikeri,1.0,Good,25,PM10
2021-05-14,Medikeri,1.0,Good,32,O3
2021-05-15,Medikeri,1.0,Good,30,O3
2021-05-16,Medikeri,1.0,Good,34,O3
2021-05-17,Medikeri,1.0,Good,31,SO2
2021-05-18,Medikeri,1.0,Good,24,CO
2021-05-19,Medikeri,1.0,Good,24,O3
2021-05-20,Medikeri,1.0,Good,24,O3
2021-05-21,Medikeri,1.0,Good,39,O3
2021-05-22,Medikeri,1.0,Good,33,SO2
