date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-14,Milupara,1.0,Satisfactory,58,PM2.5
2023-03-16,Milupara,1.0,Satisfactory,80,PM10
2023-03-17,Milupara,1.0,Satisfactory,52,PM2.5
2023-03-18,Milupara,1.0,Good,42,PM2.5
2023-03-19,Milupara,1.0,Satisfactory,66,NO2
2023-03-21,Milupara,1.0,Satisfactory,54,NO2
2023-03-22,Milupara,1.0,Good,44,NO2
2023-03-23,Milupara,1.0,Good,42,O3
2023-03-24,Milupara,1.0,Good,49,O3
2023-03-25,Milupara,1.0,Satisfactory,52,PM2.5
2023-03-26,Milupara,1.0,Satisfactory,52,PM10
2023-03-27,Milupara,1.0,Satisfactory,54,PM10
2023-03-28,Milupara,1.0,Good,45,PM10
2023-03-30,Milupara,1.0,Satisfactory,61,PM10
2023-03-31,Milupara,1.0,Good,32,PM10
2023-04-01,Milupara,1.0,Good,29,O3
2023-04-02,Milupara,1.0,Good,31,NO2
2023-04-04,Milupara,1.0,Good,47,PM10
2023-04-05,Milupara,1.0,Good,49,PM10
2023-04-06,Milupara,1.0,Good,40,PM10
2023-04-07,Milupara,1.0,Good,49,PM10
2023-04-08,Milupara,1.0,Satisfactory,71,PM10
2023-04-09,Milupara,1.0,Good,48,PM10
2023-04-10,Milupara,1.0,Satisfactory,53,PM10
2023-04-11,Milupara,1.0,Good,49,PM10
2023-04-12,Milupara,1.0,Satisfactory,61,PM10
2023-04-13,Milupara,1.0,Satisfactory,58,PM10
2023-04-14,Milupara,1.0,Satisfactory,81,PM10
2023-04-15,Milupara,1.0,Satisfactory,69,PM10
2023-04-17,Milupara,1.0,Satisfactory,64,PM10
2023-04-18,Milupara,1.0,Satisfactory,53,PM10
2023-04-19,Milupara,1.0,Satisfactory,57,PM10
2023-04-20,Milupara,1.0,Satisfactory,66,PM10
2023-04-21,Milupara,1.0,Good,37,PM10
2023-04-22,Milupara,1.0,Good,48,PM10
2023-04-24,Milupara,1.0,Satisfactory,52,NO2
2023-04-25,Milupara,1.0,Good,38,O3
2023-04-26,Milupara,1.0,Good,35,O3
2023-04-27,Milupara,1.0,Good,39,NO2
2023-04-28,Milupara,1.0,Satisfactory,58,PM10
2023-04-29,Milupara,1.0,Good,39,NO2
2023-04-30,Milupara,1.0,Good,31,NO2
2023-05-01,Milupara,1.0,Good,43,NO2
2023-05-02,Milupara,1.0,Good,29,NO2
2023-05-05,Milupara,1.0,Good,38,NO2
2023-05-06,Milupara,1.0,Good,35,NO2
2023-05-07,Milupara,1.0,Good,40,PM10
2023-05-08,Milupara,1.0,Good,50,PM10
2023-05-09,Milupara,1.0,Good,47,PM10
2023-05-10,Milupara,1.0,Satisfactory,66,PM10
2023-05-12,Milupara,1.0,Satisfactory,60,PM10
2023-05-13,Milupara,1.0,Satisfactory,64,PM10
2023-05-14,Milupara,1.0,Satisfactory,81,PM10
2023-05-15,Milupara,1.0,Satisfactory,78,PM10
2023-05-16,Milupara,1.0,Satisfactory,82,PM10
2023-05-17,Milupara,1.0,Satisfactory,95,PM10
2023-05-18,Milupara,1.0,Satisfactory,70,PM10
2023-05-19,Milupara,1.0,Satisfactory,71,PM10
2023-05-20,Milupara,1.0,Satisfactory,74,PM10
2023-05-21,Milupara,1.0,Satisfactory,85,PM10
2023-05-22,Milupara,1.0,Satisfactory,81,PM10
2023-05-23,Milupara,1.0,Satisfactory,71,PM10
2023-05-24,Milupara,1.0,Satisfactory,71,PM10
2023-05-25,Milupara,1.0,Good,45,PM10
2023-05-27,Milupara,1.0,Good,46,PM10
2023-05-29,Milupara,1.0,Satisfactory,65,PM10
2023-05-30,Milupara,1.0,Satisfactory,96,PM10
2023-05-31,Milupara,1.0,Satisfactory,79,PM10
2023-06-01,Milupara,1.0,Good,48,PM10
2023-06-03,Milupara,1.0,Satisfactory,66,PM10
2023-06-04,Milupara,1.0,Satisfactory,58,PM10
2023-06-06,Milupara,1.0,Good,39,PM10
2023-06-08,Milupara,1.0,Satisfactory,63,PM10
2023-06-09,Milupara,1.0,Satisfactory,64,PM10
2023-06-11,Milupara,1.0,Satisfactory,79,PM10
2023-06-12,Milupara,1.0,Satisfactory,54,PM10
2023-06-14,Milupara,1.0,Satisfactory,65,PM10
2023-06-15,Milupara,1.0,Satisfactory,68,PM10
2023-06-16,Milupara,1.0,Satisfactory,56,PM10
2023-06-17,Milupara,1.0,Satisfactory,60,PM10
2023-06-18,Milupara,1.0,Satisfactory,73,PM10
2023-06-19,Milupara,1.0,Satisfactory,76,PM10
2023-06-20,Milupara,1.0,Satisfactory,71,PM10
2023-08-25,Milupara,1.0,Good,38,PM10
2023-08-26,Milupara,1.0,Satisfactory,59,PM10
2023-08-27,Milupara,1.0,Satisfactory,100,PM10
2023-08-28,Milupara,1.0,Satisfactory,90,PM10
2023-08-29,Milupara,1.0,Moderate,102,PM10
2023-08-30,Milupara,1.0,Satisfactory,77,PM10
2023-08-31,Milupara,1.0,Satisfactory,51,PM10
2023-09-02,Milupara,1.0,Satisfactory,63,PM10
2023-09-03,Milupara,1.0,Good,33,O3
2023-09-05,Milupara,1.0,Good,33,O3
2023-09-06,Milupara,1.0,Good,27,O3
2023-09-07,Milupara,1.0,Good,28,O3
2023-09-08,Milupara,1.0,Good,28,CO
2023-09-09,Milupara,1.0,Good,27,PM10
2023-09-10,Milupara,1.0,Good,40,PM10
2023-09-11,Milupara,1.0,Good,45,PM10
2023-09-15,Milupara,1.0,Good,36,O3
2023-09-20,Milupara,1.0,Good,27,O3
2023-09-23,Milupara,1.0,Good,18,CO
2023-09-24,Milupara,1.0,Good,35,PM10
2023-09-25,Milupara,1.0,Good,45,PM10
2023-09-28,Milupara,1.0,Good,40,PM2.5
2023-09-29,Milupara,1.0,Good,33,PM10
2023-09-30,Milupara,1.0,Good,50,PM2.5
2023-10-01,Milupara,1.0,Good,29,PM10
2023-10-02,Milupara,1.0,Good,21,PM10
2023-10-03,Milupara,1.0,Good,19,CO
2023-10-06,Milupara,1.0,Good,42,PM10
2023-10-07,Milupara,1.0,Good,50,PM10
2023-10-10,Milupara,1.0,Satisfactory,77,PM10
2023-10-11,Milupara,1.0,Satisfactory,71,PM10
2023-10-12,Milupara,1.0,Satisfactory,79,O3
2023-10-13,Milupara,1.0,Satisfactory,86,O3
2023-10-17,Milupara,1.0,Satisfactory,86,O3
2023-10-18,Milupara,1.0,Satisfactory,64,O3
2023-10-19,Milupara,1.0,Satisfactory,58,O3
2023-10-20,Milupara,1.0,Satisfactory,76,O3
2023-10-21,Milupara,1.0,Satisfactory,79,O3
2023-10-25,Milupara,1.0,Satisfactory,88,O3
2023-10-26,Milupara,1.0,Satisfactory,81,O3
2023-10-28,Milupara,1.0,Satisfactory,73,O3
2023-10-29,Milupara,1.0,Satisfactory,80,O3
2023-10-30,Milupara,1.0,Satisfactory,84,O3
2023-10-31,Milupara,1.0,Satisfactory,84,O3
