date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-07-18,Motihari,1.0,Good,49,O3
2021-07-19,Motihari,1.0,Satisfactory,68,O3
2021-07-20,Motihari,1.0,Good,46,O3
2021-07-21,Motihari,1.0,Good,49,O3
2021-07-22,Motihari,1.0,Good,45,O3
2021-07-23,Motihari,1.0,Good,45,O3
2021-07-24,Motihari,1.0,Good,37,O3
2021-07-25,Motihari,1.0,Satisfactory,58,O3
2021-07-26,Motihari,1.0,Satisfactory,58,PM2.5
2021-07-27,Motihari,1.0,Good,40,O3
2021-07-28,Motihari,1.0,Satisfactory,51,O3
2021-07-29,Motihari,1.0,Good,40,O3
2021-07-30,Motihari,1.0,Good,38,O3
2021-07-31,Motihari,1.0,Good,44,O3
2021-08-01,Motihari,1.0,Good,50,O3
2021-08-02,Motihari,1.0,Good,45,O3
2021-08-04,Motihari,1.0,Good,42,O3
2021-08-09,Motihari,1.0,Satisfactory,77,PM10
2021-08-10,Motihari,1.0,Good,44,PM10
2021-11-13,Motihari,1.0,Poor,267,PM2.5
2021-11-14,Motihari,1.0,Very Poor,334,PM2.5
2021-11-16,Motihari,1.0,Very Poor,327,PM2.5
2021-11-17,Motihari,1.0,Very Poor,309,PM2.5
2021-11-18,Motihari,1.0,Very Poor,314,PM2.5
2021-11-19,Motihari,1.0,Very Poor,342,PM2.5
2021-11-20,Motihari,1.0,Very Poor,345,PM2.5
2021-11-21,Motihari,1.0,Severe,428,PM2.5
2021-11-22,Motihari,1.0,Severe,426,PM2.5
2021-11-23,Motihari,1.0,Very Poor,352,PM2.5
2021-11-24,Motihari,1.0,Very Poor,386,PM2.5
2021-11-25,Motihari,1.0,Poor,300,PM2.5
2021-11-27,Motihari,1.0,Very Poor,383,PM2.5
2021-11-28,Motihari,1.0,Very Poor,339,PM2.5
2021-11-29,Motihari,1.0,Very Poor,398,PM2.5
2021-11-30,Motihari,1.0,Very Poor,376,PM2.5
2021-12-01,Motihari,1.0,Very Poor,318,PM2.5
2021-12-02,Motihari,1.0,Very Poor,337,PM2.5
2021-12-03,Motihari,1.0,Very Poor,332,PM2.5
2021-12-04,Motihari,1.0,Poor,225,PM2.5
2021-12-05,Motihari,1.0,Moderate,186,PM2.5
2021-12-06,Motihari,1.0,Moderate,185,PM2.5
2021-12-07,Motihari,1.0,Poor,247,PM2.5
2021-12-08,Motihari,1.0,Poor,235,PM2.5
2021-12-09,Motihari,1.0,Moderate,196,PM2.5
2021-12-10,Motihari,1.0,Poor,261,PM2.5
2021-12-11,Motihari,1.0,Poor,240,PM2.5
2021-12-12,Motihari,1.0,Poor,298,PM2.5
2021-12-13,Motihari,1.0,Poor,291,PM2.5
2021-12-14,Motihari,1.0,Very Poor,301,PM2.5
2021-12-15,Motihari,1.0,Very Poor,312,PM2.5
2021-12-17,Motihari,1.0,Very Poor,303,PM2.5
2021-12-21,Motihari,1.0,Very Poor,337,PM2.5
2021-12-22,Motihari,1.0,Very Poor,310,PM2.5
2021-12-23,Motihari,1.0,Very Poor,305,PM2.5
2021-12-24,Motihari,1.0,Poor,297,PM2.5
2021-12-25,Motihari,1.0,Poor,256,PM2.5
2021-12-26,Motihari,1.0,Poor,227,PM2.5
2021-12-27,Motihari,1.0,Poor,273,PM2.5
2021-12-28,Motihari,1.0,Poor,296,PM2.5
2022-01-01,Motihari,1.0,Moderate,165,PM2.5
2022-01-02,Motihari,1.0,Moderate,199,PM2.5
2022-01-03,Motihari,1.0,Poor,215,PM2.5
2022-01-04,Motihari,1.0,Poor,298,PM2.5
2022-01-05,Motihari,1.0,Poor,282,PM2.5
2022-01-06,Motihari,1.0,Very Poor,316,PM2.5
2022-01-07,Motihari,1.0,Poor,275,PM2.5
2022-01-08,Motihari,1.0,Moderate,135,PM2.5
2022-01-09,Motihari,1.0,Moderate,136,PM2.5
2022-01-11,Motihari,1.0,Poor,298,PM2.5
2022-01-12,Motihari,1.0,Poor,254,PM2.5
2022-01-13,Motihari,1.0,Moderate,105,PM2.5
2022-01-14,Motihari,1.0,Poor,203,PM2.5
2022-01-15,Motihari,1.0,Poor,214,PM2.5
2022-01-16,Motihari,1.0,Poor,236,PM2.5
2022-01-18,Motihari,1.0,Moderate,183,PM2.5
2022-01-19,Motihari,1.0,Poor,241,PM2.5
2022-01-20,Motihari,1.0,Poor,224,PM2.5
2022-01-21,Motihari,1.0,Poor,283,PM2.5
2022-01-22,Motihari,1.0,Poor,291,PM2.5
2022-01-23,Motihari,1.0,Very Poor,312,PM2.5
2022-01-24,Motihari,1.0,Poor,210,PM2.5
2022-01-25,Motihari,1.0,Poor,235,PM2.5
2022-01-26,Motihari,1.0,Moderate,181,PM2.5
2022-01-27,Motihari,1.0,Poor,251,PM2.5
2022-01-28,Motihari,1.0,Poor,224,PM2.5
2022-01-30,Motihari,1.0,Poor,292,PM2.5
2022-01-31,Motihari,1.0,Very Poor,339,PM2.5
2022-02-03,Motihari,1.0,Very Poor,318,PM2.5
2022-02-04,Motihari,1.0,Satisfactory,98,PM10
2022-02-05,Motihari,1.0,Satisfactory,72,O3
2022-02-06,Motihari,1.0,Satisfactory,100,CO
2022-02-07,Motihari,1.0,Poor,221,PM2.5
2022-02-08,Motihari,1.0,Poor,247,PM2.5
2022-02-09,Motihari,1.0,Poor,260,PM2.5
2022-02-10,Motihari,1.0,Poor,242,PM2.5
2022-02-11,Motihari,1.0,Moderate,150,O3
2022-02-12,Motihari,1.0,Poor,203,PM2.5
2022-02-13,Motihari,1.0,Poor,258,PM2.5
2022-02-14,Motihari,1.0,Poor,292,PM2.5
2022-02-15,Motihari,1.0,Poor,260,PM2.5
2022-02-16,Motihari,1.0,Poor,245,PM2.5
2022-02-17,Motihari,1.0,Poor,243,PM2.5
2022-02-18,Motihari,1.0,Poor,228,PM2.5
2022-02-19,Motihari,1.0,Poor,210,PM2.5
2022-02-20,Motihari,1.0,Moderate,151,O3
2022-02-21,Motihari,1.0,Moderate,162,O3
2022-02-22,Motihari,1.0,Poor,215,PM2.5
2022-02-23,Motihari,1.0,Poor,210,PM2.5
2022-02-24,Motihari,1.0,Moderate,157,PM2.5
2022-02-25,Motihari,1.0,Moderate,157,PM2.5
