date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-11-13,Munger,1.0,Poor,246,PM2.5
2021-11-14,Munger,1.0,Poor,215,PM2.5
2021-11-15,Munger,1.0,Poor,289,PM2.5
2021-11-16,Munger,1.0,Poor,257,PM2.5
2021-11-17,Munger,1.0,Poor,262,PM2.5
2021-11-18,Munger,1.0,Poor,252,PM2.5
2021-11-19,Munger,1.0,Poor,265,PM2.5
2021-11-20,Munger,1.0,Very Poor,311,PM2.5
2021-11-21,Munger,1.0,Very Poor,363,PM2.5
2021-11-22,Munger,1.0,Very Poor,388,PM2.5
2021-11-23,Munger,1.0,Very Poor,338,PM2.5
2021-11-24,Munger,1.0,Moderate,197,PM10
2021-11-26,Munger,1.0,Very Poor,335,PM2.5
2021-12-01,Munger,1.0,Very Poor,387,PM2.5
2021-12-07,Munger,1.0,Very Poor,343,PM2.5
2021-12-09,Munger,1.0,Very Poor,349,PM2.5
2021-12-12,Munger,1.0,Very Poor,399,PM2.5
2021-12-13,Munger,1.0,Poor,225,PM10
2021-12-14,Munger,1.0,Moderate,169,PM2.5
2021-12-15,Munger,1.0,Poor,255,PM10
2021-12-16,Munger,1.0,Poor,242,PM10
2021-12-17,Munger,1.0,Moderate,191,PM10
2021-12-18,Munger,1.0,Poor,213,PM10
2021-12-19,Munger,1.0,Satisfactory,88,PM2.5
2021-12-20,Munger,1.0,Very Poor,306,PM2.5
2021-12-21,Munger,1.0,Poor,226,PM10
2021-12-22,Munger,1.0,Very Poor,305,PM2.5
2021-12-23,Munger,1.0,Poor,253,PM10
2021-12-24,Munger,1.0,Poor,227,PM10
2021-12-25,Munger,1.0,Very Poor,306,PM10
2021-12-26,Munger,1.0,Poor,257,PM10
2021-12-27,Munger,1.0,Poor,283,PM10
2021-12-28,Munger,1.0,Poor,217,PM10
2021-12-29,Munger,1.0,Poor,264,PM2.5
2021-12-30,Munger,1.0,Moderate,101,PM2.5
2021-12-31,Munger,1.0,Poor,212,PM2.5
2022-01-01,Munger,1.0,Poor,256,PM2.5
2022-01-02,Munger,1.0,Poor,258,PM2.5
2022-01-03,Munger,1.0,Very Poor,381,PM2.5
2022-01-04,Munger,1.0,Severe,409,PM2.5
2022-01-05,Munger,1.0,Very Poor,397,PM2.5
2022-01-06,Munger,1.0,Severe,445,PM2.5
2022-01-07,Munger,1.0,Severe,427,PM2.5
2022-01-08,Munger,1.0,Very Poor,344,PM2.5
2022-01-09,Munger,1.0,Very Poor,329,PM2.5
2022-01-10,Munger,1.0,Very Poor,375,PM2.5
2022-01-11,Munger,1.0,Severe,414,PM2.5
2022-01-12,Munger,1.0,Very Poor,375,PM2.5
2022-01-13,Munger,1.0,Poor,260,PM2.5
2022-01-14,Munger,1.0,Very Poor,304,PM2.5
2022-01-15,Munger,1.0,Very Poor,376,PM2.5
2022-01-16,Munger,1.0,Very Poor,343,PM2.5
2022-01-17,Munger,1.0,Very Poor,364,PM2.5
2022-01-18,Munger,1.0,Severe,423,PM2.5
2022-01-19,Munger,1.0,Very Poor,397,PM2.5
2022-01-20,Munger,1.0,Severe,410,PM2.5
2022-01-21,Munger,1.0,Severe,441,PM2.5
2022-01-22,Munger,1.0,Very Poor,381,PM2.5
2022-01-23,Munger,1.0,Severe,425,PM2.5
2022-01-24,Munger,1.0,Very Poor,389,PM2.5
2022-01-25,Munger,1.0,Severe,402,PM2.5
2022-01-26,Munger,1.0,Very Poor,343,PM2.5
2022-01-27,Munger,1.0,Very Poor,308,PM2.5
2022-01-28,Munger,1.0,Very Poor,324,PM2.5
2022-01-29,Munger,1.0,Very Poor,357,PM2.5
2022-01-30,Munger,1.0,Very Poor,376,PM2.5
2022-01-31,Munger,1.0,Severe,404,PM2.5
2022-02-02,Munger,1.0,Very Poor,397,PM2.5
2022-02-03,Munger,1.0,Severe,413,PM2.5
2022-02-04,Munger,1.0,Poor,251,PM2.5
2022-02-06,Munger,1.0,Poor,216,PM2.5
2022-02-07,Munger,1.0,Poor,292,PM2.5
2022-02-08,Munger,1.0,Very Poor,338,PM2.5
2022-02-09,Munger,1.0,Very Poor,385,PM2.5
2022-02-10,Munger,1.0,Severe,401,PM2.5
2022-02-11,Munger,1.0,Very Poor,331,PM2.5
2022-02-12,Munger,1.0,Poor,254,PM2.5
2022-02-13,Munger,1.0,Poor,245,PM2.5
2022-02-14,Munger,1.0,Poor,279,PM2.5
2022-02-15,Munger,1.0,Very Poor,348,PM2.5
2022-02-16,Munger,1.0,Very Poor,324,PM2.5
2022-02-17,Munger,1.0,Very Poor,342,PM2.5
2022-02-18,Munger,1.0,Poor,289,PM2.5
2022-02-19,Munger,1.0,Poor,241,PM2.5
2022-02-20,Munger,1.0,Poor,211,PM2.5
2022-02-21,Munger,1.0,Poor,236,PM2.5
2022-02-22,Munger,1.0,Very Poor,317,PM2.5
2022-02-23,Munger,1.0,Very Poor,336,PM2.5
2022-02-24,Munger,1.0,Very Poor,328,PM2.5
2022-02-25,Munger,1.0,Very Poor,343,PM2.5
2022-02-26,Munger,1.0,Very Poor,312,PM2.5
2022-02-27,Munger,1.0,Very Poor,337,PM2.5
