date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-07-29,Mysuru,1.0,Good,48,PM10
2019-07-30,Mysuru,1.0,Good,43,PM10
2019-07-31,Mysuru,1.0,Good,40,PM10
2019-08-01,Mysuru,1.0,Satisfactory,51,PM10
2019-08-02,Mysuru,1.0,Good,42,PM10
2019-08-03,Mysuru,1.0,Good,32,PM10
2019-08-04,Mysuru,1.0,Good,27,PM10
2019-08-05,Mysuru,1.0,Good,31,CO
2019-08-06,Mysuru,1.0,Good,30,CO
2019-08-08,Mysuru,1.0,Good,31,CO
2019-08-09,Mysuru,1.0,Good,42,CO
2019-08-10,Mysuru,1.0,Good,31,CO
2019-08-11,Mysuru,1.0,Good,28,PM10
2019-08-12,Mysuru,1.0,Good,43,PM10
2019-08-13,Mysuru,1.0,Good,42,PM10
2019-08-14,Mysuru,1.0,Good,38,PM10
2019-09-16,Mysuru,1.0,Good,49,PM10
2019-09-28,Mysuru,1.0,Good,47,PM10
2019-09-29,Mysuru,1.0,Good,48,PM10
2019-09-30,Mysuru,1.0,Satisfactory,84,PM10
2019-10-01,Mysuru,1.0,Satisfactory,59,PM10
2019-10-02,Mysuru,1.0,Good,40,PM10
2019-10-03,Mysuru,1.0,Satisfactory,68,PM10
2019-10-04,Mysuru,1.0,Satisfactory,58,PM10
2019-10-05,Mysuru,1.0,Satisfactory,64,PM10
2019-10-06,Mysuru,1.0,Good,47,PM10
2019-10-07,Mysuru,1.0,Satisfactory,57,PM10
2019-10-09,Mysuru,1.0,Satisfactory,58,OZONE
2019-10-10,Mysuru,1.0,Satisfactory,57,OZONE
2019-10-11,Mysuru,1.0,Satisfactory,59,PM10
2019-10-12,Mysuru,1.0,Satisfactory,55,PM10
2019-10-13,Mysuru,1.0,Satisfactory,56,PM10
2019-10-14,Mysuru,1.0,Good,40,OZONE
2019-10-15,Mysuru,1.0,Poor,217,OZONE
2019-10-16,Mysuru,1.0,Good,45,OZONE
2019-10-17,Mysuru,1.0,Good,40,PM10
2019-10-18,Mysuru,1.0,Good,38,PM10
2019-10-19,Mysuru,1.0,Good,38,PM10
2019-10-20,Mysuru,1.0,Satisfactory,54,PM10
2019-10-21,Mysuru,1.0,Good,46,CO
2019-10-22,Mysuru,1.0,Good,48,CO
2019-10-23,Mysuru,1.0,Good,31,CO
2019-10-24,Mysuru,1.0,Good,25,OZONE
2019-10-25,Mysuru,1.0,Good,23,OZONE
2019-10-26,Mysuru,1.0,Good,21,OZONE
2019-10-27,Mysuru,1.0,Good,31,PM10
2019-10-29,Mysuru,1.0,Good,50,PM10
2019-10-30,Mysuru,1.0,Good,36,PM10
2019-10-31,Mysuru,1.0,Good,32,OZONE
2019-11-01,Mysuru,1.0,Good,40,OZONE
2019-11-02,Mysuru,1.0,Satisfactory,64,PM10
2019-11-03,Mysuru,1.0,Satisfactory,67,PM10
2019-11-04,Mysuru,1.0,Satisfactory,76,PM10
2019-11-05,Mysuru,1.0,Moderate,122,PM2.5
2019-11-06,Mysuru,1.0,Moderate,106,PM10
2019-11-07,Mysuru,1.0,Satisfactory,79,PM10
2019-11-08,Mysuru,1.0,Satisfactory,69,PM10
2019-11-10,Mysuru,1.0,Satisfactory,66,PM10
2019-11-11,Mysuru,1.0,Satisfactory,66,PM10
2019-11-12,Mysuru,1.0,Moderate,101,PM2.5
2019-11-13,Mysuru,1.0,Satisfactory,71,PM10
2019-11-14,Mysuru,1.0,Satisfactory,70,PM10
2019-11-15,Mysuru,1.0,Satisfactory,66,PM10
2019-11-16,Mysuru,1.0,Satisfactory,56,PM10
2019-11-17,Mysuru,1.0,Satisfactory,56,PM10
2019-11-18,Mysuru,1.0,Satisfactory,82,PM10
2019-11-19,Mysuru,1.0,Satisfactory,66,PM10
2019-11-20,Mysuru,1.0,Satisfactory,71,PM10
2019-11-21,Mysuru,1.0,Satisfactory,52,PM10
2019-11-22,Mysuru,1.0,Satisfactory,74,PM10
2019-11-23,Mysuru,1.0,Satisfactory,66,PM10
2019-11-24,Mysuru,1.0,Satisfactory,62,PM10
2019-11-25,Mysuru,1.0,Satisfactory,60,PM10
2019-11-26,Mysuru,1.0,Good,49,PM10
2019-11-27,Mysuru,1.0,Good,46,PM10
2019-11-28,Mysuru,1.0,Good,50,PM10
2019-11-29,Mysuru,1.0,Good,43,PM10
2019-11-30,Mysuru,1.0,Satisfactory,62,PM10
2019-12-03,Mysuru,1.0,Good,32,PM10
2019-12-04,Mysuru,1.0,Good,49,PM10
2019-12-05,Mysuru,1.0,Satisfactory,64,PM10
2019-12-06,Mysuru,1.0,Satisfactory,81,PM10
2019-12-07,Mysuru,1.0,Satisfactory,79,PM10
2019-12-08,Mysuru,1.0,Good,47,PM10
2019-12-09,Mysuru,1.0,Good,49,O3
2019-12-10,Mysuru,1.0,Satisfactory,58,PM10
2019-12-11,Mysuru,1.0,Satisfactory,66,PM10
2019-12-12,Mysuru,1.0,Satisfactory,78,PM10
2019-12-13,Mysuru,1.0,Satisfactory,77,PM10
2019-12-14,Mysuru,1.0,Good,49,PM2.5
2019-12-15,Mysuru,1.0,Good,42,O3
2019-12-16,Mysuru,1.0,Good,46,PM10
2019-12-18,Mysuru,1.0,Satisfactory,59,O3
2019-12-19,Mysuru,1.0,Good,44,PM10
2019-12-20,Mysuru,1.0,Good,47,PM10
2019-12-21,Mysuru,1.0,Good,50,PM2.5
2019-12-22,Mysuru,1.0,Satisfactory,64,PM2.5
2019-12-23,Mysuru,1.0,Satisfactory,56,PM2.5
