date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-02-08,Nagaon,1.0,Poor,268,PM2.5
2023-02-09,Nagaon,1.0,Moderate,129,PM2.5
2023-02-11,Nagaon,1.0,Poor,204,PM2.5
2023-02-12,Nagaon,1.0,Poor,237,PM2.5
2023-02-13,Nagaon,1.0,Poor,261,PM2.5
2023-02-14,Nagaon,1.0,Poor,215,PM2.5
2023-02-15,Nagaon,1.0,Poor,235,PM2.5
2023-02-16,Nagaon,1.0,Poor,288,PM2.5
2023-02-17,Nagaon,1.0,Poor,230,PM2.5
2023-02-18,Nagaon,1.0,Poor,247,PM2.5
2023-02-19,Nagaon,1.0,Poor,300,PM2.5
2023-02-20,Nagaon,1.0,Very Poor,340,PM2.5
2023-02-21,Nagaon,1.0,Very Poor,386,PM2.5
2023-02-22,Nagaon,1.0,Very Poor,333,PM2.5
2023-02-23,Nagaon,1.0,Poor,238,PM2.5
2023-02-24,Nagaon,1.0,Moderate,102,PM2.5
2023-02-25,Nagaon,1.0,Moderate,116,PM2.5
2023-02-26,Nagaon,1.0,Poor,210,PM2.5
2023-02-27,Nagaon,1.0,Poor,240,PM2.5
2023-02-28,Nagaon,1.0,Poor,202,PM2.5
2023-03-01,Nagaon,1.0,Moderate,130,PM10
2023-03-02,Nagaon,1.0,Poor,227,PM2.5
2023-03-03,Nagaon,1.0,Poor,248,PM2.5
2023-03-04,Nagaon,1.0,Very Poor,308,PM2.5
2023-03-05,Nagaon,1.0,Very Poor,313,PM2.5
2023-03-06,Nagaon,1.0,Poor,300,PM2.5
2023-03-07,Nagaon,1.0,Poor,222,PM2.5
2023-03-08,Nagaon,1.0,Poor,209,PM2.5
2023-03-09,Nagaon,1.0,Poor,253,PM2.5
2023-03-10,Nagaon,1.0,Very Poor,311,PM2.5
2023-03-11,Nagaon,1.0,Very Poor,307,PM2.5
2023-03-12,Nagaon,1.0,Very Poor,318,PM2.5
2023-03-13,Nagaon,1.0,Poor,224,PM2.5
