date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-08,Nagaur,1.0,Moderate,107,PM10
2023-06-09,Nagaur,1.0,Satisfactory,93,PM10
2023-06-10,Nagaur,1.0,Moderate,107,PM10
2023-06-11,Nagaur,1.0,Poor,239,PM10
2023-06-12,Nagaur,1.0,Satisfactory,81,PM10
2023-06-13,Nagaur,1.0,Satisfactory,82,PM10
2023-06-14,Nagaur,1.0,Moderate,105,PM10
2023-06-15,Nagaur,1.0,Satisfactory,91,PM10
2023-06-16,Nagaur,1.0,Satisfactory,79,PM10
2023-06-17,Nagaur,1.0,Good,44,PM10
2023-06-18,Nagaur,1.0,Good,37,O3
2023-06-19,Nagaur,1.0,Satisfactory,62,PM10
2023-06-20,Nagaur,1.0,Moderate,106,PM10
2023-06-21,Nagaur,1.0,Moderate,109,PM10
2023-06-22,Nagaur,1.0,Moderate,106,PM10
2023-06-23,Nagaur,1.0,Moderate,108,PM10
2023-06-24,Nagaur,1.0,Moderate,107,PM10
2023-06-25,Nagaur,1.0,Satisfactory,90,PM10
2023-06-26,Nagaur,1.0,Satisfactory,68,PM10
2023-06-27,Nagaur,1.0,Good,43,PM10
2023-06-28,Nagaur,1.0,Satisfactory,54,PM10
2023-06-29,Nagaur,1.0,Satisfactory,65,PM10
2023-06-30,Nagaur,1.0,Satisfactory,54,O3
2023-07-01,Nagaur,1.0,Poor,289,O3
2023-07-02,Nagaur,1.0,Satisfactory,68,O3
2023-07-03,Nagaur,1.0,Satisfactory,59,O3
2023-07-04,Nagaur,1.0,Satisfactory,80,PM10
2023-07-05,Nagaur,1.0,Satisfactory,80,PM10
2023-07-06,Nagaur,1.0,Satisfactory,93,O3
2023-07-07,Nagaur,1.0,Satisfactory,96,O3
2023-07-08,Nagaur,1.0,Satisfactory,77,O3
2023-07-09,Nagaur,1.0,Moderate,101,O3
2023-07-10,Nagaur,1.0,Satisfactory,57,O3
2023-07-11,Nagaur,1.0,Satisfactory,71,PM10
2023-07-12,Nagaur,1.0,Moderate,107,PM10
2023-07-13,Nagaur,1.0,Satisfactory,84,PM10
2023-07-14,Nagaur,1.0,Satisfactory,90,PM10
2023-07-15,Nagaur,1.0,Moderate,114,PM10
2023-07-16,Nagaur,1.0,Moderate,110,PM10
2023-07-17,Nagaur,1.0,Moderate,116,PM10
2023-07-18,Nagaur,1.0,Moderate,117,PM10
2023-07-20,Nagaur,1.0,Satisfactory,92,PM10
2023-07-21,Nagaur,1.0,Satisfactory,92,PM10
2023-07-22,Nagaur,1.0,Satisfactory,66,PM10
2023-07-23,Nagaur,1.0,Satisfactory,79,PM10
2023-07-24,Nagaur,1.0,Satisfactory,64,PM10
2023-07-25,Nagaur,1.0,Satisfactory,61,PM10
2023-07-26,Nagaur,1.0,Satisfactory,56,PM10
2023-07-27,Nagaur,1.0,Satisfactory,52,O3
2023-07-28,Nagaur,1.0,Good,41,PM10
2023-07-29,Nagaur,1.0,Satisfactory,67,O3
2023-07-30,Nagaur,1.0,Good,41,PM10
2023-07-31,Nagaur,1.0,Satisfactory,69,PM10
2023-08-01,Nagaur,1.0,Satisfactory,85,PM10
2023-08-03,Nagaur,1.0,Satisfactory,91,PM10
2023-08-04,Nagaur,1.0,Satisfactory,87,PM10
2023-08-05,Nagaur,1.0,Moderate,104,PM10
2023-08-06,Nagaur,1.0,Satisfactory,90,PM10
2023-08-07,Nagaur,1.0,Satisfactory,82,PM10
2023-08-08,Nagaur,1.0,Satisfactory,73,PM10
2023-08-09,Nagaur,1.0,Satisfactory,99,PM10
2023-08-10,Nagaur,1.0,Moderate,111,PM10
2023-08-11,Nagaur,1.0,Moderate,117,PM10
2023-08-12,Nagaur,1.0,Moderate,112,PM10
2023-08-13,Nagaur,1.0,Satisfactory,98,PM10
2023-08-14,Nagaur,1.0,Moderate,105,PM10
2023-08-15,Nagaur,1.0,Moderate,126,PM10
2023-08-16,Nagaur,1.0,Moderate,142,PM10
2023-08-17,Nagaur,1.0,Moderate,139,PM10
2023-08-18,Nagaur,1.0,Moderate,150,PM10
2023-08-19,Nagaur,1.0,Moderate,142,PM10
2023-08-20,Nagaur,1.0,Satisfactory,68,PM10
2023-08-21,Nagaur,1.0,Satisfactory,90,PM10
2023-08-22,Nagaur,1.0,Satisfactory,99,PM10
2023-08-23,Nagaur,1.0,Satisfactory,100,PM10
2023-08-24,Nagaur,1.0,Satisfactory,90,PM10
2023-08-25,Nagaur,1.0,Moderate,121,PM10
2023-08-26,Nagaur,1.0,Moderate,174,PM10
2023-08-27,Nagaur,1.0,Poor,243,PM10
2023-08-29,Nagaur,1.0,Moderate,117,PM10
2023-08-30,Nagaur,1.0,Moderate,116,PM10
2023-08-31,Nagaur,1.0,Moderate,114,PM10
2023-09-01,Nagaur,1.0,Moderate,115,PM10
2023-09-02,Nagaur,1.0,Moderate,113,PM10
2023-09-03,Nagaur,1.0,Moderate,101,PM10
2023-09-04,Nagaur,1.0,Satisfactory,85,PM10
2023-09-05,Nagaur,1.0,Satisfactory,98,PM10
2023-09-06,Nagaur,1.0,Moderate,111,PM10
2023-09-07,Nagaur,1.0,Satisfactory,75,O3
2023-09-08,Nagaur,1.0,Satisfactory,90,PM10
2023-09-09,Nagaur,1.0,Satisfactory,87,PM10
2023-09-10,Nagaur,1.0,Satisfactory,80,O3
2023-09-11,Nagaur,1.0,Satisfactory,92,PM10
2023-09-12,Nagaur,1.0,Satisfactory,97,PM10
2023-09-13,Nagaur,1.0,Satisfactory,83,PM10
2023-09-15,Nagaur,1.0,Satisfactory,56,PM10
2023-09-16,Nagaur,1.0,Satisfactory,53,O3
2023-09-17,Nagaur,1.0,Good,40,O3
2023-09-18,Nagaur,1.0,Good,39,O3
2023-09-19,Nagaur,1.0,Good,33,O3
2023-09-20,Nagaur,1.0,Good,40,O3
2023-09-21,Nagaur,1.0,Satisfactory,51,PM10
2023-09-22,Nagaur,1.0,Satisfactory,60,PM10
2023-09-23,Nagaur,1.0,Satisfactory,72,PM10
2023-09-24,Nagaur,1.0,Satisfactory,70,PM10
2023-09-25,Nagaur,1.0,Satisfactory,68,PM10
2023-09-26,Nagaur,1.0,Satisfactory,55,O3
2023-09-27,Nagaur,1.0,Moderate,105,PM10
2023-09-28,Nagaur,1.0,Moderate,166,PM10
2023-09-29,Nagaur,1.0,Moderate,182,PM10
2023-09-30,Nagaur,1.0,Moderate,155,PM10
2023-10-01,Nagaur,1.0,Moderate,144,PM10
2023-10-02,Nagaur,1.0,Moderate,150,PM10
2023-10-03,Nagaur,1.0,Moderate,147,PM10
2023-10-04,Nagaur,1.0,Moderate,131,PM10
2023-10-05,Nagaur,1.0,Moderate,118,PM10
2023-10-06,Nagaur,1.0,Moderate,108,PM10
2023-10-07,Nagaur,1.0,Moderate,107,PM10
2023-10-08,Nagaur,1.0,Satisfactory,97,PM10
2023-10-09,Nagaur,1.0,Satisfactory,97,PM10
2023-10-10,Nagaur,1.0,Moderate,112,PM10
2023-10-11,Nagaur,1.0,Moderate,133,PM10
2023-10-12,Nagaur,1.0,Moderate,140,PM10
2023-10-13,Nagaur,1.0,Moderate,130,PM10
2023-10-14,Nagaur,1.0,Moderate,119,PM10
2023-10-15,Nagaur,1.0,Moderate,115,PM10
2023-10-17,Nagaur,1.0,Satisfactory,97,PM10
2023-10-18,Nagaur,1.0,Moderate,103,PM10
2023-10-19,Nagaur,1.0,Moderate,115,PM10
2023-10-21,Nagaur,1.0,Moderate,135,PM10
2023-10-22,Nagaur,1.0,Moderate,143,PM10
2023-10-23,Nagaur,1.0,Moderate,116,PM10
2023-10-24,Nagaur,1.0,Moderate,135,PM10
2023-10-25,Nagaur,1.0,Moderate,143,PM10
2023-10-26,Nagaur,1.0,Moderate,174,PM10
2023-10-27,Nagaur,1.0,Moderate,168,PM10
2023-10-28,Nagaur,1.0,Poor,203,PM10
2023-10-29,Nagaur,1.0,Moderate,155,PM10
2023-10-30,Nagaur,1.0,Moderate,158,PM10
2023-10-31,Nagaur,1.0,Moderate,147,PM10
2023-11-02,Nagaur,1.0,Moderate,154,PM10
2023-11-03,Nagaur,1.0,Moderate,182,PM10
2023-11-04,Nagaur,1.0,Moderate,165,PM10
2023-11-05,Nagaur,1.0,Moderate,171,PM10
2023-11-06,Nagaur,1.0,Moderate,183,PM10
2023-11-07,Nagaur,1.0,Moderate,194,PM10
2023-11-08,Nagaur,1.0,Poor,207,PM10
2023-11-09,Nagaur,1.0,Poor,285,PM10
2023-11-10,Nagaur,1.0,Moderate,188,PM10
2023-11-11,Nagaur,1.0,Moderate,126,PM2.5
2023-11-12,Nagaur,1.0,Poor,221,PM2.5
2023-11-13,Nagaur,1.0,Moderate,167,PM2.5
2023-11-14,Nagaur,1.0,Moderate,197,PM2.5
2023-11-15,Nagaur,1.0,Poor,283,PM2.5
2023-11-17,Nagaur,1.0,Very Poor,348,PM2.5
2023-11-18,Nagaur,1.0,Very Poor,348,PM2.5
2023-11-19,Nagaur,1.0,Poor,262,PM2.5
2023-11-20,Nagaur,1.0,Poor,213,PM2.5
2023-11-21,Nagaur,1.0,Very Poor,303,PM2.5
2023-11-22,Nagaur,1.0,Very Poor,346,PM2.5
2023-11-23,Nagaur,1.0,Poor,256,PM10
2023-11-24,Nagaur,1.0,Poor,247,PM10
2023-11-25,Nagaur,1.0,Poor,226,PM2.5
2023-11-26,Nagaur,1.0,Poor,211,PM2.5
2023-11-27,Nagaur,1.0,Moderate,129,PM2.5
2023-11-28,Nagaur,1.0,Poor,270,PM2.5
2023-11-29,Nagaur,1.0,Very Poor,305,PM2.5
2023-11-30,Nagaur,1.0,Poor,223,PM2.5
2023-12-01,Nagaur,1.0,Poor,266,PM2.5
2023-12-02,Nagaur,1.0,Very Poor,301,PM2.5
2023-12-03,Nagaur,1.0,Moderate,171,PM2.5
2023-12-04,Nagaur,1.0,Moderate,135,PM10
2023-12-05,Nagaur,1.0,Moderate,134,PM10
2023-12-06,Nagaur,1.0,Moderate,139,PM10
2023-12-07,Nagaur,1.0,Moderate,148,PM10
2023-12-08,Nagaur,1.0,Moderate,171,PM10
2023-12-09,Nagaur,1.0,Poor,278,PM10
2023-12-10,Nagaur,1.0,Poor,201,PM10
2023-12-11,Nagaur,1.0,Poor,217,PM10
2023-12-12,Nagaur,1.0,Poor,214,PM10
2023-12-13,Nagaur,1.0,Moderate,177,PM10
2023-12-14,Nagaur,1.0,Poor,201,PM10
2023-12-15,Nagaur,1.0,Moderate,166,PM10
2023-12-16,Nagaur,1.0,Moderate,160,PM10
2023-12-17,Nagaur,1.0,Poor,234,PM10
