date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2016-04-05,Nagpur,1.0,Moderate,110,PM10
2016-04-27,Nagpur,1.0,Satisfactory,98,PM10
2016-04-28,Nagpur,1.0,Moderate,103,NO2
2016-04-29,Nagpur,1.0,Satisfactory,82,NO2
2016-04-30,Nagpur,1.0,Satisfactory,99,NO2
2016-05-01,Nagpur,1.0,Satisfactory,90,NO2
2016-05-02,Nagpur,1.0,Moderate,105,NO2
2016-05-04,Nagpur,1.0,Satisfactory,72,O3
2016-05-05,Nagpur,1.0,Satisfactory,64,O3
2016-05-06,Nagpur,1.0,Satisfactory,65,O3
2016-05-07,Nagpur,1.0,Satisfactory,73,O3
2016-05-08,Nagpur,1.0,Satisfactory,84,O3
2016-05-09,Nagpur,1.0,Moderate,166,O3
2016-05-11,Nagpur,1.0,Moderate,177,O3
2016-05-12,Nagpur,1.0,Moderate,181,O3
2016-05-13,Nagpur,1.0,Moderate,162,O3
2016-05-14,Nagpur,1.0,Moderate,194,O3
2016-05-15,Nagpur,1.0,Moderate,183,O3
2016-05-16,Nagpur,1.0,Moderate,125,O3
2016-05-18,Nagpur,1.0,Poor,219,O3
2016-05-19,Nagpur,1.0,Moderate,186,O3
2016-05-20,Nagpur,1.0,Moderate,184,O3
2016-05-21,Nagpur,1.0,Satisfactory,96,PM10
2016-05-22,Nagpur,1.0,Satisfactory,90,PM10
2016-05-23,Nagpur,1.0,Satisfactory,75,PM10
2016-05-24,Nagpur,1.0,Satisfactory,77,O3
2016-05-25,Nagpur,1.0,Satisfactory,75,O3
2016-05-26,Nagpur,1.0,Satisfactory,77,PM10
2016-05-27,Nagpur,1.0,Satisfactory,77,O3
2016-05-28,Nagpur,1.0,Satisfactory,96,O3
2016-05-29,Nagpur,1.0,Satisfactory,99,PM10
2016-05-30,Nagpur,1.0,Satisfactory,82,PM10
2016-06-01,Nagpur,1.0,Moderate,122,O3
2016-06-02,Nagpur,1.0,Moderate,183,O3
2016-06-03,Nagpur,1.0,Moderate,168,O3
2016-06-04,Nagpur,1.0,Poor,246,O3
2016-06-05,Nagpur,1.0,Moderate,169,O3
2016-06-07,Nagpur,1.0,Poor,280,O3
2016-06-08,Nagpur,1.0,Moderate,186,O3
2016-06-10,Nagpur,1.0,Satisfactory,87,O3
2016-06-11,Nagpur,1.0,Satisfactory,96,O3
2016-06-14,Nagpur,1.0,Satisfactory,82,O3
2016-06-15,Nagpur,1.0,Satisfactory,77,PM10
2016-06-16,Nagpur,1.0,Satisfactory,82,PM10
2016-06-17,Nagpur,1.0,Satisfactory,100,PM10
2016-06-18,Nagpur,1.0,Satisfactory,63,CO
2016-06-19,Nagpur,1.0,Moderate,128,O3
2016-06-20,Nagpur,1.0,Satisfactory,84,O3
2016-06-21,Nagpur,1.0,Satisfactory,84,O3
2016-06-22,Nagpur,1.0,Satisfactory,77,O3
2016-06-23,Nagpur,1.0,Satisfactory,94,O3
2016-06-24,Nagpur,1.0,Satisfactory,64,CO
2016-06-28,Nagpur,1.0,Satisfactory,56,O3
2016-06-29,Nagpur,1.0,Satisfactory,65,O3
2016-06-30,Nagpur,1.0,Satisfactory,60,O3
2016-07-01,Nagpur,1.0,Satisfactory,59,O3
2016-07-02,Nagpur,1.0,Good,43,O3
2016-07-03,Nagpur,1.0,Good,36,O3
2016-07-05,Nagpur,1.0,Satisfactory,54,CO
2016-07-26,Nagpur,1.0,Satisfactory,63,NO2
2016-07-27,Nagpur,1.0,Good,42,O3
2016-07-28,Nagpur,1.0,Good,39,CO
2016-07-29,Nagpur,1.0,Good,41,PM10
2016-07-30,Nagpur,1.0,Good,45,CO
2016-07-31,Nagpur,1.0,Good,45,NO2
2016-08-01,Nagpur,1.0,Good,42,CO
2016-08-02,Nagpur,1.0,Good,40,CO
2016-08-03,Nagpur,1.0,Good,41,CO
2016-08-05,Nagpur,1.0,Satisfactory,53,PM10
2016-08-06,Nagpur,1.0,Good,43,CO
2016-08-07,Nagpur,1.0,Good,29,PM10
2016-08-08,Nagpur,1.0,Good,47,PM10
2016-08-13,Nagpur,1.0,Good,38,PM10
2016-08-14,Nagpur,1.0,Good,47,O3
2016-08-15,Nagpur,1.0,Good,45,O3
2016-08-16,Nagpur,1.0,Satisfactory,53,O3
2016-08-17,Nagpur,1.0,Good,47,O3
2016-08-18,Nagpur,1.0,Good,47,PM10
2016-08-19,Nagpur,1.0,Satisfactory,57,PM10
2016-08-20,Nagpur,1.0,Satisfactory,56,PM10
2016-08-21,Nagpur,1.0,Satisfactory,73,NO2
2016-08-22,Nagpur,1.0,Satisfactory,74,NO2
2016-08-23,Nagpur,1.0,Moderate,124,NO2
2016-08-24,Nagpur,1.0,Satisfactory,79,NO2
2016-08-25,Nagpur,1.0,Good,46,O3
2016-08-26,Nagpur,1.0,Good,40,O3
2016-08-27,Nagpur,1.0,Good,33,CO
2016-08-28,Nagpur,1.0,Satisfactory,81,NO2
2016-08-29,Nagpur,1.0,Satisfactory,96,NO2
2016-08-30,Nagpur,1.0,Satisfactory,94,NO2
2016-08-31,Nagpur,1.0,Satisfactory,90,NO2
2016-09-01,Nagpur,1.0,Satisfactory,66,NO2
2016-09-02,Nagpur,1.0,Good,35,CO
2016-09-03,Nagpur,1.0,Good,40,O3
2016-09-04,Nagpur,1.0,Satisfactory,64,PM10
2016-09-05,Nagpur,1.0,Satisfactory,70,PM10
2016-09-06,Nagpur,1.0,Satisfactory,63,PM10
2016-09-07,Nagpur,1.0,Satisfactory,58,PM10
2016-09-08,Nagpur,1.0,Satisfactory,60,O3
2016-09-09,Nagpur,1.0,Satisfactory,69,PM10
2016-09-10,Nagpur,1.0,Good,50,O3
2016-09-11,Nagpur,1.0,Good,47,PM10
2016-09-12,Nagpur,1.0,Satisfactory,51,PM10
2016-09-13,Nagpur,1.0,Good,41,PM10
2016-09-14,Nagpur,1.0,Satisfactory,52,O3
2016-09-15,Nagpur,1.0,Satisfactory,59,O3
2016-09-16,Nagpur,1.0,Good,47,PM10
2016-09-17,Nagpur,1.0,Good,40,CO
2016-09-18,Nagpur,1.0,Good,44,O3
2016-09-19,Nagpur,1.0,Satisfactory,59,O3
