date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-24,Nalbari,1.0,Moderate,165,PM2.5
2022-11-25,Nalbari,1.0,Moderate,112,PM10
2022-11-26,Nalbari,1.0,Moderate,109,PM10
2022-11-27,Nalbari,1.0,Moderate,139,PM10
2022-11-28,Nalbari,1.0,Moderate,123,PM10
2022-11-29,Nalbari,1.0,Moderate,114,PM10
2022-11-30,Nalbari,1.0,Moderate,115,PM10
2022-12-01,Nalbari,1.0,Moderate,146,PM10
2022-12-02,Nalbari,1.0,Moderate,152,PM10
2022-12-03,Nalbari,1.0,Moderate,153,PM2.5
2022-12-04,Nalbari,1.0,Moderate,136,PM2.5
2022-12-05,Nalbari,1.0,Moderate,140,PM10
2022-12-06,Nalbari,1.0,Moderate,139,PM10
2022-12-07,Nalbari,1.0,Moderate,161,PM10
2022-12-08,Nalbari,1.0,Moderate,156,PM2.5
2022-12-09,Nalbari,1.0,Moderate,174,PM2.5
2022-12-10,Nalbari,1.0,Moderate,195,PM2.5
2022-12-11,Nalbari,1.0,Poor,252,PM2.5
2022-12-12,Nalbari,1.0,Poor,254,PM2.5
2022-12-13,Nalbari,1.0,Poor,264,PM2.5
2022-12-14,Nalbari,1.0,Poor,277,PM2.5
2022-12-15,Nalbari,1.0,Poor,256,PM2.5
2022-12-16,Nalbari,1.0,Very Poor,301,PM2.5
2022-12-17,Nalbari,1.0,Poor,215,PM2.5
2022-12-18,Nalbari,1.0,Moderate,140,PM10
2022-12-20,Nalbari,1.0,Poor,209,PM2.5
2022-12-21,Nalbari,1.0,Poor,232,PM2.5
2022-12-22,Nalbari,1.0,Poor,269,PM2.5
2022-12-23,Nalbari,1.0,Poor,273,PM2.5
2022-12-24,Nalbari,1.0,Poor,291,PM2.5
2022-12-25,Nalbari,1.0,Poor,275,PM2.5
2022-12-26,Nalbari,1.0,Poor,246,PM2.5
2022-12-27,Nalbari,1.0,Poor,256,PM2.5
2022-12-28,Nalbari,1.0,Moderate,197,PM2.5
2022-12-29,Nalbari,1.0,Moderate,197,PM2.5
2022-12-30,Nalbari,1.0,Poor,282,PM2.5
2022-12-31,Nalbari,1.0,Very Poor,315,PM2.5
2023-01-03,Nalbari,1.0,Poor,232,PM2.5
2023-01-04,Nalbari,1.0,Poor,289,PM2.5
2023-01-05,Nalbari,1.0,Very Poor,301,PM2.5
2023-01-06,Nalbari,1.0,Poor,265,PM2.5
2023-01-07,Nalbari,1.0,Poor,252,PM2.5
2023-01-08,Nalbari,1.0,Very Poor,310,PM2.5
2023-01-10,Nalbari,1.0,Poor,262,PM2.5
2023-01-12,Nalbari,1.0,Poor,294,PM2.5
2023-01-13,Nalbari,1.0,Poor,300,PM2.5
2023-01-14,Nalbari,1.0,Very Poor,309,PM10
2023-01-15,Nalbari,1.0,Poor,271,PM10
2023-01-16,Nalbari,1.0,Poor,275,PM10
2023-01-17,Nalbari,1.0,Poor,257,PM10
2023-01-18,Nalbari,1.0,Poor,267,PM2.5
2023-01-19,Nalbari,1.0,Very Poor,302,PM2.5
2023-01-20,Nalbari,1.0,Poor,270,PM2.5
2023-01-22,Nalbari,1.0,Poor,277,PM2.5
2023-01-23,Nalbari,1.0,Poor,280,PM2.5
2023-01-24,Nalbari,1.0,Poor,219,PM10
2023-01-25,Nalbari,1.0,Poor,216,PM2.5
2023-01-26,Nalbari,1.0,Poor,266,PM2.5
2023-01-27,Nalbari,1.0,Poor,241,PM10
2023-01-28,Nalbari,1.0,Poor,258,PM2.5
2023-01-29,Nalbari,1.0,Poor,238,PM2.5
