date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-18,Nanded,1.0,Satisfactory,84,PM10
2023-06-19,Nanded,1.0,Moderate,104,PM10
2023-06-20,Nanded,1.0,Moderate,102,PM10
2023-06-21,Nanded,1.0,Satisfactory,79,PM10
2023-06-22,Nanded,1.0,Satisfactory,69,PM10
2023-06-23,Nanded,1.0,Satisfactory,67,PM10
2023-06-24,Nanded,1.0,Good,46,PM10
2023-06-25,Nanded,1.0,Good,40,O3
2023-06-26,Nanded,1.0,Good,30,O3
2023-06-27,Nanded,1.0,Moderate,167,CO
2023-06-28,Nanded,1.0,Good,29,O3
2023-06-29,Nanded,1.0,Good,30,O3
2023-06-30,Nanded,1.0,Good,47,O3
2023-07-01,Nanded,1.0,Good,49,PM10
2023-07-02,Nanded,1.0,Satisfactory,57,PM10
2023-07-03,Nanded,1.0,Good,46,PM10
2023-07-04,Nanded,1.0,Satisfactory,56,O3
2023-07-05,Nanded,1.0,Satisfactory,56,O3
2023-07-06,Nanded,1.0,Good,48,O3
2023-07-07,Nanded,1.0,Satisfactory,62,O3
2023-07-08,Nanded,1.0,Good,43,O3
2023-07-09,Nanded,1.0,Good,46,PM10
2023-07-10,Nanded,1.0,Satisfactory,54,PM10
2023-07-11,Nanded,1.0,Satisfactory,71,PM10
2023-07-13,Nanded,1.0,Good,42,PM10
2023-07-14,Nanded,1.0,Good,43,PM10
2023-07-16,Nanded,1.0,Good,44,PM10
2023-07-17,Nanded,1.0,Good,44,PM10
2023-07-18,Nanded,1.0,Good,45,PM10
2023-07-19,Nanded,1.0,Satisfactory,83,O3
2023-07-20,Nanded,1.0,Good,33,PM10
2023-07-22,Nanded,1.0,Good,26,PM10
2023-07-25,Nanded,1.0,Satisfactory,67,PM10
2023-07-26,Nanded,1.0,Satisfactory,64,PM10
2023-07-29,Nanded,1.0,Good,49,PM10
2023-08-01,Nanded,1.0,Satisfactory,56,PM10
2023-08-02,Nanded,1.0,Good,45,O3
2023-08-04,Nanded,1.0,Satisfactory,52,O3
2023-08-05,Nanded,1.0,Satisfactory,53,O3
2023-08-06,Nanded,1.0,Satisfactory,55,O3
2023-08-07,Nanded,1.0,Good,50,O3
2023-08-08,Nanded,1.0,Satisfactory,56,PM10
2023-08-09,Nanded,1.0,Satisfactory,52,O3
2023-08-11,Nanded,1.0,Good,43,PM10
2023-08-12,Nanded,1.0,Satisfactory,58,O3
2023-08-13,Nanded,1.0,Satisfactory,52,O3
2023-08-14,Nanded,1.0,Good,43,CO
2023-08-15,Nanded,1.0,Satisfactory,77,PM2.5
2023-08-16,Nanded,1.0,Good,45,O3
2023-08-17,Nanded,1.0,Satisfactory,52,O3
2023-08-18,Nanded,1.0,Satisfactory,53,PM10
2023-08-19,Nanded,1.0,Good,32,PM10
2023-08-20,Nanded,1.0,Good,31,PM10
2023-08-22,Nanded,1.0,Good,36,O3
2023-08-23,Nanded,1.0,Good,37,O3
2023-08-24,Nanded,1.0,Satisfactory,60,PM10
2023-08-25,Nanded,1.0,Satisfactory,66,O3
2023-08-26,Nanded,1.0,Satisfactory,65,O3
2023-08-27,Nanded,1.0,Satisfactory,64,O3
2023-08-29,Nanded,1.0,Moderate,116,PM10
2023-08-30,Nanded,1.0,Moderate,122,PM10
2023-08-31,Nanded,1.0,Moderate,130,PM10
