date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2016-05-19,Nashik,1.0,Satisfactory,87,PM10
2016-05-23,Nashik,1.0,Satisfactory,62,PM10
2016-05-24,Nashik,1.0,Satisfactory,55,PM10
2016-05-25,Nashik,1.0,Good,44,PM10
2016-05-26,Nashik,1.0,Good,40,O3
2016-05-27,Nashik,1.0,Satisfactory,55,PM10
2016-05-28,Nashik,1.0,Good,45,PM10
2016-05-29,Nashik,1.0,Good,39,PM10
2016-05-30,Nashik,1.0,Good,36,O3
2016-06-01,Nashik,1.0,Good,47,PM10
2016-06-02,Nashik,1.0,Satisfactory,52,PM10
2016-06-03,Nashik,1.0,Satisfactory,57,PM10
2016-06-04,Nashik,1.0,Satisfactory,67,PM10
2016-06-05,Nashik,1.0,Satisfactory,82,PM10
2016-06-07,Nashik,1.0,Moderate,116,PM10
2016-06-08,Nashik,1.0,Satisfactory,83,PM10
2016-06-10,Nashik,1.0,Satisfactory,60,PM10
2016-06-11,Nashik,1.0,Satisfactory,84,PM10
2016-06-13,Nashik,1.0,Satisfactory,63,PM10
2016-06-14,Nashik,1.0,Satisfactory,68,PM10
2016-06-15,Nashik,1.0,Satisfactory,81,PM10
2016-06-16,Nashik,1.0,Moderate,136,PM10
2016-06-17,Nashik,1.0,Moderate,126,PM10
2016-06-18,Nashik,1.0,Moderate,112,PM10
2016-06-19,Nashik,1.0,Satisfactory,100,PM10
2016-06-20,Nashik,1.0,Satisfactory,91,PM10
2016-06-21,Nashik,1.0,Good,42,O3
2016-06-22,Nashik,1.0,Good,31,O3
2016-06-23,Nashik,1.0,Good,46,PM10
2016-06-24,Nashik,1.0,Good,45,PM10
2016-06-28,Nashik,1.0,Satisfactory,57,PM10
2016-06-29,Nashik,1.0,Good,47,PM10
2016-06-30,Nashik,1.0,Satisfactory,58,PM10
2016-07-01,Nashik,1.0,Good,38,PM10
2016-07-02,Nashik,1.0,Good,31,PM10
2016-07-03,Nashik,1.0,Good,31,PM10
2016-07-05,Nashik,1.0,Good,28,PM10
2016-07-06,Nashik,1.0,Satisfactory,52,PM10
2016-07-07,Nashik,1.0,Satisfactory,57,PM10
2016-07-08,Nashik,1.0,Satisfactory,55,PM10
2016-07-09,Nashik,1.0,Good,38,PM10
2016-07-10,Nashik,1.0,Good,36,PM10
2016-07-19,Nashik,1.0,Good,35,NO2
2016-07-20,Nashik,1.0,Good,29,NO2
2016-07-26,Nashik,1.0,Good,23,NO2
2016-07-27,Nashik,1.0,Good,26,NO2
2016-07-28,Nashik,1.0,Good,31,NO2
2016-07-29,Nashik,1.0,Good,24,PM10
