date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2015-05-02,Navi Mumbai,,Satisfactory,70,PM10
2015-05-03,Navi Mumbai,,Satisfactory,90,PM10
2015-05-04,Navi Mumbai,,Satisfactory,76,PM10
2015-05-05,Navi Mumbai,,Satisfactory,92,PM10
2015-05-06,Navi Mumbai,,Satisfactory,84,CO
2015-05-07,Navi Mumbai,,Satisfactory,88,CO
2015-05-09,Navi Mumbai,,Moderate,109,CO
2015-05-10,Navi Mumbai,,Moderate,109,CO
2015-05-11,Navi Mumbai,,Moderate,110,CO
2015-05-12,Navi Mumbai,,Satisfactory,97,CO
2015-05-13,Navi Mumbai,,Satisfactory,92,CO
2015-05-14,Navi Mumbai,,Satisfactory,94,PM10
2015-05-15,Navi Mumbai,1.0,Satisfactory,90,PM10
2015-05-16,Navi Mumbai,1.0,Moderate,106,PM10
2015-05-17,Navi Mumbai,1.0,Satisfactory,96,CO
2015-05-18,Navi Mumbai,1.0,Satisfactory,94,CO
2015-05-19,Navi Mumbai,1.0,Moderate,104,CO
2015-05-20,Navi Mumbai,1.0,Moderate,101,CO
2015-05-21,Navi Mumbai,1.0,Moderate,103,CO
2015-05-22,Navi Mumbai,1.0,Moderate,103,CO
2015-05-23,Navi Mumbai,1.0,Moderate,102,CO
2015-05-24,Navi Mumbai,1.0,Moderate,103,CO
2015-05-25,Navi Mumbai,1.0,Moderate,103,CO
2015-05-26,Navi Mumbai,1.0,Moderate,106,CO
2015-05-27,Navi Mumbai,1.0,Satisfactory,100,CO
2015-05-28,Navi Mumbai,1.0,Satisfactory,98,CO
2015-05-29,Navi Mumbai,1.0,Moderate,121,PM10
2015-05-30,Navi Mumbai,1.0,Moderate,102,CO
2015-05-31,Navi Mumbai,1.0,Moderate,104,CO
2015-06-01,Navi Mumbai,1.0,Moderate,105,CO
2015-06-02,Navi Mumbai,1.0,Moderate,108,CO
2015-06-04,Navi Mumbai,1.0,Moderate,107,CO
2015-06-05,Navi Mumbai,1.0,Moderate,108,CO
2015-06-06,Navi Mumbai,1.0,Moderate,110,CO
2015-06-07,Navi Mumbai,1.0,Moderate,110,CO
2015-06-08,Navi Mumbai,1.0,Moderate,109,CO
2015-06-09,Navi Mumbai,1.0,Moderate,111,CO
2015-06-10,Navi Mumbai,1.0,Moderate,108,CO
2015-06-11,Navi Mumbai,1.0,Moderate,104,CO
2015-06-13,Navi Mumbai,1.0,Moderate,106,CO
2015-06-14,Navi Mumbai,1.0,Satisfactory,57,PM10
2015-06-15,Navi Mumbai,1.0,Satisfactory,56,CO
2015-06-16,Navi Mumbai,1.0,Satisfactory,58,CO
2015-06-17,Navi Mumbai,1.0,Satisfactory,65,CO
2015-06-18,Navi Mumbai,1.0,Satisfactory,64,CO
2015-06-19,Navi Mumbai,1.0,Satisfactory,67,CO
2015-06-20,Navi Mumbai,1.0,Satisfactory,70,CO
2015-06-21,Navi Mumbai,1.0,Satisfactory,70,CO
2015-06-22,Navi Mumbai,1.0,Satisfactory,71,CO
2015-06-23,Navi Mumbai,1.0,Satisfactory,73,CO
2015-06-24,Navi Mumbai,1.0,Satisfactory,70,CO
2015-06-25,Navi Mumbai,1.0,Satisfactory,64,CO
2015-06-26,Navi Mumbai,1.0,Satisfactory,67,CO
2015-06-27,Navi Mumbai,1.0,Satisfactory,67,CO
2015-06-28,Navi Mumbai,1.0,Satisfactory,69,CO
2015-07-01,Navi Mumbai,1.0,Satisfactory,76,CO
2015-07-02,Navi Mumbai,1.0,Satisfactory,79,CO
2015-07-03,Navi Mumbai,1.0,Satisfactory,82,CO
2015-07-04,Navi Mumbai,1.0,Satisfactory,83,CO
2015-07-05,Navi Mumbai,1.0,Satisfactory,92,CO
2015-07-06,Navi Mumbai,1.0,Satisfactory,86,CO
2015-07-07,Navi Mumbai,1.0,Satisfactory,74,CO
2015-07-08,Navi Mumbai,1.0,Satisfactory,84,CO
2015-07-09,Navi Mumbai,1.0,Satisfactory,92,CO
2015-07-10,Navi Mumbai,1.0,Satisfactory,97,CO
2015-07-11,Navi Mumbai,1.0,Satisfactory,96,CO
2015-07-12,Navi Mumbai,1.0,Satisfactory,94,CO
2015-07-13,Navi Mumbai,1.0,Satisfactory,81,CO
2015-07-14,Navi Mumbai,1.0,Satisfactory,72,CO
