date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-27,Nayagarh,1.0,Moderate,113,PM10
2022-11-28,Nayagarh,1.0,Moderate,123,PM10
2022-11-29,Nayagarh,1.0,Moderate,132,PM2.5
2022-11-30,Nayagarh,1.0,Moderate,193,PM2.5
2022-12-01,Nayagarh,1.0,Moderate,153,PM2.5
2022-12-02,Nayagarh,1.0,Poor,205,PM2.5
2022-12-03,Nayagarh,1.0,Moderate,174,PM2.5
2022-12-04,Nayagarh,1.0,Moderate,188,PM2.5
2022-12-05,Nayagarh,1.0,Moderate,191,PM2.5
2022-12-06,Nayagarh,1.0,Moderate,157,PM2.5
2022-12-07,Nayagarh,1.0,Moderate,150,PM2.5
2022-12-08,Nayagarh,1.0,Moderate,170,PM2.5
2022-12-09,Nayagarh,1.0,Moderate,198,PM2.5
2022-12-10,Nayagarh,1.0,Moderate,192,PM2.5
2022-12-11,Nayagarh,1.0,Poor,206,PM2.5
2022-12-12,Nayagarh,1.0,Moderate,119,PM2.5
2022-12-13,Nayagarh,1.0,Moderate,106,PM10
2022-12-14,Nayagarh,1.0,Moderate,121,PM10
2022-12-15,Nayagarh,1.0,Moderate,124,PM2.5
2022-12-16,Nayagarh,1.0,Satisfactory,99,PM10
2022-12-17,Nayagarh,1.0,Moderate,122,PM10
2022-12-18,Nayagarh,1.0,Moderate,126,PM2.5
2022-12-19,Nayagarh,1.0,Moderate,186,PM2.5
2022-12-20,Nayagarh,1.0,Moderate,170,PM2.5
2022-12-21,Nayagarh,1.0,Moderate,141,PM2.5
2022-12-22,Nayagarh,1.0,Moderate,145,PM2.5
2022-12-23,Nayagarh,1.0,Moderate,119,PM10
2022-12-24,Nayagarh,1.0,Moderate,133,PM10
2022-12-25,Nayagarh,1.0,Moderate,127,PM10
2022-12-26,Nayagarh,1.0,Moderate,126,PM10
2022-12-27,Nayagarh,1.0,Moderate,126,PM10
2022-12-28,Nayagarh,1.0,Moderate,119,PM10
2022-12-31,Nayagarh,1.0,Moderate,116,PM10
2023-01-01,Nayagarh,1.0,Moderate,183,PM2.5
2023-01-02,Nayagarh,1.0,Poor,245,PM2.5
