date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-17,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-18,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-19,Palkalaiperur,1.0,Satisfactory,53,SO2
2023-03-20,Palkalaiperur,1.0,Satisfactory,53,SO2
2023-03-21,Palkalaiperur,1.0,Satisfactory,53,SO2
2023-03-22,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-23,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-24,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-25,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-26,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-27,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-28,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-29,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-30,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-03-31,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-01,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-02,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-03,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-04,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-05,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-06,Palkalaiperur,1.0,Satisfactory,52,SO2
2023-04-08,Palkalaiperur,1.0,Good,50,SO2
2023-04-09,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-10,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-11,Palkalaiperur,1.0,Satisfactory,77,CO
2023-04-12,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-13,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-14,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-18,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-19,Palkalaiperur,1.0,Satisfactory,51,SO2
2023-04-20,Palkalaiperur,1.0,Good,50,SO2
2023-05-02,Palkalaiperur,1.0,Satisfactory,100,CO
2023-05-03,Palkalaiperur,1.0,Satisfactory,71,CO
2023-05-04,Palkalaiperur,1.0,Satisfactory,59,SO2
2023-05-07,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-05-08,Palkalaiperur,1.0,Satisfactory,63,SO2
2023-05-10,Palkalaiperur,1.0,Satisfactory,63,SO2
2023-05-11,Palkalaiperur,1.0,Satisfactory,61,SO2
2023-05-20,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-05-21,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-05-22,Palkalaiperur,1.0,Good,38,PM10
2023-05-23,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-05-24,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-05-25,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-05-26,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-05-27,Palkalaiperur,1.0,Satisfactory,64,SO2
2023-05-28,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-05-29,Palkalaiperur,1.0,Satisfactory,63,SO2
2023-05-30,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-05-31,Palkalaiperur,1.0,Satisfactory,63,SO2
2023-06-01,Palkalaiperur,1.0,Satisfactory,63,SO2
2023-06-02,Palkalaiperur,1.0,Satisfactory,63,SO2
2023-06-03,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-04,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-05,Palkalaiperur,1.0,Satisfactory,63,SO2
2023-06-06,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-07,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-08,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-09,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-12,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-13,Palkalaiperur,1.0,Satisfactory,63,SO2
2023-06-14,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-15,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-16,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-17,Palkalaiperur,1.0,Satisfactory,62,SO2
2023-06-18,Palkalaiperur,1.0,Satisfactory,63,SO2
2023-06-19,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-06-20,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-06-21,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-06-24,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-06-25,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-06-26,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-06-28,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-06-29,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-06-30,Palkalaiperur,1.0,Satisfactory,64,SO2
2023-07-01,Palkalaiperur,1.0,Satisfactory,64,SO2
2023-07-02,Palkalaiperur,1.0,Satisfactory,64,SO2
2023-07-03,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-07-04,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-07-05,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-07-06,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-07-07,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-07-08,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-07-09,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-07-10,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-07-11,Palkalaiperur,1.0,Satisfactory,64,SO2
2023-07-12,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-07-13,Palkalaiperur,1.0,Satisfactory,64,SO2
2023-07-14,Palkalaiperur,1.0,Moderate,103,CO
2023-07-15,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-07-16,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-07-17,Palkalaiperur,1.0,Satisfactory,67,SO2
2023-07-18,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-07-19,Palkalaiperur,1.0,Satisfactory,67,SO2
2023-07-20,Palkalaiperur,1.0,Satisfactory,67,SO2
2023-07-22,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-07-28,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-07-29,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-07-30,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-07-31,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-01,Palkalaiperur,1.0,Satisfactory,65,SO2
2023-08-02,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-03,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-04,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-05,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-06,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-07,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-08,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-09,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-10,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-11,Palkalaiperur,1.0,Satisfactory,66,SO2
2023-08-22,Palkalaiperur,1.0,Satisfactory,74,SO2
2023-08-23,Palkalaiperur,1.0,Satisfactory,73,SO2
2023-08-24,Palkalaiperur,1.0,Satisfactory,73,SO2
2023-08-25,Palkalaiperur,1.0,Satisfactory,73,SO2
2023-08-26,Palkalaiperur,1.0,Satisfactory,72,SO2
2023-08-31,Palkalaiperur,1.0,Satisfactory,72,SO2
2023-09-07,Palkalaiperur,1.0,Satisfactory,52,PM2.5
2023-09-10,Palkalaiperur,1.0,Satisfactory,79,PM10
2023-09-11,Palkalaiperur,1.0,Good,25,SO2
2023-09-12,Palkalaiperur,1.0,Good,25,SO2
2023-09-15,Palkalaiperur,1.0,Good,25,SO2
2023-09-17,Palkalaiperur,1.0,Good,24,SO2
2023-09-20,Palkalaiperur,1.0,Good,25,SO2
2023-09-21,Palkalaiperur,1.0,Good,26,SO2
2023-09-23,Palkalaiperur,1.0,Good,25,SO2
2023-09-24,Palkalaiperur,1.0,Good,25,SO2
2023-09-26,Palkalaiperur,1.0,Good,25,SO2
2023-09-29,Palkalaiperur,1.0,Good,25,SO2
2023-09-30,Palkalaiperur,1.0,Good,25,SO2
2023-10-01,Palkalaiperur,1.0,Good,25,SO2
2023-10-05,Palkalaiperur,1.0,Good,34,PM10
2023-10-06,Palkalaiperur,1.0,Good,38,PM10
2023-10-07,Palkalaiperur,1.0,Good,41,PM10
2023-10-08,Palkalaiperur,1.0,Good,33,PM10
2023-10-09,Palkalaiperur,1.0,Good,28,PM10
2023-10-10,Palkalaiperur,1.0,Good,25,SO2
2023-10-12,Palkalaiperur,1.0,Good,27,PM10
2023-10-13,Palkalaiperur,1.0,Good,43,PM10
2023-10-14,Palkalaiperur,1.0,Good,42,PM10
2023-10-15,Palkalaiperur,1.0,Good,25,SO2
2023-11-17,Palkalaiperur,1.0,Satisfactory,62,PM10
2023-11-18,Palkalaiperur,1.0,Good,40,PM10
2023-11-21,Palkalaiperur,1.0,Good,37,PM10
2023-11-23,Palkalaiperur,1.0,Good,26,SO2
