date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-01-10,Panipat,1.0,Moderate,145,PM2.5
2019-01-11,Panipat,1.0,Very Poor,312,PM2.5
2019-01-12,Panipat,1.0,Very Poor,307,PM2.5
2019-01-15,Panipat,1.0,Moderate,105,PM2.5
2019-01-16,Panipat,1.0,Poor,226,PM2.5
2019-01-17,Panipat,1.0,Very Poor,370,PM2.5
2019-01-18,Panipat,1.0,Poor,291,PM2.5
2019-01-19,Panipat,1.0,Poor,225,PM2.5
2019-01-20,Panipat,1.0,Poor,290,PM2.5
2019-01-22,Panipat,1.0,Satisfactory,91,PM10
2019-01-23,Panipat,1.0,Satisfactory,88,PM10
2019-01-24,Panipat,1.0,Moderate,122,PM2.5
2019-01-25,Panipat,1.0,Satisfactory,75,PM2.5
2019-01-28,Panipat,1.0,Moderate,119,PM2.5
2019-01-29,Panipat,1.0,Moderate,119,PM2.5
2019-02-02,Panipat,1.0,Poor,246,PM2.5
2019-02-03,Panipat,1.0,Moderate,188,PM2.5
2019-02-04,Panipat,1.0,Poor,214,PM2.5
2019-02-05,Panipat,1.0,Poor,244,PM2.5
2019-02-07,Panipat,1.0,Moderate,200,PM2.5
2019-02-09,Panipat,1.0,Satisfactory,77,PM10
2019-02-10,Panipat,1.0,Satisfactory,89,PM10
2019-02-11,Panipat,1.0,Moderate,127,PM2.5
2019-02-12,Panipat,1.0,Moderate,177,PM2.5
2019-02-13,Panipat,1.0,Poor,233,PM2.5
2019-02-14,Panipat,1.0,Very Poor,325,PM2.5
2019-02-15,Panipat,1.0,Moderate,107,PM2.5
2019-02-16,Panipat,1.0,Satisfactory,95,PM10
2019-02-17,Panipat,1.0,Satisfactory,75,PM10
2019-02-18,Panipat,1.0,Satisfactory,86,PM10
2019-02-19,Panipat,1.0,Satisfactory,95,PM10
2019-02-20,Panipat,1.0,Moderate,150,PM2.5
2019-02-21,Panipat,1.0,Satisfactory,61,PM10
2019-02-22,Panipat,1.0,Satisfactory,93,PM10
2019-02-23,Panipat,1.0,Good,48,PM10
2019-02-24,Panipat,1.0,Satisfactory,61,PM10
2019-02-25,Panipat,1.0,Moderate,104,PM10
2019-02-26,Panipat,1.0,Satisfactory,82,PM10
2019-02-27,Panipat,1.0,Satisfactory,52,PM10
2019-02-28,Panipat,1.0,Satisfactory,62,PM2.5
2019-03-01,Panipat,1.0,Satisfactory,71,PM2.5
2019-03-02,Panipat,1.0,Satisfactory,90,PM2.5
2019-03-03,Panipat,1.0,Satisfactory,77,PM2.5
2019-03-04,Panipat,1.0,Satisfactory,75,PM2.5
2019-03-05,Panipat,1.0,Good,49,PM2.5
2019-03-06,Panipat,1.0,Satisfactory,57,PM2.5
2019-03-07,Panipat,1.0,Satisfactory,62,PM2.5
2019-03-08,Panipat,1.0,Moderate,117,PM10
2019-03-09,Panipat,1.0,Moderate,125,PM10
2019-03-10,Panipat,1.0,Satisfactory,83,NO2
2019-03-11,Panipat,1.0,Moderate,122,PM10
2019-03-12,Panipat,1.0,Satisfactory,73,PM10
2019-03-13,Panipat,1.0,Moderate,131,PM10
2019-03-14,Panipat,1.0,Moderate,121,PM10
2019-03-15,Panipat,1.0,Satisfactory,64,NO2
2019-03-16,Panipat,1.0,Satisfactory,87,PM10
2019-03-17,Panipat,1.0,Moderate,110,PM10
2019-03-18,Panipat,1.0,Moderate,116,PM10
2019-03-19,Panipat,1.0,Moderate,131,PM10
2019-03-20,Panipat,1.0,Moderate,146,PM10
2019-03-21,Panipat,1.0,Satisfactory,100,PM10
