date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-20,Parbhani,1.0,Moderate,112,PM10
2023-06-21,Parbhani,1.0,Satisfactory,96,PM10
2023-06-22,Parbhani,1.0,Satisfactory,96,O3
2023-06-23,Parbhani,1.0,Satisfactory,75,O3
2023-06-24,Parbhani,1.0,Satisfactory,93,PM10
2023-06-25,Parbhani,1.0,Moderate,103,PM10
2023-06-27,Parbhani,1.0,Satisfactory,67,PM10
2023-06-28,Parbhani,1.0,Very Poor,304,O3
2023-06-29,Parbhani,1.0,Good,44,O3
2023-06-30,Parbhani,1.0,Satisfactory,57,O3
2023-07-01,Parbhani,1.0,Good,35,O3
2023-07-02,Parbhani,1.0,Good,30,O3
2023-07-03,Parbhani,1.0,Good,29,O3
2023-07-04,Parbhani,1.0,Good,33,O3
2023-07-05,Parbhani,1.0,Good,33,O3
2023-07-06,Parbhani,1.0,Good,33,PM10
2023-07-07,Parbhani,1.0,Good,36,PM10
2023-07-09,Parbhani,1.0,Satisfactory,62,PM10
2023-07-10,Parbhani,1.0,Satisfactory,68,PM10
2023-07-11,Parbhani,1.0,Satisfactory,67,PM10
2023-07-12,Parbhani,1.0,Good,50,O3
2023-07-13,Parbhani,1.0,Satisfactory,58,O3
2023-07-14,Parbhani,1.0,Good,44,O3
2023-07-15,Parbhani,1.0,Satisfactory,51,O3
2023-07-19,Parbhani,1.0,Good,24,O3
2023-07-20,Parbhani,1.0,Good,49,CO
2023-07-23,Parbhani,1.0,Good,43,O3
2023-07-24,Parbhani,1.0,Good,39,PM10
2023-07-25,Parbhani,1.0,Good,37,PM10
2023-07-26,Parbhani,1.0,Good,36,PM10
2023-07-27,Parbhani,1.0,Good,36,PM10
2023-07-28,Parbhani,1.0,Good,38,O3
2023-07-29,Parbhani,1.0,Good,36,PM10
2023-07-30,Parbhani,1.0,Good,44,PM10
2023-07-31,Parbhani,1.0,Satisfactory,62,PM10
2023-08-01,Parbhani,1.0,Good,46,PM10
2023-08-02,Parbhani,1.0,Satisfactory,53,PM10
2023-08-03,Parbhani,1.0,Satisfactory,53,PM10
2023-08-04,Parbhani,1.0,Satisfactory,62,PM10
2023-08-05,Parbhani,1.0,Satisfactory,63,PM10
2023-08-06,Parbhani,1.0,Good,42,PM10
2023-08-07,Parbhani,1.0,Good,46,PM10
2023-08-08,Parbhani,1.0,Satisfactory,65,PM10
2023-08-09,Parbhani,1.0,Satisfactory,56,PM10
2023-08-10,Parbhani,1.0,Satisfactory,74,PM10
2023-08-11,Parbhani,1.0,Good,49,PM10
2023-08-13,Parbhani,1.0,Good,49,PM10
2023-08-19,Parbhani,1.0,Good,44,PM10
2023-08-20,Parbhani,1.0,Good,37,PM10
2023-08-21,Parbhani,1.0,Satisfactory,70,O3
2023-08-22,Parbhani,1.0,Satisfactory,52,PM10
2023-08-23,Parbhani,1.0,Good,45,O3
2023-08-24,Parbhani,1.0,Satisfactory,51,O3
2023-08-25,Parbhani,1.0,Good,41,O3
2023-08-26,Parbhani,1.0,Good,43,O3
2023-08-27,Parbhani,1.0,Good,41,O3
2023-08-29,Parbhani,1.0,Satisfactory,76,PM10
2023-08-30,Parbhani,1.0,Satisfactory,83,PM10
2023-08-31,Parbhani,1.0,Satisfactory,92,PM10
2023-09-01,Parbhani,1.0,Satisfactory,94,PM10
2023-09-02,Parbhani,1.0,Poor,251,O3
2023-09-03,Parbhani,1.0,Satisfactory,79,PM10
2023-09-04,Parbhani,1.0,Satisfactory,59,O3
2023-09-05,Parbhani,1.0,Satisfactory,84,PM10
2023-09-06,Parbhani,1.0,Satisfactory,74,PM10
2023-09-07,Parbhani,1.0,Good,37,O3
2023-09-08,Parbhani,1.0,Good,46,PM10
2023-09-09,Parbhani,1.0,Satisfactory,57,PM10
2023-09-10,Parbhani,1.0,Satisfactory,59,PM10
2023-09-11,Parbhani,1.0,Satisfactory,56,PM10
2023-09-12,Parbhani,1.0,Satisfactory,63,PM10
2023-09-13,Parbhani,1.0,Satisfactory,68,PM10
2023-09-14,Parbhani,1.0,Satisfactory,61,PM10
2023-09-15,Parbhani,1.0,Good,45,PM10
2023-09-16,Parbhani,1.0,Good,44,O3
2023-09-17,Parbhani,1.0,Satisfactory,81,CO
2023-09-18,Parbhani,1.0,Good,43,PM10
2023-09-19,Parbhani,1.0,Good,46,PM10
2023-09-20,Parbhani,1.0,Good,35,PM10
2023-09-21,Parbhani,1.0,Good,36,PM10
2023-09-22,Parbhani,1.0,Good,33,PM10
2023-09-23,Parbhani,1.0,Good,37,PM10
2023-09-24,Parbhani,1.0,Good,34,PM10
2023-09-25,Parbhani,1.0,Good,48,O3
2023-09-26,Parbhani,1.0,Good,50,PM10
2023-09-27,Parbhani,1.0,Good,45,PM10
2023-09-28,Parbhani,1.0,Satisfactory,91,PM10
2023-09-29,Parbhani,1.0,Satisfactory,57,PM10
2023-09-30,Parbhani,1.0,Satisfactory,51,PM10
2023-10-01,Parbhani,1.0,Satisfactory,72,PM10
2023-10-02,Parbhani,1.0,Satisfactory,86,PM10
2023-10-03,Parbhani,1.0,Moderate,158,O3
2023-10-04,Parbhani,1.0,Moderate,106,PM10
2023-10-05,Parbhani,1.0,Satisfactory,67,PM2.5
2023-10-06,Parbhani,1.0,Satisfactory,95,PM10
2023-10-07,Parbhani,1.0,Satisfactory,78,PM10
2023-10-08,Parbhani,1.0,Moderate,113,PM10
2023-10-09,Parbhani,1.0,Moderate,132,PM10
2023-10-10,Parbhani,1.0,Moderate,111,PM10
2023-10-11,Parbhani,1.0,Moderate,129,PM10
2023-10-12,Parbhani,1.0,Moderate,153,PM10
2023-10-13,Parbhani,1.0,Moderate,194,PM2.5
2023-10-14,Parbhani,1.0,Moderate,195,PM2.5
